Q000001	Kadrovski menedžer
Q001490	Poveljnik ladje
Q001491	Letalski tehnik - letalec
Q001492	Pilot vodnega letala
Q001493	Kontrolor za prilete letal
Q001494	Radiološki inženir
Q001495	Rentgenski tehnik
Q001496	Laboratorijski tehnik hematologije
Q001497	Laboratorijski tehnik histopatologije in citopatologije
Q001498	Laboratorijski tehnik transfuzijske medicine
Q001499	Inženir gradbeništva, svetovalec
Q001500	Laboratorijski tehnik za citologijo
Q001501	Laboratorijski tehnik za histologijo
Q001502	Farmacevtski tehnik v lekarni
Q001503	Inženir ortopedske tehnike
Q001504	Inženir zobne tehnike
Q001505	Laboratorijski zobni protetik
Q001506	Ortopedski tehnolog
Q001507	Tehnolog za gradbene materiale
Q001508	Ortotik - protetik
Q001509	Rehabilitacijski inženir
Q001510	Zobotehnik
Q001511	Reševalec v vozilu prve pomoči
Q001512	Spremljevalec v reševalnem vozilu
Q001513	Voznik reševalec
Q001514	Veterinarski cepilec
Q001515	Veterinarski osemenjevalec
Q001516	Inženir gradbeništva, projektant
Q001517	Veterinarski pomočnik v higieni živil
Q001518	Manipulant z nevarnimi odpadki
Q001519	Okoljevarstveni tehnik
Q001520	Sanitarni tehnik
Q001521	Strokovni sodelavec za požarno varstvo
Q001522	Varnostni svetovalec za prevoz nevarnega blaga
Q001523	Borzni makler
Q001524	Borzni posrednik za delnice
Q001525	Borzni posrednik za naložbe
Q001526	Gradbeni inšpektor
Q001527	Borzni posrednik za poroštvo
Q001528	Referent za faktoring
Q001529	Bilancist
Q001530	Finančni knjigovodja
Q001531	Materialni knjigovodja
Q001532	Vodnogospodarski inšpektor
Q001533	Strokovni sodelavec za zavarovalništvo
Q001534	Zavarovalni agent
Q001535	Zavarovalni asistent
Q001536	Zavarovalni producent
Q001537	Knjigar
Q001538	Komercialist na terenu
Q001539	Prodajni zastopnik
Q001540	Skrbnik ključnih kupcev
Q001541	Strokovni sodelavec za obvladovanje ključnih kupcev
Q001542	Svetovalec pri prodaji v kmetijstvu
Q001543	Svetovalec pri prodaji v vrtnarstvu
Q001544	Svetovalec za poprodajne aktivnosti
Q001545	Trgovski potnik
Q001546	Komercialist za nabavo
Q001547	Strokovni vodja ravnanja z okoljem
Q001548	Odkupovalec živine
Q001549	Referent za vzdrževanje osnovnih sredstev
Q001550	Strokovni sodelavec za področje razvoja dobaviteljev
Q001551	Komisionar, trgovski
Q001552	Komisionar
Q001553	Referent za transportna logistiko
Q001554	Transportni komercialist
Q001555	Asistent v kadrovski službi
Q001556	Referent za iskanje dela študentov in dijakov
Q001557	Tehnolog ravnanja z odpadki
Q001558	Sindikalni poverjenik
Q001559	Nepremičninski posrednik
Q001560	Nepremičninski referent
Q001561	Oskrbnik nepremičnin
Q001562	Upravnik hiš
Q001563	Upravnik nepremičnin
Q001564	Kontrolor poštnih storitev
Q001565	Luški dispečer
Q001566	Luški disponent
Q001567	Predsednik sveta vaške skupnosti
Q001568	Prometni tehnik
Q001569	Vodja avtoparka podjetja
Q001570	Agent za glasbene prireditve
Q001571	Agent za gledališke prireditve
Q001572	Agent za propagando
Q001573	Dražbar
Q001574	Medijski nakupovalec
Q001575	Medijski prodajalec
Q001576	Menedžer samostojnih ustvarjalcev
Q001577	Menedžer športnikov
Q001578	Posrednik za organizacijo varstva otrok na domu
Q001579	Posrednik za zmenke
Q001580	Ženitni posredovalec
Q001581	Strokovni sodelavec za koordinacijo projektov
Q001582	Tajnik društva
Q001583	Tajnik krajevnega urada
Q001584	Tajnik organizacije
Q001585	Kontrolor izpolnjevanja obveznosti brezposelnih oseb
Q001586	Inženir strojništva
Q001587	Kontrolor uporabe socialnih pravic
Q001588	Nadzornik izpolnjevanja obveznosti brezposelnih oseb
Q001589	Nadzornik uporabe socialnih pravic
Q001590	Referent za družinske prejemke
Q001591	Referent za socialne pomoči
Q001592	Referent za izdajo potnih listov
Q001593	Vodja matične knjige
Q001594	Policist za posebne naloge
Q001595	Inženir strojništva, vodja del
Q001596	Referent za denacionalizacijske postopke
Q001597	Referent za izvrševanje kazenskih sankcij
Q001598	Referent za kmetijstvo
Q001599	Referent za zaščito in reševanje
Q001600	Referent za zemljiški kataster
Q001601	Zemljiškokatastrski referent
Q001602	Referent za brezplačno pravno pomoč
Q001603	Sodni referent v sodnem registru
Q001604	Sodni referent v zemljiški knjigi
Q001605	Sodni referent za izvršbe
Q001606	Inženir strojništva, projektant
Q001607	Strokovni sodelavec za delo z begunci
Q001608	Strokovni sodelavec za učenje in socialno zorenje
Q001609	Laični misijonar
Q001610	Športni plesalec
Q001611	Vaditelj plesa
Q001612	Fotograf za industrijo
Q001613	Fotograf za medicino
Q001614	Fotograf za modo
Q001615	Fotograf za novinarstvo
Q001616	Inženir strojništva, svetovalec
Q001617	Fotograf za propagando
Q001618	Mikrofotograf
Q001619	Kreator lutk
Q001620	Kreator maske
Q001621	Organizator, kostumski
Q001622	Organizator, scenski
Q001623	Scenski oblikovalec
Q001624	Disko džokej
Q001625	Glasbenik v nočnem klubu
Q001626	Inženir strojništva, terolog
Q001627	Kreator zvoka
Q001628	Pevec v nočnem klubu
Q001629	Tetovator
Q001630	Vodja zabaviščnega ansambla
Q001631	IT help desk delavec
Q001632	Skrbnik informacijske in komunikacijske opreme
Q001633	Skrbnik informacijskih sistemov
Q001634	Skrbnik komunikacijskih sistemov
Q001635	Tehnik za sistemsko in omrežno programsko opremo
Q001636	Vzdrževalec programske opreme
Q001637	Vzdrževalec sistemske programske opreme
Q001638	Administrator spletnih strani
Q001639	Tehnik za splet
Q001640	Asistent kamere
Q001641	Kamerman
Q001642	Kinooperater
Q001643	Kontrolor kamere
Q001644	Lučni mojster
Q001645	Medijski operater
Q001646	Oblikovalec osvetljave
Q001647	Inženir gradbeniškega strojništva
Q001648	Operater na radijskem oddajniku
Q001649	Operater na radiu
Q001650	Osvetljevalec
Q001651	Pomorski radiotelegrafist
Q001652	Radiovezist
Q001653	Snemalec slike za film
Q001654	Snemalec slike za televizijo
Q001655	Snemalec videa
Q001656	Tonski mojster
Q001657	Tonski realizator
Q001658	Videotehnik
Q001659	Tehnik telekomunikacij za govorne storitve (telefonija)
Q001660	Tehnik telekomunikacij za negovorne storitve (prenos podatkov)
Q001661	Tehnik telekomunikacij za radio in televizijo
Q001662	Tehnik za letalske telekomunikacije
Q001663	Vpisničar na sodišču
Q001664	Predsednik pokrajinskega sveta
Q001665	Inženir ladijskega strojništva
Q001666	Delilec kart
Q001667	Vodja igralne mize
Q001668	Turistični informator
Q001669	Popisovalec, anketar
Q001670	Telefonski anketar
Q001671	Fakturist
Q001672	Kalkulant cen
Q001673	Likvidator
Q001674	Obračunovalec proizvodnih stroškov na proizvodne enote
Q001675	Saldakontist
Q001676	Bančni referent v zaledju
Q001677	Ključar trezorja
Q001678	Referent za podporo kartičnemu poslovanju
Q001679	Trezorec
Q001680	Uradnik za devizno poslovanje
Q001681	Uradnik za plačilni promet
Q001682	Uradnik za posojila
Q001683	Inšpektor parnih kotlov
Q001684	Obračunovalec plač
Q001685	Kontrolor, prekladalna in skladiščna dela
Q001686	Prevzemalec blaga
Q001687	Prevzemnik materiala
Q001688	Procesničar v logistiki farmacevtske industrije
Q001689	Skladiščni evidentičar
Q001690	Tehnolog strojništva
Q001691	Dispečer prevozov v cestnem prometu
Q001692	Disponent v cestnem prometu
Q001693	Odjavnik
Q001694	Progovni prometnik
Q001695	Prometnik
Q001696	Referent v operativi v pomorskem tovornem prometu
Q001697	Referent za vozne rede
Q001698	Tehtalec vagonov
Q001699	Korektor teksta
Q001700	Fotokopist
Q001701	Referent za družbeni standard
Q001702	Referent za evidenco delovnega časa
Q001703	Referent za stanovanjske zadeve in počitniško dejavnost v podjetju
Q001704	Sprevodnik na avtobusu
Q001705	Sprevodnik na vlaku
Q001706	Sprevodnik spalnika
Q001707	Vodja poslovnega vlaka
Q001708	Vodja potniškega vlaka
Q001709	Regijski vodnik
Q001710	Turistični spremljevalec
Q001711	Glavni natakar
Q001712	Servirec
Q001713	Sommelier
Q001714	Barman
Q001715	Brivec
Q001716	Hišnik
Q001717	Inženir biokemijskega inženirstva
Q001718	Vzdrževalec v poslovnih stavbah
Q001719	Vzdrževalec v stanovanjskih stavbah
Q001720	Sprehajalec psov
Q001721	Trener vzgoje in šolanja psov
Q001722	Pevec na ulici
Q001723	Slačifant
Q001724	Striptizer
Q001725	Branjevec na tržnici
Q001726	Poulični prodajalec hrane
Q001727	Poulični prodajalec pijač
Q001728	Namestnik trgovske poslovodje
Q001729	Prodajalec avtomobilov
Q001730	Prodajalec elektrotehničnih izdelkov
Q001731	Prodajalec fotomateriala
Q001732	Prodajalec glasbil
Q001733	Prodajalec goriv
Q001734	Prodajalec gradbenega materiala
Q001735	Prodajalec kemikalij
Q001736	Prodajalec kmetijske mehanizacije
Q001737	Enolog
Q001738	Prodajalec kmetijskih kemikalij
Q001739	Prodajalec knjig
Q001740	Prodajalec nakita
Q001741	Prodajalec papirja in papirnih izdelkov
Q001742	Prodajalec pohištva
Q001743	Prodajalec strojniških izdelkov
Q001744	Prodajalec športne opreme
Q001745	Prodajalec tekstila
Q001746	Prodajalec usnja, krzna in izdelkov iz usnja in krzna
Q001747	Sprejemalec - blagajnik, izdelki za kemično čiščenje in pranje
Q001748	Promotor prodaje
Q001749	Delavec v avtomatski avtopralnici
Q001750	Prodajalec bureka
Q001751	Uradnik za najem, lizing plovil
Q001752	Videotekar
Q001753	Gasilec - preventivec
Q001754	Predsednik občinskega sveta
Q001755	Tehnolog za papirništvo
Q001756	Gasilec - voznik
Q001757	Poveljnik gasilske čete
Q001758	Poveljnik gasilskega oddelka
Q001759	Poveljnik gasilskega voda
Q001760	Policist na meji
Q001761	Prometni policist
Q001762	Vodja izmene paznikov
Q001763	Vodja skupine paznikov
Q001764	Varnostnik čuvaj
Q001765	Varnostnik nadzornik
Q001766	Tehnolog za keramiko
Q001767	Varnostnik telesni stražar
Q001768	Redar na smučišču
Q001769	Pridelovalec krompirja
Q001770	Drevesničar trsničar
Q001771	Semenar
Q001772	Skupinovodja v vrtnarstvu ipd.
Q001773	Urejevalec zelenic
Q001774	Vrtnar povrtninar
Q001775	Vrtnar pridelovalec
Q001776	Vzdrževalec igrišča za golf
Q001777	Tehnolog za gumarstvo
Q001778	Govedorejec
Q001779	Konjerejec
Q001780	Kozjerejec
Q001781	Ovčerejec
Q001782	Prašičerejec
Q001783	Skupinovodja v živinoreji
Q001784	Rejec nojev
Q001785	Rejec mačk
Q001786	Tehnolog za steklarstvo
Q001787	Rejec polžev
Q001788	Rejec ptic
Q001789	Skupinovodja v kmetijstvu
Q001790	Drvar sekač
Q001791	Gozdar sekač
Q001792	Gozdarski gojitelj
Q001793	Merilec lesa
Q001794	Skupinovodja v ribogojstvu
Q001795	Skupinovodja obalnih ribičev ipd.
Q001796	Živilski tehnolog
Q001797	Skupinovodja ribičev na odprtem morju
Q001798	Metalurški pečar
Q001799	Metalurški šamoter
Q001800	Obzidovalec industrijskih peči
Q001801	Zidar kurišč in dimnikov
Q001802	Zidar za zidanje in ometavanje
Q001803	Klesar kamna
Q001804	Polirec kamna
Q001805	Tehnolog za sintezo in predelavo polimerov
Q001806	Rezalec kamna
Q001807	Krivilec armature
Q001808	Mizar za izdelovanje odrske opreme
Q001809	Tesar opažev
Q001810	Cestni preglednik
Q001811	Polagalec asfalta
Q001812	Krovec
Q001813	Stavbni dekorater
Q001814	Zastekljevalec vozil
Q001815	Inštalater ogrevalnih naprav
Q001816	Inštalater plinskih naprav
Q001817	Inštalater vodovodnih naprav
Q001818	Vodovodni inštalater
Q001819	Inštalater klimatskih naprav
Q001820	Monter hladilnih naprav
Q001821	Monter klimatskih naprav
Q001822	Monter prezračevalnih sistemov
Q001823	Roletar
Q001824	Črkoslikar
Q001825	Slikopleskar
Q001826	Jedrar
Q001827	Kalupar
Q001828	Livarski kalupar
Q001829	Livarski modelar
Q001830	Zvonar
Q001831	Cevar
Q001832	MIG/MAG-varilec
Q001833	Ročno obločni varilec
Q001834	TIG-varilec
Q001835	Izdelovalec igrač iz kovin
Q001836	Izdelovalec žičnih tkanin iz mrež
Q001837	Kovinostrugar
Q001838	Operater na CNC-brusilnem stroju, kovinarstvo
Q001839	Operater na CNC-rezkalnem stroju, kovinarstvo
Q001840	Operater na CNC-stiskalnem stroju, kovinarstvo
Q001841	Operater na CNC-stroju za skobljanje kovin, kovinarstvo
Q001842	Operater na CNC-stroju za struženje kovin, kovinarstvo
Q001843	Operater na CNC-varilnem stroju, kovinarstvo
Q001844	Operater na CNC-vrtalnem stroju, kovinarstvo
Q001845	Operater na CNC-žično krivilnem stroju, kovinarstvo
Q001846	Upravljavec strojev za brušenje kovin
Q001847	Upravljavec strojev za rezkanje kovin
Q001848	Upravljavec strojev za skobljanje kovin
Q001849	Upravljavec strojev za stiskanje kovin
Q001850	Upravljavec strojev za varjenje kovin
Q001851	Inženir rudarstva, projektant
Q001852	Upravljavec strojev za vrtanje kovin
Q001853	Upravljavec stružnice
Q001854	Avtomehanik
Q001855	Mehanik za avtobuse
Q001856	Mehanik za motorna dvokolesa
Q001857	Mehanik za tovornjake
Q001858	Mehanik za traktorje
Q001859	Tehnik kontrolor vozil
Q001860	Ladijski mazalec
Q001861	Ladijski mehanik
Q001862	Inženir naftnega rudarstva
Q001863	Mazalec železniških vozil
Q001864	Mehanik, rudarski
Q001865	Mehanik fotovoltaičnih sklopov in naprav (sončne celice)
Q001866	Mehanik kmetijskih strojev in naprav
Q001867	Mehanik kogeneracijskih naprav
Q001868	Mehanik tiskarskih strojev
Q001869	Metalurg
Q001870	Mehanik vodnočistilnih naprav
Q001871	Mehanik za železniška vozila
Q001872	Monter energetskih strojev in naprav
Q001873	Monter fotovoltaičnih sklopov in naprav (sončne celice)
Q001874	Monter industrijskih strojev in naprav
Q001875	Monter kogeneracijskih naprav
Q001876	Monter rudarskih strojev
Q001877	Tehnolog za metalurgijo
Q001878	Monter tiskarskih strojev
Q001879	Monter vodnočistilnih naprav
Q001880	Serviser pisarniških strojev
Q001881	Skrbnik procesnih naprav - mehatronik
Q001882	Strojni vzdrževalec, proizvodnja
Q001883	Vzdrževalec fotovoltaičnih sklopov in naprav (sončne celice)
Q001884	Vzdrževalec gradbenih strojev
Q001885	Vzdrževalec hidravličnih in pnevmatskih naprav
Q001886	Vzdrževalec kogeneracijskih naprav
Q001887	Vzdrževalec v metalurgiji
Q001888	Vzdrževalec v proizvodnji
Q001889	Izdelovalec fotografske opreme
Q001890	Izdelovalec ortopedskih in drugih zdravstvenih pripomočkov
Q001891	Izdelovalec preciznih kirurških naprav in opreme
Q001892	Izdelovalec preciznih meteoroloških naprav in opreme
Q001893	Serviser fotografske opreme
Q001894	Serviser optičnih pripomočkov in naprav
Q001895	Serviser preciznih kirurških naprav in opreme
Q001896	Serviser preciznih meteoroloških naprav in opreme
Q001897	Izdelovalec godal
Q001898	Izdelovalec harmonik
Q001899	Izdelovalec kovinskih pihalnih instrumentov
Q001900	Izdelovalec lesenih pihalnih instrumentov
Q001901	Filigranist
Q001902	Srebrar
Q001903	Zlatar graver
Q001904	Brusilec kristalnega stekla
Q001905	Rezalec kristalnega stekla
Q001906	Steklar polirec
Q001907	Steklobrusilec
Q001908	Steklopihalec krogličar
Q001909	Steklopihalec nad odprtim plamenom
Q001910	Steklopihalec
Q001911	Steklorezalec
Q001912	Steklorezalec za optično steklo
Q001913	Dekorater keramike
Q001914	Emajler keramike
Q001915	Slikar za keramiko
Q001916	Stekloslikar
Q001917	Stekloslikar za ročno slikanje stekla
Q001918	Vitražist
Q001919	Reprograf
Q001920	Inženir za logistiko
Q001921	Ofsettiskar
Q001922	Ročni sitotiskar na kovine
Q001923	Ročni sitotiskar na papir
Q001924	Ročni sitotiskar na tekstilije
Q001925	Sitotiskar
Q001926	Knjigoveški tehnik
Q001927	Upravljavec knjigoveških strojev za reliefni tisk
Q001928	Električar v rudniku
Q001929	Tehnolog za promet
Q001930	Elektroinštalater, specialist
Q001931	Elektromehanik za ladje
Q001932	Elektromehanik, rudarski
Q001933	Elektromehanik proizvodnih strojev in naprav
Q001934	Elektromehanik signalnih naprav
Q001935	Elektromehanik telekomunikacij
Q001936	Elektromehanik za gospodinjske aparate
Q001937	Elektromehanik za letala
Q001938	Elektromehanik za železniška vozila
Q001939	Elektromehanik železniških postrojev
Q001940	Generalni sekretar državnega zbora
Q001941	Elektromonter elektroenergetskih postrojev
Q001942	Elektromonter proizvodnih strojev in naprav
Q001943	Mehanik letalskih elektronskih naprav
Q001944	Monter električnih sklopov
Q001945	Mehanik elektronskih pisarniških strojev
Q001946	Monter elektronskih medicinskih naprav
Q001947	Monter elektronskih meteoroloških naprav
Q001948	Monter elektronskih radarskih naprav
Q001949	Mehanik avdio-video naprav in opreme
Q001950	Mehanik naprav za prenos podatkov
Q001951	Monter elektronske računalniške opreme
Q001952	Monter elektronskih avdio-video naprav in opreme
Q001953	Monter telekomunikacijskega omrežja
Q001954	Računalniški serviser
Q001955	Inženir lesarstva
Q001956	RTV mehanik
Q001957	RTV monter
Q001958	Serviser računalniške opreme
Q001959	Serviser terminalskih naprav (pri naročnikih)
Q001960	Skupinovodja mehanikov in serviserjev telekomunikacijskih naprav
Q001961	Vzdrževalec POS terminalov
Q001962	Vzdrževalec računalniške strojne opreme
Q001963	Mesar perutninar
Q001964	Inženir tekstilstva
Q001965	Mesar, prodajalec
Q001966	Mesar, razsekovalec
Q001967	Pripravljalec bureka
Q001968	Izdelovalec osnovnih vrst kruha
Q001969	Izdelovalec pekovskega peciva
Q001970	Izdelovalec pekovskih izdelkov hitre hrane in pekovskih polizdelkov
Q001971	Izdelovalec sladic
Q001972	Izdelovalec trajnega peciva
Q001973	Prestar
Q001974	Slaščičar dekorater
Q001975	Tehnolog v grafični industriji
Q001976	Slaščičar konditor
Q001977	Izdelovalec fermentiranih mlečnih izdelkov
Q001978	Izdelovalec sadnih in zelenjavnih sokov
Q001979	Predelovalec zelenjave na neindustrijski način
Q001980	Kontrolor mleka
Q001981	Impregnator lesa
Q001982	Sušilničar lesa
Q001983	Intarzist
Q001984	Kolar
Q001985	Mizar stilnega pohištva
Q001986	Tehnolog za tekstilstvo
Q001987	Modelni mizar
Q001988	Skupinovodja mizarjev
Q001989	Upravljavec strojev za proizvodnjo drugih lesenih izdelkov
Q001990	Upravljavec strojev za proizvodnjo pohištva
Q001991	Upravljavec strojev za proizvodnjo stavbnega pohištva
Q001992	Šiviljec, neindustrijski način dela
Q001993	Krojilec klobučar
Q001994	Krojilec konfekcije
Q001995	Krojilec rokavic
Q001996	Tehnolog za usnjarstvo in krznarstvo
Q001997	Izdelovalec preprog
Q001998	Šivalec tapetnik
Q001999	Šivalec, neindustrijski način dela
Q002000	Izdelovalec spodnjih delov obutve
Q002001	Izdelovalec zgornjih delov obutve
Q002002	Inženir usnjarstva in krznarstva
Q002003	Kontrolor izdelkov iz lesa
Q002004	Deratizator
Q002005	Dezinsektor
Q002006	Rudar miner
Q002007	Rudar geovrtanja
Q002008	Rudar naftnega rudarstva
Q002009	Rudar za izdelavo podzemnih objektov
Q002010	Rudar za jamske gradnje
Q002011	Rudar za podzemno pridobivanje mineralnih surovin
Q002012	Rudar za površinsko pridobivanje mineralnih surovin
Q002013	Inženir predelave usnja in krzna
Q002014	Rudarski strojnik
Q002015	Upravljavec strojev in naprav za bogatenje rude in kamnin
Q002016	Upravljavec strojev in naprav za drobljenje rude in kamnin
Q002017	Upravljavec strojev in naprav za flotacijo rude in kamnin
Q002018	Upravljavec strojev in naprav za mletje rude in kamnin
Q002019	Cementninar
Q002020	Izdelovalec betonskih elementov
Q002021	Izdelovalec betonskih gradbenih elementov
Q002022	Adjuster metalurških izdelkov
Q002023	Industrijski kalilec
Q002024	Tehnolog predelave usnja in krzna
Q002025	Industrijski livar
Q002026	Industrijski talilec livar
Q002027	Industrijski talilec
Q002028	Industrijski valjavec
Q002029	Industrijski žarilec
Q002030	Industrijski žičar
Q002031	Lužilec kovin
Q002032	Oblikovalec profilov
Q002033	Obrusilec ulitkov
Q002034	Sekretar sekretariata za zakonodajo in pravne zadeve
Q002035	Inženir za varnost pri delu
Q002036	Talilec livar
Q002037	Upravljavec peči za plemenitenje kovin
Q002038	Upravljavec peči za predelavo kovin
Q002039	Upravljavec procesnih linij za predelavo ferita
Q002040	Upravljavec procesnih strojev in naprav za pridobivanje kovin
Q002041	Upravljavec strojev za lakiranje kovin
Q002042	Upravljavec strojev za vlivanje kovin
Q002043	Upravljavec talilnih peči
Q002044	Inšpektor za nadzor varnosti na smučiščih
Q002045	Upravljavec talilnih peči za pridobivanje drugih kovin
Q002046	Upravljavec talilnih peči za pridobivanje železa
Q002047	Valjavec pločevine
Q002048	Valjavec trakov
Q002049	Valjavec žice
Q002050	Emajler kovin
Q002051	Galvanizer kovin
Q002052	Upravljavec strojev za galvaniziranje kovinskih delov
Q002053	Procesničar v laboratorijih farmacevtske industrije
Q002054	Procesničar v proizvodnji farmacevtskih učinkovin
Q002055	Proizvodni procesničar v farmacevtski industriji
Q002056	Upravljavec naprav za proizvodnjo apna
Q002057	Upravljavec naprav za proizvodnjo bitumenskih-katranskih proizvodov
Q002058	Upravljavec naprav za proizvodnjo cementa
Q002059	Upravljavec naprav za proizvodnjo gipsa
Q002060	Upravljavec strojev za proizvodnjo koksa
Q002061	Upravljavec strojev za proizvodnjo linoleja
Q002062	Upravljavec strojev za proizvodnjo pralnih sredstev
Q002063	Upravljavec strojev za proizvodnjo sintetičnih vlaken
Q002064	Upravljavec strojev za proizvodnjo sveč
Q002065	Upravljavec strojev za proizvodnjo umetnega usnja
Q002066	Upravljavec strojev za proizvodnjo vžigalic
Q002067	Upravljavec v proizvodnji farmacevtskih učinkovin
Q002068	Filmski laborant
Q002069	Inženir elektrotehnike
Q002070	Mikrofilmar, razvijalec
Q002071	Mikrofilmar
Q002072	Povečevalec ali zmanjševalec posnetkov
Q002073	Upravljavec strojev za obdelavo filmov
Q002074	Upravljavec strojev za povečanje ali zmanjšanje fotografij
Q002075	Upravljavec strojev za razvijanje fotografij
Q002076	Industrijski izdelovalec pnevmatik
Q002077	Upravljavec strojev za proizvodnjo gumenih polizdelkov
Q002078	Upravljavec strojev za proizvodnjo gumenotehničnih izdelkov
Q002079	Izdelovalec plastične embalaže
Q002080	Izdelovalec plastičnih igrač
Q002081	Izdelovalec plastičnih laminatov
Q002082	Oblikovalec armiranih izdelkov iz sintetičnih večkomponentnih materialov
Q002083	Oblikovalec poliuretana
Q002084	Plastilec polimernih snovi
Q002085	Predelovalec plastike
Q002086	Rezalec plastike
Q002087	Vbrizgovalec plastike
Q002088	Inženir elektroenergetike, projektant
Q002089	Dodelovalec tiskovin
Q002090	Predilec - strojni
Q002091	Pletilec - strojni
Q002092	Inženir elektroenergetike, svetovalec
Q002093	Pletilec
Q002094	Tkalec - strojni
Q002095	Tkalec
Q002096	Upravljavec strojev za proizvodnjo preprog
Q002097	Upravljavec strojev za proizvodnjo tapiserij
Q002098	Upravljavec strojev za proizvodnjo vrvi
Q002099	Dodelovalec usnjenih in krznenih oblačil
Q002100	Konfekcijski šivalec
Q002101	Šivalec oblačil, industrijski način dela
Q002102	Tehnolog elektrotehnike
Q002103	Šivalec usnjenih in krznenih oblačil
Q002104	Upravljavec strojev za vezenje
Q002105	Dodelovalec usnja in krzna
Q002106	Industrijski strojar usnja in krzna
Q002107	Elektroenergetski inšpektor
Q002108	Upravljavec strojev za proizvodnjo usnja
Q002109	Dodelovalec obutve
Q002110	Dodelovalec usnjene galanterije
Q002111	Sestavljalec obutve
Q002112	Šivalec obutve
Q002113	Šivalec usnjene galanterije
Q002114	Krojilec tekstilij - strojni
Q002115	Krojilec obutve
Q002116	Krojilec usnjene galanterije
Q002117	Sekretar poslanske skupine
Q002118	Inženir elektroenergetike, vodja del
Q002119	Krojilec usnjenih in krznenih oblačil
Q002120	Operater polagalnega stroja pri avtomatskem krojenju
Q002121	Upravljavec stroja za izsek tekstilnih polizdelkov
Q002122	Estraher
Q002123	Industrijski izdelovalec cigar in drugih tobačnih izdelkov
Q002124	Industrijski izdelovalec drugih živil
Q002125	Industrijski predelovalec tobaka
Q002126	Industrijski pripravljalec tobaka
Q002127	Izdelovalec industrijsko pripravljenih jedi
Q002128	Inženir elektrotehnike, vodja del
Q002129	Mlinar
Q002130	Pivovar
Q002131	Predelovalec zdravilnih zelišč
Q002132	Pripravljalec rastlinskega izvlečka
Q002133	Sodavičar
Q002134	Upravljavec stroja za predelavo čaja
Q002135	Upravljavec stroja za predelavo kakava
Q002136	Upravljavec strojev za mletje kavovin
Q002137	Upravljavec strojev za mletje začimb
Q002138	Inženir elektrotehnike, projektant
Q002139	Upravljavec strojev za mletje žita
Q002140	Upravljavec strojev za mletje živinske krme
Q002141	Upravljavec strojev za predelavo konzerviranega mesa
Q002142	Upravljavec strojev za predelavo medu
Q002143	Upravljavec strojev za predelavo mesa
Q002144	Upravljavec strojev za predelavo rib
Q002145	Upravljavec strojev za predelavo zamrznjenih rib
Q002146	Pooblaščeni inženir varnostnih sistemov
Q002147	Upravljavec strojev za predelavo zelenjave
Q002148	Upravljavec strojev za proizvodnjo konditorskih izdelkov
Q002149	Upravljavec strojev za proizvodnjo kruha in peciva
Q002150	Upravljavec strojev za proizvodnjo mlečnih izdelkov
Q002151	Upravljavec strojev za proizvodnjo mleka v prahu
Q002152	Upravljavec strojev za proizvodnjo nerafiniranega sladkorja
Q002153	Upravljavec strojev za proizvodnjo pasteriziranega mleka
Q002154	Projektant varnostnih sistemov
Q002155	Upravljavec strojev za proizvodnjo pekovskega kvasa
Q002156	Upravljavec strojev za proizvodnjo piva
Q002157	Upravljavec strojev za proizvodnjo sadnih sokov
Q002158	Upravljavec strojev za proizvodnjo sladkorja
Q002159	Upravljavec strojev za proizvodnjo slaščic
Q002160	Upravljavec strojev za proizvodnjo testenin
Q002161	Upravljavec strojev za proizvodnjo tobaka in tobačnih izdelkov
Q002162	Tehnični preglednik za vgrajene sisteme aktivne požarne zaščite (električna napeljava)
Q002163	Upravljavec strojev za proizvodnjo zelenjavnih sokov
Q002164	Upravljavec strojev za proizvodnjo žganih pijač
Q002165	Upravljavec stiskalnice za papir
Q002166	Upravljavec strojev za struženje lesa za pripravo papirjevine
Q002167	Upravljavec iverilnika
Q002168	Upravljavec polnojarmenika
Q002169	Upravljavec sekalnega stroja
Q002170	Upravljavec stiskalnice za iverne ali vlaknene plošče
Q002171	Upravljavec stiskalnice za panelne plošče
Q002172	Upravljavec stiskalnice za vezane plošče
Q002173	Upravljavec stroja za razvlaknjevanje
Q002174	Izdelovalec brusov
Q002175	Skupinovodja steklarskih, keramijskih in podobnih procesnih strojev in naprav
Q002176	Upravljavec peči za keramiko
Q002177	Upravljavec strojev in naprav za proizvodnjo keramike
Q002178	Upravljavec strojev za brušenje stekla
Q002179	Inženir elektronike
Q002180	Upravljavec strojev za mešanje sestavin za glino
Q002181	Upravljavec strojev za mešanje sestavin za proizvodnjo stekla
Q002182	Upravljavec strojev za pihanje stekla
Q002183	Upravljavec strojev za proizvodnjo lončevine
Q002184	Upravljavec strojev za proizvodnjo porcelana
Q002185	Kurjač v kotlovnici
Q002186	Sestavljalec avdiovizualnih naprav in opreme
Q002187	Sestavljalec električnih delov
Q002188	Tehnolog elektronike
Q002189	Sestavljalec elektronskih pisarniških naprav in opreme
Q002190	Sestavljalec elektronskih sklopov
Q002191	Sestavljalec mikroelektronskih vezij
Q002192	Sestavljalec računalniških naprav in opreme
Q002193	Sestavljalec tiskanih vezij
Q002194	Sestavljalec žičnih spletov
Q002195	Izdelovalec, sestavljalec lesenih senčil
Q002196	Izdelovalec, sestavljalec plastičnih senčil
