C000001_hr_000	Vojna zanimanja
C002329_hr_007	agentica prodaje nekretnina
C002329_hr_008	agentica za iznajmljivanje i prodaju nekretnina
C002329_hr_009	agentica za nekretnine
C002329_hr_010	agentica za prodaju nekretnina
C002329_hr_011	konzultant za nekretnine
C002329_hr_012	konzultantica za nekretnine
C002329_hr_013	posrednica nekretninama
C002329_hr_014	posrednik nekretninama
C002329_hr_015	savjetnica za nekretnine
C002329_hr_016	savjetnik za nekretnine
C002330_hr_000	izrađivač/izrađivačica klinastih gumenih remena
C002330_hr_001	izrađivač klinastih gumenih remena
C002330_hr_002	izrađivačica klinastih gumenih remena
C002331_hr_000	šef slastičar/šefica slastičarka
C002331_hr_001	majstor slastičar
C002331_hr_002	majstorica slastičarka
C002331_hr_003	šef slastičar
C002331_hr_004	šefica slastičarka
C002332_hr_000	muzejski matičar/muzejska matičarka
C002332_hr_001	muzejska arhivistica
C002332_hr_002	muzejska dokumentaristica
C002332_hr_003	muzejska matičarka
C002332_hr_004	muzejski arhivist
C002332_hr_005	muzejski dokumentarist
C002332_hr_006	muzejski matičar
C002333_hr_000	radnik/radnica na završnoj obradi kožne galanterije
C002333_hr_001	radnica na završnoj obradi kožne galanterije
C002333_hr_002	radnik na završnoj obradi kožne galanterije
C002334_hr_000	rukovatelj/rukovateljica strojem za plastificiranje papira
C002334_hr_001	rukovatelj strojem za plastificiranje papira
C002334_hr_002	rukovateljica strojem za plastificiranje papira
C002335_hr_000	rukovatelj/rukovateljica koksne peći
C002335_hr_001	rukovatelj koksne peći
C002335_hr_002	rukovateljica koksne peći
C002336_hr_000	prodavač/prodavačica ortopedskih pomagala
C002336_hr_001	prodavač ortopedskih pomagala
C002336_hr_002	prodavačica ortopedskih pomagala
C002337_hr_000	direktor/direktorica poduzeća za selidbu
C002337_hr_001	direktor poduzeća za selidbu
C002337_hr_002	direktorica poduzeća za selidbu
C002337_hr_003	koordinator preseljenja
C002337_hr_004	koordinatorica preseljenja
C002338_hr_000	rukovatelj/rukovateljica žičarom
C002338_hr_001	rukovatelj skijaškim vučnicama
C002338_hr_002	rukovatelj vitlom
C002338_hr_003	rukovatelj žičarama sa sjedalicama
C002338_hr_004	rukovatelj žičarom
C002338_hr_005	rukovateljica skijaškim vučnicama
C002338_hr_006	rukovateljica vitlom
C002338_hr_007	rukovateljica žičarama sa sjedalicama
C002338_hr_008	rukovateljica žičarom
C002339_hr_000	zaštitar/zaštitarka na javnim događanjima
C002339_hr_001	izbacivač na javnim događanjima
C002339_hr_002	izbacivačica na javnim događanjima
C002339_hr_003	redar na javnim događanjima
C002339_hr_004	redarica na javnim događanjima
C002339_hr_005	zaštitar na javnim događanjima
C002339_hr_006	zaštitarka na javnim događanjima
C002340_hr_000	izrađivač/izrađivačica elektrolitskih ćelija
C002340_hr_001	izrađivač elektrolitskih ćelija
C002340_hr_002	izrađivačica elektrolitskih ćelija
C002340_hr_003	sastavljač elektrolitskih ćelija
C002340_hr_004	sastavljač elektrolitskih članaka
C002340_hr_005	sastavljačica elektrolitskih ćelija
C002340_hr_006	sastavljačica elektrolitskih članaka
C002341_hr_000	savjetnik/savjetnica za međukulturnu komunikaciju
C002341_hr_001	savjetnica za međukulturni dijalog
C002341_hr_002	savjetnica za međukulturnu komunikaciju
C002341_hr_003	savjetnik za međukulturni dijalog
C002341_hr_004	savjetnik za međukulturnu komunikaciju
C002342_hr_000	socijalni radnik/socijalna radnica za žrtve nasilja
C002342_hr_001	socijalna radnica za žrtve nasilja
C002342_hr_002	socijalni radnik za žrtve nasilja
C002343_hr_000	strukovni učitelj/strukovna učiteljica tehnologije prijevoza
C002343_hr_001	strukovna učiteljica tehnologije prijevoza
C002343_hr_002	strukovna učiteljica transportne tehnologije
C002343_hr_003	strukovni učitelj tehnologije prijevoza
C002343_hr_004	strukovni učitelj transportne tehnologije
C002344_hr_000	kuhar/kuharica
C002344_hr_001	kuhar
C002344_hr_002	kuharica
C002344_hr_003	kulinarska djelatnica
C002344_hr_004	kulinarski djelatnik
C002345_hr_000	tehničar/tehničarka zrakoplovnoga održavanja
C002345_hr_001	tehničar zrakoplovnoga održavanja
C002345_hr_002	tehničarka zrakoplovnoga održavanja
C002346_hr_000	djelatnik /djelatnica za ekstrahiranje škroba
C002346_hr_001	djelatnica za ekstrahiranje škroba
C002346_hr_002	djelatnik za ekstrahiranje škroba
C002346_hr_003	radnica koja ekstrahira škrob
C002346_hr_004	radnica koja izvlači škrob
C002346_hr_005	radnica za ekstrahiranje škroba
C002346_hr_006	radnik koji ekstrahira škrob
C002346_hr_007	radnik koji izvlači škrob
C002346_hr_008	radnik za ekstrahiranje škroba
C002346_hr_009	zaposlenica koja ekstrahira škrob
C002346_hr_010	zaposlenica na ekstrahiranju škroba
C002346_hr_011	zaposlenik koji ekstrahira škrob
C002346_hr_012	zaposlenik na ekstrahiranju škroba
C002347_hr_000	špediterski službenik/špediterska službenica za uvoz i izvoz strojeva i opreme za poljoprivredu
C002347_hr_001	službenica uvoza i izvoza strojeva i opreme za poljoprivredu
C002347_hr_002	službenik uvoza i izvoza strojeva i opreme za poljoprivredu
C002347_hr_003	tehničar za logistiku i špediciju za strojeve i opremu za poljoprivredu
C002347_hr_004	tehničarka za logistiku i špediciju za strojeve i opremu za poljoprivredu
C002347_hr_005	špediterska službenica uvoza/izvoza strojeva i opreme za poljoprivredu
C002347_hr_006	špediterska službenica za uvoz i izvoz strojeva i opreme za poljoprivredu
C002347_hr_007	špediterska tehničarka za strojeve i opremu za poljoprivredu
C002347_hr_008	špediterski službenik uvoza/izvoza strojeva i opreme za poljoprivredu
C002347_hr_009	špediterski službenik za uvoz i izvoz strojeva i opreme za poljoprivredu
C002347_hr_010	špediterski tehničar za strojeve i opremu za poljoprivredu
C002348_hr_000	strukovni učitelj/strukovna učiteljica poljoprivrede, šumarstva i ribarstva
C002348_hr_001	profesor šumarstva
C002348_hr_002	profesorica šumarstva
C002348_hr_003	strukovna učiteljica poljoprivrede, šumarstva i ribarstva
C002348_hr_004	strukovna učiteljica ratarstva i povrtlarstva
C002348_hr_005	strukovna učiteljica voćarstva i vinogradarstva
C002348_hr_006	strukovni učitelj poljoprivrede, šumarstva i ribarstva
C002348_hr_007	strukovni učitelj ratarstva i povrtlarstva
C002348_hr_008	strukovni učitelj voćarstva i vinogradarstva
C002349_hr_000	inženjer/inženjerka za obuću i kožnu galanteriju
C002349_hr_001	inženjer za obuću i kožnu galanteriju
C002349_hr_002	inženjerka za obuću i kožnu galanteriju
C002350_hr_000	projektant/projektantica tiskanih pločica
C002350_hr_001	dizajner tiskanih pločica
C002350_hr_002	dizajnerica tiskanih pločica
C002350_hr_003	projektant tiskanih pločica
C002350_hr_004	projektant/programer elektroničkih uređaja
C002350_hr_005	projektantica tiskanih pločica
C002350_hr_006	projektantica/programerka elektroničkih uređaja
C002351_hr_000	predavač/predavačica socijalnog rada
C002351_hr_001	predavač socijalnog rada
C002351_hr_002	predavačica socijalnog rada
C002351_hr_003	sveučilišna profesorica socijalnog rada
C002351_hr_004	sveučilišni profesor socijalnog rada
C002352_hr_000	operator/operatorica opreme za intermodalni transport
C002352_hr_001	operator opreme za intermodalni transport
C002352_hr_002	operatorica opreme za intermodalni transport
C002353_hr_000	rezač/rezačica i polagač/polagačica sukna i pribora
C002353_hr_001	rezač i polagač sukna i pribora
C002353_hr_002	rezačica i polagačica sukna i pribora
C002354_hr_000	protetičar i ortotičar / protetičarka i ortotičarka
C002354_hr_001	inženjer protetike i ortotike
C002354_hr_002	inženjerka protetike i ortotike
C002354_hr_003	ortotičar
C002354_hr_004	ortotičarka
C002354_hr_005	protetičar
C002354_hr_006	protetičar i ortotičar
C002354_hr_007	protetičar – ortotičar
C002354_hr_008	protetičarka
C002354_hr_009	protetičarka i ortotičarka
C002354_hr_010	protetičarka – ortotičarka
C002355_hr_000	pravni asistent / pravna asistentica
C002355_hr_001	asistent odvjetnika
C002355_hr_002	asistentica odvjetnika
C002355_hr_003	pravna asistentica
C002355_hr_004	pravna pomoćnica
C002355_hr_005	pravni asistent
C002355_hr_006	pravni pomoćnik
C002356_hr_000	djelatnik/djelatnica na kamperskom zemljištu
C002356_hr_001	djelatnica na kamperskom zemljištu
C002356_hr_002	djelatnica na terenu kampa
C002356_hr_003	djelatnica terena kampa
C002356_hr_004	djelatnik na kamperskom zemljištu
C002356_hr_005	djelatnik na terenu kampa
C002356_hr_006	djelatnik terena kampa
C002356_hr_007	radnica na kamperskom zemljištu
C002356_hr_008	radnica na području kampa
C002356_hr_009	radnik na kamperskom zemljištu
C002356_hr_010	radnik na području kampa
C002356_hr_011	rukovatelj zemljištem kampa
C002356_hr_012	rukovateljica zemljištem kampa
C002357_hr_000	elektroinženjer/elektroinženjerka za računalnu tehniku
C002357_hr_001	elektroinženjer za računalnu tehniku
C002357_hr_002	elektroinženjerka za računalnu tehniku
C002358_hr_000	administrator/administratorica naručivanja pacijenata
C002358_hr_001	administrator naručivanja pacijenata
C002358_hr_002	administratorica naručivanja pacijenata
C002358_hr_003	recepcioner – administrator
C002358_hr_004	recepcionerka – administratorica
C002358_hr_005	zdravstvena djelatnica u jedinici za centralno naručivanje pacijenata
C002358_hr_006	zdravstveni djelatnik u jedinici za centralno naručivanje pacijenata
C002359_hr_000	perač/peračica prozora
C002359_hr_001	perač prozora
C002359_hr_002	perač prozora – alpinist
C002359_hr_003	perač stakla
C002359_hr_004	peračica prozora
C002359_hr_005	peračica prozora – alpinistica
C002359_hr_006	peračica stakla
C002359_hr_007	ručna peračica prozora
C002359_hr_008	ručni perač prozora
C002360_hr_000	izrađivač/izrađivačica madraca
C002360_hr_001	izrađivač madraca
C002360_hr_002	izrađivačica madraca
C002361_hr_000	socijalni radnik/socijalna radnica za telefonsko savjetovanje
C002361_hr_001	socijalna radnica za telefonsko savjetovanje
C002361_hr_002	socijalni radnik za telefonsko savjetovanje
C002362_hr_000	geolog/geologinja zaštite okoliša
C002362_hr_001	geolog u zaštiti okoliša
C002362_hr_002	geolog zaštite okoliša
C002362_hr_003	geologinja u zaštiti okoliša
C002362_hr_004	geologinja zaštite okoliša
C002363_hr_000	veletrgovac/veletrgovkinja porculanom i staklom
C002363_hr_001	komercijalist veleprodaje za porculan i staklo
C002363_hr_002	komercijalistica veleprodaje za porculan i staklo
C002363_hr_003	prodajna predstavnica za porculan i staklo
C002363_hr_004	prodajna zastupnica za porculan i staklo
C002363_hr_005	prodajni predstavnik za porculan i staklo
C002363_hr_006	prodajni zastupnik za porculan i staklo
C002363_hr_007	trgovac porculanom i staklom na veliko
C002363_hr_008	trgovkinja porculanom i staklom na veliko
C002363_hr_009	veleprodajna komercijalistica za porculan i staklo
C002363_hr_010	veleprodajna trgovkinja porculanom i staklom
C002363_hr_011	veleprodajni komercijalist za porculan i staklo
C002363_hr_012	veleprodajni trgovac porculanom i staklom
C002363_hr_013	veletrgovac porculanom i staklom
C002363_hr_014	veletrgovkinja porculanom i staklom
C002364_hr_000	službenik/službenica za pregled prtljage
C002364_hr_001	sigurnosna službenica
C002364_hr_002	sigurnosni službenik
C002364_hr_003	službenica za pregled prtljage
C002364_hr_004	službenik za pregled prtljage
C002364_hr_005	zaštitar za pregled prtljage
C002364_hr_006	zaštitarka za pregled prtljage
C002365_hr_000	savjetnik/savjetnica za investicijske fondove
C002365_hr_001	savjetnica za investicijske fondove
C002365_hr_002	savjetnik za investicijske fondove
C002366_hr_000	upravitelj/upraviteljica turističke agencije
C002366_hr_001	menadžer agencije s turističkim uslugama
C002366_hr_002	menadžer putničke agencije
C002366_hr_003	menadžer turističke agencije
C002366_hr_004	menadžerica agencije s turističkim uslugama
C002366_hr_005	menadžerica putničke agencije
C002366_hr_006	menadžerica turističke agencije
C002366_hr_007	upravitelj agencije s turističkim uslugama
C002366_hr_008	upravitelj putničke agencije
C002366_hr_009	upravitelj turističke agencije
C002366_hr_010	upraviteljica agencije s turističkim uslugama
C002366_hr_011	upraviteljica putničke agencije
C002366_hr_012	upraviteljica turističke agencije
C002367_hr_000	rukovatelj strojem za konzerviranje i punjenje boca/rukovateljica strojem za konzerviranje i punjenje boca
C002367_hr_001	djelatnica na stroju za konzerviranje i punjenje boca
C002367_hr_002	djelatnica za rad na stroju za konzerviranje i punjenje boca
C002367_hr_003	djelatnik na stroju za konzerviranje i punjenje boca
C002367_hr_004	djelatnik za rad na stroju za konzerviranje i punjenje boca
C002367_hr_005	radnica na stroju za konzerviranje i punjenje boca
C002367_hr_006	radnik na stroju za konzerviranje i punjenje boca
C002367_hr_007	rukovatelj strojem za konzerviranje i punjenje boca
C002367_hr_008	rukovateljica strojem za konzerviranje i punjenje boca
C002368_hr_000	rukovatelj/rukovateljica strojem za tkanje
C002368_hr_001	rukovatelj strojem za tkanje
C002368_hr_002	rukovatelj strojem za tkanje sagova
C002368_hr_003	rukovatelj strojem za tkanje tepiha
C002368_hr_004	rukovateljica strojem za tkanje
C002368_hr_005	rukovateljica strojem za tkanje sagova
C002368_hr_006	rukovateljica strojem za tkanje tepiha
C002368_hr_007	tkalac
C002368_hr_008	tkalac na listovnim strojevima
C002368_hr_009	tkalac na posebnim strojevima
C002368_hr_010	tkalac na žakardnim strojevima
C002368_hr_011	tkalja
C002368_hr_012	tkalja na listovnim strojevima
C002368_hr_013	tkalja na posebnim strojevima
C002368_hr_014	tkalja na žakardnim strojevima
C002369_hr_000	radnik/radnica na čekiću za strojno kovanje
C002369_hr_001	radnica na čekiću za strojno kovanje
C002369_hr_002	radnik na čekiću za strojno kovanje
C002370_hr_000	izrađivač/izrađivačica uzoraka obuće
C002370_hr_001	izrađivač uzoraka obuće
C002370_hr_002	izrađivačica uzoraka obuće
C002371_hr_000	projektant konstruktor/projektantica konstruktorica spremnika
C002371_hr_001	projektant konstruktor bojlera
C002371_hr_002	projektant konstruktor kontejnera
C002371_hr_003	projektant konstruktor rezervoara
C002371_hr_004	projektant konstruktor spremnika
C002371_hr_005	projektant konstruktor tlačnih posuda
C002371_hr_006	projektantica konstruktorica bojlera
C002371_hr_007	projektantica konstruktorica kontejnera
C002371_hr_008	projektantica konstruktorica rezervoara
C002371_hr_009	projektantica konstruktorica spremnika
C002371_hr_010	projektantica konstruktorica tlačnih posuda
C002372_hr_000	direktor/direktorica zoološkog vrta
C002372_hr_001	direktor zoološkog vrta
C002372_hr_002	direktorica zoološkog vrta
C002372_hr_003	šef ZOO-a
C002372_hr_004	šefica ZOO-a
C002373_hr_000	prometni planer/prometna planerka
C002373_hr_001	inženjer teretnog prometa
C002373_hr_002	inženjer za unutrašnji transport
C002373_hr_003	inženjerka teretnog prometa
C002373_hr_004	inženjerka za unutrašnji transport
C002373_hr_005	planer prometa
C002373_hr_006	planerka prometa
C002373_hr_007	prometna planerka
C002373_hr_008	prometni planer
C002374_hr_000	strukovni učitelj /strukovna učiteljica frizerstva
C002374_hr_001	strukovna učiteljica frizerstva
C002374_hr_002	strukovni učitelj frizerstva
C002375_hr_000	direktor/direktorica službe likvidacije šteta u osiguranju
C002375_hr_001	direktor službe likvidacije šteta u osiguranju
C002375_hr_002	direktorica službe likvidacije šteta u osiguranju
C002376_hr_000	brodski električar/brodska električarka
C002376_hr_001	brodska električarka
C002376_hr_002	brodski električar
C002377_hr_000	medicinski maser / medicinska maserka
C002377_hr_001	fizioterapeut –maser
C002377_hr_002	fizioterapeutkinja – maserka
C002377_hr_003	masažna terapeutkinja
C002377_hr_004	masažni terapeut
C002377_hr_005	maser
C002377_hr_006	maserka
C002377_hr_007	medicinska maserka
C002377_hr_008	medicinski maser
C002377_hr_009	profesionalna maser
C002377_hr_010	profesionalna maserka
C002378_hr_000	direktor/direktorica službe za pravne poslove, opće poslove i ljudske potencijale
C002378_hr_001	direktor službe za pravne poslove, opće poslove i ljudske potencijale
C002378_hr_002	direktorica službe za pravne poslove, opće poslove i ljudske potencijale
C002378_hr_003	voditelj pravne, kadrovske i opće službe
C002378_hr_004	voditeljica pravne, kadrovske i opće službe
C002379_hr_000	izrađivač/izrađivačica pletenoga namještaja
C002379_hr_001	izrađivač pletenoga namještaja
C002379_hr_002	izrađivačica pletenoga namještaja
C002380_hr_000	inženjer/inženjerka nanotehnologije
C002380_hr_001	inženjer kemijske tehnologije
C002380_hr_002	inženjer nanotehnologije
C002380_hr_003	inženjer za precizno inženjerstvo i tehnologiju mikro i nano sustava
C002380_hr_004	inženjerka kemijske tehnologije
C002380_hr_005	inženjerka nanotehnologije
C002380_hr_006	inženjerka za precizno inženjerstvo i tehnologiju mikro i nano sustava
C002380_hr_007	nanotehnolog
C002380_hr_008	nanotehnologinja
C002381_hr_000	šaptač/šaptačica
C002381_hr_001	šaptač
C002381_hr_002	šaptač u drami
C002381_hr_003	šaptač u operi
C002381_hr_004	šaptačica
C002381_hr_005	šaptačica u drami
C002381_hr_006	šaptačica u operi
C002382_hr_000	brodarski broker / brodarska brokerica
C002382_hr_001	agent posrednik
C002382_hr_002	agentica posrednica
C002382_hr_003	brodarska brokerica
C002382_hr_004	brodarska brokerska službenica
C002382_hr_005	brodarski broker
C002382_hr_006	brodarski brokerski službenik
C002382_hr_007	samostalna brodarska brokerica
C002382_hr_008	samostalni brodarski broker
C002383_hr_000	kipar/kiparica
C002383_hr_001	kipar
C002383_hr_002	kiparica
C002384_hr_000	voditelj/voditeljica odjela
C002384_hr_001	voditelj odjela
C002384_hr_002	voditeljica odjela
C002385_hr_000	umjetnik/umjetnica za 3D animacijsko kadriranje
C002385_hr_001	dizajner layouta za animirani film
C002385_hr_002	dizajnerica layouta za animirani film
C002385_hr_003	stručnjak za izradu predložaka za animirani film
C002385_hr_004	stručnjakinja za izradu predložaka za animirani film
C002385_hr_005	umjetnica za 3D animacijsko kadriranje
C002385_hr_006	umjetnica za oblikovanje scenskih elemenata u animaciji
C002385_hr_007	umjetnik za 3D animacijsko kadriranje
C002385_hr_008	umjetnk za oblikovanje scenskih elemenata u animaciji
C002386_hr_000	prijevoznik/prijevoznica živih životinja
C002386_hr_001	prijevoznica živih životinja
C002386_hr_002	prijevoznica životinja
C002386_hr_003	prijevoznik živih životinja
C002386_hr_004	prijevoznik životinja
C002386_hr_005	vozač životinja
C002386_hr_006	vozačica životinja
C002387_hr_000	tehničar /tehničarka prerade mliječnih proizvoda
C002387_hr_001	stručnjakinja koja obrađuje mliječne proizvode
C002387_hr_002	tehničar prerade mliječnih proizvoda
C002387_hr_003	tehničarka prerade mliječnih proizvoda
C002387_hr_004	tehnička stručnjakinja prerade mliječnih proizvoda
C002387_hr_005	tehnički stručnjak koji obrađuje mliječne proizvode
C002387_hr_006	tehnički stručnjak prerade mliječnih proizvoda
C002388_hr_000	biokemijski tehničar / biokemijska tehničarka
C002388_hr_001	biokemijska tehničarka
C002388_hr_002	biokemijski tehničar
C002389_hr_000	mehaničar/mehaničarka rudarske opreme
C002389_hr_001	mehaničar rudarske opreme
C002389_hr_002	mehaničarka rudarske opreme
C002390_hr_000	pomoćnik/pomoćnica inženjera
C002390_hr_001	pomoćnica inženjera
C002390_hr_002	pomoćnik inženjera
C002391_hr_000	rukovatelj/rukovateljica strojem za rezanje, savijanje ili rastezanje materijala u rolama po širini
C002391_hr_001	rukovatelj strojem za obradu materijala u rolama
C002391_hr_002	rukovatelj strojem za rezanje, savijanje ili rastezanje materijala u rolama po širini
C002391_hr_003	rukovateljica strojem za obradu materijala u rolama
C002391_hr_004	rukovateljica strojem za rezanje, savijanje ili rastezanje materijala u rolama po širini
C002392_hr_000	tapetar/tapetarka
C002392_hr_001	tapetar
C002392_hr_002	tapetarka
C002393_hr_000	stručnjak za proizvodnju piva/stručnjakinja za proizvodnju piva
C002393_hr_001	majstor za proizvodnju piva
C002393_hr_002	majstorica za proizvodnju piva
C002393_hr_003	proizvođač piva
C002393_hr_004	proizvođačica piva
C002393_hr_005	stručnjak za proizvodnju piva
C002393_hr_006	stručnjakinja za proizvodnju piva
C002394_hr_000	primalja
C002394_hr_001	babica
C002394_hr_002	muška primalja
C002394_hr_003	stručnjak za primaljstvo
C002394_hr_004	stručnjakinja za primaljstvo
C002395_hr_000	socijalni radnik /socijalna radnica za rad s obiteljima
C002395_hr_001	socijalna radnica za rad s obiteljima
C002395_hr_002	socijalni radnik za rad s obiteljima
C002396_hr_000	predradnik/predradnica obućarstva
C002396_hr_001	predradnica obućarstva
C002396_hr_002	predradnik obućarstva
C002397_hr_000	direktor/direktorica uvoza i izvoza porculana i stakla
C002397_hr_001	direktor uvoza i izvoza porculana i stakla
C002397_hr_002	direktorica uvoza i izvoza porculana i stakla
C002398_hr_000	monter/monterka montažnih kuća
C002398_hr_001	monter montažnih kuća
C002398_hr_002	monter zidova montažnih kuća
C002398_hr_003	monterka montažnih kuća
C002398_hr_004	monterka zidova montažnih kuća
C002399_hr_000	voditelj/voditeljica u kabini zrakoplova
C002399_hr_001	voditelj u kabini zrakoplova
C002399_hr_002	voditeljica u kabini zrakoplova
C002400_hr_000	dekorater/dekoraterka drva
C002400_hr_001	dekorater drva
C002400_hr_002	dekoraterka drva
C002401_hr_000	blagajnik/blagajnica u kasinu
C002401_hr_001	blagajnica u kasinu
C002401_hr_002	blagajnik u kasinu
C002401_hr_003	službenica na blagajni kasina
C002401_hr_004	službenik na blagajni kasina
C002402_hr_000	čuvar/čuvarica kuće
C002402_hr_001	čuvar kuće
C002402_hr_002	čuvarica kuće
C002403_hr_000	rukovatelj/rukovateljica prešom za polimere
C002403_hr_001	rukovatelj prešom za polimere
C002403_hr_002	rukovateljica prešom za polimere
C002404_hr_000	željeznički šalterski službenik / željeznička šalterska službenica
C002404_hr_001	željeznička šalterska službenica
C002404_hr_002	željeznički šalterski službenik
C002405_hr_000	konceptualni umjetnik/konceptualna umjetnica
C002405_hr_001	konceptualna umjetnica
C002405_hr_002	konceptualni umjetnik
C002406_hr_000	član/članica osoblja restorana brze hrane
C002406_hr_001	zaposlenica fast food restorana
C002406_hr_002	zaposlenica restorana brze hrane
C002406_hr_003	zaposlenica restorana brze usluge
C002406_hr_004	zaposlenica u fast food restoranu
C002406_hr_005	zaposlenica u restoranu brze usluge
C002406_hr_006	zaposlenik fast food restorana
C002406_hr_007	zaposlenik restorana brze hrane
C002406_hr_008	zaposlenik restorana brze usluge
C002406_hr_009	zaposlenik u fast food restoranu
C002406_hr_010	zaposlenik u restoranu brze usluge
C002406_hr_011	član osoblja fast food restorana
C002406_hr_012	član osoblja restorana brze hrane
C002406_hr_013	član osoblja restorana brze usluge
C002406_hr_014	član osoblja u restoranu brze usluge
C002406_hr_015	članica osoblja fast food restorana
C002406_hr_016	članica osoblja restorana brze hrane
C002406_hr_017	članica osoblja restorana brze usluge
C002406_hr_018	članica osoblja u restoranu brze usluge
C002407_hr_000	voditelj/voditeljica zbirke
C002407_hr_001	glavna kustosica
C002407_hr_002	glavni kustos
C002407_hr_003	upravitelj muzejske kolekcije
C002407_hr_004	upravitelj zbirke
C002407_hr_005	upraviteljica muzejske kolekcije
C002407_hr_006	upraviteljica zbirke
C002407_hr_007	voditelj zbirke
C002407_hr_008	voditeljica zbirke
C002408_hr_000	direktor/direktorica distribucije strojeva, industrijske opreme, brodova i zrakoplova
C002408_hr_001	direktor distribucije strojeva, industrijske opreme, brodova i zrakoplova
C002408_hr_002	direktorica distribucije strojeva, industrijske opreme, brodova i zrakoplova
C002409_hr_000	predradnik/predradnica montaže zrakoplova
C002409_hr_001	poslovotkinja montaže zrakoplova
C002409_hr_002	poslovođa montaže zrakoplova
C002409_hr_003	predradnica montaže zrakoplova
C002409_hr_004	predradnik montaže zrakoplova
C002410_hr_000	projektant /projektantica korisničkog sučelja
C002410_hr_001	dizajner korisničkog sučelja
C002410_hr_002	dizajnerica korisničkog sučelja
C002410_hr_003	projektant korisničkog sučelja
C002410_hr_004	projektant za korisničko sučelje
C002410_hr_005	projektantica korisničkog sučelja
C002410_hr_006	projektantica za korisničko sučelje
C002411_hr_000	voditelj/voditeljica prodavaonice sportske opreme
C002411_hr_001	voditelj prodavaonice sportske opreme
C002411_hr_002	voditeljica prodavaonice sportske opreme
C002412_hr_000	učitelj/učiteljica u školi stranih jezika
C002412_hr_001	nastavnica izvanškolskog jezičnog obrazovanja
C002412_hr_002	nastavnik izvanškolskog jezičnog obrazovanja
C002412_hr_003	profesor u školi stranih jezika
C002412_hr_004	profesorica u školi stranih jezika
C002412_hr_005	učitelj u školi stranih jezika
C002412_hr_006	učiteljica u školi stranih jezika
C002413_hr_000	operater /operaterka u informacijskom centru
C002413_hr_001	operater informacijskog centra
C002413_hr_002	operater u informacijskom centru
C002413_hr_003	operaterka u informacijskom centru
C002413_hr_004	referent u informacijskom centru
C002413_hr_005	referentica u informacijskom centru
C002414_hr_000	direktor/direktorica uvoza i izvoza tekstilnih strojeva
C002414_hr_001	direktor uvoza i izvoza tekstilnih strojeva
C002414_hr_002	direktorica uvoza i izvoza tekstilnih strojeva
C002415_hr_000	građevinski projektant kanalizacijskih sustava/ građevinska projektantica kanalizacijskih sustava
C002415_hr_001	građevinska projektantica kanalizacijskih sustava
C002415_hr_002	građevinski projektant kanalizacijskih sustava
C002415_hr_003	inženjer za sustave odvodnje otpadnih voda
C002415_hr_004	inženjerka za sustave odvodnje otpadnih voda
C002416_hr_000	prodavač/prodavačica mesa, mesnih i suhomesnatih proizvoda
C002416_hr_001	prodavač mesa, mesnih i suhomesnatih proizvoda
C002416_hr_002	prodavač na odjelu mesa i suhomesnatih proizvoda
C002416_hr_003	prodavač u mesnici
C002416_hr_004	prodavačica mesa, mesnih i suhomesnatih proizvoda
C002416_hr_005	prodavačica na odjelu mesa i suhomesnatih proizvoda
C002416_hr_006	prodavačica u mesnici
C002417_hr_000	voditelj/voditeljica knjižare
C002417_hr_001	voditelj knjižare
C002417_hr_002	voditeljica knjižare
C002418_hr_000	odvjetnik/odvjetnica
C002418_hr_001	advokat
C002418_hr_002	odvjetnica
C002418_hr_003	odvjetnik
C002419_hr_000	radnik za poslove destilacije/radnica za poslove destilacije
C002419_hr_001	djelatnica za poslove destilacije
C002419_hr_002	djelatnica zadužena za destilaciju
C002419_hr_003	djelatnik za poslove destilacije
C002419_hr_004	djelatnik zadužen za destilaciju
C002419_hr_005	radnica za poslove destilacije
C002419_hr_006	radnica zadužena za destilaciju
C002419_hr_007	radnik za poslove destilacije
C002419_hr_008	radnik zadužen za destilaciju
C002419_hr_009	zaposlenica u poslovima destilacije
C002419_hr_010	zaposlenik u poslovima destilacije
C002420_hr_000	predavač/predavačica antropologije
C002420_hr_001	predavač antropologije
C002420_hr_002	predavačica antropologije
C002420_hr_003	sveučilišna profesorica antropologije
C002420_hr_004	sveučilišni profesor antropologije
C002421_hr_000	rukovatelj/rukovateljica strojem za iveranje drva
C002421_hr_001	rukovatelj strojem za iveranje drva
C002421_hr_002	rukovatelj višefaznim strojem za guljenje, pilenje, iveranje
C002421_hr_003	rukovateljica strojem za iveranje drva
C002421_hr_004	rukovateljica višefaznim strojem za guljenje, pilenje, iveranje
C002422_hr_000	zdravstveni psiholog/zdravstvena psihologinja
C002422_hr_001	psiholog zdravlja
C002422_hr_002	psihologinja zdravlja
C002422_hr_003	zdravstvena psihologinja
C002422_hr_004	zdravstveni psiholog
C002423_hr_000	nastavnik/nastavnica za djecu s teškoćama u razvoju
C002423_hr_001	nastavnica za djecu s teškoćama u razvoju
C002423_hr_002	nastavnica za osobe s oštećenjem sluha
C002423_hr_003	nastavnica za osobe s oštećenjem vida
C002423_hr_004	nastavnik za djecu s teškoćama u razvoju
C002423_hr_005	nastavnik za osobe s oštećenjem sluha
C002423_hr_006	nastavnik za osobe s oštećenjem vida
C002423_hr_007	učitelj djece s teškoćama u razvoju
C002423_hr_008	učitelj mentalno retardiranih osoba
C002423_hr_009	učiteljica djece s teškoćama u razvoju
