Q000001	Żołnierz szeregowy
Q001333	Pozostali szklarze
Q001334	Hydraulik
Q001335	Monter instalacji gazowych
Q001336	Monter instalacji i urządzeń sanitarnych
Q001337	Monter sieci deszczownianych
Q001338	Monter sieci wodnych i kanalizacyjnych
Q001339	Studniarz
Q001340	Pozostali hydraulicy i monterzy rurociągów
Q001341	Mechanik urządzeń chłodniczych
Q001342	Mechanik urządzeń klimatyzacyjnych
Q001343	Monter / konserwator instalacji wentylacyjnych i klimatyzacyjnych
Q001344	Monter płyt kartonowo-gipsowych
Q001345	Monter systemów suchej zabudowy
Q001346	Technolog robót wykończeniowych w budownictwie
Q001347	Monter zabudowy i robót wykończeniowych w budownictwie
Q001348	Malarz budowlany
Q001349	Szpachlarz
Q001350	Tapeciarz
Q001351	Pozostali malarze i pokrewni
Q001352	Lakiernik samochodowy
Q001353	Malarz-lakiernik samolotowy
Q001354	Piaskarz
Q001355	Pozostali lakiernicy
Q001356	Alpinista przemysłowy
Q001357	Czyściciel elewacji budowlanych
Q001358	Kominiarz
Q001359	Pozostali robotnicy czyszczący konstrukcje budowlane i pokrewni
Q001360	Brązownik
Q001361	Formierz odlewnik
Q001362	Ludwisarz
Q001363	Zalewacz form
Q001364	Lutowacz
Q001365	Operator zgrzewarek
Q001366	Spawacz
Q001367	Pozostali spawacze i pokrewni
Q001368	Blacharz
Q001369	Blacharz budowlany
Q001370	Blacharz izolacji przemysłowych
Q001371	Monter bram
Q001372	Monter konstrukcji stalowych
Q001373	Oczyszczacz konstrukcji stalowych
Q001374	Pozostali robotnicy przygotowujący i wznoszący konstrukcje metalowe
Q001375	Monter / konserwator kolei linowych, wyciągów narciarskich i zjeżdżalni grawitacyjnych
Q001376	Monter konstrukcji linowych stałych
Q001377	Takielarz
Q001378	Kowal
Q001379	Kowal wyrobów zdobniczych
Q001380	Podkuwacz koni
Q001381	Pozostali kowale i operatorzy pras kuźniczych
Q001382	Eguterzysta
Q001383	Rusznikarz
Q001384	Ślusarz
Q001385	Ślusarz narzędziowy
Q001386	Traser
Q001387	Pozostali ślusarze i pokrewni
Q001388	Frezer
Q001389	Operator automatycznej linii obróbki skrawaniem
Q001390	Operator maszyn i urządzeń do produkcji łożysk tocznych
Q001391	Operator maszyn i urządzeń do produkcji opakowań blaszanych
Q001392	Operator obrabiarek sterowanych numerycznie
Q001393	Strugacz
Q001394	Szlifierz metali
Q001395	Tokarz/frezer obrabiarek sterowanych numerycznie
Q001396	Tokarz w metalu
Q001397	Ustawiacz maszyn do obróbki skrawaniem
Q001398	Wiertacz w metalu
Q001399	Docieracz-polerowacz
Q001400	Szlifierz-ostrzarz
Q001401	Pozostali szlifierze narzędzi i polerowacze metali
Q001402	Mechanik ciągników
Q001403	Mechanik pojazdów samochodowych
Q001404	Mechanik samochodów ciężarowych
Q001405	Mechanik samochodów osobowych
Q001406	Monter samochodowej instalacji gazowej (LPG)
Q001407	Mechanik motocyklowy
Q001408	Mechanik płatowców
Q001409	Mechanik wyposażenia lotniczego statków powietrznych
Q001410	Układacz-konserwator spadochronów
Q001411	Mechanik / konserwator urządzeń do napełniania i opróżniania zbiorników
Q001412	Mechanik / konserwator urządzeń dźwignicowych
Q001413	Mechanik maszyn i urządzeń budowlanych i melioracyjnych
Q001414	Mechanik maszyn i urządzeń górnictwa odkrywkowego
Q001415	Mechanik maszyn i urządzeń górnictwa podziemnego
Q001416	Mechanik maszyn i urządzeń przemysłowych
Q001417	Mechanik maszyn rolniczych
Q001418	Mechanik maszyn szwalniczych
Q001419	Mechanik okrętowy
Q001420	Mechanik taboru kolejowego
Q001421	Monter-instalator urządzeń technicznych w budownictwie wiejskim
Q001422	Motorzysta wachtowy
Q001423	Marynarz motorzysta żeglugi śródlądowej
Q001424	Mechanik precyzyjny
Q001425	Optyk-mechanik
Q001426	Zegarmistrz
Q001427	Monter fortepianów i pianin
Q001428	Organomistrz
Q001429	Korektor (naprawiacz) instrumentów muzycznych
Q001430	Pozostali monterzy instrumentów muzycznych
Q001431	Szlifierz kamieni szlachetnych i ozdobnych
Q001432	Szlifierz-polerowacz wyrobów artystycznych
Q001433	Pozostali jubilerzy, złotnicy i pokrewni
Q001434	Ceramik wyrobów użytkowych i ozdobnych
Q001435	Formowacz ściernic
Q001436	Formowacz wyrobów ceramicznych
Q001437	Garncarz
Q001438	Modelarz odlewnik gipsowych form roboczych
Q001439	Sortowacz-brakarz ceramiki
Q001440	Szkliwierz ceramiki
Q001441	Pozostali ceramicy i pokrewni
Q001442	Formowacz wyrobów szklanych
Q001443	Hutnik dmuchacz szkła
Q001444	Ręczny polerowacz szkła
Q001445	Sortowacz-brakarz szkła
Q001446	Szlifierz-polerowacz szkła optycznego
Q001447	Szlifierz szkła gospodarczego i technicznego
Q001448	Szlifierz szkła płaskiego
Q001449	Pozostali formowacze wyrobów szklanych, krajacze i szlifierze szkła
Q001450	Galwanizer
Q001451	Giloszer szkła
Q001452	Grawer szkła
Q001453	Lustrzarz
Q001454	Pozłotnik
Q001455	Rzeźbiarz szkła
Q001456	Szyldziarz
Q001457	Zdobnik ceramiki
Q001458	Zdobnik szkła
Q001459	Fajkarz
Q001460	Koszykarz-plecionkarz
Q001461	Łubiankarz
Q001462	Rzeźbiarz w drewnie
Q001463	Szczotkarz
Q001464	Pozostali rękodzielnicy wyrobów z drewna i pokrewnych materiałów
Q001465	Arkadownik
Q001466	Dziewiarz
Q001467	Koronkarka
Q001468	Przędzarz
Q001469	Renowator tkanin unikatowych
Q001470	Tkacz
Q001471	Rękodzielnik wyrobów skórzanych
Q001472	Pamiątkarz
Q001473	Wytwórca sztucznych kwiatów
Q001474	Zabawkarz
Q001475	Fotograf poligraficzny
Q001476	Fotograf w drukarni filmowej
Q001477	Giloszer poligraficzny
Q001478	Grawer poligraficzny
Q001479	Komputerowy składacz tekstu
Q001480	Moletownik
Q001481	Montażysta reprodukcyjny
Q001482	Operator fotoskładu
Q001483	Operator skanera poligraficznego
Q001484	Rysownik litograficzny
Q001485	Rytownik
Q001486	Trawiacz poligraficzny
Q001487	Drukarz sitodrukowy
Q001488	Maszynista maszyn fleksograficznych
Q001489	Maszynista maszyn offsetowych
Q001490	Maszynista maszyn wklęsłodrukowych
Q001491	Operator kserokopiarek
Q001492	Introligator
Q001493	Introligator galanteryjny
Q001494	Introligator poligraficzny
Q001495	Operator maszyn introligatorskich
Q001496	Pozostali introligatorzy i pokrewni
Q001497	Elektromonter instalacji elektrycznych
Q001498	Elektromonter reklam świetlnych
Q001499	Elektryk
Q001500	Elektryk budowlany
Q001501	Elektromechanik
Q001502	Elektromechanik elektrycznych przyrządów pomiarowych
Q001503	Elektromechanik pojazdów samochodowych
Q001504	Elektromechanik sprzętu gospodarstwa domowego
Q001505	Elektromechanik urządzeń chłodniczych
Q001506	Elektromechanik urządzeń sterowania ruchem kolejowym
Q001507	Elektromonter (elektryk) zakładowy
Q001508	Elektromonter/konserwator urządzeń dźwignicowych
Q001509	Elektromonter lotniczy
Q001510	Elektromonter maszyn i urządzeń górnictwa odkrywkowego
Q001511	Elektromonter maszyn i urządzeń górnictwa podziemnego
Q001512	Elektromonter okrętowy
Q001513	Elektromonter prefabrykowanych stacji transformatorowych
Q001514	Elektromonter rozdzielni i podstacji trakcyjnych
Q001515	Elektromonter taboru szynowego
Q001516	Elektromonter telekomunikacyjnych urządzeń zasilających
Q001517	Elektromonter transformatorów
Q001518	Elektromonter układów pomiarowych i automatyki zabezpieczeniowej
Q001519	Elektromonter linii kablowych
Q001520	Elektromonter pogotowia elektroenergetycznego
Q001521	Elektromonter sieci trakcyjnej
Q001522	Automatyk sterowania ruchem kolejowym
Q001523	Monter-elektronik – aparatura medyczna
Q001524	Monter-elektronik – aparatura pomiarowa
Q001525	Monter-elektronik – elektroniczne instrumenty muzyczne
Q001526	Monter-elektronik – elektroniczny sprzęt sygnalizacyjny i systemy sygnalizacyjne
Q001527	Monter-elektronik – naprawa sprzętu audiowizualnego
Q001528	Monter-elektronik – układy elektroniczne automatyki przemysłowej
Q001529	Monter-elektronik – urządzenia radiowo-telewizyjne
Q001530	Monter mechatronik
Q001531	Monter urządzeń sterowania ruchem pociągów metra
Q001532	Monter urządzeń zdalnego sterowania i kontroli dyspozytorskiej metra
Q001533	Pozostali monterzy elektronicy i serwisanci urządzeń elektronicznych
Q001534	Monter instalacji i urządzeń telekomunikacyjnych (telemonter)
Q001535	Monter sieci telekomunikacyjnych
Q001536	Monter-elektronik – instalacja anten
Q001537	Monter-elektronik – urządzenia radiokomunikacyjne
Q001538	Serwisant sprzętu komputerowego
Q001539	Garmażer
Q001540	Jeliciarz
Q001541	Przetwórca ryb
Q001542	Rozbieracz-wykrawacz
Q001543	Rzeźnik-wędliniarz
Q001544	Ubojowy
Q001545	Wędliniarz
Q001546	Pozostali masarze, robotnicy w przetwórstwie ryb i pokrewni
Q001547	Cukiernik
Q001548	Dekorator wyrobów cukierniczych
Q001549	Karmelarz
Q001550	Pozostali piekarze, cukiernicy i pokrewni
Q001551	Maślarz
Q001552	Serowar
Q001553	Pozostali robotnicy w produkcji wyrobów mleczarskich
Q001554	Młynarz
Q001555	Pozostali robotnicy przetwórstwa surowców roślinnych
Q001556	Grzyboznawca
Q001557	Klasyfikator dziczyzny i ptactwa
Q001558	Klasyfikator grzybów
Q001559	Klasyfikator jaj, drobiu i pierza
Q001560	Klasyfikator ryb
Q001561	Impregnator drewna
Q001562	Sortowacz materiałów drzewnych
Q001563	Suszarniowy drewna
Q001564	Pozostali robotnicy przygotowujący drewno i pokrewni
Q001565	Bednarz
Q001566	Renowator mebli artystycznych
Q001567	Stolarz mebli artystycznych i wzorcowych
Q001568	Stolarz meblowy
Q001569	Stolarz modelarz instrumentów muzycznych
Q001570	Frezer drewna
Q001571	Operator urządzeń do polerowania drewna
Q001572	Polerowacz wyrobów z drewna
Q001573	Strugacz drewna
Q001574	Szlifierz materiałów drzewnych
Q001575	Tokarz w drewnie
Q001576	Wiertacz w drewnie
Q001577	Gorseciarka
Q001578	Kapelusznik-czapnik
Q001579	Kożusznik
Q001580	Modystka
Q001581	Rękawicznik
Q001582	Pozostali krawcy, kuśnierze, kapelusznicy i pokrewni
Q001583	Konstruktor odzieży
Q001584	Krojczy
Q001585	Hafciarka
Q001586	Parasolnik
Q001587	Wytwórca abażurów
Q001588	Pozostałe szwaczki, hafciarki i pokrewni
Q001589	Bieliźniarz-kołdrzarz
Q001590	Tapicer
Q001591	Tapicer meblowy
Q001592	Garbarz skór
Q001593	Garbarz skór bez włosa
Q001594	Klasyfikator skór
Q001595	Wyprawiacz skór futerkowych
Q001596	Obuwnik
Q001597	Obuwnik miarowy
Q001598	Obuwnik ortopedyczny
Q001599	Szewc
Q001600	Kaletnik
Q001601	Rymarz
Q001602	Nurek
Q001603	Operator systemów nurkowych
Q001604	Płetwonurek ratownik
Q001605	Strzałowy (górnik strzałowy)
Q001606	Wydawca środków strzałowych
Q001607	Instruktor strzałowy
Q001608	Pracownik deratyzacji, dezynfekcji i dezynsekcji
Q001609	Pracownik ochrony roślin
Q001610	Monter żaluzji
Q001611	Pozostali robotnicy przemysłowi i rzemieślnicy gdzie indziej niesklasyfikowani
Q001612	Górnik eksploatacji podziemnej
Q001613	Górnik odkrywkowej eksploatacji złóż
Q001614	Sygnalista szybowy
Q001615	Operator maszyn i urządzeń do pozyskiwania torfu
Q001616	Operator maszyn urabiających i ładujących
Q001617	Wydobywca kruszywa i gliny
Q001618	Operator maszyn i urządzeń do przerobu torfu
Q001619	Operator maszyn i urządzeń do przeróbki mechanicznej rud
Q001620	Operator maszyn i urządzeń do rozdrabniania i sortowania surowców mineralnych
Q001621	Wiertacz studni
Q001622	Wiertacz
Q001623	Krajacz materiałów budowlanych
Q001624	Operator urządzeń do produkcji mas asfaltobetonowych
Q001625	Pilarz kamienia
Q001626	Szlifierz kamienia
Q001627	Ciągacz rur
Q001628	Operator maszyn do produkcji drutów i prętów
Q001629	Operator maszyn i urządzeń odlewniczych
Q001630	Operator maszyny rozlewniczej
Q001631	Operator urządzeń do ciągłego odlewania stali
Q001632	Operator urządzeń do elektrolitycznego uzyskiwania metali
Q001633	Operator urządzeń próżniowego odgazowania stali
Q001634	Operator urządzeń przygotowania wsadu
Q001635	Operator urządzeń walcowni
Q001636	Piecowy nagrzewania wsadu w walcowni
Q001637	Piecowy pieca łukowego
Q001638	Pulpitowy wielkich pieców
Q001639	Tłoczarz w metalu
Q001640	Wytapiacz metali nieżelaznych
Q001641	Wytapiacz stali, surówki i żelazostopów
Q001642	Operator urządzeń do elektroforetycznego nakładania powłok
Q001643	Operator urządzeń do emaliowania
Q001644	Operator urządzeń do nakładania powłok galwanicznych
Q001645	Operator urządzeń do natryskowego nakładania powłok
Q001646	Operator urządzeń do platerowania
Q001647	Operator urządzeń do zanurzeniowego nakładania powłok
Q001648	Pozostali operatorzy urządzeń do obróbki powierzchniowej metali i nakładania powłok
Q001649	Operator maszyn do produkcji papy
Q001650	Operator maszyn do produkcji taśm magnetycznych
Q001651	Operator urządzeń destylacyjnych
Q001652	Operator urządzeń do ekstrakcji
Q001653	Operator urządzeń do krystalizacji
Q001654	Operator urządzeń do produkcji cementu
Q001655	Operator urządzeń do produkcji chemikaliów nieorganicznych
Q001656	Operator urządzeń do produkcji chemikaliów organicznych
Q001657	Operator urządzeń do produkcji dezynfektantów
Q001658	Operator urządzeń do produkcji gazów technicznych
Q001659	Operator urządzeń do produkcji katalizatorów
Q001660	Operator urządzeń do produkcji mas bitumicznych
Q001661	Operator urządzeń do produkcji materiałów półprzewodnikowych
Q001662	Operator urządzeń do produkcji nawozów sztucznych
Q001663	Operator urządzeń do produkcji sadzy
Q001664	Operator urządzeń do produkcji węgli aktywnych
Q001665	Operator urządzeń do produkcji wyrobów kosmetycznych
Q001666	Operator urządzeń filtrujących
Q001667	Operator urządzeń granulujących
Q001668	Operator urządzeń homogenizujących
Q001669	Operator urządzeń koksowniczych
Q001670	Operator urządzeń mieszających
Q001671	Operator urządzeń rozdrabniających
Q001672	Operator urządzeń sorpcyjnych
Q001673	Operator urządzeń wyparnych
Q001674	Operator wirówek
Q001675	Stokażowy
Q001676	Pozostali operatorzy maszyn i urządzeń do produkcji wyrobów chemicznych
Q001677	Pozostali operatorzy urządzeń do produkcji materiałów światłoczułych i obróbki filmów
Q001678	Aparatowy produkcji wyrobów maczanych
Q001679	Operator urządzeń do przetwórstwa surowców gumowych
Q001680	Wulkanizator
Q001681	Wulkanizator taśm przenośnikowych
Q001682	Formierz wyrobów z kompozytów polimerowych
Q001683	Odlewnik wyrobów z materiałów polimerowych
Q001684	Operator maszyn i urządzeń do produkcji okien z tworzyw sztucznych
Q001685	Operator urządzeń do cięcia folii i płyt
Q001686	Operator urządzeń do spieniania tworzyw sztucznych
Q001687	Operator wtryskarki
Q001688	Operator maszyn do lakierowania i laminowania przetworów papierowych
Q001689	Operator maszyn do produkcji papieru i tektury falistej
Q001690	Operator maszyn krojących i wykrawających do papieru
Q001691	Operator pras do formowania wyrobów z masy papierniczej
Q001692	Pozostali operatorzy maszyn do produkcji wyrobów papierniczych
Q001693	Operator maszyn do przygotowania włókien
Q001694	Operator maszyn przędzalniczych
Q001695	Operator przewijarek i skręcarek nitek
Q001696	Pozostali operatorzy maszyn przędzalniczych i pokrewni
Q001697	Operator maszyn dziewiarskich
Q001698	Operator maszyn tkackich
Q001699	Operator maszyn w przemyśle włókienniczym
Q001700	Pozostali operatorzy maszyn tkackich i dziewiarskich
Q001701	Szwaczka maszynowa
Q001702	Operator maszyn wykończalniczych wyrobów włókienniczych
Q001703	Operator agregatów natryskowych
Q001704	Operator maszyn i urządzeń chemicznej obróbki skór
Q001705	Operator obuwniczych urządzeń szwalniczych
Q001706	Operator urządzeń kaletniczych
Q001707	Operator urządzeń montażowych obuwia
Q001708	Operator urządzeń wykrawających elementy obuwia
Q001709	Obuwnik przemysłowy
Q001710	Pozostali operatorzy maszyn do produkcji obuwia
Q001711	Operator urządzeń do prania, prasowania i chemicznego czyszczenia tekstyliów
Q001712	Pracownik pralni chemicznej
Q001713	Pozostali operatorzy maszyn do prania
Q001714	Operator maszyn tapicerskich
Q001715	Operator urządzeń do klejenia elementów odzieży
Q001716	Operator urządzeń wykrawających i nawarstwiających
Q001717	Aparatowy produkcji drożdży
Q001718	Aparatowy produkcji octu
Q001719	Operator maszyn i urządzeń przemysłu spożywczego
Q001720	Operator urządzeń do konfekcjonowania herbaty
Q001721	Operator urządzeń do obróbki surowca mleczarskiego
Q001722	Operator urządzeń do produkcji cukru
Q001723	Operator urządzeń do produkcji koncentratów spożywczych
Q001724	Operator urządzeń do produkcji makaronu
Q001725	Operator urządzeń do produkcji pasz
Q001726	Operator urządzeń do produkcji pieczywa
Q001727	Operator urządzeń do produkcji piwa
Q001728	Operator urządzeń do produkcji spirytusu
Q001729	Operator urządzeń do produkcji wina
Q001730	Operator urządzeń do produkcji wyrobów spirytusowych
Q001731	Operator urządzeń elewatorów zbożowych
Q001732	Operator urządzeń linii aseptycznego rozlewu w opakowania kartonowe
Q001733	Operator urządzeń przemysłu tytoniowego
Q001734	Operator urządzeń do przetwórstwa drobiu
Q001735	Operator urządzeń do przetwórstwa ryb
Q001736	Operator kalandrów wyrobów papierowych
Q001737	Operator maszyny odwadniającej celulozę
Q001738	Operator maszyny papierniczej
Q001739	Operator maszyny tekturniczej
Q001740	Operator pergaminiarki
Q001741	Operator urządzeń bielących masy włókniste
Q001742	Operator urządzeń do impregnowania i powlekania wyrobów papierowych
Q001743	Operator urządzeń do mielenia masy włóknistej
Q001744	Operator urządzeń do przygotowywania i dozowania dodatków masowych
Q001745	Operator urządzeń rębalni drewna
Q001746	Operator urządzeń rozwłókniających
Q001747	Operator urządzeń warzelni
Q001748	Operator maszyn do produkcji płyt i sklejek
Q001749	Operator sklejarek płyt stolarskich
Q001750	Operator spajarek okleiny i łuszczki
Q001751	Operator urządzeń do końcowej obróbki płyt
Q001752	Sterowniczy linii sztaplowania i pakietowania tarcicy
Q001753	Tartacznik
Q001754	Pozostali operatorzy maszyn i urządzeń do obróbki drewna
Q001755	Operator automatów do formowania wyrobów szklanych
Q001756	Operator maszyn do formowania szkła płaskiego
Q001757	Operator odprężarek wyrobów szklanych
Q001758	Operator urządzeń do formowania i przetwórstwa włókna szklanego
Q001759	Operator urządzeń do formowania wyrobów ceramicznych
Q001760	Operator urządzeń do formowania wyrobów ogniotrwałych
Q001761	Operator urządzeń do formowania wyrobów sylikatowych
Q001762	Operator urządzeń do gięcia szkła
Q001763	Operator urządzeń do matowania wyrobów szklanych
Q001764	Operator urządzeń do obróbki płomieniowej szkła
Q001765	Operator urządzeń do produkcji materiałów ściernych
Q001766	Operator urządzeń do produkcji termosów
Q001767	Prasowacz ceramiki elektronicznej i elektrotechnicznej
Q001768	Maszynowy szlifierz-polerowacz szkła
Q001769	Pozostali operatorzy urządzeń do produkcji wyrobów szklanych
Q001770	Maszynista kotła
Q001771	Maszynista urządzeń nawęglania
Q001772	Maszynista urządzeń odpopielania i odżużlania
Q001773	Palacz gazowych kotłów centralnego ogrzewania
Q001774	Palacz wodnych rusztowych kotłów centralnego ogrzewania
Q001775	Palacz kotłów parowych
Q001776	Pozostali maszyniści kotłów parowych i pokrewni
Q001777	Operator maszyn kopertujących
Q001778	Operator urządzeń do mycia, napełniania i zamykania butelek
Q001779	Operator urządzeń pakujących
Q001780	Pozostali operatorzy urządzeń pakujących, znakujących i urządzeń do napełniania butelek
Q001781	Operator urządzeń do paletyzacji
Q001782	Operator urządzeń utylizacji surowców zwierzęcych
Q001783	Pozostali operatorzy innych maszyn i urządzeń przetwórczych gdzie indziej niesklasyfikowani
Q001784	Monter aparatów i przyrządów optycznych
Q001785	Monter aparatury i urządzeń chemicznych
Q001786	Monter kotłów i armatury kotłowej
Q001787	Monter maszyn i urządzeń okrętowych
Q001788	Monter maszyn i urządzeń przemysłowych
Q001789	Monter mechanizmów i przyrządów precyzyjnych
Q001790	Monter obrabiarek
Q001791	Monter płatowców i śmigłowców
Q001792	Monter pojazdów i urządzeń transportowych
Q001793	Monter silników spalinowych
Q001794	Monter taboru szynowego
Q001795	Monter urządzeń sterowania ruchem kolejowym
Q001796	Pozostali monterzy maszyn i urządzeń mechanicznych
Q001797	Monter aparatury rozdzielczej i kontrolnej energii elektrycznej
Q001798	Monter elektrycznych przyrządów pomiarowych
Q001799	Monter maszyn elektrycznych
Q001800	Monter osprzętu elektrotechnicznego
Q001801	Monter sprzętu oświetleniowego i lamp elektrycznych
Q001802	Monter wiązek elektrycznych
Q001803	Monter aparatury i urządzeń techniki jądrowej
Q001804	Monter elektronicznego wyposażenia maszyn i urządzeń
Q001805	Monter elektroniki samochodowej
Q001806	Monter podzespołów i zespołów elektronicznych
Q001807	Monter sprzętu radiowego i telewizyjnego
Q001808	Monter zestrajacz urządzeń elektronicznych
Q001809	Konfekcjoner wyrobów gumowych
Q001810	Monter mebli
Q001811	Monter wyrobów z drewna
Q001812	Monter wyrobów z tworzyw sztucznych
Q001813	Składacz sprzętu spadochronowego
Q001814	Pozostali monterzy gdzie indziej niesklasyfikowani
Q001815	Kierowca drezyny i wózka motorowego
Q001816	Kierowca lokomotywy spalinowej
Q001817	Maszynista pociągu metra
Q001818	Maszynista
Q001819	Maszynista pomocniczych pojazdów kolejowych metra
Q001820	Dróżnik przejazdowy
Q001821	Dyspozytor ruchu metra
Q001822	Dyżurny ruchu i stacji metra
Q001823	Dyżurny ruchu
Q001824	Manewrowy
Q001825	Manewrowy metra
Q001826	Operator pociągowy
Q001827	Rewident taboru
Q001828	Ustawiacz
Q001829	Zwrotniczy
Q001830	Dyspozytor ruchu kolejowego
Q001831	Pozostali dyżurni ruchu, manewrowi i pokrewni
Q001832	Kurier motocyklowy
Q001833	Kierowca samochodu dostawczego
Q001834	Kierowca samochodu osobowego
Q001835	Taksówkarz
Q001836	Kierowca autobusu
Q001837	Kierowca trolejbusu
Q001838	Kierujący tramwajem (motorniczy)
Q001839	Pozostali kierowcy autobusów i motorniczowie tramwajów
Q001840	Kierowca autocysterny
Q001841	Kierowca samochodu ciężarowego
Q001842	Kierowca ciągnika rolniczego
Q001843	Kombajnista (kierowca kombajnu)
Q001844	Mechanik-operator pojazdów i maszyn rolniczych
Q001845	Operator ciągników zrywkowych do zrywki podwieszanej
Q001846	Operator maszyn leśnych
Q001847	Operator maszyn ogrodniczych
Q001848	Operator maszyn rolniczych
Q001849	Operator nasiębiernych ciągników zrywkowych
Q001850	Operator urządzeń technicznych stosowanych w leśnictwie
Q001851	Operator wielooperacyjnych samojezdnych maszyn leśnych
Q001852	Operator zrywkowych kolejek linowych
Q001853	Pozostali operatorzy wolnobieżnych maszyn rolniczych i leśnych
Q001854	Operator maszyn i sprzętu torowego
Q001855	Operator koparki
Q001856	Operator spycharki
Q001857	Maszynista doku
Q001858	Maszynista kolei linowych, wyciągów narciarskich i zjeżdżalni grawitacyjnych
Q001859	Maszynista specjalistycznych dźwignic kolejowych
Q001860	Operator-mechanik wyciągarki szybowcowej
Q001861	Operator mostu zwodzonego
Q001862	Operator przenośników
Q001863	Operator przenośników taśmowych
Q001864	Operator śluzy, jazu, zapory i pompowni
Q001865	Operator urządzeń ładunkowych silosu
Q001866	Operator wieżowy przenośnika taśmowego
Q001867	Operator żurawia jezdniowego
Q001868	Operator żurawia wieżowego
Q001869	Pozostali maszyniści i operatorzy maszyn i urządzeń dźwigowo-transportowych i pokrewni
Q001870	Kierowca operator wózków jezdniowych (widłowych)
Q001871	Latarnik
Q001872	Marynarz statku morskiego
Q001873	Marynarz żeglugi śródlądowej
Q001874	Sternik żeglugi śródlądowej
Q001875	Pozostali marynarze i pokrewni
Q001876	Sprzątaczka domowa
Q001877	Łazienkowa
Q001878	Palacz pieców zwykłych
Q001879	Pokojowa
Q001880	Pracownik pomocniczy obsługi hotelowej
Q001881	Pozostałe pomoce i sprzątaczki biurowe, hotelowe i podobne
Q001882	Prasowaczka ręczna
Q001883	Zmywacz okien (czyściciel szyb)
Q001884	Czyściciel basenów pływackich
Q001885	Czyściciel dywanów
Q001886	Pozostali pracownicy zajmujący się sprzątaniem gdzie indziej niesklasyfikowani
Q001887	Pomocniczy robotnik w hodowli zwierząt
Q001888	Robotnik górniczy dołowy
Q001889	Kopacz
Q001890	Oczyszczacz kanalizacyjny (kanalarz)
Q001891	Pomocniczy robotnik drogowy
Q001892	Pomocniczy robotnik mostowy
Q001893	Pomocniczy robotnik budowlany
Q001894	Pakowacz ręczny
Q001895	Ręczny znakowacz wyrobów
Q001896	Lagowacz
Q001897	Liczarz
Q001898	Patroszacz ryb
Q001899	Pomoc krawiecka
Q001900	Pomocnik ciastkarza
Q001901	Pomocnik lakiernika
Q001902	Pomocnik mechanika
Q001903	Pomocnik mleczarski
Q001904	Pomocnik piekarza
Q001905	Pomocniczy robotnik w przemyśle przetwórczym
Q001906	Robotnik myjący części i zespoły
Q001907	Wydawca materiałów
Q001908	Wozak
Q001909	Napełniający zbiorniki przenośne
Q001910	Pracownik przeprowadzkowy
Q001911	Robotnik magazynowy
Q001912	Robotnik portowy (doker)
Q001913	Sztauer-trymer
Q001914	Wagowy
Q001915	Pracownik rozkładający towar na półkach
Q001916	Pracownik przygotowujący posiłki typu fast food
Q001917	Pomoc kuchenna
Q001918	Zmywacz naczyń
Q001919	Czyściciel butów
Q001920	Dystrybutor ulotek
Q001921	Pozostali pracownicy świadczący usługi na ulicach
Q001922	Ładowacz nieczystości stałych
Q001923	Pozostali sortowacze odpadów
Q001924	Robotnik oczyszczania miasta
Q001925	Robotnik placowy
Q001926	Bagażowy
Q001927	Dostawca potraw
Q001928	Dźwigowy (windziarz)
Q001929	Noszowy
Q001930	Pozostali gońcy, bagażowi i pokrewni
Q001931	Pracownik prac dorywczych
Q001932	Statysta
Q001933	Odczytywacz liczników
Q001934	Wybieracz monet / żetonów z automatów
Q001935	Bileter
Q001936	Dozorca
Q001937	Szatniarz
