C000001_it_000	Forze armate
C002188_it_000	assistente del terapista occupazionale
C002188_it_001	assistente alla rieducazione
C002189_it_000	specialista in prove non distruttive
C002189_it_001	specialista in controlli non distruttivi
C002190_it_000	parrucchiere per artisti/parrucchiera per artisti
C002190_it_001	hair stylist
C002191_it_000	paleontologo/paleontologa
C002191_it_001	micropaleontologa
C002191_it_002	micropaleontologo
C002191_it_003	paleontologa
C002191_it_004	paleontologo
C002192_it_000	costruttore di chitarre/costruttrice di chitarre
C002192_it_001	addetta alla costruzione di chitarre
C002192_it_002	addetto alla costruzione di chitarre
C002192_it_003	costruttore di chitarre
C002192_it_004	costruttrice di chitarre
C002192_it_005	fabbricante di chitarre
C002192_it_006	liutaia costruttrice di chitarre
C002192_it_007	liutaia di chitarra
C002192_it_008	liutaio costruttore di chitarre
C002192_it_009	liutaio di chitarra
C002193_it_000	direttore dei sistemi informatici/direttrice dei sistemi informatici
C002193_it_001	CIO
C002193_it_002	chief information officer
C002193_it_003	direttore di sistemi informatici
C002193_it_004	direttrice di sistemi informatici
C002193_it_005	responsabile dei dati
C002194_it_000	esperto in campagna elettorale
C002195_it_000	supervisore di produzione nel settore elettronico
C002196_it_000	istruttore di guida automobilistica/istruttrice di guida automobilistica
C002196_it_001	istruttore di guida automobilistica
C002196_it_002	istruttore di guida di autovetture
C002196_it_003	istruttrice di guida automobilistica
C002196_it_004	istruttrice di guida di autovetture
C002197_it_000	responsabile di agenzia di traduzione
C002197_it_001	direttore di agenzia di traduzione
C002197_it_002	direttrice di agenzia di traduzione
C002198_it_000	affilatore/affilatrice
C002198_it_001	addetta alla molatura e alla affilatura degli utensili
C002198_it_002	addetto alla molatura e alla affilatura degli utensili
C002198_it_003	affilatore
C002198_it_004	affilatrice
C002199_it_000	ingegnere esperto in contratti
C002200_it_000	comune di macchina
C002201_it_000	montatore di materiale rotabile/montatrice di materiale rotabile
C002201_it_001	montatore di materiale rotabile
C002201_it_002	montatrice di materiale rotabile
C002202_it_000	specialista import-export di computer, apparecchiature informatiche periferiche e software
C002202_it_001	importatore-esportatore di computer, apparecchiature informatiche periferiche e software
C002202_it_002	importatrice-esportatrice di computer, apparecchiature informatiche periferiche e di software
C002202_it_003	responsabile import-export di computer, apparecchiature informatiche periferiche e di software
C002203_it_000	consulente in salute sessuale e riproduttiva
C002203_it_001	consulente in pianificazione familiare
C002203_it_002	consulente in salute sessuale
C002203_it_003	consulente per gravidanze
C002204_it_000	operatore della produzione ittica/operatrice della produzione ittica
C002204_it_001	operatore della piscicoltura
C002204_it_002	operatore della produzione ittica
C002204_it_003	operatrice della piscicoltura
C002204_it_004	operatrice della produzione ittica
C002205_it_000	conduttore di notiziari/conduttrice di notiziari
C002205_it_001	conduttore di notiziari
C002205_it_002	conduttore di radiogiornale
C002205_it_003	conduttore di telegiornale
C002205_it_004	conduttrice di notiziari
C002205_it_005	conduttrice di radiogiornale
C002205_it_006	conduttrice di telegiornale
C002206_it_000	ispettore di motori ferroviari/ispettrice di motori ferroviari
C002206_it_001	ispettore di motori ferroviari
C002206_it_002	ispettrice di motori ferroviari
C002207_it_000	guardia giurata addetta al piantonamento fisso
C002207_it_001	agente di sicurezza
C002207_it_002	guardia giurata
C002207_it_003	guardia particolare giurata
C002208_it_000	professionista della sanità degli animali acquatici
C002208_it_001	addetta alla sanità animale in acquacoltura
C002208_it_002	addetto alla sanità animale in acquacoltura
C002208_it_003	professionista della salute degli animali acquatici
C002209_it_000	analista dei costi
C002210_it_000	assistente organizzazione eventi
C002210_it_001	assistente comunicazione organizzazione eventi
C002210_it_002	coordinatore eventi
C002210_it_003	coordinatrice eventi
C002211_it_000	tecnico modellista CAD di abbigliamento
C002211_it_001	modellista CAD di abbigliamento
C002212_it_000	tecnico pedologo
C002212_it_001	pedologa
C002212_it_002	pedologo
C002212_it_003	tecnico rilevamento pedologico
C002212_it_004	tecnico rilevamento suoli
C002213_it_000	pet sitter
C002213_it_001	cat sitter
C002213_it_002	dog sitter
C002214_it_000	conduttore di macchine per la produzione di arredamenti in plastica/conduttrice di macchine per la produzione di arredamenti in plastica
C002214_it_001	conduttore di macchine per la produzione di arredamenti in plastica
C002214_it_002	conduttrice di macchine per la produzione di arredamenti in plastica
C002215_it_000	confezionatore di carni/confezionatrice di carni
C002215_it_001	addetta al confezionamento di carni
C002215_it_002	addetta alla lavorazione di carni
C002215_it_003	addetto al confezionamento di carni
C002215_it_004	addetto alla lavorazione di carni
C002215_it_005	confezionatore di carni
C002215_it_006	confezionatore di carni e pesci
C002215_it_007	confezionatrice di carni
C002215_it_008	confezionatrice di carni e pesci
C002216_it_000	responsabile import-export di macchinari per l’estrazione, l’edilizia e l’ingegneria civile
C002216_it_001	manager del commercio internazionale di macchinari per l'estrazione, l'edilizia e l'ingegneria civile
C002216_it_002	responsabile del commercio internazionale di macchinari per l'estrazione, l'edilizia e l'ingegneria civile
C002217_it_000	Controfigura
C002217_it_001	cascatore
C002217_it_002	cascatrice
C002217_it_003	stuntman
C002217_it_004	stuntwoman
C002218_it_000	addetto alle operazioni fiscali/addetta alle operazioni fiscali
C002218_it_001	addetta ai tributi dell'impresa
C002218_it_002	addetta alla certificazione fiscale dell'impresa
C002218_it_003	addetta alle denunce tributarie dell'impresa
C002218_it_004	addetta alle operazioni fiscali
C002218_it_005	addetta alle operazioni fiscali dell'impresa
C002218_it_006	addetto ai tributi dell'impresa
C002218_it_007	addetto alla certificazione fiscale dell'impresa
C002218_it_008	addetto alle denunce tributarie dell'impresa
C002218_it_009	addetto alle operazioni fiscali
C002218_it_010	addetto alle operazioni fiscali dell'impresa
C002218_it_011	assistente tributaria
C002218_it_012	assistente tributario
C002219_it_000	tecnico commerciale
C002219_it_001	sales engineer
C002220_it_000	istruttore militare/istruttrice militare
C002220_it_001	istruttore militare
C002220_it_002	istruttrice militare
C002221_it_000	coordinatore dei servizi di assistenza domiciliare/coordinatrice dei servizi di assistenza domiciliare
C002221_it_001	addetta ai servizi di assistenza domiciliare
C002221_it_002	addetto ai servizi di assistenza domiciliare
C002221_it_003	coordinatore dei servizi di assistenza domiciliare
C002221_it_004	coordinatrice dei servizi di assistenza domiciliare
C002222_it_000	direttore tecnico di impresa di onoranze funebri/direttrice tecnica di impresa di onoranze funebri
C002222_it_001	addetta cimitero
C002222_it_002	addetta onoranze funebri
C002222_it_003	addetto cimitero
C002222_it_004	addetto onoranze funebri
C002222_it_005	agente di pompe funebri
C002222_it_006	allestitirice camere ardenti
C002222_it_007	allestitore camere ardenti
C002222_it_008	direttore di crematorio
C002222_it_009	direttore tecnico di impresa di onoranze funebri
C002222_it_010	direttore tecnico di impresa di pompe funebri
C002222_it_011	direttrice di crematorio
C002222_it_012	direttrice tecnica di impresa di onoranze funebri
C002222_it_013	direttrice tecnica di impresa di pompe funebri
C002222_it_014	esercente di pompe funebri
C002222_it_015	operatore tecnico necroforo
C002222_it_016	operatrice tecnica necrofora
C002223_it_000	tecnologo tessile/tecnologa tessile
C002223_it_001	responsabile produzione tessile
C002223_it_002	tecnologa tessile
C002223_it_003	tecnologo tessile
C002224_it_000	ispettore qualità nel settore tessile/ispettrice qualità nel settore tessile
C002224_it_001	ispettore assicurazione qualità nel settore tessile
C002224_it_002	ispettore prodotti tessili
C002224_it_003	ispettore qualità nel settore tessile
C002224_it_004	ispettrice assicurazione qualità nel settore tessile
C002224_it_005	ispettrice prodotti tessili
C002224_it_006	ispettrice qualità nel settore tessile
C002224_it_007	responsabile qualità settore tessile
C002225_it_000	esperto in analisi sensoriale/esperta in analisi sensoriale
C002225_it_001	esperta in analisi sensoriale
C002225_it_002	esperto in analisi sensoriale
C002226_it_000	operatore di macchina per la sbavatura/operatrice di macchina per la sbavatura
C002226_it_001	operatore di macchina per la sbavatura
C002226_it_002	operatrice di macchina per la sbavatura
C002227_it_000	operatore di segheria/operatrice di segheria
C002227_it_001	operatore di segheria
C002227_it_002	operatrice di segheria
C002228_it_000	sviluppatore di interfacce utente/sviluppatrice di interfacce utente
C002228_it_001	designer esperta di accessibilità
C002228_it_002	designer esperto di accessibilità
C002228_it_003	ingegnere delle GUI
C002228_it_004	sviluppatore di interfacce utente
C002228_it_005	sviluppatrice di interfacce utente
C002229_it_000	operatore di catene di montaggio automatizzate/operatrice di catene di montaggio automatizzate
C002229_it_001	conduttore di catene di montaggio automatiche e semiautomatiche
C002229_it_002	conduttrice di catene di montaggio automatiche e semiautomatiche
C002229_it_003	operatore di catene di montaggio automatizzate
C002229_it_004	operatrice di catene di montaggio automatizzate
C002230_it_000	mineralista
C002230_it_001	geologa mineralista
C002230_it_002	geologo mineralista
C002231_it_000	manutentore
C002231_it_001	addetta alla manutenzione
C002231_it_002	addetto alla manutenzione
C002232_it_000	responsabile tattico/responsabile tattica
C002232_it_001	analista della difesa
C002232_it_002	esperta della difesa
C002232_it_003	esperta di guerra elettronica
C002232_it_004	esperto della difesa
C002232_it_005	esperto di guerra elettronica
C002232_it_006	operatore di guerra elettronica
C002232_it_007	operatrice di guerra elettronica
C002232_it_008	responsabile tattica
C002232_it_009	responsabile tattico
C002232_it_010	warfare specialist
C002233_it_000	ingegnere elettrico
C002233_it_001	esperta in ingegneria elettrica
C002233_it_002	esperto in ingegneria elettrica
C002234_it_000	addetto al getto di manufatti in cemento armato/addetta al getto di manufatti in cemento armato
C002234_it_001	addetta al getto di manufatti in cemento armato
C002234_it_002	addetto al getto di manufatti in cemento armato
C002235_it_000	guida alpina
C002235_it_001	accompagnatore di media montagna
C002235_it_002	accompagnatore di montagna
C002235_it_003	accompagnatore di trekking
C002235_it_004	accompagnatrice di media montagna
C002235_it_005	accompagnatrice di montagna
C002235_it_006	accompagnatrice di trekking
C002235_it_007	guida di montagna
C002235_it_008	guida vulcanologica
C002235_it_009	maestra di alpinismo
C002235_it_010	maestra di mountain bike
C002235_it_011	maestro di alpinismo
C002235_it_012	maestro di mountain bike
C002236_it_000	addetto alla vendita di elettrodomestici/addetta alla vendita di elettrodomestici
C002236_it_001	addetta alla vendita di elettrodomestici
C002236_it_002	addetto alla vendita di elettrodomestici
C002236_it_003	commessa di negozio di elettrodomestici
C002236_it_004	commesso di negozio di elettrodomestici
C002237_it_000	responsabile della distribuzione di prodotti chimici
C002237_it_001	pianificatore della distribuzione di prodotti chimici
C002237_it_002	pianificatrice della distribuzione di prodotti chimici
C002237_it_003	responsabile della catena di fornitura di prodotti chimici
C002238_it_000	scenografo/scenografa
C002238_it_001	direttore della scenografia
C002238_it_002	direttrice della scenografia
C002238_it_003	realizzatore di scene
C002238_it_004	realizzatrice di scene
C002238_it_005	scenografa
C002238_it_006	scenografo
C002238_it_007	scenotecnico
C002239_it_000	supervisore di operazioni di carpenteria
C002239_it_001	capo carpentiere
C002239_it_002	caposquadra carpenteria edile
C002239_it_003	supervisore di operazioni di falegnameria
C002240_it_000	tecnico di analisi chimiche
C002240_it_001	assistente chimico
C002240_it_002	tecnico analista chimico
C002240_it_003	tecnico di laboratorio chimico
C002241_it_000	addetto alla finitura di capi di abbigliamento/addetta alla finitura di capi di abbigliamento
C002241_it_001	addetta alla finitura di capi di abbigliamento
C002241_it_002	addetta per finitura di capi di abbigliamento
C002241_it_003	addetto alla finitura di capi di abbigliamento
C002241_it_004	addetto per finitura di capi di abbigliamento
C002242_it_000	addetto alla produzione di latticini/addetta alla produzione di latticini
C002242_it_001	addetta alla produzione di latticini
C002242_it_002	addetto alla produzione di latticini
C002242_it_003	operatore della produzione di latticini
C002242_it_004	operatrice della produzione di latticini
C002243_it_000	assistente infermiere/assistente infermiera
C002243_it_001	aiuto infermiera
C002243_it_002	aiuto infermiere
C002243_it_003	assistente infermiera
C002243_it_004	assistente infermiere
C002243_it_005	assistente socio sanitaria
C002243_it_006	assistente socio sanitario
C002243_it_007	ausiliaria ospedaliera
C002243_it_008	ausiliario ospedaliero
C002243_it_009	operatore socio sanitario
C002243_it_010	operatore tecnico assistenziale
C002243_it_011	operatrice socio sanitaria
C002243_it_012	operatrice tecnico assistenziale
C002244_it_000	responsabile di centro scommesse
C002244_it_001	manager delle scommesse
C002244_it_002	responsabile di agenzia di scommesse
C002244_it_003	responsabile di sala scommesse
C002245_it_000	operatore delle luci/operatrice delle luci
C002245_it_001	addetta alle luci
C002245_it_002	addetto alle luci
C002245_it_003	operatore delle luci
C002245_it_004	operatrice delle luci
C002246_it_000	esercente di negozio di armi
C002247_it_000	funzionario per i diritti umani/funzionaria per i diritti umani
C002247_it_001	funzionaria per i diritti umani
C002247_it_002	funzionario per i diritti umani
C002248_it_000	addetto al servizio parcheggio/addetta al servizio parcheggio
C002248_it_001	addetta al servizio parcheggio
C002248_it_002	addetto al servizio parcheggio
C002248_it_003	parcheggiatore
C002248_it_004	parcheggiatrice
C002248_it_005	posteggiatore
C002248_it_006	posteggiatore d'auto
C002248_it_007	posteggiatrice
C002248_it_008	posteggiatrice d'auto
C002249_it_000	tintore tessile
C002250_it_000	meccanico navale
C002250_it_001	meccanico motorista navale
C002251_it_000	caposquadra elettricista
C002251_it_001	elettricista capo cantiere
C002252_it_000	operatore addetto al lavaggio nella disinchiostratura/operatrice addetta al lavaggio nella disinchiostratura
C002252_it_001	operatore addetto al lavaggio nella disinchiostratura
C002252_it_002	operatrice addetta al lavaggio nella disinchiostratura
C002253_it_000	vigile del fuoco
C002253_it_001	pompiere
C002253_it_002	ufficiale dei vigili del fuoco
C002253_it_003	vigile del fuoco aziendale
C002253_it_004	vigile del fuoco esperta
C002253_it_005	vigile del fuoco esperto
C002253_it_006	vigile del fuoco operativa
C002253_it_007	vigile del fuoco operativo
C002253_it_008	vigile del fuoco volontaria
C002253_it_009	vigile fuoco volontario
C002254_it_000	realizzatore di scenografie in miniatura/realizzatrice di scenografie in miniatura
C002254_it_001	assistente scenografa
C002254_it_002	assistente scenografo
C002254_it_003	realizzatore di scenografie in miniatura
C002254_it_004	realizzatrice di scenografie in miniatura
C002255_it_000	insegnante di conservatorio di musica
C002256_it_000	montatore meccanico nautico/montatrice meccanica nautica
C002256_it_001	montatore meccanico nautico
C002256_it_002	montatrice meccanica nautica
C002257_it_000	addetto all’avvolgimento filamentare/addetta all’avvolgimento filamentare
C002257_it_001	addetta all'avvolgimento filamentare
C002257_it_002	addetto all'avvolgimento filamentare
C002258_it_000	animatore sportivo polivalente/animatrice sportiva polivalente
C002258_it_001	animatore sportivo polivalente
C002258_it_002	animatrice sportiva polivalente
C002259_it_000	addetto ad essiccatoi per argilla/addetta ad essiccatoi per argilla
C002259_it_001	addetta ad essiccatoi per argilla
C002259_it_002	addetto ad essiccatoi per argilla
C002260_it_000	coordinatore del traffico per vie d’acqua/coordinatrice del traffico per vie d’acqua
C002260_it_001	coordinatore del traffico per vie d'acqua
C002260_it_002	coordinatrice del traffico per vie d'acqua
C002260_it_003	regolatore e coordinatore del traffico portuale
C002260_it_004	regolatrice e coordinatrice del traffico portuale
C002261_it_000	responsabile import-export di apparecchiature elettroniche e per telecomunicazioni e di loro componenti
C002261_it_001	manager del commercio internazionale di apparecchiature elettroniche e per telecomunicazioni e di loro componenti
C002261_it_002	responsabile del commercio internazionale di apparecchiature elettroniche e per telecomunicazioni e di loro componenti
C002262_it_000	fabbricante di bambole
C002262_it_001	baloccaia in legno
C002262_it_002	baloccaio in legno
C002262_it_003	bambolaia in gomma
C002262_it_004	bambolaia in legno
C002262_it_005	bambolaia in plastica
C002262_it_006	bambolaio in gomma
C002262_it_007	bambolaio in legno
C002262_it_008	bambolaio in plastica
C002262_it_009	fabbricante di bambole di porcellana
C002262_it_010	fabbricante di bambole in celluloide
C002262_it_011	restauratore di bambole antiche
C002262_it_012	restauratrice di bambole antiche
C002262_it_013	riparatore di bambole antiche
C002262_it_014	riparatrice di bambole antiche
C002263_it_000	specialista import-export di orologi e articoli di gioielleria
C002263_it_001	importatore-esportatore di orologi e di gioielleria
C002263_it_002	importatrice-esportatrice di orologi e di gioielleria
C002263_it_003	responsabile import-export di orologi e di gioielleria
C002264_it_000	gestore di sovvenzioni
C002265_it_000	ingegnere esperto in produzione di gas naturale
C002265_it_001	ingegnere di produzione
C002266_it_000	attrezzista meccanico/attrezzista meccanica
C002266_it_001	aggiustatore montatore manutentore meccanico
C002266_it_002	aggiustatrice montatrice manutentrice meccanica
C002266_it_003	attrezzista meccanica
C002266_it_004	attrezzista meccanico
C002266_it_005	tornitore assemblatore
C002266_it_006	tornitore attrezzista
C002266_it_007	tornitore meccanico
C002266_it_008	tornitrice assemblatrice
C002266_it_009	tornitrice attrezzista
C002266_it_010	tornitrice meccanica
C002267_it_000	location manager
C002267_it_001	coordinatore del set
C002267_it_002	coordinatrice del set
C002268_it_000	docente di geografia nella scuola secondaria
C002268_it_001	professore di geografia nella scuola secondaria
C002268_it_002	professoressa di geografia nella scuola secondaria
C002269_it_000	manutentore di fosse settiche/manutentrice di fosse settiche
C002269_it_001	manutentore di fosse biologiche
C002269_it_002	manutentore di fosse settiche
C002269_it_003	manutentrice di fosse biologiche
C002269_it_004	manutentrice di fosse settiche
C002269_it_005	riparatore di fosse biologiche
C002269_it_006	riparatore di fosse settiche
C002269_it_007	riparatrice di fosse biologiche
C002269_it_008	riparatrice di fosse settiche
C002269_it_009	spurgatore
C002269_it_010	spurgatrice
C002269_it_011	spurghista
C002269_it_012	vuotatore di fosse biologiche
C002269_it_013	vuotatore di fosse settiche
C002269_it_014	vuotatore di pozzo nero
C002269_it_015	vuotatrice di fosse biologiche
C002269_it_016	vuotatrice di fosse settiche
C002269_it_017	vuotatrice di pozzo nero
C002270_it_000	account manager per le TIC
C002270_it_001	account manager delle infrastrutture TIC
C002270_it_002	responsabile degli account IT
C002270_it_003	responsabile della clientela
C002271_it_000	ecologo/ecologa
C002271_it_001	biologa
C002271_it_002	biologo
C002271_it_003	ecologa
C002271_it_004	ecologo
C002271_it_005	naturalista
C002272_it_000	orafo/orafa
C002272_it_001	argentiera
C002272_it_002	argentiere
C002272_it_003	artigiana orafa
C002272_it_004	artigiano orafo
C002272_it_005	catenista orafa
C002272_it_006	catenista orafo
C002272_it_007	fonditore di metalli preziosi
C002272_it_008	fonditrice di metalli preziosi
C002272_it_009	forgiatore di metalli preziosi
C002272_it_010	forgiatrice di metalli preziosi
C002272_it_011	gioielliera
C002272_it_012	gioielliere
C002272_it_013	orafa
C002272_it_014	orafo
C002272_it_015	orefice
C002273_it_000	tecnico della qualità delle calzature
C002273_it_001	tecnico della qualità settore calzaturiero
C002274_it_000	amministratore di valori mobiliari/amministratrice di valori mobiliari
C002274_it_001	amministratore di valori mobiliari
C002274_it_002	amministratrice di valori mobiliari
C002275_it_000	pilota privato
C002276_it_000	direttore di scena/direttrice di scena
C002276_it_001	direttore di scena
C002276_it_002	direttrice di scena
C002277_it_000	dietologo/dietologa
C002277_it_001	dietista
C002277_it_002	dietologa
C002277_it_003	dietologo
C002277_it_004	nutrizionista
C002278_it_000	tecnico di cromatografia
C002278_it_001	tecnico di laboratorio di gascromatografia
C002278_it_002	tecnico di laboratorio gas-cromatografico
C002279_it_000	esperto di tecnologie per il confezionamento di cibi e bevande/esperta di tecnologie per il confezionamento di cibi e bevande
C002279_it_001	esperta di tecnologie per il confezionamento cibi e bevande
C002279_it_002	esperto di tecnologie per il confezionamento cibi e bevande
C002279_it_003	tecnologa esperta di confezionamento cibi e bevande
C002279_it_004	tecnologo esperto di confezionamento cibi e bevande
C002280_it_000	responsabile di discarica
C002280_it_001	responsabile di centro di raccolta rifiuti
C002280_it_002	responsabile smaltimento rifiuti
C002281_it_000	carpentiere navale/carpentiera navale
C002281_it_001	carpentiera di barche
C002281_it_002	carpentiera navale
C002281_it_003	carpentiere di barche
C002281_it_004	carpentiere navale
C002281_it_005	costruttore di imbarcazioni
C002281_it_006	costruttore navale
C002281_it_007	costruttrice di imbarcazioni
C002281_it_008	costruttrice navale
C002281_it_009	maestra d'ascia
C002281_it_010	maestro d'ascia
C002281_it_011	riparatore navale
C002281_it_012	riparatrice navale
C002282_it_000	docente universitario in scienze dello spazio/docente universitaria in scienze dello spazio
C002282_it_001	docente universitaria in scienze dello spazio
C002282_it_002	docente universitario in scienze dello spazio
C002282_it_003	professore universitario in scienze dello spazio
C002282_it_004	professoressa universitaria in scienze dello spazio
C002283_it_000	funzionario amministrativo di istituzioni nel settore della difesa/funzionaria amministrativa di istituzioni nel settore della difesa
C002283_it_001	funzionaria amministrativa di istituzioni nel settore della difesa
C002283_it_002	funzionario amministrativo di istituzioni nel settore della difesa
C002284_it_000	mescolatore di vernici
C002285_it_000	incisore su metallo
C002285_it_001	artigiana acquafortista
C002285_it_002	artigiano acquafortista
C002285_it_003	inciditrice su metallo
C002285_it_004	incisore su metalli preziosi
C002285_it_005	incisore su rame
C002285_it_006	incisore su zinco
C002285_it_007	serigrafo su metallo
C002286_it_000	viticoltore/viticoltrice
C002286_it_001	responsabile di vigneti
C002286_it_002	vignaiola
C002286_it_003	vignaiolo
C002286_it_004	viticoltore
C002286_it_005	viticoltrice
C002287_it_000	ispettore di motori di veicoli/ispettrice di motori di veicoli
C002287_it_001	ispettore di motori automobilistici
C002287_it_002	ispettore di motori di veicoli
C002287_it_003	ispettore di motori nel settore automobilistico
C002287_it_004	ispettrice di motori automobilistici
C002287_it_005	ispettrice di motori di veicoli
C002287_it_006	ispettrice di motori nel settore automobilistico
C002288_it_000	project manager TIC
C002288_it_001	progect manager IT
C002288_it_002	responsabile dei progetti IT
C002288_it_003	responsabile dei progetti TIC
C002289_it_000	coordinatore della conformità di gasdotti e oleodotti/coordinatrice della conformità di gasdotti e oleodotti
C002289_it_001	coordinatore compliance gasdotti e oleodotti
C002289_it_002	coordinatore della conformità di gasdotti e oleodotti
C002289_it_003	coordinatrice compliance gasdotti e oleodotti
C002289_it_004	coordinatrice della conformità di gasdotti e oleodotti
C002290_it_000	tecnico riparatore di utensili a motore
C002290_it_001	riparatore di attrezzi a motore
C002290_it_002	riparatrice di attrezzi a motore
C002291_it_000	tessitore di tappeti a mano/tessitrice di tappeti a mano
C002291_it_001	annodatore di tappeti
C002291_it_002	annodatrice di tappeti
C002291_it_003	tessitore di tappeti a mano
C002291_it_004	tessitrice di tappeti a mano
C002292_it_000	addetto all’estrusione per materie plastiche/addetta all’estrusione per materie plastiche
C002292_it_001	addetta alla estrusione per materie plastiche
C002292_it_002	addetta alla soffiatrice
C002292_it_003	addetto alla estrusione per materie plastiche
C002292_it_004	addetto alla soffiatrice
C002293_it_000	laminatore di materie plastiche
C002293_it_001	addetta alla laminatrice
C002293_it_002	addetto alla laminatrice
C002294_it_000	responsabile di negozio di ortopedia
C002294_it_001	responsabile di negozio di articoli ortopedici
C002294_it_002	responsabile negozio di ortopedia sanitaria
C002295_it_000	ingegnere progettista di macchine utensili industriali
C002295_it_001	progettista di macchine industriali
C002295_it_002	progettista di macchine utensili
C002296_it_000	agente marittimo raccomandatario/agente marittima raccomandataria
C002296_it_001	agente marittima
C002296_it_002	agente marittima raccomandataria
C002296_it_003	agente marittimo
C002296_it_004	agente marittimo raccomandatario
C002296_it_005	raccomandataria marittima
C002296_it_006	raccomandatario marittimo
C002297_it_000	revisore linguistico
C002297_it_001	correttore di bozze
C002297_it_002	correttrice di bozze
C002298_it_000	insegnante di scuola Freinet
C002299_it_000	consulente in affari politici
C002300_it_000	commerciante all’ingrosso di materie prime agricole, sementi e mangimi
C002300_it_001	commerciante all'ingrosso di materie prime agricole, sementi e alimenti per animali
C002300_it_002	commerciante all'ingrosso di materie prime agricole, sementi e alimenti per il bestiame
C002301_it_000	responsabile import-export di macchine e attrezzature per ufficio
C002301_it_001	manager del commercio internazionale di macchine e attrezzature per ufficio
C002301_it_002	responsabile del commercio internazionale di macchine e attrezzature per ufficio
C002301_it_003	responsabile import-export di macchinari e attrezzature per ufficio
C002302_it_000	ingegnere microelettronico
C002302_it_001	ingegnere progettista microelettronico
C002303_it_000	architetto/architetta
C002303_it_001	architetta
C002303_it_002	architetto
C002303_it_003	progettista di immobili
C002304_it_000	amministratore del database/amministratrice del database
C002304_it_001	DBA
C002304_it_002	amministratore del database
C002304_it_003	amministratore delle banche dati
C002304_it_004	amministratrice del database
C002304_it_005	configuratore del database
C002304_it_006	configuratore delle banche dati
C002305_it_000	installatore di tendoni /installatrice di tendoni
C002305_it_001	installatore di tendoni
C002305_it_002	installatore gazebi
C002305_it_003	installatore tensostrutture
C002305_it_004	installatrice di tendoni
C002305_it_005	installatrice gazebi
C002305_it_006	installatrice tensostrutture
C002306_it_000	direttore sanitario in strutture private/direttrice sanitaria in strutture private
C002306_it_001	direttore sanitario in strutture private
C002306_it_002	direttrice sanitaria in strutture private
C002307_it_000	responsabile di sorveglianza aeronautica e coordinamento dei codici
C002308_it_000	specialista nella comunicazione tecnica
C002308_it_001	autore tecnico
C002308_it_002	autrice tecnica
C002308_it_003	esperta di documentazione
C002308_it_004	esperto di documentazione
C002308_it_005	specialisti nella comunicazione tecnica
C002309_it_000	animatore turistico/animatrice turistica
C002309_it_001	addetta all'intrattenimento dei turisti
C002309_it_002	addetto all'intrattenimento dei turisti
C002309_it_003	animatore turistico
C002309_it_004	animatrici turistiche
C002310_it_000	assistente di gestione
C002310_it_001	assistente di progetto
C002311_it_000	responsabile delle luci di avvicinamento e di pista
C002311_it_001	responsabile AVL
C002311_it_002	responsabile degli aiuti visivi luminosi
C002312_it_000	confezionatore di cinghie di trasmissione/confezionatrice di cinghie di trasmissione
C002312_it_001	confezionatore di cinghie di trasmissione
C002312_it_002	confezionatrice di cinghie di trasmissione
C002313_it_000	docente di biologia nella scuola secondaria
C002313_it_001	professore di biologia nella scuola secondaria
C002313_it_002	professoressa di biologia nella scuola secondaria
C002314_it_000	operatore di ricalcatrice/operatrice di ricalcatrice
C002314_it_001	operatore di ricalcatrice
C002314_it_002	operatrice di ricalcatrice
C002315_it_000	infermiere generalista/infermiera generalista
C002315_it_001	infermiera generalista
C002315_it_002	infermiera responsabile dell'assistenza generale
C002315_it_003	infermiere generalista
C002315_it_004	infermiere responsabile dell'assistenza generale
C002316_it_000	colatore in forme di manufatti in cemento
C002317_it_000	ingegnere del settore automobilistico
C002317_it_001	ingegnere automobilistico
C002317_it_002	ingegnere del settore automotive
C002317_it_003	progettista di automobili
C002318_it_000	conducente di autoveicoli blindati per trasporto valori
C002319_it_000	analista finanziario/analista finanziaria
C002319_it_001	analista finanziaria
C002319_it_002	analista finanziario
C002320_it_000	operatore socio assistenziale/operatrice socio assistenziale
C002320_it_001	assistente sociale
C002320_it_002	operatore dei servizi sociali
C002320_it_003	operatore socio assistenziale
C002320_it_004	operatrice dei servizi sociali
C002320_it_005	operatrice socio assistenziale
C002321_it_000	manovale di sonda
C002321_it_001	addetta all'impianto di perforazione
C002321_it_002	addetto all'impianto di perforazione
C002322_it_000	progettista di database
C002322_it_001	architetto dei dati
C002322_it_002	designer di database
C002322_it_003	disegnatore di sistemi
C002322_it_004	disegnatrice di sistemi
C002322_it_005	progettisti di database
C002323_it_000	farmacista specializzato/farmacista specializzata
C002323_it_001	farmacista ospedaliera
C002323_it_002	farmacista ospedaliero
C002323_it_003	farmacista specializzata
C002323_it_004	farmacista specializzato
C002324_it_000	responsabile del servizio noleggio di macchinari per l’estrazione, l’edilizia e l’ingegneria civile
C002324_it_001	addetta al servizio noleggio di macchinari per l'estrazione, l'edilizia e l'ingegneria civile
C002324_it_002	addetto al servizio noleggio di macchinari per l'estrazione, l'edilizia e l'ingegneria civile
C002324_it_003	assistente al noleggio di macchinari per l'estrazione, l'edilizia e l'ingegneria civile
C002324_it_004	consulente del noleggio di macchinari per l'estrazione, l'edilizia e l'ingegneria civile
C002324_it_005	responsabile servizio noleggio di macchine per l'estrazione, le costruzioni e il genio civile
