C000001_sl_000	Vojaški poklici
C002301_sl_004	vodja uvoza pisarniških strojev in opreme
C002302_sl_000	inženir/inženirka mikroelektronike
C002302_sl_001	inženir mikroelektronike
C002302_sl_002	inženirka mikroelektronike
C002303_sl_000	arhitekt/arhitektka
C002303_sl_001	arhitekt
C002303_sl_002	arhitektka
C002304_sl_000	skrbnik/skrbnica podatkovnih baz
C002304_sl_001	administrator podatkovnih baz
C002304_sl_002	administratorka podatkovnih baz
C002304_sl_003	konfigurator podatkovnih baz
C002304_sl_004	konfiguratorka podatkovnih baz
C002304_sl_005	skrbnica baz podatkov
C002304_sl_006	skrbnica podatkovnih baz
C002304_sl_007	skrbnica podatkovnih zbirk
C002304_sl_008	skrbnica za podatkovne baze
C002304_sl_009	skrbnica zbirk podatkov
C002304_sl_010	skrbnik baz podatkov
C002304_sl_011	skrbnik podatkovnih baz
C002304_sl_012	skrbnik podatkovnih zbirk
C002304_sl_013	skrbnik za podatkovne baze
C002304_sl_014	skrbnik zbirk podatkov
C002304_sl_015	upravitelj podatkovnih baz
C002304_sl_016	upraviteljica podatkovnih baz
C002305_sl_000	postavljalec/postavljalka prireditvenih šotorov
C002305_sl_001	postavljalec prireditvenih šotorov
C002305_sl_002	postavljalec šotorov
C002305_sl_003	postavljalka prireditvenih šotorov
C002305_sl_004	postavljalka šotorov
C002306_sl_000	vodja zdravstvene dejavnosti
C002307_sl_000	vodja letalskega nadzora in koordinacije oznak
C002307_sl_001	menedžer letalskega nadzora
C002307_sl_002	menedžerka letalskega nadzora
C002307_sl_003	vodja letalskega nadzora
C002308_sl_000	tehnični komunikator/tehnična komunikatorka
C002308_sl_001	strokovnjak za dokumentacijo
C002308_sl_002	strokovnjak za tehnične komunikacije
C002308_sl_003	strokovnjakinja za dokumentacijo
C002308_sl_004	strokovnjakinja za tehnične komunikacije
C002308_sl_005	tehnična komunikatorka
C002308_sl_006	tehnična urednica
C002308_sl_007	tehnični komunikator
C002308_sl_008	tehnični urednik
C002309_sl_000	turistični animator/turistična animatorka
C002309_sl_001	izvajalec zabavnih programov za goste
C002309_sl_002	izvajalka zabavnih programov za goste
C002309_sl_003	organizator zabavnih dejavnosti za turiste
C002309_sl_004	organizatorka zabavnih dejavnosti za turiste
C002309_sl_005	turistična animatorka
C002309_sl_006	turistični animator
C002310_sl_000	tajnik uprave/tajnica uprave
C002310_sl_001	projektna tajnica
C002310_sl_002	projektni tajnik
C002310_sl_003	tajnica uprave
C002310_sl_004	tajnik uprave
C002311_sl_000	vzdrževalec/vzdrževalka letališke signalizacije
C002311_sl_001	vzdrževalec letališke signalizacije
C002311_sl_002	vzdrževalka letališke signalizacije
C002312_sl_000	izdelovalec/izdelovalka jermenov
C002312_sl_001	izdelovalec gumijastih jermenov
C002312_sl_002	izdelovalec jermenov
C002312_sl_003	izdelovalec prenosnih jermenov
C002312_sl_004	izdelovalka gumijastih jermenov
C002312_sl_005	izdelovalka jermenov
C002312_sl_006	izdelovalka prenosnih jermenov
C002313_sl_000	srednješolski učitelj/srednješolska učiteljica za biologijo
C002313_sl_001	srednješolska učiteljica za biologijo
C002313_sl_002	srednješolski učitelj za biologijo
C002313_sl_003	učitelj biologije v srednji šoli
C002313_sl_004	učiteljica biologije v srednji šoli
C002314_sl_000	upravljavec/upravljavka naprav za nakrčevanje
C002314_sl_001	upravljavec naprav za nakrčevanje
C002314_sl_002	upravljavka naprav za nakrčevanje
C002315_sl_000	medicinska sestra/zdravstveni tehnik za splošno zdravstveno nego
C002315_sl_001	medicinska sestra za splošno zdravstveno nego
C002315_sl_002	zdravstveni tehnik za splošno zdravstveno nego
C002316_sl_000	izdelovalec/izdelovalka betonskih odlitkov
C002316_sl_001	izdelovalec betonskih odlitkov
C002316_sl_002	izdelovalka betonskih odlitkov
C002317_sl_000	inženir/inženirka strojništva za vozila
C002317_sl_001	inženir strojništva za vozila
C002317_sl_002	inženirka strojništva za vozila
C002318_sl_000	voznik/voznica neprebojnega vozila
C002318_sl_001	voznica neprebojnega vozila
C002318_sl_002	voznik neprebojnega vozila
C002319_sl_000	finančni analitik/finančna analitičarka
C002319_sl_001	finančna analitičarka
C002319_sl_002	finančni analitik
C002320_sl_000	strokovni sodelavec/strokovna sodelavka v socialnem varstvu
C002320_sl_001	socialnovarstvena delavka
C002320_sl_002	socialnovarstveni delavec
C002320_sl_003	strokovna sodelavka v socialnem varstvu
C002320_sl_004	strokovna sodelavka za socialnovarstvene storitve
C002320_sl_005	strokovni sodelavec v socialnem varstvu
C002320_sl_006	strokovni sodelavec za socialnovarstvene storitve
C002321_sl_000	pomočnik/pomočnica vrtalca na vrtalni ploščadi
C002321_sl_001	pomočnica vrtalca na vrtalni ploščadi
C002321_sl_002	pomočnik vrtalca na vrtalni ploščadi
C002321_sl_003	vrtalec na naftnem polju
C002321_sl_004	vrtalec na naftni vrtini
C002321_sl_005	vrtalec na plinski vrtini
C002321_sl_006	vrtalka na naftnem polju
C002321_sl_007	vrtalka na naftni vrtini
C002321_sl_008	vrtalka na plinski vrtini
C002322_sl_000	oblikovalec/oblikovalka podatkovnih baz
C002322_sl_001	dizajner podatkovnih zbirk
C002322_sl_002	dizajnerka podatkovnih zbirk
C002322_sl_003	oblikovalec baz podatkov
C002322_sl_004	oblikovalec podatkovnih baz
C002322_sl_005	oblikovalec podatkovnih zbirk
C002322_sl_006	oblikovalec zbirk podatkov
C002322_sl_007	oblikovalka baz podatkov
C002322_sl_008	oblikovalka podatkovnih baz
C002322_sl_009	oblikovalka podatkovnih zbirk
C002322_sl_010	oblikovalka zbirk podatkov
C002323_sl_000	farmacevt specialist/farmacevtka specialistka
C002323_sl_001	farmacevt specialist
C002323_sl_002	farmacevtka specialistka
C002323_sl_003	specializirana farmacevtka
C002323_sl_004	specializirani farmacevt
C002324_sl_000	izposojevalec/izposojevalka gradbenih strojev
C002324_sl_001	izposojevalec gradbenih strojev
C002324_sl_002	izposojevalka gradbenih strojev
C002325_sl_000	vodja pakirnice
C002326_sl_000	referent/referentka za posojila
C002326_sl_001	referent za posojila
C002326_sl_002	referentka za posojila
C002326_sl_003	svetovalec za posojila
C002326_sl_004	svetovalka za posojila
C002327_sl_000	skupinovodja v vrtnarstvu
C002327_sl_001	skupinovodja v hortikulturi
C002327_sl_002	vodja skupine v vrtnarstvu
C002327_sl_003	vodja skupine za vrtnarsko pridelavo
C002327_sl_004	vodja vrtnarske skupine
C002328_sl_000	borzni posrednik/borzna posrednica
C002328_sl_001	borzna posrednica
C002328_sl_002	borzni posrednik
C002329_sl_000	nepremičninski posrednik/nepremičninska posrednica
C002329_sl_001	nepremičninska posrednica
C002329_sl_002	nepremičninski posrednik
C002329_sl_003	posrednica za nepremičnine
C002329_sl_004	posrednik za nepremičnine
C002330_sl_000	izdelovalec/izdelovalka klinastih jermenov
C002330_sl_001	izdelovalec gumijastih klinastih jermenov
C002330_sl_002	izdelovalec klinastih jermenov
C002330_sl_003	izdelovalka gumijastih klinastih jermenov
C002330_sl_004	izdelovalka klinastih jermenov
C002330_sl_005	upravljavec opreme za izdelavo klinastih jermenov
C002330_sl_006	upravljavka opreme za izdelavo klinastih jermenov
C002331_sl_000	pripravljavec/pripravljavka slanega in sladkega peciva
C002331_sl_001	pripravljavec slanega in sladkega peciva
C002331_sl_002	pripravljavec slaščic
C002331_sl_003	pripravljavka slanega in sladkega peciva
C002331_sl_004	pripravljavka slaščic
C002331_sl_005	slaščičar
C002331_sl_006	slaščičarka
C002331_sl_007	slaščičarska mojstrica
C002331_sl_008	slaščičarski mojster
C002332_sl_000	kustos dokumentalist/kustosinja dokumentalistka
C002332_sl_001	kustos dokumentalist
C002332_sl_002	kustosinja dokumentalistka
C002333_sl_000	dodelovalec/dodelovalka usnjene galanterije
C002333_sl_001	dodelovalec usnjene galanterije
C002333_sl_002	dodelovalka usnjene galanterije
C002334_sl_000	upravljavec/upravljavka stroja za laminiranje papirja
C002334_sl_001	upravljavec stroja za laminiranje papirja
C002334_sl_002	upravljavka stroja za laminiranje papirja
C002335_sl_000	upravljavec/upravljavka koksne peči
C002335_sl_001	upravljavec koksne peči
C002335_sl_002	upravljavec peči za koksanje
C002335_sl_003	upravljavka koksne peči
C002335_sl_004	upravljavka peči za koksanje
C002336_sl_000	prodajalec/prodajalka ortopedskih pripomočkov
C002336_sl_001	prodajalec ortopedskih pripomočkov
C002336_sl_002	prodajalka ortopedskih pripomočkov
C002337_sl_000	vodja selitvenih storitev
C002337_sl_001	direktor selitvenega servisa
C002337_sl_002	direktorica selitvenega servisa
C002337_sl_003	vodja mednarodnih selitev
C002337_sl_004	vodja relokacij
C002337_sl_005	vodja selitev
C002337_sl_006	vodja selitvenega servisa
C002338_sl_000	nadzornik/nadzornica avtomatskega žičnega vozila
C002338_sl_001	nadzornica avtomatskega žičnega vozila
C002338_sl_002	nadzornik avtomatskega žičnega vozila
C002339_sl_000	nadzornik/nadzornica javnega reda
C002339_sl_001	nadzornica javnega reda
C002339_sl_002	nadzornica množice
C002339_sl_003	nadzornik javnega reda
C002339_sl_004	nadzornik množice
C002340_sl_000	izdelovalec/izdelovalka elektrolitskih celic
C002340_sl_001	izdelovalec betonskih elektrolitskih celic
C002340_sl_002	izdelovalec elektrolitskih celic
C002340_sl_003	izdelovalka betonskih elektrolitskih celic
C002340_sl_004	izdelovalka elektrolitskih celic
C002341_sl_000	svetovalec/svetovalka za medkulturno komunikacijo
C002341_sl_001	svetovalec za medkulturno komunikacijo
C002341_sl_002	svetovalka za medkulturno komunikacijo
C002342_sl_000	socialni delavec/socialna delavka za podporo žrtvam
C002342_sl_001	humanitarna delavka
C002342_sl_002	humanitarni delavec
C002342_sl_003	socialna delavka za podporo žrtvam
C002342_sl_004	socialna delavka za podporo žrtvam nasilja in zlorab
C002342_sl_005	socialna delavka za pomoč žrtvam nasilja v družini
C002342_sl_006	socialni delavec za podporo žrtvam
C002342_sl_007	socialni delavec za podporo žrtvam nasilja in zlorab
C002342_sl_008	socialni delavec za pomoč žrtvam nasilja v družini
C002343_sl_000	učitelj/učiteljica transportne tehnologije v poklicnem izobraževanju
C002343_sl_001	učitelj transportne tehnologije v poklicnem izobraževanju
C002343_sl_002	učiteljica transportne tehnologije v poklicnem izobraževanju
C002344_sl_000	kuhar/kuharica
C002344_sl_001	kuhar
C002344_sl_002	kuharica
C002344_sl_003	pripravljavec jedi
C002344_sl_004	pripravljavka jedi
C002345_sl_000	vzdrževalec/vzdrževalka letal
C002345_sl_001	serviser letal
C002345_sl_002	serviserka letal
C002345_sl_003	vzdrževalec letal
C002345_sl_004	vzdrževalka letal
C002346_sl_000	ekstraktor/ekstraktorka škroba
C002346_sl_001	ekstraktor škroba
C002346_sl_002	ekstraktor škroba iz krompirja
C002346_sl_003	ekstraktorka škroba
C002346_sl_004	ekstraktorka škroba iz krompirja
C002346_sl_005	ekstraktorka škroba iz žit
C002346_sl_006	ektraktor škroba iz žit
C002346_sl_007	izvajalec postopka pridobivanja škroba
C002346_sl_008	izvajalec tehnike ekstrakcije škroba
C002346_sl_009	izvajalka postopka pridobivanja škroba
C002346_sl_010	izvajalka tehnike ekstrakcije škroba
C002347_sl_000	strokovni sodelavec za uvoz in izvoz kmetijskih strojev in opreme/strokovna sodelavka za uvoz in izvoz kmetijskih strojev in opreme
C002347_sl_001	referent za uvoz in izvoz kmetijskih strojev in opreme
C002347_sl_002	referentka za uvoz in izvoz kmetijskih strojev in opreme
C002347_sl_003	strokovna sodelavka za uvoz in izvoz kmetijskih strojev in opreme
C002347_sl_004	strokovni sodelavec za uvoz in izvoz kmetijskih strojev in opreme
C002348_sl_000	učitelj/učiteljica kmetijstva, gozdarstva in ribištva v poklicnem izobraževanju
C002348_sl_001	učitelj kmetijstva, gozdarstva in ribištva v poklicnem izobraževanju
C002348_sl_002	učiteljica kmetijstva, gozdarstva in ribištva v poklicnem izobraževanju
C002349_sl_000	inženir/inženirka usnjarstva in krznarstva
C002349_sl_001	inženir predelave usnja in krzna
C002349_sl_002	inženir usnjarstva in krznarstva
C002349_sl_003	inženirka predelave usnja in krzna
C002349_sl_004	inženirka usnjarstva in krznarstva
C002350_sl_000	oblikovalec/oblikovalka plošč tiskanega vezja
C002350_sl_001	oblikovalec plošč tiskanega vezja
C002350_sl_002	oblikovalka plošč tiskanega vezja
C002351_sl_000	predavatelj/predavateljica socialnega dela
C002351_sl_001	predavatelj socialnega dela
C002351_sl_002	predavateljica socialnega dela
C002352_sl_000	železniški delavec/železniška delavka za intermodalno opremo
C002352_sl_001	železniška delavka za intermodalno opremo
C002352_sl_002	železniški delavec za intermodalno opremo
C002353_sl_000	krojilec/krojilka konfekcije
C002353_sl_001	krojilec
C002353_sl_002	krojilec konfekcije
C002353_sl_003	krojilka
C002353_sl_004	krojilka konfekcije
C002354_sl_000	ortotik in protetik/ortotičarka in protetičarka
C002354_sl_001	ortotik
C002354_sl_002	ortotik in protetik
C002354_sl_003	ortotičarka
C002354_sl_004	ortotičarka in protetičarka
C002354_sl_005	protetik
C002354_sl_006	protetičarka
C002355_sl_000	pravni pomočnik/pravna pomočnica
C002355_sl_001	pravna pomočnica
C002355_sl_002	pravni pomočnik
C002356_sl_000	oskrbovalec/oskrbovalka v kampu
C002356_sl_001	oskrbovalec območja kampa
C002356_sl_002	oskrbovalec v kampu
C002356_sl_003	oskrbovalka območja kampa
C002356_sl_004	oskrbovalka v kampu
C002356_sl_005	skrbnica parcel v kampu
C002356_sl_006	skrbnik parcel v kampu
C002357_sl_000	inženir/inženirka elektronike za strojno računalniško opremo
C002357_sl_001	inženir elektronike za strojno računalniško opremo
C002357_sl_002	inženirka elektronike za strojno računalniško opremo
C002358_sl_000	zdravstveni administrator/zdravstvena administratorka za čakalne vrste
C002358_sl_001	koordinator čakalnih seznamov
C002358_sl_002	koordinatorica čakalnih seznamov
C002358_sl_003	zdravstvena administratorka za čakalne vrste
C002358_sl_004	zdravstveni administrator za čakalne vrste
C002359_sl_000	čistilec/čistilka oken
C002359_sl_001	snažilec oken
C002359_sl_002	snažilka oken
C002359_sl_003	čistilec oken
C002359_sl_004	čistilka oken
C002360_sl_000	izdelovalec/izdelovalka posteljnih vložkov
C002360_sl_001	izdelovalec posteljnih vložkov
C002360_sl_002	izdelovalka posteljnih vložkov
C002361_sl_000	socialni delavec/socialna delavka za telefonsko pomoč
C002361_sl_001	socialna delavka za klice v sili
C002361_sl_002	socialna delavka za telefonsko pomoč
C002361_sl_003	socialni delavec za klic v sili
C002361_sl_004	socialni delavec za telefonsko pomoč
C002362_sl_000	geolog za okolje/geologinja za okolje
C002362_sl_001	geolog za okolje
C002362_sl_002	geologinja za okolje
C002363_sl_000	trgovec/trgovka na debelo s porcelanom in drugo steklenino
C002363_sl_001	trgovec na debelo s porcelanom in drugo steklenino
C002363_sl_002	trgovka na debelo s porcelanom in drugo steklenino
C002364_sl_000	pregledovalec/pregledovalka ročne prtljage
C002364_sl_001	pregledovalec ročne prtljage
C002364_sl_002	pregledovalka ročne prtljage
C002365_sl_000	referent/referentka za investicijske sklade
C002365_sl_001	asistent upravljavca investicijskih skladov
C002365_sl_002	asistentka upravljavca investicijskih skladov
C002365_sl_003	referent za investicijske sklade
C002365_sl_004	referentka za investicijske sklade
C002366_sl_000	vodja potovalne agencije
C002366_sl_001	vodja agencije za organizacijo potovanj
C002366_sl_002	vodja agencije za potovanje
C002366_sl_003	vodja potne agencije
C002366_sl_004	vodja turistične agencije
C002367_sl_000	upravljavec/upravljavka linije za konzerviranje in stekleničenje
C002367_sl_001	nadzornica linije za konzerviranje in stekleničenje
C002367_sl_002	nadzornik linije za konzervirane in stekleničenje
C002367_sl_003	upravljavec linije za konzerviranje in stekleničenje
C002367_sl_004	upravljavec polnilnice steklenic
C002367_sl_005	upravljavka linije za konzerviranje in stekleničenje
C002367_sl_006	upravljavka polnilnice steklenic
C002368_sl_000	strojni tkalec/strojna tkalka
C002368_sl_001	strojna tkalka
C002368_sl_002	strojni tkalec
C002369_sl_000	utopni kovač/utopna kovačica
C002369_sl_001	utopna kovačica
C002369_sl_002	utopni kovač
C002370_sl_000	krojilec/krojilka obutve
C002370_sl_001	krojilec obutve
C002370_sl_002	krojilka obutve
C002371_sl_000	inženir/inženirka za vsebnike
C002371_sl_001	inženir za vsebnike
C002371_sl_002	inženirka za vsebnike
C002372_sl_000	vodja objekta za živali
C002372_sl_001	direktor akvarija
C002372_sl_002	direktor živalskega vrta
C002372_sl_003	direktorica akvarija
C002372_sl_004	direktorica živalskega vrta
C002372_sl_005	upravitelj živalskega vrta
C002372_sl_006	upraviteljica živalskega vrta
C002372_sl_007	vodja zavetišča za živali
C002372_sl_008	vodja živalskega vrta
C002373_sl_000	prometni projektant/prometna projektantka
C002373_sl_001	prometna načrtovalka
C002373_sl_002	prometna projektantka
C002373_sl_003	prometni načrtovalec
C002373_sl_004	prometni projektant
C002374_sl_000	učitelj/učiteljica frizerstva v poklicnem izobraževanju
C002374_sl_001	učitelj frizerstva v poklicnem izobraževanju
C002374_sl_002	učiteljica frizerstva v poklicnem izobraževanju
C002375_sl_000	vodja službe za zavarovalne zahtevke
C002375_sl_001	direktor sektorja za zavarovalne zahtevke
C002375_sl_002	direktorica sektorja za zavarovalne zahtevke
C002375_sl_003	vodja oddelka za reševanje zahtevkov
C002375_sl_004	vodja sektorja za zavarovalne zahtevke
C002376_sl_000	elektromehanik/elektromehaničarka za ladje
C002376_sl_001	elektromehanik za ladje
C002376_sl_002	elektromehaničarka za ladje
C002376_sl_003	ladijska električarka
C002376_sl_004	ladijski električar
C002377_sl_000	masažni terapevt/masažna terapevtka
C002377_sl_001	masažna terapevtka
C002377_sl_002	masažni terapevt
C002377_sl_003	maser terapevt
C002377_sl_004	maserka terapevtka
C002377_sl_005	terapevtska maserka
C002377_sl_006	terapevtski maser
C002378_sl_000	vodja službe za enake možnosti
C002378_sl_001	vodja sektorja za enakost spolov
C002378_sl_002	vodja službe za enake možnosti in vključevanje
C002378_sl_003	zagovornica enakih možnosti
C002378_sl_004	zagovornik enakih možnosti
C002379_sl_000	izdelovalec/izdelovalka pletenega pohištva iz trstičja, vrbja ipd.
C002379_sl_001	izdelovalec pletenega pohištva iz trstičja, vrbja ipd.
C002379_sl_002	izdelovalka pletenega pohištva iz trstičja, vrbja ipd.
C002379_sl_003	pohištvena pletarka
C002379_sl_004	pohištveni pletar
C002380_sl_000	inženir/inženirka nanotehnologije
C002380_sl_001	inženir nanotehnologije
C002380_sl_002	inženirka nanotehnologije
C002380_sl_003	nanoinženir
C002380_sl_004	nanoinženirka
C002381_sl_000	šepetalec/šepetalka
C002381_sl_001	sufler
C002381_sl_002	suflerka
C002381_sl_003	šepetalec
C002381_sl_004	šepetalka
C002382_sl_000	ladjarski posrednik/ladjarska posrednica
C002382_sl_001	ladjarska posrednica
C002382_sl_002	ladjarski posrednik
C002383_sl_000	kipar/kiparka
C002383_sl_001	kipar
C002383_sl_002	kiparka
C002383_sl_003	plastik
C002383_sl_004	plastičarka
C002384_sl_000	vodja oddelka
C002384_sl_001	direktor oddelka
C002384_sl_002	direktor sektorja
C002384_sl_003	direktorica oddelka
C002384_sl_004	direktorica sektorja
C002384_sl_005	vodja poslovne enote
C002384_sl_006	vodja sektorja
C002384_sl_007	vodja službe
C002385_sl_000	glavni animator/glavna animatorka
C002385_sl_001	glavna animatorka
C002385_sl_002	glavni animator
C002386_sl_000	prevoznik /prevoznica živih živali
C002386_sl_001	izvajalec transporta živali
C002386_sl_002	izvajalka transporta živali
C002386_sl_003	pomočnica pri transportu živali
C002386_sl_004	pomočnik pri transportu živali
C002386_sl_005	prevoznica živih živali
C002386_sl_006	prevoznik živih živali
C002387_sl_000	tehnik/tehnica predelave mleka
C002387_sl_001	kontrolor mleka
C002387_sl_002	kontrolorka mleka
C002387_sl_003	nadzornica predelave mleka
C002387_sl_004	nadzornik predelave mleka
C002387_sl_005	tehnica predelave mleka
C002387_sl_006	tehnik predelave mleka
C002388_sl_000	laboratorijski tehnik/laboratorijska tehnica biokemije
C002388_sl_001	laboratorijska tehnica biokemije
C002388_sl_002	laboratorijski tehnik biokemije
C002389_sl_000	rudarski mehanik/rudarska mehaničarka
C002389_sl_001	monter rudarskih strojev
C002389_sl_002	monterka rudarskih strojev
C002389_sl_003	rudarska mehaničarka
C002389_sl_004	rudarski mehanik
C002390_sl_000	tehnični asistent/tehnična asistentka
C002390_sl_001	tehnična asistentka
C002390_sl_002	tehnični asistent
C002391_sl_000	upravljavec/upravljavka stroja za vzdolžni razrez
C002391_sl_001	upravljavec stroja za vzdolžni razrez
C002391_sl_002	upravljavka stroja za vzdolžni razrez
C002392_sl_000	tapetnik/tapetnica
C002392_sl_001	tapetnica
C002392_sl_002	tapetnik
C002393_sl_000	mojster/mojstrica varjenja piva
C002393_sl_001	mojster pivovarstva
C002393_sl_002	mojster varjenja
C002393_sl_003	mojster varjenja piva
C002393_sl_004	mojstrica pivovarstva
C002393_sl_005	mojstrica varjenja
C002393_sl_006	mojstrica varjenja piva
C002394_sl_000	strokovnjak/strokovnjakinja za babiško nego
C002394_sl_001	babica
C002394_sl_002	babičar
C002394_sl_003	strokovnjak za babiško nego
C002394_sl_004	strokovnjakinja za babiško nego
C002395_sl_000	socialni delavec/socialna delavka za delo z družino
C002395_sl_001	družinska mediatorka
C002395_sl_002	družinski mediator
C002395_sl_003	socialna delavka za delo z družino
C002395_sl_004	socialna delavka za družino
C002395_sl_005	socialni delavec za delo z družino
C002395_sl_006	socialni delavec za družino
C002396_sl_000	nadzornik/nadzornica sestavljanja obutve
C002396_sl_001	nadzornica sestavljanja obutve
C002396_sl_002	nadzornik sestavljanja obutve
C002397_sl_000	vodja izvoza in uvoza porcelana in steklenine
C002397_sl_001	področna vodja izvoza porcelana in steklenine
C002397_sl_002	področni vodja izvoza porcelana in steklenine
C002397_sl_003	vodja izvoza porcelana in steklenine
C002397_sl_004	vodja oddelka izvoza in uvoza porcelana in steklenih izdelkov
C002397_sl_005	vodja uvoza porcelana in steklenine
C002398_sl_000	monter/monterka montažnih hiš
C002398_sl_001	monter montažnih hiš
C002398_sl_002	monterka montažnih hiš
C002399_sl_000	vodja kabinskega osebja
C002399_sl_001	glavna stevardesa
C002399_sl_002	glavna stuardesa
C002399_sl_003	glavni stevard
C002399_sl_004	glavni stuard
C002399_sl_005	vodja kabinske posadke
C002400_sl_000	lesni dekorater/lesna dekoraterka
C002400_sl_001	lesna dekoraterka
C002400_sl_002	lesni dekorater
C002401_sl_000	blagajnik/blagajničarka v igralnici
C002401_sl_001	blagajnik v casinu
C002401_sl_002	blagajnik v igralnici
C002401_sl_003	blagajnik v kazinoju
C002401_sl_004	blagajnik v kazinu
C002401_sl_005	blagajničarka v casinu
C002401_sl_006	blagajničarka v igralnici
C002401_sl_007	blagajničarka v kazinoju
C002401_sl_008	blagajničarka v kazinu
C002402_sl_000	skrbnik/skrbnica hiše
C002402_sl_001	skrbnica hiše
C002402_sl_002	skrbnik hiše
C002402_sl_003	varuška hiše
C002403_sl_000	upravljavec/upravljavka stiskalnice za plastične mase
C002403_sl_001	upravljavec stiskalnice za plastične mase
C002403_sl_002	upravljavka stiskalnice za plastične mase
C002404_sl_000	informator/informatorka potnikov na železniški postaji
C002404_sl_001	informator potnikov na železniški postaji
C002404_sl_002	informatorka potnikov na železniški postaji
C002405_sl_000	konceptualni umetnik/konceptualna umetnica
C002405_sl_001	instalacijska umetnica
C002405_sl_002	instalacijski umetnik
C002405_sl_003	konceptualna umetnica
C002405_sl_004	konceptualni umetnik
C002406_sl_000	delavec/delavka v restavraciji s hitro hrano
C002406_sl_001	delavec v okrepčevalnici
C002406_sl_002	delavec v restavraciji s hitro hrano
C002406_sl_003	delavka v okrepčevalnici
C002406_sl_004	delavka v restavraciji s hitro hrano
C002406_sl_005	pripravljalec hitre hrane
C002406_sl_006	pripravljalka hitre hrane
C002407_sl_000	vodja muzejskih zbirk
C002407_sl_001	kustos
C002407_sl_002	kustos muzejskih zbirk
C002407_sl_003	kustosinja
C002407_sl_004	kustosinja muzejskih zbirk
C002408_sl_000	vodja distribucije strojev, industrijske opreme, ladij in letal
C002408_sl_001	koordinator logistike in distribucije strojev, industrijske opreme, ladij in letal
C002408_sl_002	koordinatorka logistike in distribucije strojev, industrijske opreme, ladij in letal
C002408_sl_003	vodja distribucijske verige za stroje, industrijsko opremo, ladje in letala
C002408_sl_004	vodja dobavne verige za stroje, industrijsko opremo, ladje in letala
C002408_sl_005	vodja logistike in distribucije strojev, industrijske opreme, ladij in letal
C002408_sl_006	vodja oskrbovalne verige s stroji, industrijsko opremo, ladjami in letali
C002408_sl_007	vodja prodaje in distribucije strojev, industrijske opreme, ladij in letal
C002409_sl_000	nadzornik/nadzornica linije za proizvodnjo letal
C002409_sl_001	nadzornica linije za proizvodnjo letal
C002409_sl_002	nadzornik linije za proizvodnjo letal
C002410_sl_000	oblikovalec /oblikovalka uporabniških vmesnikov
C002410_sl_001	dizajner uporabniških vmesnikov
C002410_sl_002	dizajnerka uporabniških vmesnikov
C002410_sl_003	oblikovalec uporabniškega vmesnika
C002410_sl_004	oblikovalec uporabniških vmesnikov
C002410_sl_005	oblikovalka uporabniškega vmesnika
C002410_sl_006	oblikovalka uporabniških vmesnikov
C002411_sl_000	vodja trgovine z opremo za šport in prosti čas
C002411_sl_001	poslovodja trgovine z outdoor opremo
C002411_sl_002	vodja trgovine s športno opremo
C002411_sl_003	vodja trgovine za prosti čas
C002411_sl_004	vodja športne trgovine
C002412_sl_000	učitelj/učiteljica za tečaje tujih jezikov
C002412_sl_001	učitelj za tečaje tujih jezikov
C002412_sl_002	učiteljica za tečaje tujih jezikov
C002413_sl_000	operater /operaterka podatkovnega centra
C002413_sl_001	operater podatkovnega centra
C002413_sl_002	operater podatkovnega središča
C002413_sl_003	operater podatkovnih centrov
C002413_sl_004	operaterka podatkovnega centra
C002413_sl_005	operaterka podatkovnega središča
C002413_sl_006	operaterka podatkovnih centrov
C002414_sl_000	vodja izvoza in uvoza strojev za tekstilno industrijo
C002414_sl_001	področna vodja izvoza strojev za tekstilno industrijo
C002414_sl_002	področni vodja izvoza strojev za tekstilno industrijo
C002414_sl_003	vodja izvoza strojev za tekstilno industrijo
C002414_sl_004	vodja uvoza strojev za tekstilno industrijo
C002415_sl_000	inženir/inženirka gradbeništva za kanalizacijske sisteme
C002415_sl_001	inženir gradbeništva za kanalizacijske sisteme
C002415_sl_002	inženirka gradbeništva za kanalizacijske sisteme
C002416_sl_000	prodajalec/prodajalka mesa
C002416_sl_001	mesar
C002416_sl_002	mesarka
C002416_sl_003	prodajalec mesa
C002416_sl_004	prodajalka mesa
C002417_sl_000	vodja knjigarne
C002417_sl_001	menedžer knjigarne
C002417_sl_002	menedžerka knjigarne
C002417_sl_003	vodja knjigarne in papirnice
C002418_sl_000	odvetnik/odvetnica
C002418_sl_001	advokat
C002418_sl_002	advokatinja
C002418_sl_003	odvetnica
C002418_sl_004	odvetnica za delovno pravo
C002418_sl_005	odvetnica za družinsko pravo
C002418_sl_006	odvetnik
C002418_sl_007	odvetnik za delovno pravo
C002418_sl_008	odvetnik za družinsko pravo
C002419_sl_000	delavec/delavka v destilarni
C002419_sl_001	delavec v destilarni
C002419_sl_002	delavec v destilarni žganih pijač
C002419_sl_003	delavec v proizvodnji žganih pijač
C002419_sl_004	delavka v destilarni
C002419_sl_005	delavka v destilarni žganih pijač
C002419_sl_006	delavka v proizvodnji žganih pijač
C002419_sl_007	izvajalec destilacije
C002419_sl_008	izvajalka destilacije
C002420_sl_000	predavatelj/predavateljica antropologije
C002420_sl_001	predavatelj antropologije
C002420_sl_002	predavateljica antropologije
C002420_sl_003	profesor antropologije/profesorica antropologije
C002421_sl_000	upravljavec/upravljavka sekalnika
