C000001_et_000	Sõjaväelased
C001812_et_000	pandimajapidaja
C001813_et_000	sensorelektroonika ehitustehnik
C001814_et_000	turustusjuht
C001815_et_000	hüdrogeoloog
C001816_et_000	andmesisestaja
C001816_et_001	andmesisestajad
C001816_et_002	andmesisestusametnik
C001816_et_003	andmesisestusametnikud
C001816_et_004	andmesisestusoperaator
C001816_et_005	andmesisestusoperaatorid
C001817_et_000	kellade ja ehete impordi ja ekspordi juht
C001818_et_000	joogikaupluse müüja
C001819_et_000	Tootmisprotsessi juht
C001820_et_000	valitsuspoliitika rakendamise inspektor
C001821_et_000	kodutarvete impordi ja ekspordi spetsialist
C001822_et_000	tüürimees
C001823_et_000	jalatsitööstuse tootmisjuht
C001824_et_000	klaasipuhuja
C001825_et_000	päästekeskuse juht
C001826_et_000	jookide segamismasina operaator
C001826_et_001	alkoholivabade jookide valmistaja
C001826_et_002	karastavate jookide valmistaja
C001826_et_003	karastusjookide operaator
C001826_et_004	mittealkohoolsete jookide valmistaja
C001827_et_000	IKT võrgutehnik
C001827_et_001	võrguhooldustehnik
C001827_et_002	võrguhooldustehnikud
C001827_et_003	võrgutehnikud
C001828_et_000	poliitikajuht
C001829_et_000	kiirabiautojuht-kiirabitehnik
C001829_et_001	erakorralise meditsiini tehnik
C001829_et_002	kiirabitehnik
C001830_et_000	masinate, tööstusseadmete, laevade ja õhusõidukite hulgikaupleja
C001831_et_000	tekstiilitööstuse kvaliteedijuht
C001832_et_000	vangla kriminaalhooldusametnik
C001833_et_000	sünteesmaterjalide tehnoloog
C001834_et_000	elektroonikaseadmete koostaja
C001835_et_000	bussiliikluse korraldaja
C001836_et_000	värvinäidiste tehnik
C001837_et_000	laulja
C001838_et_000	riskikapitalist
C001839_et_000	juhtkoera treener
C001840_et_000	ümbrikuvalmistaja
C001841_et_000	loomafarmi tööline
C001841_et_001	loomatalitaja
C001841_et_002	talitaja
C001842_et_000	piimatoodete ja toiduõlide impordi ja ekspordi juht
C001843_et_000	tööhõiveprogrammi koordinaator
C001844_et_000	tallitööline
C001844_et_001	hobuhooldaja
C001844_et_002	hobuste hooldaja
C001844_et_003	tallimees
C001844_et_004	tallipoiss
C001844_et_005	tallitöötaja
C001845_et_000	mööbli, vaipade ja valgustite hulgikaupleja
C001846_et_000	põranda- ja seinakattematerjalide kaupluse juhataja
C001847_et_000	pastoraalnõustaja
C001848_et_000	kunstiteaduse õppejõud
C001849_et_000	fotograaf
C001850_et_000	mootorsõiduki elektrik
C001851_et_000	pulmakorraldaja
C001852_et_000	noorte hoolekandetöötaja
C001853_et_000	õigusvahemees
C001854_et_000	hüdrograafiauuringute tehnik
C001855_et_000	metalli jadasälkamispingi operaator
C001856_et_000	kiropraktiku assistent
C001856_et_001	kiropraktiku abiline
C001857_et_000	kaevisetöötleja
C001858_et_000	katusetööde juhataja
C001859_et_000	turuanalüütik
C001860_et_000	pensioniametnik
C001861_et_000	kakaoubade röstija
C001861_et_001	kakaoröstija
C001861_et_002	ubade röstija
C001862_et_000	vääriskivide paigaldaja
C001863_et_000	töötervishoiu ja tööohutuse inspektor
C001864_et_000	kellade ja ehete turustusjuht
C001865_et_000	ehtekoostaja
C001866_et_000	vabaõhutegevusjuht
C001867_et_000	mee ekstraheerija
C001867_et_001	mee kärgedest eraldaja
C001867_et_002	meevurritaja
C001868_et_000	tööstusettevõtte haldusjuht
C001869_et_000	töötleva tööstuse insener
C001870_et_000	tekstiilitoodete arendaja
C001871_et_000	savipõletusahju operaator
C001872_et_000	erakorralise meditsiiniabi operatiivkorraldaja
C001873_et_000	kõrghariduse õppejõud
C001874_et_000	tarbekaupade inspektor
C001875_et_000	dietoloogi assistent
C001876_et_000	bioinformaatik
C001877_et_000	vedurijuhtimise eriala kutseõpetaja
C001878_et_000	vesiviljeluse bioloog
C001879_et_000	toidu biotehnoloog
C001879_et_001	biotehnoloog
C001879_et_002	toiduainete biotehnoloog
C001879_et_003	toidutehnoloog
C001880_et_000	arvutitarkvara ja multimeediaseadmete kaupluse juhataja
C001881_et_000	näituse kuraator
C001882_et_000	metallkonstruktsioonide tööline
C001883_et_000	metsatöötlusseadmete operaator
C001883_et_001	metsamasinate juht
C001883_et_002	metsamasinate operaator
C001884_et_000	graafiline disainer
C001885_et_000	vagunipolsterdaja
C001886_et_000	lennukikoristaja
C001887_et_000	lennujaama keskkonnainsener
C001888_et_000	õlipressi operaator
C001888_et_001	õlipressija
C001888_et_002	õlipressimisoperaator
C001889_et_000	mootorsõidukite müüja
C001890_et_000	tervishoiusotsiaaltöötaja
C001891_et_000	laevateenindaja
C001892_et_000	ärikonsultant
C001893_et_000	mullateadlane
C001894_et_000	ehituse maalritööde juhataja
C001895_et_000	kodutute hoolekande spetsialist
C001896_et_000	postkontori letiteenindaja
C001897_et_000	tingimisi vabastatute hooldusametnik
C001898_et_000	kõnekeskuse töödejuhataja
C001899_et_000	kämpingu juht
C001899_et_001	kämpingu juhataja
C001899_et_002	kämpinguala haldaja
C001900_et_000	jätkuhariduse õpetaja
C001901_et_000	astroloog
C001902_et_000	politseikooli õppejõud
C001903_et_000	kalalaeva abimehaanik
C001904_et_000	sisserändepoliitika spetsialist
C001905_et_000	filmioperaator
C001906_et_000	suhkru, šokolaadi ja suhkrukondiitritoodete hulgikaupleja
C001907_et_000	kalarookija
C001907_et_001	kalapuhastaja
C001907_et_002	kalatrimmija
C001908_et_000	peadirektor
C001909_et_000	metsandusinspektor
C001910_et_000	kontoriassistent
C001911_et_000	avalike suhete juht
C001912_et_000	kiilrihmaviimistleja
C001913_et_000	kommunikatsiooniteadlane
C001914_et_000	turismi tootejuht
C001914_et_001	arendusjuht
C001914_et_002	tootejuht
C001914_et_003	turismitoote arendusjuht
C001915_et_000	laeva vahimehaanik
C001916_et_000	kohaliku omavalitsuse juht
C001917_et_000	üritustel ajutiste konstruktsioonide ehitaja
C001918_et_000	töösuhete analüütik
C001919_et_000	klaasimaalija
C001920_et_000	ehitusjärelevalve inspektor
C001921_et_000	usuteadlane
C001922_et_000	kodumajapidaja
C001923_et_000	kõvajoodisjootja
C001924_et_000	tekstiilide värvitehnoloog
C001925_et_000	päikesejõujaama operaator
C001926_et_000	silmuskudumismasina operaator
C001927_et_000	kinnipidamisasutuse juht
C001928_et_000	valtspingi operaator
C001929_et_000	biokeemik
C001930_et_000	optik
C001931_et_000	jalatsiõmblusmasinate operaator
C001932_et_000	gaseerimismasinaoperaator
C001932_et_001	gaseerija
C001932_et_002	gaseerimisoperaator
C001932_et_003	süsihappegaasi lisamise masina operaator
C001933_et_000	vaakumvormimismasina operaator
C001934_et_000	õppeasutuse vastuvõtukoordinaator
C001935_et_000	vabaõhutegevuskoordinaator
C001936_et_000	alaealiste korrektsioonikeskuse spetsialist
C001937_et_000	elektroonika- ja sideseadmete tehnikamüügi esindaja
C001938_et_000	arvjuhtimise vahendite ja protsessijuhtimise programmeerija
C001939_et_000	kontorijuhataja
C001940_et_000	tekstiilitööstusmasinate hulgikaupleja
C001941_et_000	ööadministraator
C001941_et_001	administraator
C001941_et_002	vastuvõtuleti töötaja
C001941_et_003	ööaudiitor
C001942_et_000	lennuliikluse korraldaja
C001943_et_000	tekstiili ja selle pooltoodete ning toorainete impordi ja ekspordi juht
C001944_et_000	fotokaupluse juhataja
C001945_et_000	IKT-uuringute valdkonna nõustaja
C001945_et_001	IKT-uuringute valdkonna konsultandid
C001945_et_002	IKT-uuringute valdkonna konsultant
C001945_et_003	IKT-uuringute valdkonna nõustajad
C001946_et_000	liiklusmärkide paigaldaja
C001947_et_000	biogaasijaama operaator
C001947_et_001	biogaasi tootmise tehnik
C001948_et_000	paberivabriku töödejuhataja
C001949_et_000	kanalisatsioonisüsteemi torustiku hooldustööline
C001950_et_000	taksojuht
C001951_et_000	minimudelite valmistaja
C001952_et_000	staapelkiust lausriidemasina operaator
C001953_et_000	kohvi, tee, kakao ja maitseainete hulgikaupleja
C001954_et_000	projekteerimisinsener
C001955_et_000	turundusjuht
C001956_et_000	puu- ja köögivilja töötleja
C001956_et_001	puu- ja köögivilja konserveerija
C001956_et_002	puu- ja köögivilja käitleja
C001957_et_000	kaameraoperaator
C001958_et_000	võidukoefitsientide koostaja
C001959_et_000	steriliseerija
C001960_et_000	tekstiili-, naha- ja jalatsitehnoloogia teadur
C001961_et_000	veiste sõrgade hooldaja
C001961_et_001	veiste sõrahooldaja
C001961_et_002	värkija
C001962_et_000	õhuliinielektrik
C001963_et_000	blanšeerimisoperaator
C001963_et_001	blanšeerimismasina operaator
C001963_et_002	pähklikoorimise operaator
C001963_et_003	pähklitöötluse operaator
C001964_et_000	andmekvaliteedi spetsialist
C001964_et_001	andmekvaliteedi spetsialistid
C001964_et_002	andmete kvaliteedi spetsialist
C001964_et_003	andmete kvaliteedi spetsialistid
C001965_et_000	kalakonservimise operaator
C001965_et_001	kala konservtoodete operaator
C001965_et_002	kalade konservimise operaator
C001965_et_003	kalakonservide tootmistööline
C001965_et_004	kalakonservide valmistamise operaator
C001966_et_000	spordiajakirjanik
C001967_et_000	pelletipressi operaator
C001968_et_000	sõidueelse teeninduse töötaja
C001969_et_000	põllumajandusinspektor
C001970_et_000	fotofilmiilmutaja
C001971_et_000	video ja filmi abiinspitsient
C001972_et_000	akukoostaja
C001973_et_000	paberist kirjatarvete tootmise operaator
C001974_et_000	ehitusmaterjalikaupluse müüja
C001975_et_000	kaupluse turvaülem
C001976_et_000	süvendustööde juhataja
C001977_et_000	üldarst
C001978_et_000	jalatsite ja nahkgalanterii müüja
C001979_et_000	linnavolikogu liige
C001980_et_000	mahlapressi operaator
C001980_et_001	mahlapressija
C001980_et_002	mahlapressimise operaator
C001980_et_003	mahlapressimisoperaator
C001981_et_000	elektrijaama operaator
C001982_et_000	karvaeemalduse spetsialist
C001983_et_000	kliendisuhete juht
C001984_et_000	küttesüsteemide paigaldaja ja hooldaja
C001985_et_000	matemaatik
C001986_et_000	usaldusfondi haldur
C001987_et_000	värvieemaldusflotaatori operaator
C001988_et_000	kriisireguleerimise koordinaator
C001989_et_000	fototoimetaja
C001990_et_000	visuaalkunsti õpetaja
C001991_et_000	nahktoodete ja -aksessuaaride käsitsivalmistaja
C001992_et_000	eritoodete turustusjuht
C001993_et_000	suhkru, šokolaadi ja suhkrukondiitritoodete impordi ja ekspordi spetsialist
C001994_et_000	muusikariistade tehnik esinemispaigas
C001995_et_000	linnaseahju operaator
C001995_et_001	linnasepõletamise operaator
C001995_et_002	linnaseröstija
C001996_et_000	toateenija
C001996_et_001	koristaja
C001996_et_002	puhastusteenindaja
C001996_et_003	toateeninduse töötaja
C001996_et_004	tubade koristaja
C001997_et_000	IKT integratsioonitestija
C001997_et_001	integratsiooni katsetaja
C001997_et_002	integratsiooni katsetajad
C001997_et_003	integratsiooni testija
C001997_et_004	integratsiooni testijad
C001997_et_005	integreerituse katsetaja
C001997_et_006	integreerituse katsetajad
C001997_et_007	integreerituse testijad
C001997_et_008	lõimituse katsetaja
C001997_et_009	lõimituse katsetajad
C001997_et_010	lõimituse testija
C001997_et_011	lõimituse testijad
C001998_et_000	tikkija
C001999_et_000	paberkotimasina operaator
C002000_et_000	tellimuste haldaja
C002001_et_000	lasermarkeerimisseadme operaator
C002002_et_000	laborimeditsiini eriala kutseõpetaja
C002003_et_000	aurumasinate operaator
C002004_et_000	haigla sotsiaaltöötaja
C002005_et_000	kindlustustoodete juht
C002006_et_000	vääriskivide lõikaja
C002007_et_000	puu- ja köögivilja turustusjuht
C002008_et_000	senaator
C002009_et_000	teadus- ja arendustegevuse juht
C002010_et_000	kummitoodete koostaja
C002011_et_000	siseveetranspordi üldjuht
C002012_et_000	kanalisatsioonisüsteemi torustiku ehitustööline
C002013_et_000	sisedekoraator
C002014_et_000	elektrijaotusvõrgu operaator
C002015_et_000	pihustusseadmetega värvija-lakkija
C002016_et_000	tekstiilitootmisprotsesside juht
C002017_et_000	ülemteener
C002018_et_000	ohtlike veoste ohutusnõunik
C002019_et_000	toote koostamise inspektor
C002020_et_000	aroomiterapeut
C002021_et_000	pangajuht
C002022_et_000	konservaator
C002023_et_000	raudteehooldustehnik
C002024_et_000	naftainsener
C002025_et_000	grafoloog
C002026_et_000	kriisisekkumise sotsiaaltöötaja
C002027_et_000	päikeseenergiaseadmete tehnik
C002028_et_000	raudtee-elektroonika tehnik
C002029_et_000	torujuhtme hooldustööline
C002030_et_000	mööblikaupluse juhataja
C002031_et_000	rõivaste modelleerija-visualiseerija
C002031_et_001	rõivaste CAD-süsteemis modelleerija,
C002032_et_000	radioloogiatehnik
C002033_et_000	kaalunõustaja
C002034_et_000	audiovisuaalala tehnik
C002035_et_000	metallkudumite valmistaja
C002036_et_000	vandekohtu koordinaator
C002037_et_000	mootorrattakoostaja
C002038_et_000	suurtükiväeohvitser
C002039_et_000	IKT-audiitorite juht
C002039_et_001	IKT kontrolliinspektorite juhid
C002039_et_002	IKT kontrolliinspektorite juht
C002039_et_003	IKT kontrollispetsialistide juhid
C002039_et_004	IKT kontrollispetsialistide juht
C002039_et_005	IKT-audiitorite juhid
C002040_et_000	Montessori kooli õpetaja
C002041_et_000	kasutuselevõtu insener
C002042_et_000	hambatehnik
C002042_et_001	hambaravitehnik
C002043_et_000	varieteenäitleja
C002044_et_000	eetiline häkker
C002044_et_001	haavatavuse analüütik
C002044_et_002	haavatavuse analüütikud
C002044_et_003	haavatavuse testija
C002044_et_004	haavatavuse testijad
C002044_et_005	turvalisuse testija
C002044_et_006	turvalisuse testijad
C002045_et_000	juveeliraamija
C002046_et_000	ortoptist
C002047_et_000	puhkerajatise juht
C002048_et_000	eradetektiiv
C002049_et_000	piletikontrolör
C002050_et_000	pihustuslamineerimismasina operaator
C002051_et_000	parfümeeria- ja kosmeetikatoodete müüja
C002052_et_000	metsatööline
C002052_et_001	metsamees
C002052_et_002	metsatöötaja
C002052_et_003	saemees
C002053_et_000	sisekujundaja
C002054_et_000	tuumatehnik
C002055_et_000	IKT turbejuht
C002055_et_001	IKT turbejuhid
C002055_et_002	IKT turvajuhid
C002055_et_003	IKT turvajuht
C002055_et_004	IKT-turbe koordinaator
C002055_et_005	IKT-turbe koordinaatorid
C002055_et_006	IKT-turvalisuse koordinaator
C002055_et_007	IKT-turvalisuse koordinaatorid
C002056_et_000	lumelauainstruktor
C002057_et_000	fotoonika insener
C002058_et_000	regulatiivvaldkonna juht
C002059_et_000	puitmööblimasina operaator
C002060_et_000	keermerullimispingi operaator
C002061_et_000	elektromehaanikainsener
C002062_et_000	moekunstnik
C002063_et_000	reprograafiatehnik
C002064_et_000	rahvusvaheliste suhete ametnik
C002065_et_000	veebikujundaja
C002066_et_000	kapslitäitmismasina operaator
C002067_et_000	robootikatehnik
C002068_et_000	turu-uuringu küsitleja
C002069_et_000	töödeldud naha laojuht
C002070_et_000	mootorsõidukiosade koostaja
C002071_et_000	torutranspordi juht
C002072_et_000	töökaitsespetsialist
C002073_et_000	jäätmete ja jääkide hulgikaupleja
C002074_et_000	tantsuterapeut
C002075_et_000	avaliku sektori pearaamatupidaja
C002076_et_000	vürtsisegamismasina operaator
C002076_et_001	vürtside käitleja
C002076_et_002	vürtside segaja
C002076_et_003	vürtsikäitleja
C002076_et_004	vürtsisegude valmistaja
C002077_et_000	koolibussisaatja
C002078_et_000	lavakunstikooli tantsuõpetaja
C002079_et_000	erivajadustega täiskasvanute tugiisik
C002080_et_000	teekattemärgistuse paigaldaja
C002081_et_000	helirežissöör
C002082_et_000	puu- ja köögiviljakaupluse juhataja
C002083_et_000	gümnaasiumi abiõpetaja
C002084_et_000	kütte-, ventilatsiooni-, külmutus- ja kliimaseadmete paigaldus- ja hooldusmehaanik
C002085_et_000	reisiagent
C002086_et_000	tööriistainsener
C002087_et_000	litsentsivaldkonna juht
C002088_et_000	läbinduskilbi operaator
C002089_et_000	rekvisiitide valmistaja
C002090_et_000	hasartmängude õigusnormidele vastavuse ja infoturbe direktor
C002091_et_000	ringlussevõtu spetsialist
C002092_et_000	finantsriski analüütik
C002093_et_000	keevitaja
C002094_et_000	pinnaveeseire tehnik
C002095_et_000	rafineerimistehase vahetuse vanem
C002095_et_001	naftatöötlusettevõtte vahetuse meister
C002096_et_000	tehnoloogiajuht
C002096_et_001	tehnikadirektor
C002096_et_002	tehnikadirektorid
C002096_et_003	tehnikajuhid
C002096_et_004	tehnikajuht
C002096_et_005	tehnoloogiadirektor
C002096_et_006	tehnoloogiadirektorid
C002096_et_007	tehnoloogiajuhid
C002097_et_000	spordikorraldaja
C002098_et_000	farmatseut
C002099_et_000	õigusloome ametnik
C002100_et_000	hingamisravi tehnik
C002100_et_001	hingamisterapeut
C002100_et_002	respiratoorse teraapia tehnik
C002101_et_000	kaevanduse planeerimise insener
C002102_et_000	gaasijaotusinsener
C002103_et_000	kindlustusriski konsultant
C002104_et_000	videokunstnik
C002105_et_000	nahktoodete kvaliteeditehnik
C002106_et_000	proviisor
C002107_et_000	teedeehituse töödejuhataja
C002108_et_000	veeremiinsener
C002109_et_000	pumbaoperaator
C002110_et_000	loomaaia giid
C002111_et_000	kaevanduse juhtimiskeskuse operaator
C002112_et_000	kindavalmistaja
C002113_et_000	autopesija
C002114_et_000	piiritusetehase mölder
C002114_et_001	destilleerimistehase mölder
C002114_et_002	jahujahvataja
C002114_et_003	mölder
C002114_et_004	piiritustehase mölder
C002114_et_005	viinavabriku mölder
C002115_et_000	elektrienergia jaotussüsteemi operaator
C002116_et_000	loomade varjupaiga töötaja
C002117_et_000	diagnostika valdkonna radioloogiatehnik
C002118_et_000	rekvisiidiala juhataja
C002119_et_000	õmblusmasina operaator
C002120_et_000	õhusõiduki gaasiturbiinmootori remondimehaanik
C002121_et_000	suulise tõlke büroo juht
C002122_et_000	toiduohutuse inspektor
C002122_et_001	toidu kvaliteedikontrollija
C002122_et_002	toiduinspektor
C002122_et_003	toiduohutuse kontrollija
C002122_et_004	toiduohutusinspektor
C002123_et_000	metallitöötlustreipingi operaator
C002124_et_000	nahaviimistluse operaator
C002125_et_000	arvutite, arvutite välisseadmete ja tarkvara impordi ja ekspordi juht
C002126_et_000	polügrafist
C002127_et_000	loomakäitumise spetsialist
C002127_et_001	loomade käitumise spetsialistid
C002127_et_002	loomade käitumise uurija
C002127_et_003	loomade käitumise uurijad
C002128_et_000	metalltoodete tootmise töödejuhataja
C002129_et_000	jookide filtreerimise tehnik
C002129_et_001	joogifiltreerimise tehnik
C002129_et_002	jookide filtreerija
C002129_et_003	jookide selitamise tehnik
C002130_et_000	helilooja
C002131_et_000	psühholoogiaõppejõud
C002132_et_000	ostukeskuse juht
C002133_et_000	puidupuurimismasina operaator
C002134_et_000	sissepääsu turvatöötaja
C002135_et_000	liha pooltoodete töötlemise operaator
C002135_et_001	lihatöötleja
C002135_et_002	lihatöötlemisoperaator
C002135_et_003	lihatöötlusoperaator
C002136_et_000	kinnisvarainvestor
C002137_et_000	puittoodete koostaja
C002138_et_000	kirjakandja
C002139_et_000	hüdroelektrijaama tehnik
C002140_et_000	muusika- ja videokaupluse juhataja
C002141_et_000	ringhäälingu programmidirektor
C002142_et_000	mikrosüsteemide insener
C002143_et_000	füüsik
C002144_et_000	kohanäitaja
C002145_et_000	raamatuõmblusmasina operaator
C002146_et_000	lennujaama perroonikorraldaja
C002147_et_000	veepuhastusjaama tehnik
C002148_et_000	sügavtrükkpressi operaator
C002149_et_000	kontorimasinate ja -seadmete hulgikaupleja
C002150_et_000	toornaha, naha ja nahktoodete turustusjuht
C002151_et_000	logopeed
C002152_et_000	kellade ja ehete hulgikaupleja
C002153_et_000	graveerija
C002154_et_000	vesiviljeluse noorisendikasvanduse tehnik
C002155_et_000	kuivatioperaator
C002155_et_001	kuivati operaator
C002155_et_002	kuivatitööline
C002155_et_003	teraviljakuivataja
C002156_et_000	lindude soomääraja
C002156_et_001	kodulindude soomääraja
C002156_et_002	kodulindude soospetsialist
C002157_et_000	teine piloot
C002158_et_000	väärismetallide analüüsija
C002159_et_000	laotöötaja-kaubakäitleja
C002160_et_000	elusloomade impordi ja ekspordi spetsialist
C002161_et_000	Hiina loodusterapeut
C002162_et_000	veeremi mootoritestija
C002163_et_000	üldhariduskooli vanema astme ettevõtlus- ja majandusõpetaja
C002164_et_000	looduskaitseametnik
C002165_et_000	nahktooraine ostujuht
C002166_et_000	üldhariduskooli vanema astme kunstiõpetaja
C002167_et_000	juveeli- ja kellakaupluse müüja
C002168_et_000	IKT-teabe- ja -teadmushaldur
C002168_et_001	IKT-info- ja -teadmushaldur
C002168_et_002	IKT-info- ja -teadmushaldurid
C002168_et_003	IKT-info-teadmushaldur
C002168_et_004	IKT-info-teadmushaldurid
C002168_et_005	IKT-teabe- ja -teadmushaldurid
C002169_et_000	hüdraulika- ja pneumaatikainsener
C002170_et_000	suusainstruktor
C002171_et_000	teadmustehnoloogia insener
C002171_et_001	teadmusinsener
C002171_et_002	teadmusinsenerid
C002171_et_003	teadmustehnika insener
C002171_et_004	teadmustehnika insenerid
C002171_et_005	teadmustehnoloogia insenerid
C002172_et_000	hooldekodu spetsialist
C002173_et_000	köögi- ja vannitoasisustuse kaupluse juhataja
C002174_et_000	IKT võrguadministraator
C002174_et_001	võrguadministraatorid
C002174_et_002	võrguhaldur
C002174_et_003	võrguhaldurid
C002175_et_000	piima vastuvõtja
C002175_et_001	piima vastuvõtu operaator
C002175_et_002	piima vastuvõtuoperaator
C002175_et_003	piimatehnik
C002176_et_000	õhusõiduki hooldusinsener
C002177_et_000	keemiatööstusettevõtte juht
C002178_et_000	rongijuht
C002179_et_000	kutseõpetaja
C002180_et_000	väetisesegaja
C002181_et_000	majutusasutuse administraator
C002181_et_001	külastajate vastuvõtja
C002181_et_002	registraator
C002181_et_003	retseptsionist
C002181_et_004	vastuvõtulauas töötaja
C002181_et_005	vastuvõtutöötaja
C002182_et_000	lennuvälja hooldustehnik
C002183_et_000	logistika- ja turustusjuht
C002184_et_000	terratsopõranda ehitustööde juhataja
C002185_et_000	spordirajatise juht
C002186_et_000	mänguasjakaupluse müüja
C002187_et_000	õenduse ja ämmaemanduse eriala hooldusõdede kutseõpetaja
C002188_et_000	abiergoterapeut
C002189_et_000	mittepurustavate katsete spetsialist
C002190_et_000	juuksur-stilist
C002191_et_000	paleontoloog
C002192_et_000	kitarrimeister
C002193_et_000	IT-juht
C002193_et_001	IKT-direktor
C002193_et_002	IKT-direktorid
C002193_et_003	IKT-juh
C002193_et_004	IKT-juhid
C002193_et_005	IT-direktor
C002193_et_006	IT-direktorid
C002193_et_007	IT-juhid
C002193_et_008	infodirektor
C002193_et_009	infodirektorid
C002193_et_010	infojuhid
C002193_et_011	infojuht
C002194_et_000	valimisametnik
C002195_et_000	elektroonikatootmise töödejuhataja
C002196_et_000	autojuhtide õpetaja
C002197_et_000	tõlkebüroo juht
C002198_et_000	tööriistateritaja
C002199_et_000	lepinguinsener
C002200_et_000	siseveelaeva motorist
C002201_et_000	veeremikoostaja
C002202_et_000	arvutite, arvuti välisseadmete ja tarkvara impordi ja ekspordi spetsialist
C002203_et_000	pereplaneerimise nõustaja
C002204_et_000	kalatootmise operaator
C002204_et_001	kalatoodete valmistamise operaator
C002204_et_002	kalatootja
C002205_et_000	uudisteankur
C002206_et_000	veeremi mootoriinspektor
C002207_et_000	pääsla turvatöötaja
C002208_et_000	veeloomade tervise spetsialist
C002209_et_000	kuluanalüütik
C002210_et_000	üritusekorraldaja assistent
C002211_et_000	rõivaste CAD-süsteemis modelleerimistehnik
C002212_et_000	pinnaseuuringute tehnik
C002213_et_000	loomahoidja
C002213_et_001	loomade hoidja
C002213_et_002	loomade hoidjad
C002213_et_003	loomahoidjad
C002214_et_000	plastmööbli valmistaja
C002215_et_000	valmisliha operaator
C002215_et_001	liha töötlemise operaator
C002215_et_002	lihatoodete operaator
C002215_et_003	lihatöötleja
C002215_et_004	töödeldud liha operaator
C002216_et_000	kaevandus- ja ehitusmasinate impordi ja ekspordi juht
C002217_et_000	kaskadöör
C002218_et_000	maksuassistent
C002219_et_000	müügiinsener
C002220_et_000	sõjakooli instruktor
C002221_et_000	kohaliku omavalitsuse sotsiaalhoolekandetöötaja
C002222_et_000	matusekorraldaja
C002223_et_000	tekstiilitehnoloog
C002224_et_000	tekstiili kvaliteediinspektor
C002225_et_000	maitse- ja lõhnaaistingute uurija
C002226_et_000	kraatide eemaldamise masina operaator
C002227_et_000	saekaatri operaator
C002228_et_000	kasutajaliideste arendaja
C002228_et_001	kasutajaliideste arendajad
C002228_et_002	kasutajaliideste projekteerija
C002228_et_003	kasutajaliideste projekteerijad
C002228_et_004	kasutajaliideste väljatöötaja
C002228_et_005	kasutajaliideste väljatöötajad
C002229_et_000	automaatkoosteliini operaator
C002230_et_000	mineraloog
C002231_et_000	puurplatvormi lihttööline
C002232_et_000	sõjandusspetsialist
C002233_et_000	elektriinsener
C002234_et_000	betoontootemasinate operaator
C002235_et_000	mägigiid
C002236_et_000	kodumasinate müüja
C002237_et_000	keemiatoodete turustusjuht
C002238_et_000	lavakujundaja
C002239_et_000	puuseppade töödejuhataja
C002240_et_000	keemialaborant
C002241_et_000	rõivaste viimistleja-pakkija
C002242_et_000	piimasaaduste tootmistööline
C002242_et_001	piimasaaduste tööstustööline
C002242_et_002	piimatoodete tootmistööline
C002242_et_003	piimatööstuse tööline
C002243_et_000	põetaja
C002243_et_001	abipõetaja
C002243_et_002	abiõde
C002243_et_003	haigepõetaja
C002243_et_004	hooldaja
C002243_et_005	hooldaja-sanitar
C002243_et_006	hooldusõde
C002244_et_000	kihlveokontori juhataja
C002245_et_000	valgusoperaator
C002246_et_000	laskemoonakaupluse juhataja
C002247_et_000	inimõiguste ametnik
C002248_et_000	autoparkija
C002249_et_000	värval
C002250_et_000	laevamehaanik
C002251_et_000	elektritööde juhataja
C002252_et_000	värvieemalduspesuri operaator
C002253_et_000	tuletõrjuja
C002254_et_000	miniatuursete filimirekvisiitide disainer-valmistaja
C002255_et_000	muusikaõppeasutuse muusikaõpetaja
C002256_et_000	laevamootorite koostaja
C002257_et_000	kiukerimismasina operaator
C002258_et_000	vabaajategevuste korraldaja
C002259_et_000	savitoodete kuivatusahju operaator
C002260_et_000	veeliikluse korraldaja
C002261_et_000	elektroonika- ja telekommunikatsiooniseadmete ning nende osade impordi ja ekspordi juht
C002262_et_000	nukumeister
C002263_et_000	kellade ja ehete impordi ja ekspordi spetsialist
C002264_et_000	grandihaldur
C002265_et_000	gaasitootmisinsener
C002266_et_000	metallosade valmistaja ja treial
C002267_et_000	võttepaikade koordinaator
C002268_et_000	üldhariduskooli vanema astme geograafiaõpetaja
C002269_et_000	septikute hooldusmehaanik
C002270_et_000	IKT-konto haldur
C002270_et_001	IKT-konto haldurid
C002270_et_002	klientide IKT-kontode haldur
C002270_et_003	klientide IKT-kontode haldurid
C002271_et_000	ökoloog
C002272_et_000	kullassepp
C002273_et_000	jalatsitööstuse kvaliteeditehnik
C002274_et_000	emissioonikorraldaja
C002275_et_000	eralennuki piloot
C002276_et_000	lavameister
C002277_et_000	dietoloog
C002278_et_000	kromatograafia laborant
C002279_et_000	toidu ja jookide pakenditehnoloog
C002279_et_001	pakendamise tehnoloog
C002279_et_002	toidu ja jookide pakendustehnoloog
C002279_et_003	toitude ja jookide pakenditehnoloog
C002280_et_000	prügila töödejuhataja
C002281_et_000	laevasepp
C002282_et_000	kosmoseteaduse õppejõud
C002283_et_000	riigikaitseasutuse haldusametnik
C002284_et_000	värvisegaja
C002285_et_000	metalligraveerija
C002286_et_000	viinamarjaistanduse juhataja
C002287_et_000	mootorsõiduki mootoriinspektor
C002288_et_000	IKT-projektijuht
C002288_et_001	IKT-projektide juhid
C002288_et_002	IKT-projektijuhid
C002289_et_000	torujuhtme ühendamise koordinaator
C002290_et_000	elektritööriistade mehaanik
