C000001_lv_000	Armijas profesijas
C002110_lv_002	zoodārza gids
C002110_lv_003	zooloģiskā dārza gide
C002110_lv_004	zooloģiskā dārza speciālists
C002111_lv_000	raktuvju kontroles telpas operators
C002111_lv_001	raktuvju kontroles telpas operatore
C002112_lv_000	cimdu izgatavotājs
C002112_lv_001	cimdu izgatavotāja
C002113_lv_000	transportlīdzekļu tīrītājs
C002113_lv_001	transportlīdzekļu tīrītāja
C002114_lv_000	malējs spirta rūpnīcā
C002114_lv_001	malēja spirta rūpnīcā
C002114_lv_002	spirta rūpnīcas dzirnavnieks
C002115_lv_000	elektropārvades sistēmas operators
C002115_lv_001	elektropārvades sistēmas operatore
C002116_lv_000	dzīvnieku patversmes darbinieks
C002116_lv_001	dzīvnieku kopējs
C002116_lv_002	dzīvnieku patversmes darbiniece
C002117_lv_000	radiogrāfers diagnosts
C002117_lv_001	radiogrāfere diagnoste
C002118_lv_000	darbnīcas vadītājs
C002118_lv_001	ceha vadītājs
C002118_lv_002	darbnīcas vadītāja
C002118_lv_003	dekorāciju darbnīcas vadītājs
C002118_lv_004	ražošanas ceha vadītājs
C002118_lv_005	teātra darbnīcas vadītājs
C002119_lv_000	šūšanas iekārtu operators
C002119_lv_001	šūšanas iekārtu operatore
C002120_lv_000	gāzes turbīnu dzinēju mehāniķis
C002120_lv_001	gāzes turbīnu dzinēju mehāniķe
C002121_lv_000	mutiskās tulkošanas aģentūras vadītājs
C002121_lv_001	mutiskās tulkošanas aģentūras vadītāja
C002121_lv_002	mutiskās tulkošanas biroja vadītājs
C002122_lv_000	pārtikas produktu kvalitātes inspektors
C002122_lv_001	pārtikas produktu kvalitātes inspektore
C002123_lv_000	metālapstrādes virpas operators
C002123_lv_001	metālapstrādes virpas operatore
C002124_lv_000	ādas apstrādes iekārtas operators
C002124_lv_001	ādas apstrādes mašīnas operatore
C002124_lv_002	ādas apstrādes mašīnas operators
C002125_lv_000	datoru, to perifēro iekārtu un programmatūru importa un eksporta vadītājs
C002125_lv_001	datoru, to perifēro iekārtu un programmatūras importa un eksporta vadītāja
C002125_lv_002	datoru, to perifēro iekārtu un programmatūras importa un eksporta vadītājs
C002126_lv_000	poligrāfa eksaminētājs
C002126_lv_001	poligrāfa ekspertīzes speciālists
C002126_lv_002	poligrāfa ekspertīžu speciālists
C002126_lv_003	poligrāfa speciāliste
C002126_lv_004	poligrāfa speciālists
C002127_lv_000	zoopsihologs
C002127_lv_001	dzīvnieku uzvedības speciāliste
C002127_lv_002	dzīvnieku uzvedības speciālists
C002127_lv_003	zoopsiholoģe
C002128_lv_000	metāla ražošanas procesu uzraugs
C002128_lv_001	metāla ražošanas procesu uzraudze
C002128_lv_002	metālizstrādājumu ražošanas procesu uzraugs
C002129_lv_000	dzērienu filtrēšanas tehniķis
C002129_lv_001	dzērienu filtrēšanas operators
C002129_lv_002	dzērienu filtrēšanas tehniķe
C002130_lv_000	komponists
C002130_lv_001	komponiste
C002131_lv_000	psiholoģijas lektors
C002131_lv_001	psiholoģijas docents
C002131_lv_002	psiholoģijas lektore
C002131_lv_003	psiholoģijas pasniedzējs
C002131_lv_004	psiholoģijas profesors
C002132_lv_000	universālveikala vadītājs
C002132_lv_001	universālveikala vadītāja
C002133_lv_000	koka urbšanas iekārtas operators
C002133_lv_001	koka urbšanas iekārtas operatore
C002134_lv_000	durvju apsargs
C002134_lv_001	bāra apsargs
C002134_lv_002	diskotēkas apsargs
C002134_lv_003	naktskluba apsargs
C002135_lv_000	gaļas kulinārs
C002135_lv_001	gaļas kulināre
C002135_lv_002	gaļas pārstrādātājs
C002136_lv_000	nekustamo īpašumu investors
C002136_lv_001	nekustamo īpašumu investore
C002137_lv_000	koka izstrādājumu komplektētājs
C002137_lv_001	koka izstrādājumu komplektētāja
C002138_lv_000	pastnieks
C002138_lv_001	pastniece
C002139_lv_000	hidroenerģijas tehniķis
C002139_lv_001	hidroenerģijas tehniķe
C002140_lv_000	mūzikas ierakstu un video ierakstu veikala vadītājs
C002140_lv_001	mūzikas ierakstu un video ierakstu veikala vadītāja
C002141_lv_000	programmu direktors
C002141_lv_001	programmu direktore
C002141_lv_002	ētera režisors
C002142_lv_000	mikrosistēmu inženieris
C002142_lv_001	mikroelektromehānisko sistēmu inženieris
C002142_lv_002	mikrosistēmu inženiere
C002143_lv_000	fiziķis
C002143_lv_001	astrofiziķis
C002143_lv_002	atomfiziķis
C002143_lv_003	biofizķis
C002143_lv_004	fiziķe
C002143_lv_005	kodolfiziķis
C002144_lv_000	vietu ierādītājs
C002144_lv_001	vietu ierādītāja
C002145_lv_000	grāmatsējējs diegu šujmašīnas operators
C002145_lv_001	grāmatsējēja diegu šujmašīnas operatore
C002146_lv_000	lidaparātu manevru signalizētājs
C002146_lv_001	gaisa kuģu manevru signalizētāja
C002146_lv_002	gaisa kuģu manevru signalizētājs
C002147_lv_000	ūdens attīrīšanas stacijas tehniķis
C002147_lv_001	dzeramā ūdens attīrīšanas iekārtu operators
C002147_lv_002	ūdens attīrīšanas stacijas tehniķe
C002147_lv_003	ūdens ķīmiskās apstrādes tehniķis
C002148_lv_000	dobspiedējs
C002148_lv_001	dobspiedes operators
C002148_lv_002	dobspiedēja
C002149_lv_000	biroja ierīču un iekārtu vairumtirgotājs
C002149_lv_001	biroja ierīču un iekārtu vairumtirgotāja
C002150_lv_000	jēlādu un izstrādātu ādu izplatīšanas vadītājs
C002150_lv_001	jēlādu un izstrādātu ādu sadales vadītāja
C002150_lv_002	jēlādu un izstrādātu ādu sadales vadītājs
C002151_lv_000	runas terapeits
C002151_lv_001	logopēds
C002151_lv_002	runas terapeite
C002152_lv_000	pulksteņu un juvelierizstrādājumu vairumtirgotājs
C002152_lv_001	pulksteņu un juvelierizstrādājumu vairumtirgotāja
C002153_lv_000	klišejists
C002153_lv_001	klišejiste
C002154_lv_000	akvakultūras audzēšanas tehniķis
C002154_lv_001	akvakultūras audzēšanas tehniķe
C002155_lv_000	kaltes uzraugs
C002155_lv_001	graudu apstrādes operators
C002155_lv_002	kaltes uzraudze
C002156_lv_000	cāļu dzimuma noteicējs
C002156_lv_001	cāļu dzimuma identificētāja
C002156_lv_002	cāļu dzimuma identificētājs
C002156_lv_003	cāļu dzimuma noteicēja
C002157_lv_000	otrais pilots
C002157_lv_001	otrā pilote
C002158_lv_000	raudzes un proves noteicējs
C002158_lv_001	proves noteicējs
C002158_lv_002	raudzes noteicējs
C002158_lv_003	raudzes un proves noteicēja
C002159_lv_000	materiālu pārvietotājs
C002159_lv_001	materiālu pārvietotāja
C002160_lv_000	dzīvu lopu importa un eksporta speciālists
C002160_lv_001	dzīvu lopu importa un eksporta speciāliste
C002161_lv_000	ķīniešu tradicionālās medicīnas ārsts
C002161_lv_001	ķīniešu tradicionālās medicīnas ārste
C002162_lv_000	ritošā sastāva dzinēju testētājs
C002162_lv_001	ritošā sastāva dzinēju testētāja
C002163_lv_000	vidusskolas uzņēmējdarbības un ekonomikas skolotājs
C002163_lv_001	uzņēmējdarbības un ekonomikas skolotāja vidusskolā
C002163_lv_002	uzņēmējdarbības un ekonomikas skolotājs vidusskolā
C002164_lv_000	dabas aizsardzības speciālists
C002164_lv_001	dabas aizsardzības speciāliste
C002164_lv_002	dabas aizsardzības vecākais speciālists
C002165_lv_000	ādas izejmateriālu iepirkumu vadītājs
C002165_lv_001	ādas izejmateriālu iepirkumu vadītāja
C002166_lv_000	vidusskolas mākslas priekšmetu skolotājs
C002166_lv_001	mākslas priekšmetu skolotāja vidusskolā
C002166_lv_002	mākslas priekšmetu skolotājs vidusskolā
C002167_lv_000	juvelierizstrādājumu un pulksteņu pārdevējs
C002167_lv_001	juvelierizstrādājumu un pulksteņu pārdevēja
C002168_lv_000	IKT informācijas un zināšanu pārvaldības speciālists
C002168_lv_001	IKT informācijas pārvaldības speciāliste
C002168_lv_002	IKT informācijas pārvaldības speciālists
C002168_lv_003	IKT informācijas un zināšanu pārvaldības speciāliste
C002168_lv_004	IKT zināšanu pārvaldības speciāliste
C002168_lv_005	IKT zināšanu pārvaldības speciālists
C002168_lv_006	IT informācijas un zināšanu pārvaldības speciāliste
C002168_lv_007	IT informācijas un zināšanu pārvaldības speciālists
C002169_lv_000	hidraulikas inženieris
C002169_lv_001	hidraulikas inženiere
C002170_lv_000	slēpošanas instruktors
C002170_lv_001	slēpošanas instruktore
C002170_lv_002	slēpošanas treneris
C002171_lv_000	zināšanu inženieris
C002171_lv_001	saistīto datu inženiere
C002171_lv_002	saistīto datu inženieris
C002171_lv_003	semantisko tehnoloģiju inženiere
C002171_lv_004	semantisko tehnoloģiju inženieris
C002171_lv_005	zināšanu inženiere
C002172_lv_000	sociālais aprūpētājs sociālās aprūpes centrā
C002172_lv_001	socialais aprūpētājs sociālās aprūpes centrā
C002172_lv_002	sociālā aprūpētāja sociālās aprūpes centrā
C002173_lv_000	virtuves un vannas istabas aprīkojuma veikala vadītājs
C002173_lv_001	virtuves un vannas istabas aprīkojuma veikala vadītāja
C002173_lv_002	virtuves un vannas istabas mēbeļu salona vadītājs
C002174_lv_000	IKT tīkla administrators
C002174_lv_001	IKT tīkla administratore
C002174_lv_002	tīkla administratore
C002174_lv_003	tīkla administrators
C002174_lv_004	tīkla atbalsta darbiniece
C002174_lv_005	tīkla atbalsta darbinieks
C002174_lv_006	tīkla inženiere
C002174_lv_007	tīkla inženieris
C002174_lv_008	tīkla pārvaldniece
C002174_lv_009	tīkla pārvaldnieks
C002174_lv_010	tīkla speciāliste
C002174_lv_011	tīkla speciālists
C002175_lv_000	piena pieņemšanas operators
C002175_lv_001	piena pieņemšanas operatore
C002175_lv_002	piena savācējs
C002176_lv_000	lidaparātu tehniskās ekspluatācijas mehānikas inženieris
C002176_lv_001	gaisa kuģu tehniskās ekspluatācijas mehānikas inženiere
C002176_lv_002	gaisa kuģu tehniskās ekspluatācijas mehānikas inženieris
C002176_lv_003	gaisa kuģu tehniskās ekspluatācijas mehānikas tehniķis
C002177_lv_000	ķīmiskās rūpnīcas vadītājs
C002177_lv_001	ķīmisko vielu rūpnīcas direktors
C002177_lv_002	ķīmiskās rūpnīcas vadītāja
C002178_lv_000	vilciena vadītājs
C002178_lv_001	vilciena vadītāja
C002179_lv_000	profesionālās izglītības pedagogs
C002179_lv_001	profesionālās ievirzes izglītības skolotājs
C002179_lv_002	profesionālās izglītības pedagoģe
C002179_lv_003	profesionālās izglītības skolotājs
C002180_lv_000	mēslojuma ražošanas operators
C002180_lv_001	mēslojuma jaucējs
C002180_lv_002	mēslojuma maisītājs
C002180_lv_003	mēslojuma ražošanas operatore
C002181_lv_000	viesnīcas administrators
C002181_lv_001	viesnīcas administratore
C002181_lv_002	viesnīcas klientu reģistratore
C002181_lv_003	viesnīcas klientu reģistrators
C002182_lv_000	lidostas ekspluatācijas tehniķis
C002182_lv_001	lidostas ekspluatācijas tehniķe
C002183_lv_000	loģistikas un izplatīšanas struktūrvienības vadītājs
C002183_lv_001	loģistikas un sadales struktūrvienības vadītāja
C002183_lv_002	loģistikas un sadales struktūrvienības vadītājs
C002184_lv_000	mozaīkbetona klāšanas uzraugs
C002185_lv_000	sporta iestādes vadītājs
C002185_lv_001	sporta iestādes vadītāja
C002186_lv_000	rotaļlietu un spēļu pārdevējs
C002187_lv_000	medicīnas māsu un vecmāšu apmācības pasniedzējs
C002187_lv_001	medicīnas māsu un vecmāšu apmācības pasniedzēja
C002188_lv_000	ergoterapeita asistents
C002188_lv_001	ergoterapeita asistente
C002189_lv_000	nesagraujošās testēšanas operators
C002189_lv_001	nesagraujošās pārbaudes veicējs
C002189_lv_002	nesagraujošās testēšanas operatore
C002190_lv_000	frizieris stilists
C002190_lv_001	friziere stiliste
C002190_lv_002	frizūru modelētājs
C002191_lv_000	paleontologs
C002191_lv_001	mikropaleontologs
C002191_lv_002	paleontoloģe
C002192_lv_000	ģitāru izgatavotājs
C002192_lv_001	stīgu instrumentu būvētājs
C002192_lv_002	stīgu izgatavotājs
C002192_lv_003	ģitāru izgatavotāja
C002193_lv_000	informācijas nodaļas vadītājs
C002193_lv_001	galvenais IT speciālists
C002193_lv_002	galvenā IT speciāliste
C002193_lv_003	informācijas nodaļas vadītāja
C002194_lv_000	priekšvēlēšanu kampaņas vadītājs
C002194_lv_001	priekšvēlēšanu kampaņas vadītāja
C002194_lv_002	vēlēšanu kampaņas vadītājs
C002195_lv_000	elektronisko iekārtu ražošanas procesu uzraugs
C002195_lv_001	elektronisko iekārtu ražošanas procesu uzraudze
C002196_lv_000	vieglās automašīnas vadīšanas instruktors
C002196_lv_001	vieglās automašīnas vadīšanas instruktore
C002197_lv_000	rakstiskās tulkošanas aģentūras vadītājs
C002197_lv_001	rakstiskās tulkošanas aģentūras vadītāja
C002197_lv_002	rakstiskās tulkošanas biroja vadītājs
C002198_lv_000	instrumentu asinātājs
C002198_lv_001	instrumentu asinātāja
C002199_lv_000	līgumu inženierkonsultants
C002199_lv_001	līgumu inženiere
C002199_lv_002	līgumu inženieris
C002199_lv_003	līgumu speciālists inženieris
C002200_lv_000	iekšējo ūdeņu kuģa matrozis motorists
C002200_lv_001	iekšējo ūdeņu kuģa matroze motoriste
C002201_lv_000	ritošā sastāva montieris
C002201_lv_001	ritošā sastāva montiere
C002202_lv_000	datoru, to perifēro iekārtu un programmatūras importa un eksporta speciālists
C002202_lv_001	datoru, to perifēro iekārtu un programmatūras importa un eksporta speciāliste
C002203_lv_000	ģimenes plānošanas konsultants
C002203_lv_001	konsultants ģimenes plānošanas jautājumos
C002203_lv_002	ģimenes plānošanas konsultante
C002204_lv_000	zivju apstrādes iekārtu operators
C002204_lv_001	zivju apstrādes iekārtu operatore
C002204_lv_002	zivju apstrādātājs
C002205_lv_000	ziņu reportieris
C002205_lv_001	radio un televīzijas komentētājs
C002205_lv_002	ziņu reportiere
C002206_lv_000	ritošā sastāva dzinēju inspektors
C002206_lv_001	ritošā sastāva dzinēju inspektore
C002207_lv_000	caurlaižu inspektors
C002207_lv_001	caurlaižu inspektore
C002208_lv_000	ūdensdzīvnieku veselības speciālists
C002208_lv_001	ūdensdzīvnieku veselības speciāliste
C002209_lv_000	izmaksu analītiķis
C002209_lv_001	izmaksu analītiķe
C002209_lv_002	izmaksu analīzes speciālists
C002210_lv_000	pasākumu organizatora asistents
C002210_lv_001	pasākumu organizatora asistente
C002210_lv_002	pasākumu vadītāja asistents
C002211_lv_000	apģērba datorizētās projektēšanas tehniķis
C002211_lv_001	apģērba datorizētās projektēšanas speciālists
C002211_lv_002	apģērba datorizētās projektēšanas tehniķe
C002212_lv_000	meliorācijas sistēmu būvtehniķis
C002212_lv_001	meliorācijas sistēmu būvtehniķe
C002213_lv_000	mājdzīvnieku aprūpētājs
C002213_lv_001	dzīvnieku aukle
C002213_lv_002	dzīvnieku auklīte
C002213_lv_003	dzīvnieku pieskatītāja
C002213_lv_004	dzīvnieku pieskatītājs
C002213_lv_005	mājdzīvnieku aprūpētāja
C002213_lv_006	mājdzīvnieku aukle
C002213_lv_007	mājdzīvnieku auklīte
C002213_lv_008	mājdzīvnieku pieskatītāja
C002213_lv_009	mājdzīvnieku pieskatītājs
C002214_lv_000	plastmasas mēbeļu ražošanas iekārtas operators
C002214_lv_001	plastmasas mēbeļu ražošanas iekārtas operatore
C002215_lv_000	gaļas izstrādājumu meistars
C002215_lv_001	gaļas izstrādājumu meistare
C002215_lv_002	gaļas pārstrādes operatore
C002215_lv_003	gaļas pārstrādes operators
C002216_lv_000	ieguves rūpniecības, būvniecības un inženierbūvniecības iekārtu importa un eksporta vadītājs
C002216_lv_001	ieguves rūpniecības, būvniecības un inženierbūvniecības iekārtu importa un eksporta vadītāja
C002217_lv_000	kaskadieris
C002217_lv_001	kaskadiere
C002218_lv_000	nodokļu administrators
C002218_lv_001	nodokļu administratore
C002219_lv_000	tirdzniecības inženieris
C002219_lv_001	pārdošanas inženiere
C002219_lv_002	pārdošanas inženieris
C002220_lv_000	bruņoto spēku instruktors
C002220_lv_001	bruņoto spēku instruktore
C002221_lv_000	mājaprūpes dienesta sociālais darbinieks
C002221_lv_001	mājaprūpes dienesta sociālā darbiniece
C002222_lv_000	apbedīšanas pakalpojumu speciālists
C002222_lv_001	apbedīšanas biroja vadītājs
C002222_lv_002	apbedīšanas pakalpojumu speciāliste
C002223_lv_000	tekstilmateriālu ražošanas tehnologs
C002223_lv_001	tekstilmateriālu ražošanas tehnoloģe
C002224_lv_000	tekstilmateriālu kvalitātes inspektors
C002224_lv_001	tekstilmateriālu kvalitātes inspektore
C002225_lv_000	maņu un sajūtu pētnieks
C002225_lv_001	maņu un sajūtu pētniece
C002225_lv_002	sensorisko reakciju pētnieks
C002226_lv_000	ēvelēšanas operators
C002226_lv_001	ēvelēšanas operatore
C002227_lv_000	kokzāģētavas operators
C002227_lv_001	kokzāģētavas operatore
C002228_lv_000	lietotāja saskarnes izstrādātājs
C002228_lv_001	lietotāja saskarnes izstrādātāja
C002228_lv_002	lietotāja saskarņu izstrādātājs
C002228_lv_003	saskarņu izstrādātājs
C002229_lv_000	automatizētās montāžas līnijas operators
C002229_lv_001	automatizētās montāžas līnijas operatore
C002230_lv_000	mineralogs
C002230_lv_001	mineraloģe
C002231_lv_000	platformas palīgstrādnieks
C002231_lv_001	platformas palīgstrādniece
C002232_lv_000	karadarbības speciālists
C002232_lv_001	karadarbības speciāliste
C002233_lv_000	elektroinženieris
C002233_lv_001	elektrisko sistēmu inženieris
C002233_lv_002	elektroinženiere
C002234_lv_000	betona izstrādājumu ražošanas operators
C002234_lv_001	betona izstrādājumu ražošanas operatore
C002235_lv_000	kalnu ekskursiju gids
C002235_lv_001	kalnu gide
C002235_lv_002	kalnu gids
C002235_lv_003	kalnu tūrisma gids
C002236_lv_000	sadzīves tehnikas pārdevējs
C002236_lv_001	elektrotehnikas pārdevējs
C002236_lv_002	mājsaimniecības elektropreču pārdevējs
C002236_lv_003	sadzīves tehnikas pārdevēja
C002237_lv_000	ķīmisko produktu izplatīšanas vadītājs
C002237_lv_001	ķīmisko produktu sadales vadītāja
C002237_lv_002	ķīmisko produktu sadales vadītājs
C002238_lv_000	scenogrāfs
C002238_lv_001	scenogrāfe
C002238_lv_002	skatuves dizainers
C002239_lv_000	namdaru uzraugs
C002239_lv_001	galdniecības uzraugs
C002239_lv_002	namdaru uzraudze
C002240_lv_000	ķīmijas tehniķis
C002240_lv_001	ķīmijas tehniķe
C002241_lv_000	komplektētājs iesaiņotājs
C002241_lv_001	komplektētāja iesaiņotāja
C002242_lv_000	piena produktu pārstrādātājs
C002242_lv_001	piena produktu pārstrādātāja
C002242_lv_002	piena pārstrādes uzņēmuma strādnieks
C002243_lv_000	māsas palīgs
C002243_lv_001	iecirkņa māsas palīgs
C002243_lv_002	medicīnas māsas palīgs
C002243_lv_003	māsas palīdze
C002244_lv_000	derību likmju pieņemšanas vietas vadītājs
C002244_lv_001	derību likmju pieņemšanas vietas vadītāja
C002245_lv_000	gaismas vadības pults operators
C002245_lv_001	gaismas vadības pults operatore
C002246_lv_000	ieroču un munīcijas veikala vadītājs
C002246_lv_001	ieroču un munīcijas veikala vadītāja
C002247_lv_000	cilvēktiesību speciālists
C002247_lv_001	cilvēktiesību juriste
C002247_lv_002	cilvēktiesību jurists
C002247_lv_003	jurists cilvēktiesību jomā
C002248_lv_000	auto novietotājs
C002248_lv_001	auto novietotāja
C002249_lv_000	ķīmisko šķidrumu un krāsu sagatavotājs
C002249_lv_001	ķīmisko šķidrumu un krāsu sagatavotāja
C002250_lv_000	kuģa mehāniķis
C002250_lv_001	jūras mehānismu mehāniķe
C002250_lv_002	jūras mehānismu mehāniķis
C002251_lv_000	elektroietaišu izbūves un ekspluatācijas uzraugs
C002251_lv_001	elektroietaišu izbūves un ekspluatācijas uzraudze
C002252_lv_000	speciālists krāsas attīrīšanai ar skalošanas metodi
C002252_lv_001	speciāliste krāsas attīrīšanai ar skalošanas metodi
C002253_lv_000	ugunsdzēsējs
C002253_lv_001	ugunsdzēsēja
C002253_lv_002	ugunsdzēsējs glābējs
C002254_lv_000	miniatūru dizainers
C002254_lv_001	miniatūru dizainere
C002255_lv_000	mūzikas pasniedzējs
C002255_lv_001	mūzikas pasniedzēja
C002256_lv_000	kuģu dzinēju montieris
C002256_lv_001	kuģu dzinēju montiere
C002257_lv_000	šķiedras tīšanas iekārtas operators
C002257_lv_001	šķiedras tīšanas iekārtas operatore
C002258_lv_000	atpūtas centra administrators
C002258_lv_001	atpūtas centra administratore
C002258_lv_002	veselības centra administrators
C002259_lv_000	podnieka krāsns operators
C002259_lv_001	keramikas izstrādājumu žāvēšanas krāsns operators
C002259_lv_002	podnieka krāsns operatore
C002260_lv_000	locis
C002260_lv_001	kuģu satiksmes vadības operators
C002260_lv_002	loce
C002261_lv_000	elektronisko ierīču, telesakaru iekārtu un to daļu importa un eksporta vadītājs
C002261_lv_001	elektronisko ierīču, telekomunikācijas iekārtu un to daļu importa un eksporta vadītāja
C002261_lv_002	elektronisko ierīču, telekomunikācijas iekārtu un to daļu importa un eksporta vadītājs
C002262_lv_000	leļļu izgatavotājs
C002262_lv_001	leļļu izgatavotāja
C002263_lv_000	pulksteņu un juvelierizstrādājumu importa un eksporta speciālists
C002263_lv_001	pulksteņu un juvelierizstrādājumu importa un eksporta speciāliste
C002264_lv_000	dotāciju pārvaldības speciālists
C002264_lv_001	dotāciju pārvaldības speciāliste
C002265_lv_000	gāzes ražošanas inženieris
C002265_lv_001	gāzu ražošanas inženiere
C002265_lv_002	gāzu ražošanas inženieris
C002266_lv_000	montāžas atslēdznieks virpotājs
C002266_lv_001	montāžas atslēdzniece virpotāja
C002267_lv_000	filmēšanas vietu vadītājs
C002267_lv_001	filmēšanas vietu speciāliste
C002267_lv_002	filmēšanas vietu speciālists
C002268_lv_000	vidusskolas ģeogrāfijas skolotājs
C002268_lv_001	ģeogrāfijas skolotāja vidusskolā
C002268_lv_002	ģeogrāfijas skolotājs vidusskolā
C002269_lv_000	septisko sistēmu apkalpotājs
C002269_lv_001	kanalizācijas sistēmu tīrītājs
C002269_lv_002	septiķu apkalpotāja
C002269_lv_003	septiķu apkalpotājs
C002269_lv_004	septiķu tīrītājs
C002270_lv_000	IKT klientu vadītājs
C002270_lv_001	IKT klientu vadītāja
C002270_lv_002	IKT stratēģisko klientu vadītājs
C002270_lv_003	IT klientu vadītājs
C002271_lv_000	ekoloģijas speciālists
C002271_lv_001	ekoloģijas speciāliste
C002272_lv_000	zeltkalis
C002272_lv_001	dārgmetālu kalējs
C002272_lv_002	rotkalis
C002272_lv_003	zeltkale
C002273_lv_000	apavu kvalitātes tehniķis
C002273_lv_001	apavu kvalitātes tehniķe
C002274_lv_000	vērtspapīru aģents
C002274_lv_001	vērtspapīru aģente
C002274_lv_002	vērtspapīru izvietošanas speciālists
C002275_lv_000	privātpilots
C002275_lv_001	helikoptera privātpilots
C002275_lv_002	lidmašīnas privātpilots
C002275_lv_003	privātpilote
C002276_lv_000	izrādes režisors
C002276_lv_001	izrādes direktors
C002276_lv_002	izrādes režisore
C002276_lv_003	svētku režisors
C002276_lv_004	teātra uzveduma direktors
C002276_lv_005	uzveduma direktors
C002277_lv_000	dietologs
C002277_lv_001	dietoloģe
C002277_lv_002	uztura speciālists
C002277_lv_003	uzturzinātnes speciālists
C002278_lv_000	hromatogrāfijas tehniķis
C002278_lv_001	gāzu hromatogrāfijas speciālists
C002278_lv_002	hromatogrāfijas tehniķe
C002278_lv_003	masspektrometrijas speciālists
C002279_lv_000	pārtikas un dzērienu iesaiņošanas tehnologs
C002279_lv_001	pārtikas un dzērienu iesaiņošanas dizainers
C002279_lv_002	pārtikas un dzērienu iesaiņošanas tehnoloģe
C002280_lv_000	atkritumu poligona uzraugs
C002280_lv_001	atkritumu poligona uzraudze
C002281_lv_000	kuģubūves atslēdznieks
C002281_lv_001	kuģu būvētājs
C002281_lv_002	kuģubūves atslēdzniece
C002282_lv_000	kosmosa zinātņu lektors
C002282_lv_001	kosmosa zinātņu docents
C002282_lv_002	kosmosa zinātņu docētājs
C002282_lv_003	kosmosa zinātņu lektore
C002282_lv_004	kosmosa zinātņu pasniedzējs
C002282_lv_005	kosmosa zinātņu profesors
C002283_lv_000	aizsardzības iestādes direktors
C002283_lv_001	aizsardzības iestādes direktore
C002283_lv_002	aizsardzības iestādes vadītājs
C002284_lv_000	krāsas jaucējs
C002284_lv_001	krāsas jaucēja
C002284_lv_002	krāsas maisītājs
C002285_lv_000	metāla gravieris
C002285_lv_001	metāla graviere
C002286_lv_000	vīnogu audzētavas vadītājs
C002286_lv_001	vīnogu audzētavas direktors
C002286_lv_002	vīnogu audzētavas vadītāja
C002287_lv_000	mehānisko transportlīdzekļu dzinēju inspektors
C002287_lv_001	mehānisko transportlīdzekļu dzinēju inspektore
C002288_lv_000	IKT projektu vadītājs
C002288_lv_001	IKT projektu vadītāja
C002288_lv_002	IT projektu vadītāja
C002288_lv_003	IT projektu vadītājs
C002288_lv_004	informācijas tehnoloģiju projektu vadītāja
C002288_lv_005	informācijas tehnoloģiju projektu vadītājs
C002289_lv_000	cauruļvadu atbilstības koordinators
C002289_lv_001	cauruļvadu atbilstības koordinatore
C002289_lv_002	cauruļvadu atbilstības tehniķis
C002290_lv_000	elektromehānisko instrumentu tehniķis
C002290_lv_001	elektromehānisko instrumentu tehniķe
C002291_lv_000	paklāju izgatavotājs amatnieks
C002291_lv_001	mezglotājs
C002291_lv_002	paklāju audējs
C002291_lv_003	paklāju izgatavotāja amatniece
C002292_lv_000	izpūšanas iekārtas operators
C002292_lv_001	izpūšanas iekārtas operatore
C002293_lv_000	plastmasas ruļļu ražošanas iekārtas operators
C002293_lv_001	plastmasas ruļļu ražošanas iekārtas operatore
C002294_lv_000	ortopēdisko preču veikala vadītājs
C002294_lv_001	ortopēdisko preču veikala vadītāja
C002295_lv_000	ražošanas instrumentu konstruktors
C002295_lv_001	ražošanas rīku dizaina inženiere
C002295_lv_002	ražošanas rīku dizaina inženieris
C002296_lv_000	kuģu aģents
C002296_lv_001	kuģu aģente
C002297_lv_000	izdevuma redaktors
C002297_lv_001	izdevuma redaktore
C002297_lv_002	korektors
C002298_lv_000	Frenē pedagoģijas skolotājs
C002298_lv_001	Frenē pedagogs
C002298_lv_002	Frenē pedagoģijas skolotāja
C002299_lv_000	politikas lietu speciālists
C002299_lv_001	politikas lietu referente
C002299_lv_002	politikas lietu referents
C002300_lv_000	lauksaimniecības izejvielu, sēklu un lopbarības vairumtirgotājs
C002300_lv_001	lauksaimniecības izejvielu, sēklu un lopbarības vairumtirgotāja
C002301_lv_000	biroja ierīču un iekārtu importa un eksporta vadītājs
C002301_lv_001	biroja ierīču un iekārtu importa un eksporta vadītāja
C002302_lv_000	mikroelektronikas inženieris
C002302_lv_001	mikroelektronikas inženiere
C002303_lv_000	arhitekts
C002303_lv_001	arhitekta palīgs
C002303_lv_002	arhitekte
C002304_lv_000	datubāzu administrators
C002304_lv_001	datubāzu administratore
C002304_lv_002	datubāzu konfigurētājs
C002304_lv_003	datubāzu uzturētājs
C002305_lv_000	telšu montētājs
C002305_lv_001	telšu montētāja
C002306_lv_000	ārsta prakses vadītājs
C002306_lv_001	ārsta prakses vadītāja
C002306_lv_002	ārstu privātprakses vadītājs
C002306_lv_003	ģimenes ārstu doktorāta vadītājs
C002306_lv_004	ģimenes ārstu prakses vadītājs
C002306_lv_005	ģimenes ārstu privātprakses vadītājs
C002307_lv_000	aviācijas uzraudzības un kodu koordinācijas pārvaldnieks
C002307_lv_001	aviācijas uzraudzības un kodu koordinācijas pārvaldniece
C002308_lv_000	tehniskās informācijas izplatītājs
C002308_lv_001	dokumentācijas speciāliste
C002308_lv_002	dokumentācijas speciālists
C002308_lv_003	tehniskās informācijas izplatītāja
