C000001_lt_000	Ginkluotųjų pajėgų profesijos
C001877_lt_001	traukinio mašinistų instruktorius
C001877_lt_002	traukinių mašinistų instruktorė
C001877_lt_003	traukinių mašinistų mokytojas
C001877_lt_004	traukinių mašinistų profesijos mokytojas
C001877_lt_005	traukinių mašinistų rengėjas
C001877_lt_006	traukinių vairuotojų instruktorius
C001878_lt_000	akvakultūros biologas
C001878_lt_001	akvakultūros biologas tyrėjas
C001878_lt_002	akvakultūros biologijos ekspertas
C001878_lt_003	akvakultūros biologijos specialistas
C001878_lt_004	akvakultūros biologijos tyrėjas
C001878_lt_005	akvakultūros biologė
C001879_lt_000	maisto biotechnologas
C001879_lt_001	maisto biotechnologė
C001879_lt_002	maisto ir gėrimų mikrobiologas
C001880_lt_000	kompiuterių programinės įrangos ir multimedijų parduotuvės vadovas
C001880_lt_001	kompiuterių parduotuvės vadovas
C001880_lt_002	kompiuterių programinės įrangos ir multimedijų parduotuvės direktorius
C001880_lt_003	kompiuterių programinės įrangos ir multimedijų parduotuvės vadovė
C001880_lt_004	kompiuterių programinės įrangos parduotuvės direktorius
C001880_lt_005	kompiuterių programinės įrangos parduotuvės vadovas
C001880_lt_006	multimedijų parduotuvės direktorius
C001880_lt_007	multimedijų parduotuvės vadovas
C001880_lt_008	programinės įrangos parduotuvės direktorius
C001880_lt_009	programinės įrangos parduotuvės vadovas
C001881_lt_000	parodos kuratorius
C001881_lt_001	kuratorius
C001881_lt_002	meno galerijos kuratorius
C001881_lt_003	muziejaus kuratorius
C001881_lt_004	parodos kuratorė
C001881_lt_005	prižiūrėtojas
C001882_lt_000	statybų metalo konstrukcijų montuotojas
C001882_lt_001	geležies konstrukcijų montuotojas
C001882_lt_002	geležies konstrukcijų statybininkas
C001882_lt_003	metalo konstrukcijų specialistas
C001882_lt_004	plieno konstrukcijų montuotojas
C001882_lt_005	statybų metalo konstrukcijų montuotoja
C001883_lt_000	miškų ūkio mašinų operatorius
C001883_lt_001	miškų ūkio mašinų operatorė
C001883_lt_002	miškų ūkio mechaninės įrangos operatorius
C001884_lt_000	grafikos dizaineris
C001884_lt_001	grafikos dizainerė
C001884_lt_002	grafinio dizaino specialistas
C001884_lt_003	reklamos dizaineris
C001885_lt_000	geležinkelio vagonų sėdynių apmušėjas
C001885_lt_001	geležinkelio vagonų sėdynių apmušėja
C001885_lt_002	traukinio interjero technikas
C001885_lt_003	traukinio minkštų baldų meistras
C001885_lt_004	traukinių sėdynių apmušėjas
C001886_lt_000	orlaivių salono valytojas
C001886_lt_001	lėktuvų salono valytojas
C001886_lt_002	orlaivių salono valytoja
C001887_lt_000	oro uosto aplinkosaugos pareigūnas
C001887_lt_001	oro uosto aplinkosaugos pareigūnė
C001887_lt_002	oro uosto aplinkosaugos specialistas
C001888_lt_000	aliejinės operatorius
C001888_lt_001	aliejaus spaudimo įrangos operatorius
C001888_lt_002	aliejinės darbininkas
C001888_lt_003	aliejinės operatorė
C001889_lt_000	specializuotasis motorinių transporto priemonių pardavėjas
C001889_lt_001	automobilių pardavėjas
C001889_lt_002	naudotų automobilių pardavėjas
C001889_lt_003	naujų automobilių pardavėjas
C001889_lt_004	specializuotasis automobilių pardavėjas
C001889_lt_005	specializuotoji motorinių transporto priemonių pardavėja
C001890_lt_000	klinikinio socialinio darbo specialistas
C001890_lt_001	klinikinio socialinio darbo specialistė
C001890_lt_002	klinikinis socialinis darbuotojas
C001890_lt_003	ligoninės socialinis darbuotojas
C001891_lt_000	laivo palydovas
C001891_lt_001	laivo palydovė
C001892_lt_000	verslo konsultantas
C001892_lt_001	verslo konsultantė
C001892_lt_002	verslo procesų konsultantas
C001893_lt_000	dirvožemio tyrėjas
C001893_lt_001	dirvožemio technikas
C001893_lt_002	dirvožemio tyrėja
C001894_lt_000	dažymo darbų techninis prižiūrėtojas
C001894_lt_001	apdailos darbų prižiūrėtojas
C001894_lt_002	dažymo darbų specialistas
C001894_lt_003	dažymo darbų techninė prižiūrėtoja
C001894_lt_004	dažymo ir apdailos darbų prižiūrėtojas
C001894_lt_005	komercinio dažymo ir apdailos darbų prižiūrėtojas
C001894_lt_006	pramoninio dažymo darbų prižiūrėtojas
C001894_lt_007	statybų dažymo ir apdailos darbų prižiūrėtojas
C001895_lt_000	su benamiais dirbantis socialinis darbuotojas
C001895_lt_001	benamystės ekspertas
C001895_lt_002	pagalbos benamiams ekspertas
C001895_lt_003	pagalbos benamiams specialistas
C001895_lt_004	su benamiais dirbanti socialinė darbuotoja
C001895_lt_005	su benamiais dirbantis specialistas
C001896_lt_000	pašto klientų aptarnavimo tarnautojas
C001896_lt_001	pašto darbuotojas
C001896_lt_002	pašto klientų aptarnavimo tarnautoja
C001896_lt_003	pašto tarnautojas
C001897_lt_000	lygtinai nuteistų asmenų priežiūros specialistas
C001897_lt_001	lygtinai nuteistų asmenų priežiūros specialistė
C001897_lt_002	lygtinai nuteistų asmenų socialinis darbuotojas
C001897_lt_003	lygtinai nuteistųjų priežiūros specialistas
C001897_lt_004	socialinis darbuotojas
C001898_lt_000	ryšių su klientais padalinio vadovas
C001898_lt_001	klientų aptarnavimo centro vadovas
C001898_lt_002	klientų aptarnavimo centro vadybininkas
C001898_lt_003	klientų aptarnavimo vadovas
C001898_lt_004	klientų informavimo centro vadybininkas
C001898_lt_005	prekybos telefonu vadovas
C001898_lt_006	ryšių su klientais centro techninis vadovas
C001898_lt_007	ryšių su klientais padalinio vadovė
C001898_lt_008	ryšių su klientais valdymo centro vadybininkas
C001898_lt_009	skambučių centro darbuotojas
C001898_lt_010	skambučių centro operatorius
C001898_lt_011	skambučių centro vadybininkas
C001898_lt_012	telerinkodaros vadovas
C001898_lt_013	tiesioginio pardavimo vadovas
C001898_lt_014	tiesioginės rinkodaros telefonu vadovas
C001899_lt_000	kempingo vadovas
C001899_lt_001	kempingo administratorius
C001899_lt_002	kempingo vadovė
C001899_lt_003	stovyklavietės vadovas
C001900_lt_000	tęstinio švietimo mokytojas
C001900_lt_001	tolesnio mokymosi specialistas
C001900_lt_002	tęstinio mokymo specialistas
C001900_lt_003	tęstinio švietimo mokytoja
C001900_lt_004	tęstinio švietimo specialistas
C001901_lt_000	astrologas
C001901_lt_001	astrologijos ekspertas
C001901_lt_002	astrologė
C001901_lt_003	būrėjas
C001901_lt_004	horoskopų ekspertas
C001902_lt_000	policijos pareigūnų instruktorius
C001902_lt_001	policijos pareigūnų instruktorė
C001902_lt_002	policijos pareigūnų mokytojas
C001902_lt_003	policijos pareigūnų rengėjas
C001902_lt_004	policininkų instruktorius
C001902_lt_005	policininkų profesijos mokytojas
C001902_lt_006	teisėsaugos pareigūnų instruktorius
C001902_lt_007	teisėsaugos pareigūnų mokytojas
C001902_lt_008	teisėsaugos pareigūnų rengėjas
C001903_lt_000	žuvininkystės ūkio inžinieriaus padėjėjas
C001903_lt_001	žuvininkystės ūkio inžinieriaus padėjėja
C001903_lt_002	žvejybos inžinieriaus padėjėjas
C001903_lt_003	žvejybos laivo inžinieriaus padėjėjas
C001904_lt_000	imigracijos politikos specialistas
C001904_lt_001	imigracijos politikos pareigūnas
C001904_lt_002	imigracijos politikos specialistė
C001904_lt_003	pabėgėlių politikos ekspertas
C001904_lt_004	pabėgėlių politikos pareigūnas
C001905_lt_000	kino operatorius
C001905_lt_001	kino operatorė
C001905_lt_002	operatorius statytojas
C001905_lt_003	vyriausiasis operatorius
C001906_lt_000	didmeninės prekybos cukrumi, šokoladu ir konditerijos gaminiais agentas
C001906_lt_001	didmeninės prekybos cukrumi, šokoladu ir konditerijos gaminiais agentė
C001906_lt_002	didmeninės prekybos mediena ir statybinėmis medžiagomis agentas
C001906_lt_003	didmeninės prekybos mediena ir statybinėmis medžiagomis agento padėjėjas
C001906_lt_004	didmeninės prekybos mediena ir statybinėmis medžiagomis konsultantas
C001906_lt_005	didmeninės prekybos mediena ir statybinėmis medžiagomis specialistas
C001906_lt_006	didmeninės prekybos mediena ir statybinėmis medžiagomis vadybininkas
C001906_lt_007	medienos ir statybinių medžiagų didmeninio pirkimo agentas
C001907_lt_000	žuvų darinėtojas
C001907_lt_001	filetuotojas
C001907_lt_002	žuvies darinėtoja
C001907_lt_003	žuvies darinėtojas
C001907_lt_004	žuvies išpjovų ruošėjas
C001907_lt_005	žuvų darinėtoja
C001907_lt_006	žuvų išdarinėtojas
C001907_lt_007	žuvų pjaustytojas
C001908_lt_000	generalinis direktorius
C001908_lt_001	generalinė direktorė
C001908_lt_002	vadovaujantis darbuotojas
C001908_lt_003	vadovaujantis pareigūnas
C001908_lt_004	vykdomasis direktorius
C001909_lt_000	miškų apsaugos inspektorius
C001909_lt_001	miškų apsaugos inspektorė
C001910_lt_000	biuro tarnautojas
C001910_lt_001	biuro tarnautoja
C001910_lt_002	kanceliarijos padėjėjas
C001911_lt_000	viešųjų ryšių vadovas
C001911_lt_001	reklamos vadovas
C001911_lt_002	viešosios informacijos vadovas
C001911_lt_003	viešųjų ryšių konsultantas
C001911_lt_004	viešųjų ryšių pareigūnas
C001911_lt_005	viešųjų ryšių specialistas
C001911_lt_006	viešųjų ryšių vadovė
C001912_lt_000	V profilio trapecinių diržų apdirbėjas
C001912_lt_001	V profilio trapecinių diržų apdirbimo mašinų operatorius
C001912_lt_002	V profilio trapecinių diržų apdirbėja
C001912_lt_003	trapecinių diržų apdirbėjas
C001912_lt_004	trapecinių diržų matuotojas
C001912_lt_005	trapecinių diržų ženklintojas
C001913_lt_000	komunikacijos mokslininkas
C001913_lt_001	komunikacijos analitikas
C001913_lt_002	komunikacijos mokslininkė
C001913_lt_003	komunikacijos mokslų tyrėjas
C001913_lt_004	komunikacijos studijų analitikas
C001913_lt_005	komunikacijos tyrėjas
C001914_lt_000	turizmo paslaugų vadovas
C001914_lt_001	turizmo paslaugų vadovė
C001914_lt_002	turizmo produkto vadovas
C001914_lt_003	turizmo produktų vadovas
C001914_lt_004	turizmo vadovas
C001915_lt_000	budintysis laivo mechanikas
C001915_lt_001	budintis laivo mechanikas
C001915_lt_002	budintysis mechanikas
C001915_lt_003	budinčioji laivo mechanikė
C001915_lt_004	laivo mechanikas
C001915_lt_005	laivų mechanikas
C001916_lt_000	meras
C001916_lt_001	merė
C001916_lt_002	savivaldybės vadovas
C001917_lt_000	renginio pastolių montuotojas
C001917_lt_001	pastolių montuotojas
C001917_lt_002	pastolių statytojas
C001917_lt_003	renginio pastolių montuotoja
C001918_lt_000	profesijų analitikas
C001918_lt_001	darbo vietų analitikas
C001918_lt_002	organizacijos struktūros analitikas
C001918_lt_003	personalo analitikas
C001918_lt_004	profesijų analitikė
C001918_lt_005	verslo analitikas
C001918_lt_006	verslo konsultantas
C001918_lt_007	įmonių veiklos analitikas
C001919_lt_000	stiklo dailininkas
C001919_lt_001	stiklo dailininkė
C001919_lt_002	stiklo dekoratorius
C001920_lt_000	statybos darbų saugos inspektorius
C001920_lt_001	statybos darbų saugos inspektorė
C001921_lt_000	religijotyrininkas
C001921_lt_001	religijotyrininkė
C001921_lt_002	religijų tyrinėtojas
C001921_lt_003	teologas
C001922_lt_000	namų ūkio ekonomas
C001922_lt_001	kambarių tvarkytojas
C001922_lt_002	namų ekonomas
C001922_lt_003	namų ūkio ekonomė
C001922_lt_004	namų ūkio prižiūrėtojas
C001922_lt_005	ūkvedys
C001923_lt_000	lituotojas tvirtuoju būdu
C001923_lt_001	kietojo litavimo specialistas
C001923_lt_002	litavimo kietuoju lydmetaliu technikas
C001923_lt_003	litavimo specialistas
C001923_lt_004	litavimo įrenginių operatorius
C001923_lt_005	lituotoja tvirtuoju būdu
C001923_lt_006	lituotojas kietuoju lydmetaliu
C001923_lt_007	lituotojas liepsna
C001923_lt_008	lituotojas vario ir cinko lydiniu
C001923_lt_009	varininkas
C001923_lt_010	varkalys
C001924_lt_000	tekstilės koloristas
C001924_lt_001	audinių dažymo specialistas
C001924_lt_002	audinių dažytojas
C001924_lt_003	koloristas
C001924_lt_004	technikas koloristas
C001924_lt_005	tekstilės dažytojas
C001924_lt_006	tekstilės koloristė
C001924_lt_007	tekstilės spalvų technikas
C001925_lt_000	saulės elektrinės operatorius
C001925_lt_001	saulės baterijų operatorius
C001925_lt_002	saulės elektrinės operatorė
C001925_lt_003	saulės energijos elektrinės operatorius
C001925_lt_004	saulės jėgainių parko darbuotojas
C001925_lt_005	saulės jėgainių parko operatorius
C001925_lt_006	saulės jėgainės darbuotojas
C001925_lt_007	saulės jėgainės operatorius
C001925_lt_008	saulės jėgainės saugos darbuotojas
C001925_lt_009	saulės jėgainės saugos operatorius
C001925_lt_010	saulės jėgainės techninės priežiūros operatorius
C001926_lt_000	mezgimo mašinų operatorius
C001926_lt_001	mezgimo mašinų operatorė
C001927_lt_000	pataisos įstaigos vadovas
C001927_lt_001	kalėjimo prižiūrėtojas
C001927_lt_002	kalėjimo valdytojas
C001927_lt_003	pataisos įstaigos direktorius
C001927_lt_004	pataisos įstaigos vadovė
C001928_lt_000	metalo valcavimo staklių operatorius
C001928_lt_001	karštojo valcavimo staklių operatorius
C001928_lt_002	metalo valcavimo mašinų operatorius
C001928_lt_003	metalo valcavimo staklių operatorė
C001928_lt_004	plieno valcavimo staklių operatorius
C001928_lt_005	šaltojo valcavimo staklių operatorius
C001929_lt_000	biochemikas
C001929_lt_001	biochemijos specialistas
C001929_lt_002	biochemijos tyrėjas
C001929_lt_003	biochemikė
C001929_lt_004	biotechnologas
C001930_lt_000	optikas
C001930_lt_001	optiko padėjėjas
C001930_lt_002	optikė
C001931_lt_000	batviršių detalių susiuvimo mašinų operatorius
C001931_lt_001	apkraštavimo mašinų operatorius
C001931_lt_002	avalyninkas
C001931_lt_003	avalynės siuvimo mašinų meistras derintojas
C001931_lt_004	avalynės siuvimo mašinų operatorius
C001931_lt_005	batviršių detalių susiuvimo mašinų operatorė
C001931_lt_006	daugiaadačių siuvimo mašinų operatorius
C001931_lt_007	dviejų adatinių siuvimo mašinų operatorius
C001931_lt_008	peltakiuotojas
C001931_lt_009	pramoninių siuvimo mašinų operatorius
C001931_lt_010	siuvimo mašinų meistras derintojas
C001931_lt_011	siuvimo mašinų operatorius
C001931_lt_012	siuvėjas
C001931_lt_013	siuvėjas operatorius
C001932_lt_000	karbonizavimo mašinos operatorius
C001932_lt_001	gazuotų gėrimų gamintojas
C001932_lt_002	karbonizavimo mašinos operatorė
C001932_lt_003	putojančių gėrimų gamybos įrenginių operatorius
C001933_lt_000	vakuuminio formavimo mašinų operatorius
C001933_lt_001	liejimo mašinų operatorius
C001933_lt_002	liejimo operatorius
C001933_lt_003	plastiko formavimo mašinų derintojas
C001933_lt_004	plastiko formavimo mašinų meistras derintojas
C001933_lt_005	plastiko formavimo mašinų operatorius
C001933_lt_006	plastiko liejimo mašinų operatorius
C001933_lt_007	plastikų formavimo mašinų meistras derintojas
C001933_lt_008	plastikų gamybos procesų darbininkas
C001933_lt_009	terminio formavimo mašinų operatorius
C001933_lt_010	terminio formavimo operatorius
C001933_lt_011	vakuuminio formavimo mašinų derintojas
C001933_lt_012	vakuuminio formavimo mašinų meistras derintojas
C001933_lt_013	vakuuminio formavimo mašinų operatorė
C001933_lt_014	vakuuminio liejimo mašinų operatorius
C001933_lt_015	šiluminio formavimo mašinų derintojas
C001933_lt_016	šiluminio formavimo mašinų meistras derintojas
C001933_lt_017	šiluminio formavimo mašinų operatorius
C001934_lt_000	priėmimo į švietimo įstaigą koordinatorius
C001934_lt_001	priėmimo koordinatorius
C001934_lt_002	priėmimo į mokyklą koordinatorius
C001934_lt_003	priėmimo į universitetą koordinatorius
C001934_lt_004	priėmimo į švietimo įstaigą koordinatorė
C001934_lt_005	stojančiųjų koordinatorius
C001935_lt_000	veiklos gryname ore koordinatorius
C001935_lt_001	fizinio aktyvumo vadybininkas
C001935_lt_002	sportinės veiklos koordinatorius
C001935_lt_003	veiklos gryname ore koordinatorė
C001935_lt_004	veiklos koordinatorius
C001936_lt_000	nepilnamečių pataisos įstaigos pareigūnas
C001936_lt_001	nepilnamečių kolonijos pareigūnas
C001936_lt_002	nepilnamečių pataisos namų pareigūnas
C001936_lt_003	nepilnamečių pataisos įstaigos pareigūnė
C001937_lt_000	elektroninės ir telekomunikacinės įrangos pardavimo atstovas technikos klausimams
C001937_lt_001	elektroninės ir telekomunikacinės įrangos pardavimo atstovė technikos klausimams
C001937_lt_002	elektroninės ir telekomunikacinės įrangos pardavimo inžinierius
C001937_lt_003	elektroninės ir telekomunikacinės įrangos pardavimo inžinierius technikos klausimams
C001937_lt_004	elektroninės ir telekomunikacinės įrangos pardavėjas technikas
C001937_lt_005	elektroninės ir telekomunikacinės įrangos pardavėjas technikos klausimams
C001938_lt_000	skaitmeninių priemonių ir proceso kontrolės programuotojas
C001938_lt_001	skaitmeninių priemonių gamintojas
C001938_lt_002	skaitmeninių priemonių ir proceso kontrolės programuotoja
C001938_lt_003	skaitmeninės proceso kontrolės priemonės nustatymų operatorius
C001939_lt_000	biuro administratorius
C001939_lt_001	administratorius vadybininkas
C001939_lt_002	biuro administratorė
C001939_lt_003	vadybininkas administratorius
C001940_lt_000	didmeninės prekybos tekstilės pramonės mašinomis agentas
C001940_lt_001	didmeninės prekybos tekstilės pramonės mašinomis agentė
C001940_lt_002	didmeninės prekybos tekstilės pramonės mašinomis konsultantas
C001940_lt_003	didmeninės prekybos tekstilės pramonės mašinomis specialistas
C001940_lt_004	didmeninės prekybos tekstilės pramonės mašinomis vadybininkas
C001940_lt_005	tekstilės pramonės mašinų didmeninio pardavimo agentas
C001940_lt_006	tekstilės pramonės mašinų didmeninio pirkimo agentas
C001941_lt_000	naktinis budėtojas
C001941_lt_001	naktinis registratorius
C001941_lt_002	naktinis rezervacijų aptarnautojas
C001941_lt_003	naktinė budėtoja
C001942_lt_000	orlaivių dispečeris
C001942_lt_001	lėktuvų dispečeris
C001942_lt_002	orlaivių dispečerė
C001942_lt_003	orlaivių informacijos ekspeditorius
C001942_lt_004	oro linijų dispečeris
C001942_lt_005	skrydžių dispečeris
C001942_lt_006	skrydžių informacijos ekspeditorius
C001942_lt_007	sraigtasparnių dispečeris
C001943_lt_000	tekstilės, tekstilės pusgaminių ir žaliavų importo ir eksporto vadovas
C001943_lt_001	tekstilės, tekstilės pusgaminių ir žaliavų eksporto vadovas
C001943_lt_002	tekstilės, tekstilės pusgaminių ir žaliavų importo ir eksporto vadovė
C001943_lt_003	tekstilės, tekstilės pusgaminių ir žaliavų importo vadovas
C001943_lt_004	tekstilės, tekstilės pusgaminių ir žaliavų tarptautinės prekybos vadovas
C001944_lt_000	fotografijos reikmenų parduotuvės vadovas
C001944_lt_001	fotoaparatų parduotuvės vadovas
C001944_lt_002	fotografijos reikmenų parduotuvės vadovė
C001945_lt_000	informacinių ir ryšių technologijų mokslinių tyrimų konsultantas
C001945_lt_001	IRT mokslinių tyrimų konsultantas
C001945_lt_002	informacinių ir ryšių technologijų mokslinių tyrimų konsultantė
C001945_lt_003	informacinių technologijų mokslinių tyrimų konsultantas
C001946_lt_000	kelio ženklų montuotojas
C001946_lt_001	kelio ženklų montuotoja
C001946_lt_002	kelio ženklų įrengimo darbuotojas
C001947_lt_000	biodujų technikas
C001947_lt_001	anaerobinio skaidymo technikas
C001947_lt_002	biodujų gamybos technikas
C001947_lt_003	biodujų gamybos įrenginių priežiūros technikas
C001947_lt_004	biodujų gamybos įrenginių technikas
C001947_lt_005	biodujų technikė
C001947_lt_006	bioenergetikos darbuotojas
C001947_lt_007	biomasės dujų gamybos technikas
C001947_lt_008	biomasės jėgainės technikas
C001947_lt_009	sąvartynų dujų stoties technikas
C001948_lt_000	popieriaus gamyklos meistras technologas
C001948_lt_001	popieriaus fabriko prižiūrėtojas
C001948_lt_002	popieriaus gamyklos eksploatacijos vadovas
C001948_lt_003	popieriaus gamyklos kontrolierius
C001948_lt_004	popieriaus gamyklos meistrė technologė
C001948_lt_005	popieriaus gamyklos vadovas
C001948_lt_006	popieriaus gamyklos vyresnysis vadovas
C001949_lt_000	kanalizacijos tinklo operatorius
C001949_lt_001	kanalizacijos specialistas
C001949_lt_002	kanalizacijos tinklo operatorė
C001949_lt_003	kanalizacijos tinklo technikas
C001949_lt_004	nuotakyno operatorius
C001949_lt_005	nuotakyno technikas
C001949_lt_006	nuotekų infrastruktūros operatorius
C001949_lt_007	nuotekų sistemos operatorius
C001950_lt_000	taksi vairuotojas
C001950_lt_001	mikroautobuso vairuotojas
C001950_lt_002	taksi vairuotoja
C001951_lt_000	konstruojamų modelių konstruktorius
C001951_lt_001	konstruojamų modelių konstruktorė
C001952_lt_000	kuokštelinio pluošto neaustinių medžiagų gamybos mašinų operatorius
C001952_lt_001	kuokštelinio pluošto neaustinių medžiagų gamybos mašinų operatorė
C001952_lt_002	neaustinių medžiagų fabriko darbininkas
C001952_lt_003	neaustinių medžiagų gamybos darbininkas
C001953_lt_000	didmeninės prekybos kava, arbata, kakava ir prieskoniais agentas
C001953_lt_001	didmeninės prekybos kava, arbata, kakava ir prieskoniais agento padėjėjas
C001953_lt_002	didmeninės prekybos kava, arbata, kakava ir prieskoniais agentė
C001953_lt_003	didmeninės prekybos kava, arbata, kakava ir prieskoniais konsultantas
C001953_lt_004	didmeninės prekybos kava, arbata, kakava ir prieskoniais specialistas
C001953_lt_005	didmeninės prekybos kava, arbata, kakava ir prieskoniais vadybininkas
C001954_lt_000	inžinierius projektuotojas
C001954_lt_001	gaminio inžinierius
C001954_lt_002	gaminio inžinierius projektuotojas
C001954_lt_003	inžinierė projektuotoja
C001954_lt_004	pramonės objektų projektuotojas
C001955_lt_000	rinkodaros vadovas
C001955_lt_001	pardavimo ir rinkodaros vadovas
C001955_lt_002	produktų rinkodaros vadovas
C001955_lt_003	rinkodaros direktorius
C001955_lt_004	rinkodaros vadovė
C001955_lt_005	telerinkodaros vadovas
C001956_lt_000	vaisių ir daržovių konservuotojas
C001956_lt_001	konservavimo įrenginių operatorius
C001956_lt_002	konservuotojas
C001956_lt_003	vaisių ir daržovių konservuotoja
C001957_lt_000	kameros operatorius
C001957_lt_001	kameros operatorė
C001957_lt_002	kilnojamosios kino kameros operatorius
C001957_lt_003	kino kameros operatorius
C001957_lt_004	operatorius
C001957_lt_005	vaizdo kameros operatorius
C001957_lt_006	vaizdo operatorius
C001957_lt_007	vaizdo įrašymo įrangos operatorius
C001957_lt_008	videokameros operatorius
C001958_lt_000	lošimų statymų kompiliatorius
C001958_lt_001	futbolo statymų kompiliatorius
C001958_lt_002	lažybų ekspertas
C001958_lt_003	lošimų statymų administratorius
C001958_lt_004	lošimų statymų ekspertas
C001958_lt_005	lošimų statymų kompiliatorė
C001958_lt_006	rizikos valdytojas
C001958_lt_007	sporto statymų kompiliatorius
C001958_lt_008	žirgų lenktynių statymų kompiliatorius
C001959_lt_000	sterilizavimo technikas
C001959_lt_001	dezinfekcijos specialistas
C001959_lt_002	sterilizavimo technikė
C001960_lt_000	tekstilės, odos ir avalynės technologas tyrėjas
C001960_lt_001	tekstilės ir odos technologas
C001960_lt_002	tekstilės, odos ir avalynės technologas analitikas
C001960_lt_003	tekstilės, odos ir avalynės technologė tyrėja
C001961_lt_000	galvijų kanopų tvarkytojas
C001961_lt_001	galvijų kanopų tvarkytoja
C001961_lt_002	galvijų nagų tvarkytojas
C001961_lt_003	galvijų pedikiūrininkas
C001961_lt_004	kanopų tvarkytojas
C001962_lt_000	elektros oro linijos darbininkas
C001962_lt_001	aukštos įtampos linijos darbininkas
C001962_lt_002	elektros oro linijos darbininkė
C001962_lt_003	elektros oro linijos inžinierius
C001962_lt_004	elektros oro linijos technikas
C001962_lt_005	maitinimo linijos darbininkas
C001963_lt_000	blanširavimo operatorius
C001963_lt_001	blanširavimo operatorė
C001963_lt_002	migdolų blanširavimo operatorius
C001963_lt_003	riešutų blanširavimo operatorius
C001964_lt_000	duomenų kokybės specialistas
C001964_lt_001	duomenų kokybės ekspertas
C001964_lt_002	duomenų kokybės specialistė
C001964_lt_003	duomenų kokybės užtikrinimo specialistas
C001965_lt_000	žuvies konservavimo skardinėse įrenginių operatorius
C001965_lt_001	žuvies konservavimo skardinėse įrenginių operatorė
C001965_lt_002	žuvies konservavimo įrenginių operatorius
C001965_lt_003	žuvies konservuotojas
C001966_lt_000	sporto žurnalistas
C001966_lt_001	interneto sporto žurnalistas
C001966_lt_002	politikos korespondentas
C001966_lt_003	radijo sporto žurnalistas
C001966_lt_004	sporto korespondentas
C001966_lt_005	sporto žurnalistė
C001966_lt_006	televizijos sporto žurnalistas
C001967_lt_000	medienos kuro granuliuotojas
C001967_lt_001	medienos granuliavimo įrangos operatorius
C001967_lt_002	medienos granuliavimo įrangos specialistas
C001967_lt_003	medienos granuliavimo įrangos technikas
C001967_lt_004	medienos granuliuotojas
C001967_lt_005	medienos kuro granuliuotoja
C001967_lt_006	medžio granulių gamybos mašinų operatorius
C001967_lt_007	medžio granulių gamybos mašinų specialistas
C001967_lt_008	medžio granulių gamybos mašinų technikas
C001968_lt_000	Oro uosto darbuotojas
C001968_lt_001	keleivių aptarnavimo agentas
C001968_lt_002	oro uosto darbuotoja
C001968_lt_003	oro uosto palydovas
C001969_lt_000	žemės ūko inspektorius
C001969_lt_001	žemės ūko inspektorė
C001970_lt_000	fotojuostų ryškinimo laborantas
C001970_lt_001	fotojuostų ryškinimo laboranta
C001970_lt_002	fotolaboratorijos technikas
C001970_lt_003	fotonegatyvų ryškintojas
C001970_lt_004	nuotraukų retušuotojas
C001970_lt_005	nuotraukų ryškintojas
C001970_lt_006	nuotraukų spausdintojas
C001971_lt_000	vaizdo ir kino filmų režisieriaus asistentas
C001971_lt_001	vaizdo ir kino filmų režisieriaus asistentė
C001972_lt_000	baterijų surinkėjas
C001972_lt_001	baterijų gamintojas
C001972_lt_002	baterijų gamybos įrenginių operatorius
C001972_lt_003	baterijų montuotojas
C001972_lt_004	baterijų surinkimo darbininkas
C001972_lt_005	baterijų surinkėja
C001972_lt_006	baterijų suvirintojas
C001972_lt_007	sausųjų elementų gamybos darbininkas
C001972_lt_008	sausųjų elementų surinkėjas
C001973_lt_000	popierinių raštinės reikmenų gamybos mašinų operatorius
C001973_lt_001	popieriaus lankstymo specialistas
C001973_lt_002	popieriaus lankstymo technikas
C001973_lt_003	popieriaus lenkimo įrangos operatorius
C001973_lt_004	popieriaus perforatorius technikas
C001973_lt_005	popieriaus perforavimo mašinų specialistas
C001973_lt_006	popieriaus perforavimo specialistas
C001973_lt_007	popieriaus perforavimo įrangos operatorius
C001973_lt_008	popieriaus skylmušio technikas
C001973_lt_009	popierinių gaminių gamybos mašinų operatorius
C001973_lt_010	popierinių gaminių gamybos mašinų specialistas
C001973_lt_011	popierinių gaminių gamybos mašinų technikas
C001973_lt_012	popierinių raštinės reikmenų gamybos mašinų operatorė
C001973_lt_013	popierinių raštinės reikmenų gamybos mašinų specialistas
C001973_lt_014	popierinių raštinės reikmenų gamybos mašinų technikas
C001974_lt_000	specializuotasis statybinių medžiagų pardavėjas
C001974_lt_001	specializuota statybinių medžiagų pardavėja
C001974_lt_002	statybinių medžiagų pardavėjas
C001974_lt_003	statybinių medžiagų parduotuvės pardavėjas
C001975_lt_000	parduotuvės apsaugos darbuotojas
C001975_lt_001	apsaugininkas
C001975_lt_002	apsaugos darbuotojas
C001975_lt_003	detektyvas
C001975_lt_004	parduotuvės apsaugos darbuotoja
C001975_lt_005	prekybos centro apsaugos darbuotojas
C001975_lt_006	tyrėjas
C001976_lt_000	dugno gilinimo ir valymo darbų techninis prižiūrėtojas
C001976_lt_001	dugno gilinimo ir valymo brigados vadovas
C001976_lt_002	dugno gilinimo ir valymo darbų brigados vadovas
C001976_lt_003	dugno gilinimo ir valymo darbų techninė prižiūrėtoja
C001976_lt_004	dugno gilinimo ir valymo darbų vadovas
