C000001_da_000	Militært arbejde
C001997_da_002	programintegreringstester
C001998_da_000	broderer
C001998_da_001	brodererske
C001998_da_002	broderiarbejder
C001998_da_003	hånddekoratør
C001999_da_000	operatør af posemaskine
C001999_da_001	maskinoperatør - papirsposer
C002000_da_000	ordrebehandler
C002001_da_000	operatør af en lasermærkningsmaskine
C002001_da_001	industrioperatør
C002001_da_002	maskinoperatør
C002001_da_003	maskinoperatør, lasermærkningsmaskine
C002001_da_004	operatør af en lasergraveringsmaskine
C002002_da_000	lærer i medicinsk laboratorieteknik
C002003_da_000	operatør - dampanlæg
C002003_da_001	dampanlægarbejder
C002003_da_002	industrioperatør
C002004_da_000	social- og sundhedsassistent inden for sygehusvæsenet
C002004_da_001	patientrådgiver
C002005_da_000	produktchef inden for forsikring
C002006_da_000	ædelstenssliber
C002006_da_001	diamant- og ædelstenssliber
C002006_da_002	diamantsliber
C002007_da_000	distributionschef inden for frugt og grønsager
C002007_da_001	supply chain manager inden for frugt og grønsager
C002008_da_000	senator
C002009_da_000	forskningschef
C002010_da_000	montør af gummivarer
C002010_da_001	industrioperatør
C002010_da_002	produktionsarbejder
C002011_da_000	funktionschef for transport via indre farvande
C002011_da_001	chef for transport ad indre vandveje
C002011_da_002	chef for transport via indre farvande
C002011_da_003	funktionschef for transport ad indre vandveje
C002011_da_004	transportdirektør for transport ad indre vandveje
C002012_da_000	kloakrørlægger
C002012_da_001	kloakmester
C002012_da_002	kloakmontør
C002012_da_003	vvs-installatør
C002013_da_000	indretningsdesigner
C002013_da_001	boligstylist
C002014_da_000	operatør inden for eldistribution
C002014_da_001	eldistributionsmedarbejder
C002014_da_002	elforsyningsoperatør
C002015_da_000	sprøjtelakerer
C002016_da_000	proceskontrollant inden for tekstilproduktion
C002016_da_001	kvalitetsansvarlig inden for tekstilproduktion
C002016_da_002	kvalitetssikringsansvarlig
C002016_da_003	kvalitetssikringskontrollant
C002016_da_004	proceskoordinator inden for tekstilproduktion
C002016_da_005	procesleder inden for tekstilproduktion
C002017_da_000	butler
C002017_da_001	hushovmester
C002018_da_000	sikkerhedsrådgiver for transport af farligt gods
C002019_da_000	produktionsteknolog inden for montage
C002019_da_001	produktionsteknolog
C002019_da_002	produktionsteknolog med fokus på produktinspektion
C002020_da_000	aromaterapeut
C002020_da_001	afslapningsterapeut
C002020_da_002	klinisk aromaterapeut
C002020_da_003	specialist inden for aromaterapi
C002021_da_000	bankdirektør
C002022_da_000	konservator
C002022_da_001	bygningskonservator
C002023_da_000	tekniker inden for jernbanevedligeholdelse
C002023_da_001	jernbaneinspektør
C002023_da_002	jernbanetekniker
C002024_da_000	olie- og gasingeniør
C002025_da_000	grafolog
C002025_da_001	håndskriftsanalytiker
C002026_da_000	kriserådgiver
C002027_da_000	solcelleinstallatør
C002027_da_001	energitekniker
C002027_da_002	vvs-energitekniker
C002027_da_003	vvs-tekniker
C002028_da_000	elektrotekniker inden for jernbanesektoren
C002029_da_000	vedligeholdelsestekniker med speciale i rørledninger
C002029_da_001	vedligeholdelsestekniker
C002030_da_000	møbelbutikschef
C002030_da_001	møbelbutiksbestyrer
C002031_da_000	CAD-modelkonstruktør inden for beklædningsindustrien
C002031_da_001	modelkonstruktør
C002031_da_002	mønsterdesigner
C002032_da_000	radiograf
C002033_da_000	vægttabskonsulent
C002033_da_001	slankekonsulent
C002033_da_002	vægttabscoach
C002034_da_000	audiovisuel tekniker
C002034_da_001	AV-tekniker
C002034_da_002	videotekniker
C002035_da_000	maskinoperatør inden for fremstilling af wirematerialer
C002036_da_000	jurykoordinator
C002036_da_001	nævningekoordinator
C002037_da_000	motorcykelbygger
C002037_da_001	cykelbygger
C002037_da_002	motorcykelkonstruktør
C002037_da_003	scooter-bygger
C002038_da_000	artilleriofficer
C002038_da_001	ammunitionsofficer
C002038_da_002	artilleritekniker
C002038_da_003	officer i hæren
C002038_da_004	skytte
C002038_da_005	soldat
C002039_da_000	IKT-revisionschef
C002039_da_001	IKT revisionschef
C002039_da_002	revisionschef IKT
C002039_da_003	revisionschef informationsteknologi
C002040_da_000	lærer på Montessori-skole
C002041_da_000	idriftsættelsesingeniør
C002041_da_001	ingenør med ansvar for kvalitetskontrol
C002041_da_002	kvalitetsingeniør
C002041_da_003	kvalitetstekniker
C002041_da_004	projekteringsingeniør
C002041_da_005	standardiseringsingeniør
C002042_da_000	tandtekniker
C002042_da_001	klinisk tandtekniker
C002042_da_002	ortodondist
C002042_da_003	protetiker
C002042_da_004	specialtandlæge i ortodonti
C002042_da_005	specialtandlæge i tandregulering
C002042_da_006	tandreguleringstandlæge
C002042_da_007	tandteknolog
C002043_da_000	varietésanger
C002043_da_001	kabaretsanger
C002043_da_002	revyartist
C002043_da_003	revykunstner
C002043_da_004	varietékunstner
C002044_da_000	etisk hacker
C002044_da_001	IKT-sikkerhedstester
C002044_da_002	etiske hackere
C002044_da_003	hacker med etiske principper
C002044_da_004	moralsk hacker
C002044_da_005	sårbarhedsanalytiker
C002045_da_000	fremstiller af smykkeindfatninger
C002045_da_001	guldsmed
C002045_da_002	juveler
C002045_da_003	ædelstensfatter
C002046_da_000	skeleterapeut
C002046_da_001	ortoptist
C002047_da_000	driftschef inden for sport og fritid
C002048_da_000	privatdetektiv
C002048_da_001	detektiv
C002048_da_002	efterforsker
C002048_da_003	opdager
C002049_da_000	billetkontrollør
C002049_da_001	konduktør
C002049_da_002	kontrollør
C002049_da_003	togbetjent
C002050_da_000	operatør af glasfibermaskine
C002050_da_001	procesoperatør
C002051_da_000	parfumesælger
C002051_da_001	ekspedient i en kosmetik- og parfumeforretning
C002051_da_002	kosmetik- og parfumesælger
C002051_da_003	materialist
C002051_da_004	salgsassistent, kosmetik- og parfumebutik
C002051_da_005	salgsassistent, kosmetik- og parfumeforretning
C002051_da_006	salgsassistent, parfumeri
C002052_da_000	skovarbejder
C002052_da_001	person der er beskæftiget med træfældning
C002052_da_002	skovhugger
C002052_da_003	skovmedarbejder
C002053_da_000	indretningsarkitekt
C002053_da_001	indretningskonsulent
C002053_da_002	indretningsplanlægger
C002054_da_000	atomtekniker
C002054_da_001	atomsikkerhedstekniker
C002054_da_002	nuklear laboratorietekniker
C002054_da_003	tekniker inden for atomudstyr
C002054_da_004	tekniker inden for beskyttelse mod nukleare stoffer
C002054_da_005	tekniker inden for nuklear overvågning
C002054_da_006	tekniker inden for nuklear sikkerhed
C002054_da_007	tekniker inden for nukleart udstyr
C002054_da_008	tekniker inden for strålingsbeskyttelse
C002054_da_009	tekniker inden for strålingssikkerhed
C002054_da_010	tekniker på atomkraftværk
C002055_da_000	IKT-sikkerhedschef
C002055_da_001	IKT-sikkerhedskoordinator IKT sikkerhedschef
C002055_da_002	sikkerhedschef for IKT
C002056_da_000	snowboardinstruktør
C002057_da_000	fotoniktekniker
C002057_da_001	fotonikingeniør
C002058_da_000	regulatory affairs manager
C002058_da_001	compliance manager
C002058_da_002	regulatory compliance manager
C002059_da_000	maskinsnedker
C002059_da_001	industrioperatør
C002059_da_002	industrisnedker
C002059_da_003	maskinoperatør
C002059_da_004	maskinpasser, maskine til fremstilling af træmøbler
C002059_da_005	operatør af en maskine til fremstilling af træmøbler
C002059_da_006	trædrejer
C002060_da_000	operatør af en gevindvalsemaskine
C002060_da_001	industrioperatør
C002060_da_002	maskinoperatør
C002060_da_003	operatør, gevindvalsemaskine
C002061_da_000	elektromekanikingeniør
C002062_da_000	modedesigner
C002062_da_001	beklædningsdesigner
C002062_da_002	beklædningskunstner
C002062_da_003	modeskaber
C002062_da_004	modestylist
C002062_da_005	skodesigner
C002062_da_006	tekstildesigner
C002062_da_007	tøjdesigner
C002063_da_000	tekniker inden for reprografi
C002063_da_001	grafisk tekniker
C002064_da_000	liaison officer
C002064_da_001	handelsattaché
C002065_da_000	desktopredaktør
C002065_da_001	DTP'er
C002065_da_002	DTP-redaktør
C002065_da_003	desktop publisher
C002065_da_004	desktopper
C002065_da_005	desktoppublisher
C002065_da_006	layouter
C002066_da_000	maskinoperatør (påfyldning af kapsler)
C002066_da_001	farmaceutisk maskinoperatør
C002066_da_002	operatør af påfyldningsmaskine
C002066_da_003	procesoperatør - påfyldning af kapsler
C002067_da_000	robottekniker
C002067_da_001	tekniker inden for robotsystemer
C002068_da_000	interviewer
C002068_da_001	markedsanalysemedarbejder
C002068_da_002	mystery shopper
C002068_da_003	research-medarbejder
C002068_da_004	telemarketingmedarbejder
C002069_da_000	lagerchef inden for færdige lædervarer
C002070_da_000	montør af dele til motorkøretøjer
C002071_da_000	ansvarlig for rørledningsprojekt
C002071_da_001	VVS-energitekniker
C002071_da_002	ansvarlig for rørledningsnet
C002072_da_000	arbejdsmiljøkonsulent
C002072_da_001	arbejdsmiljøinspektør
C002072_da_002	arbejdsmiljøtekniker
C002073_da_000	engrosforhandler inden for affald og skrot
C002073_da_001	B2B-salgskonsulent inden for affald og skrot
C002073_da_002	engroshandler inden for affald og skrot
C002073_da_003	engroskøber inden for affald og skrot
C002073_da_004	grossist inden for affald og skrot
C002074_da_000	danseterapeut
C002074_da_001	bevægelsesterapeut
C002075_da_000	revisor inden for offentlig forvaltning
C002075_da_001	statsrevisor
C002076_da_000	ekstraktblander
C002076_da_001	krydderimixer
C002076_da_002	medarbejder der blander krydderier
C002076_da_003	medarbejder der fremstiller krydderiblandinger
C002077_da_000	skolebusassistent
C002078_da_000	lærer ved danseakademi
C002078_da_001	danseinstruktør
C002078_da_002	danselærer
C002078_da_003	lærer ved dansekonservatorium
C002078_da_004	underviser i scenekunst
C002079_da_000	social- og sundhedsassistent på et botilbud
C002079_da_001	social- og sundhedsassistent - plejeinstitution for voksne
C002079_da_002	social- og sundhedsassistent inden for voksenpleje
C002080_da_000	vejlægger
C002080_da_001	skiltemaler
C002080_da_002	trafikskiltemaler
C002080_da_003	vejafmærkningsarbejder
C002080_da_004	vejarbejder
C002080_da_005	vejmaler
C002080_da_006	vejskiltemaler
C002080_da_007	vejstribemaler
C002081_da_000	lyddesigner
C002081_da_001	audiodesigner
C002081_da_002	audioingeniør og lydkunstner
C002081_da_003	lydkunstner
C002081_da_004	musik- og lydkunstner
C002082_da_000	butikschef inden for frugt og grønsager
C002082_da_001	butiksbestyrer inden for frugt og grønsager
C002082_da_002	frugthandler
C002082_da_003	grønthandler
C002083_da_000	undervisningsassistent på udskolingstrinnet og ungdomsuddannelserne
C002083_da_001	lærerassistent i sekundærskolen
C002083_da_002	undervisningsassistent
C002083_da_003	undervisningsassistent i folkeskolen
C002083_da_004	undervisningsassistent i grundskolen
C002083_da_005	undervisningsassistent inden for ungdomsuddannelserne
C002084_da_000	HVAC-tekniker
C002084_da_001	køleanlægstekniker
C002084_da_002	kølemontør
C002084_da_003	køletekniker
C002084_da_004	varme-, ventilations- (, køle-) og klimaanlægstekniker
C002084_da_005	ventilationsingeniør
C002084_da_006	ventilationsmontør
C002084_da_007	ventilationstekniker
C002084_da_008	vvs-energitekniker
C002084_da_009	vvs-montør
C002084_da_010	vvs-tekniker
C002084_da_011	vvs-tekniker HVAC
C002085_da_000	rejseagent
C002085_da_001	bookingagent
C002085_da_002	rejsesælger
C002085_da_003	reservationsagent
C002086_da_000	værktøjsingeniør
C002086_da_001	værktøjskonstruktør
C002086_da_002	værktøjsmager
C002086_da_003	værktøjstekniker
C002087_da_000	licenschef
C002088_da_000	operatør af tunnelboremaskine
C002088_da_001	TBM-operatør
C002088_da_002	operatør af tunnelmaskine
C002088_da_003	operatør af tunneludstyr
C002088_da_004	procesoperatør
C002089_da_000	rekvisitfremstiller
C002089_da_001	rekvisitbygger
C002089_da_002	rekvisitmager
C002090_da_000	ansvarlig leder inden for it-sikkerhed og ansvarlighed for lotteri- og spillevirksomheder
C002090_da_001	ansvarlig leder inden for sikkerhed og kommunikation
C002090_da_002	kvalitetschef inden for lotteri- og spillevirksomhed
C002091_da_000	genbrugsspecialist
C002091_da_001	affaldsbehandlingskonsulent
C002091_da_002	genindvindingskonsulent
C002091_da_003	genindvindingskoordinator
C002091_da_004	genindvindingsspecialist
C002092_da_000	risikoanalytiker
C002092_da_001	finansrisikoanalytiker
C002092_da_002	kreditrisikoanalytiker
C002093_da_000	svejser
C002093_da_001	gassvejser
C002093_da_002	gørtler
C002093_da_003	maskinsvejser
C002093_da_004	skibssvejser
C002093_da_005	stålsvejser
C002093_da_006	svejsearbejder
C002093_da_007	undervandssvejser
C002094_da_000	tekniker inden for grundvandsovervågning
C002094_da_001	grundvandstekniker
C002094_da_002	laboratorietekniker inden for grundvandsområdet
C002094_da_003	tekniker inden for forureningsbekæmpelse
C002094_da_004	tekniker inden for forureningskontrol
C002094_da_005	tekniker inden for grundvandsbeskyttelse
C002094_da_006	tekniker inden for grundvandsovervågningssystemer
C002094_da_007	tekniker inden for grundvandsprøvetagning
C002094_da_008	tekniker inden for miljøbeskyttelse
C002094_da_009	tekniker inden for miljøbevarelse
C002095_da_000	arbejdsleder på raffinaderi
C002096_da_000	IT-direktør
C002096_da_001	IT-chef
C002096_da_002	direktør for den tekniske afdeling
C002096_da_003	markedsstrateg for IKT
C002096_da_004	teknisk direktør
C002097_da_000	idrætskonsulent
C002098_da_000	apotekstekniker
C002098_da_001	apoteksassistent
C002098_da_002	defektrice
C002099_da_000	udvalgssekretær
C002099_da_001	embedsmand
C002099_da_002	lovgivningsassistent
C002099_da_003	lovtekstforfatter
C002100_da_000	tekniker inden for respirationsterapi
C002100_da_001	respirationsterapeut
C002101_da_000	teknisk planlægger inden for minedrift
C002102_da_000	gasforsyningsingeniør
C002102_da_001	forsyningsingeniør
C002102_da_002	forsyningsoperatør
C002102_da_003	forsyningstekniker
C002103_da_000	forsikringskonsulent
C002103_da_001	forsikringsrådgiver
C002103_da_002	risiko- og forsikringskonsulent
C002103_da_003	risikoanalytiker inden for forsikring
C002104_da_000	videokunstner
C002104_da_001	audiovisuel kunstner
C002104_da_002	multimediekunstner
C002104_da_003	videodesigner
C002104_da_004	visuel kulturarbejder
C002105_da_000	kvalitetstekniker inden for lædervarer
C002105_da_001	kvalitetsspecialist inden for lædervarer
C002105_da_002	kvalitetstekniker
C002106_da_000	apoteker
C002106_da_001	apoteksassistent
C002106_da_002	farmaceut
C002107_da_000	arbejdsleder inden for vejbygning
C002107_da_001	arbejdsleder inden for kørebanekonstruktion
C002107_da_002	arbejdsleder inden for vejkonstruktion
C002107_da_003	belægningsansvarlig
C002107_da_004	vejinspektør
C002108_da_000	jernbaneingeniør inden for rullende materiel
C002108_da_001	banetekniker inden for rullende materiel
C002108_da_002	ingeniør inden for rullende materiel
C002108_da_003	teknisk konsulent inden for rullende materiel
C002109_da_000	brandmand — sprøjtefører
C002109_da_001	brandsprøjtefører
C002110_da_000	undervisningsmedarbejder i en zoologisk have
C002110_da_001	dyrepasser
C002110_da_002	dyretræner
C002110_da_003	medarbejder i en zoologisk have
C002110_da_004	zoomedarbejder
C002110_da_005	zoounderviser
C002111_da_000	kontrolrumsoperatør - minedrift
C002111_da_001	tilsynsførende inden for minedrift
C002112_da_000	handskemager
C002112_da_001	handsketilskærer
C002113_da_000	bilvaskmedarbejder
C002113_da_001	bilvasker
C002114_da_000	møller på destilleri
C002114_da_001	mølletekniker på destilleri
C002114_da_002	produktionsmedarbejder på destilleri
C002114_da_003	tekniker på destilleri
C002115_da_000	operatør af eltransmissionssystem
C002115_da_001	medarbejder inden for elektrisk krafttransmission
C002115_da_002	medarbejder inden for eltransmission
C002115_da_003	operatør af elektricitetssystemer
C002115_da_004	tekniker inden for eltransmissionssystemer
C002116_da_000	medarbejder på et dyreinternat
C002116_da_001	dyrepasser
C002116_da_002	internatmedarbejder
C002116_da_003	medarbejder på et internat
C002117_da_000	diagnostisk radiograf
C002117_da_001	beskrivende radiograf
C002117_da_002	røntgentekniker
C002118_da_000	workshopleder
C002118_da_001	sceneworkshopmanager
C002118_da_002	teaterworkshopkoordinator
C002118_da_003	teaterworkshopvejleder
C002119_da_000	operatør af symaskine
C002120_da_000	flymekaniker til eftersyn af flygasturbinemotorer
C002120_da_001	flymekaniker
C002120_da_002	flymontør
C002120_da_003	flymotormekaniker
C002120_da_004	flymotorreparatør
C002120_da_005	flytekniker
C002120_da_006	flytekniker, eftersyn af gasturbinemotorer
C002121_da_000	leder af tolkebureau
C002122_da_000	levnedsmiddelinspektør
C002122_da_001	chef for fødevaresikkerhed
C002122_da_002	fødevareinspektør
C002122_da_003	kontrolkoordinator for risikovurdering
C002122_da_004	kvalitetschef
C002122_da_005	tilsynsførende for levnedsmiddelkontrol
C002123_da_000	operatør af en drejebænk til metalforarbejdning
C002123_da_001	drejer
C002123_da_002	industrioperatør
C002123_da_003	maskinoperatør
C002123_da_004	maskinoperatør, drejebænk til metalforarbejdning
C002124_da_000	maskinoperatør - læderbehandling
C002124_da_001	medarbejder til læderbehandling
C002124_da_002	procesoperatør
C002124_da_003	sprøjteboksoperatør
C002125_da_000	import- og eksportchefer inden for computere, perifere enheder og software
C002125_da_001	assistent for eksportchef inden for computere, ydre enheder og software
C002125_da_002	assistent for importchef inden for computere, ydre enheder og software
C002125_da_003	international handelschef inden for computere, ydre enheder og software
C002126_da_000	løgnedetektoranalytiker
C002126_da_001	afhøringstekniker
C002127_da_000	dyreadfærdskonsulent
C002127_da_001	dyreadfærdsrådgiver
C002127_da_002	konsulent med speciale i dyreadfærd
C002127_da_003	konsulent specialiseret i dyreadfærd
C002128_da_000	ansvarlig inden for metalproduktion
C002128_da_001	arbejdsleder inden for metalproduktion
C002128_da_002	metalproduktionsleder
C002129_da_000	tekniker til filtrering af drikkevarer
C002129_da_001	maskinoperatør til filtrering af drikkevarer
C002129_da_002	tekniker til klaring af drikkevarer
C002130_da_000	komponist
C002130_da_001	sangskriver
C002131_da_000	lektor i psykologi
C002132_da_000	bestyrer af stormagasin
C002132_da_001	varehusbestyrer
C002133_da_000	operatør af en træboremaskine
C002133_da_001	industrioperatør
C002133_da_002	maskinoperatør
C002133_da_003	maskinsnedker
C002134_da_000	dørmand
C002134_da_001	diskoteksdørmand
C002134_da_002	dørvogter
C002134_da_003	eventvagt
C002134_da_004	natklubdørmand
C002134_da_005	udsmider
C002135_da_000	produktionsmedarbejder til tilberedning af fersk kød
C002135_da_001	medarbejder til bearbejdning af fersk kød
C002135_da_002	produktionsassistent til bearbejdning af fersk kød
C002135_da_003	produktionsmedarbejder til fremstilling af ferske kødretter
C002135_da_004	produktionsmedarbejder til fremstilling af færdigretter med fersk kød
C002136_da_000	ejendomsinvestor
C002137_da_000	montør af trævarer
C002137_da_001	produktionsarbejder
C002137_da_002	trappemontør
C002137_da_003	trævarebygger
C002137_da_004	vinduesmontør
C002138_da_000	postbud
C002138_da_001	postarbejder
C002138_da_002	postmand
C002138_da_003	postomdeler
C002139_da_000	vandkrafttekniker
C002139_da_001	tekniker inden for bølgekraft
C002139_da_002	tekniker inden for havenergi
C002139_da_003	tekniker inden for tidevandskraft
C002139_da_004	tekniker på hydroelektrisk kraftværk
C002140_da_000	musikbutikschef
C002140_da_001	musikbutiksbestyrer
C002141_da_000	programdirektør
C002141_da_001	TV-programdirektør
C002141_da_002	programansvarlig
C002141_da_003	programkoordinator
C002141_da_004	programleder
C002141_da_005	radioprogramdirektør
C002142_da_000	mikrosystemtekniker
C002142_da_001	MEMS-tekniker
C002142_da_002	mikrosystemingeniør
C002143_da_000	fysiker
C002143_da_001	biofysiker
C002143_da_002	kernefysiker
C002143_da_003	retsfysiker
C002144_da_000	placør
C002144_da_001	betjent
C002144_da_002	kontrollør
C002144_da_003	kustode
C002144_da_004	vagt
C002145_da_000	operatør af en trådhæftemaskine
C002145_da_001	industrioperatør
C002145_da_002	maskinoperatør
C002146_da_000	signalgiver
C002146_da_001	marshaller
C002147_da_000	vandanlægstekniker
C002147_da_001	vandforsyningstekniker
C002148_da_000	dybtrykker
C002148_da_001	industrioperatør
C002148_da_002	maskinoperatør
C002148_da_003	operatør af en dybtrykmaskine
C002148_da_004	operatør af en dybtryksmaskine
C002148_da_005	operatør af en dybtrykspresse
C002149_da_000	engrosforhandler inden for kontormaskiner og -udstyr
C002149_da_001	B2B-salgskonsulent inden for træ- og byggematerialer
C002149_da_002	engroshandelsassistent inden for træ- og byggematerialer
C002149_da_003	engroshandler inden for træ- og byggematerialer
C002149_da_004	grossist inden for træ- og byggematerialer
C002150_da_000	distributionschef inden for huder, skind og lædervarer
C002150_da_001	assistent for distributionschef inden for huder, skind og lædervarer
C002150_da_002	logistikchef inden for huder, skind og lædervarer
C002150_da_003	supply chain manager inden for huder, skind og lædervarer
C002151_da_000	talepædagog
C002151_da_001	audiologopæd
C002151_da_002	logopæd
C002152_da_000	engrosforhandler inden for smykker og ure
C002152_da_001	B2B-salgskonsulent inden for smykker og ure
C002152_da_002	engroshandelsassistent inden for smykker og ure
C002152_da_003	engroshandler inden for smykker og ure
C002152_da_004	grossist inden for smykker og ure
C002153_da_000	gravør
C002153_da_001	ciselør
C002153_da_002	kobberstikker
C002153_da_003	reliefkunstner
C002154_da_000	akvakulturtekniker med speciale i opdræt af akvatiske organismer
C002154_da_001	akvakulturtekniker
C002154_da_002	dambrugsarbejder
C002155_da_000	medarbejder i tørringsproces
C002155_da_001	maskinarbejder til damptørring
C002155_da_002	medarbejder til tørring af korn
C002155_da_003	produktionsmedarbejder til tørringsproces
C002155_da_004	tekniker til dehydreringsmaskine
C002156_da_000	kønssorterer af fjerkræ
C002156_da_001	kønsbestemmer af fjerkræ
C002156_da_002	kønssorterer af kyllinger
C002156_da_003	person der kønssorterer fjerkræ
C002157_da_000	andenpilot
C002157_da_001	flypilot
C002158_da_000	vurderingsmedarbejder inden for guld-sølv-ædelmetaller
C002158_da_001	analysator
C002158_da_002	analysekemiker
C002158_da_003	geolog
C002158_da_004	kontrolproberer
C002158_da_005	laborant
C002158_da_006	proberer
C002158_da_007	probermester
C002158_da_008	prøvemester
C002159_da_000	læsse- og lossearbejder
C002159_da_001	pakhusarbejder
C002160_da_000	import- og eksportmedarbejder inden for handel med levende dyr
C002160_da_001	ekspert i international handel
C002160_da_002	eksportassistent inden for handel med levende dyr
C002160_da_003	importassistent inden for handel med levende dyr
C002161_da_000	behandler inden for traditionel kinesisk medicin
C002162_da_000	tester af motorer til rullende materiel
C002162_da_001	tester af lokomotivmotorer
C002163_da_000	økonomilærer på gymnasieniveau
C002163_da_001	gymnasielærer i økonomi
C002164_da_000	naturbevarelseskonsulent
C002164_da_001	naturbeskyttelseskonsulent
C002164_da_002	naturfredningskonsulent
C002165_da_000	indkøbschef inden for læderråmaterialer
C002165_da_001	indkøber inden for læderråmaterialer
C002166_da_000	kunstlærer på gymnasieniveau
C002166_da_001	gymnasielærer i kunst
C002167_da_000	guldsmedekspedient
C002167_da_001	ekspedient i en guldsmedeforretning
C002167_da_002	ekspedient i en smykkeforretning
C002167_da_003	ekspedient i en urforretning
C002167_da_004	juveler
C002167_da_005	salgsassistent, guldsmedeforretning
C002167_da_006	salgsassistent, smykkeforretning
C002167_da_007	salgsassistent, urforretning
C002168_da_000	information- og videnchef IKT
C002168_da_001	informations- og videnschef IT
C002168_da_002	informationschef IKT
C002168_da_003	videnschef IKT
C002169_da_000	hydraulikingeniør
C002169_da_001	hydrauliktekniker
C002169_da_002	maskiningeniør inden for bilindustrien
C002170_da_000	skiinstruktør
C002171_da_000	videningeniør
C002171_da_001	ingeniør inden for behandling af viden
C002171_da_002	ingienør inden for videnbehandling
C002171_da_003	vidensingeniør
C002172_da_000	plejecentermedarbejder
C002172_da_001	social- og sundhedsassistent på plejecenter
C002172_da_002	social- og sundhedshjælper på plejecenter
C002173_da_000	butikschef inden for køkken og bad
C002173_da_001	butiksbestyrer inden for køkken og bad
C002174_da_000	IKT-netværksadministrator
C002174_da_001	administrator af netværk
C002174_da_002	netværksansvarlig
C002174_da_003	netværksingeniør
C002174_da_004	netværksspecialist
C002174_da_005	netværksupport
C002175_da_000	mejeriarbejder
C002175_da_001	maskinarbejder på mejeri
C002175_da_002	maskinarbejder til modtagelse af mælk
C002175_da_003	maskinarbejder til modtagelse af råmælk
C002176_da_000	flytekniker
C002176_da_001	flymekaniker
C002177_da_000	leder af kemisk fabrik
C002177_da_001	fabrikschef
C002177_da_002	leder af kemisk procesanlæg
C002177_da_003	produktionsleder inden for kemi
C002177_da_004	teknisk chef på kemisk fabrik
C002177_da_005	tilsynsførende på kemisk fabrik
C002178_da_000	lokomotivfører
C002178_da_001	lokofører
C002179_da_000	erhvervsskolelærer
C002179_da_001	fagskolelærer
C002179_da_002	handelsskolelærer
C002179_da_003	lærer på teknisk skole
C002180_da_000	maskinoperatør - blanding af gødning
C002181_da_000	receptionist på hotel eller beværtning
C002181_da_001	medarbejder i receptionen
C002181_da_002	receptionistassistent
C002181_da_003	reservationsmedarbejder
C002182_da_000	vedligeholdelsestekniker i lufthavn
C002182_da_001	vedligeholdelsestekniker
C002183_da_000	logistik- og distributionschef
C002183_da_001	chef for logistik og distribution
C002183_da_002	distribution- og logistikmanager
C002183_da_003	distributionskoordinator
C002183_da_004	logistik- og distributionsdirektør
C002183_da_005	logistikkoordinator
C002184_da_000	arbejdsleder inden for terrazzolægning
C002184_da_001	sjakformand inden for terrazzolægning
C002185_da_000	leder af sportsfaciliteter
C002185_da_001	administrerende direktør
C002185_da_002	fitnesscenterchef
C002185_da_003	halinspektør
C002185_da_004	instruktør
C002185_da_005	stadionchef
C002185_da_006	svømmehalsinspektør
C002186_da_000	legetøjshandler
C002186_da_001	ekspedient i en legetøjsbutik
C002186_da_002	ekspedient i en legetøjsforretning
C002186_da_003	legetøjsekspedient
C002186_da_004	legetøjssælger
C002186_da_005	salgsassistent, legetøjsbutik
C002186_da_006	salgsassistent, legetøjsforretning
C002187_da_000	lærer i jordemodervidenskab
C002187_da_001	jordemoderlærer
C002188_da_000	ergoterapiassistent
C002189_da_000	NDT-operatør
C002189_da_001	specialist inden for ikke-destruktiv prøvning
C002190_da_000	hårstylist
C002190_da_001	frisør
C002190_da_002	hår- og makeupartist
C002190_da_003	hårartist
C002190_da_004	hårstylist og makeupartist
C002191_da_000	palæontolog
C002191_da_001	fossilforsker
C002191_da_002	iknolog
C002191_da_003	mikropalæontolog
C002191_da_004	palæoøkolog
C002192_da_000	guitarbygger
C002192_da_001	instrumentbygger
C002192_da_002	instrumentmager
C002192_da_003	musikinstrumentbygger
C002192_da_004	musikinstrumentmager
C002192_da_005	tekniker
C002193_da_000	IKT-chef
C002193_da_001	CIO
C002193_da_002	IKT-direktør
C002193_da_003	chef for IKT
C002193_da_004	chef for IKT-afdelingen
C002194_da_000	valgstrateg
C002194_da_001	valgkampagnekoordinator
C002194_da_002	valgkampagnerådgiver
C002195_da_000	ansvarlig inden for elektronikproduktion
C002195_da_001	leder af elektronikproduktion
C002195_da_002	leder inden for fremstilling af elektronik
C002196_da_000	bilkørelærer
C002196_da_001	kørelærer
C002197_da_000	leder af oversættelsesbureau
C002198_da_000	værktøjssliber
C002198_da_001	værktøjsmager
C002199_da_000	kontraktingeniør
C002199_da_001	styringstekniker
C002200_da_000	motormand
C002201_da_000	montør af skinnekøretøjer
C002201_da_001	lokomotivbygger
C002201_da_002	togvognsbygger
C002202_da_000	import- og eksportmedarbejder inden for computere, ydre enheder og software
C002202_da_001	ekspert i international handel
C002202_da_002	eksportassistent inden for computere, ydre enheder og software
C002202_da_003	importassistent inden for computere, ydre enheder og software
C002203_da_000	rådgiver inden for familieplanlægning
C002203_da_001	familieplanlægger
C002203_da_002	familieplanlægningskonsulent
C002203_da_003	parterapeut
C002203_da_004	præventionsrådgiver
C002203_da_005	seksualvejleder
C002204_da_000	maskinoperatør inden for fiskeproduktion
C002204_da_001	tekniker i dambrug
C002204_da_002	tekniker i fiskeopdræt
C002204_da_003	tekniker i fiskeproduktion
