C000001_de_000	Angehörige der regulären Streitkräfte
C001706_de_004	Kirchnerin
C001706_de_005	Küster
C001706_de_006	Küsterin
C001706_de_007	Mesmer
C001706_de_008	Mesmerin
C001706_de_009	Mesner
C001706_de_010	Mesnerin
C001706_de_011	Messmer
C001706_de_012	Messmerin
C001706_de_013	Messner
C001706_de_014	Messnerin
C001706_de_015	Sakristan
C001706_de_016	Sakristanin
C001707_de_000	Ingenieur Gebäudetechnik und Facility-Management/Ingenieurin Gebäudetechnik und Facility-Management
C001707_de_001	Ingenieur Gebäudetechnik und Facility-Management
C001707_de_002	Ingenieurin Gebäudetechnik und Facility-Management
C001708_de_000	Großhändler für Fleisch- und Fleischerzeugnisse/Großhändlerin für Fleisch- und Fleischerzeugnisse
C001708_de_001	Großhändler für Fleisch- und Fleischerzeugnisse
C001708_de_002	Großhändlerin für Fleisch- und Fleischerzeugnisse
C001709_de_000	Ingenieur Stromerzeugung/Ingenieurin Stromerzeugung
C001709_de_001	Ingenieur Stromerzeugung
C001709_de_002	Ingenieurin Stromerzeugung
C001710_de_000	Trainer für künstlerische Performance/Trainerin für künstlerische Performance
C001710_de_001	Artistic Coach
C001710_de_002	Ballettlehrer
C001710_de_003	Ballettlehrerin
C001710_de_004	Choreograf
C001710_de_005	Choreografin
C001710_de_006	Choreograph
C001710_de_007	Choreographin
C001710_de_008	Coach für darstellende Kunst
C001710_de_009	Schauspieler
C001710_de_010	Schauspielerin
C001710_de_011	Schauspiellehrer
C001710_de_012	Schauspiellehrerin
C001710_de_013	Tanzlehrer
C001710_de_014	Tanzlehrerin
C001710_de_015	Tanztrainer
C001710_de_016	Tanztrainerin
C001710_de_017	Trainer für darstellende Kunst
C001710_de_018	Trainer für künstlerische Performance
C001710_de_019	Trainerin für darstellende Kunst
C001710_de_020	Trainerin für künstlerische Performance
C001711_de_000	Steward/Stewardess
C001711_de_001	Flugbegleiter
C001711_de_002	Flugbegleiterin
C001711_de_003	Steward
C001711_de_004	Stewardess
C001712_de_000	Kunsttischler/Kunsttischlerin
C001712_de_001	Antiquitätentischler
C001712_de_002	Antiquitätentischlerin
C001712_de_003	Kunsttischler
C001712_de_004	Kunsttischlerin
C001713_de_000	Verwalter von Datenübertragungsnetzen im Luftverkehr/Verwalterin von Datenübertragungsnetzen im Luftverkehr
C001713_de_001	Verwalter von Datenübertragungsnetzen im Luftverkehr
C001713_de_002	Verwalterin von Datenübertragungsnetzen im Luftverkehr
C001714_de_000	Lehrkraft für Elektronik und Automation
C001714_de_001	Ausbilder/in für Elektronik und Automation
C001714_de_002	Fachlehrkraft für Elektronik und Automation
C001714_de_003	InstruktorIn für Elektronik und Automation
C001715_de_000	Feuerwerkskörperhersteller/Feuerwerkskörperherstellerin
C001715_de_001	Feuerwerkskörperhersteller
C001715_de_002	Feuerwerkskörperherstellerin
C001716_de_000	Leiter einer Versicherungsagentur/Leiterin einer Versicherungsagentur
C001716_de_001	Leiter einer Versicherungsagentur
C001716_de_002	Leiterin einer Versicherungsagentur
C001716_de_003	Versicherungsmanager
C001716_de_004	Versicherungsmanagerin
C001717_de_000	Führungskraft in der Aquakulturproduktion
C001718_de_000	Ingenieur Antriebsstrang/Ingenieurin Antriebsstrang
C001718_de_001	Antriebsingenieur
C001718_de_002	Antriebsstrang-Designer
C001718_de_003	Antriebsstrang-Experte
C001718_de_004	Antriebstechniker
C001718_de_005	Ingenieur Antriebsstrang
C001718_de_006	Ingenieur für Antriebsentwicklung
C001718_de_007	Ingenieurin Antriebsstrang
C001718_de_008	Ingenieurin für Antriebsentwicklung
C001719_de_000	Programmkoordinator Umwelt/Programmkoordinatorin Umwelt
C001719_de_001	Programmkoordinator Umwelt
C001719_de_002	Programmkoordinatorin Umwelt
C001719_de_003	Umwelt-Auditor
C001719_de_004	Umwelt-Auditorin
C001719_de_005	Umweltbeauftragte
C001719_de_006	Umweltbeauftragter
C001719_de_007	Umweltmanagementbeauftragte
C001719_de_008	Umweltmanagementbeauftragter
C001720_de_000	Industriemechaniker für Schmiedeanlagen/Industriemechanikerin für Schmiedeanlagen
C001720_de_001	Industriemechaniker für Schmiedeanlagen
C001720_de_002	Industriemechanikerin für Schmiedeanlagen
C001720_de_003	Maschinenschlosser für Schmiedeanlagen
C001720_de_004	Maschinenschlosserin für Schmiedeanlagen
C001721_de_000	Kunststofffacharbeiter/Kunststofffacharbeiterin
C001721_de_001	Kunststofffacharbeiter
C001721_de_002	Kunststofffacharbeiterin
C001722_de_000	Hochschullehrkraft für Physik
C001722_de_001	Dozent für Angewandte Physik
C001722_de_002	Dozentin für Angewandte Physik
C001722_de_003	Hochschulassistent/in für theoretische Physik
C001722_de_004	Lehrbeauftragte für Physik
C001722_de_005	Lehrbeauftragter für Physik
C001722_de_006	UniversitätsprofessorIn für Physik
C001723_de_000	Spinnmaschinenbediener/Spinnmaschinenbedienerin
C001723_de_001	Bediener von Spinnmaschinen
C001723_de_002	Bedienerin von Spinnmaschinen
C001723_de_003	Spinnmaschinenbediener
C001723_de_004	Spinnmaschinenbedienerin
C001724_de_000	Nachhilfelehrer/Nachhilfelehrerin
C001724_de_001	Nachhilfelehrer
C001724_de_002	Nachhilfelehrerin
C001724_de_003	Privatlehrer/in
C001724_de_004	TutorIn
C001725_de_000	Steuerberater/Steuerberaterin
C001725_de_001	Steuerberater
C001725_de_002	SteuerberaterIn
C001725_de_003	Steuerberaterin
C001725_de_004	Steuerexperte
C001725_de_005	Steuerexpertin
C001726_de_000	Lehrkraft für Gebärdensprache
C001726_de_001	GesbärdensprachlehrerIn
C001726_de_002	Lehrer für Gebärdensprache
C001726_de_003	Lehrerin für Gebärdensprache
C001727_de_000	Rohbaufacharbeiter/Rohbaufacharbeiterin
C001727_de_001	Baumonteur
C001727_de_002	Baumonteurin
C001727_de_003	Rohbaufacharbeiter
C001727_de_004	Rohbaufacharbeiterin
C001728_de_000	Pyrotechniker/Pyrotechnikerin
C001728_de_001	Bühnenfeuerwerker
C001728_de_002	Bühnenfeuerwerkerin
C001728_de_003	Bühnenpyrotechniker
C001728_de_004	Bühnenpyrotechnikerin
C001728_de_005	Eventpyrotechniker
C001728_de_006	Eventpyrotechnikerin
C001728_de_007	Feuerwerker
C001728_de_008	Feuerwerkerin
C001728_de_009	Filmfeuerwerker
C001728_de_010	Filmfeuerwerkerin
C001728_de_011	Filmpyrotechniker
C001728_de_012	Filmpyrotechnikerin
C001728_de_013	Pyrotechniker
C001728_de_014	Pyrotechnikerin
C001729_de_000	Produktionstechniker Schuhwaren/Produktionstechnikerin Schuhwaren
C001729_de_001	Produktionstechniker Schuhwaren
C001729_de_002	Produktionstechnikerin Schuhwaren
C001729_de_003	Schuhtechniker Betriebstechnik
C001729_de_004	Schuhtechnikerin Betriebstechnik
C001730_de_000	Gasabfüller/Gasabfüllerin
C001730_de_001	Gasabfüller
C001730_de_002	Gasabfüllerin
C001730_de_003	Propangasabfüller
C001730_de_004	Propangasabfüllerin
C001731_de_000	Bühnenarbeiter/Bühnenarbeiterin
C001731_de_001	Bühnenarbeiter
C001731_de_002	Bühnenarbeiterin
C001731_de_003	Bühnentechniker
C001731_de_004	Bühnentechnikerin
C001731_de_005	Kulissenarbeiter
C001731_de_006	Kulissenarbeiterin
C001732_de_000	Rangierer/Rangiererin
C001732_de_001	Rangierbegleiter
C001732_de_002	Rangierbegleiterin
C001732_de_003	Rangierer
C001732_de_004	Rangiererin
C001732_de_005	Rangierführer
C001732_de_006	Rangierführerin
C001732_de_007	Verschieber
C001732_de_008	Verschieberin
C001733_de_000	Bildungsforscher/Bildungsforscherin
C001733_de_001	Bildungsforscher
C001733_de_002	BildungsforscherIn
C001733_de_003	Bildungsforscherin
C001734_de_000	Großhändler für Milchprodukte und Speiseöle/Großhändlerin für Milchprodukte und Speiseöle
C001734_de_001	Großhändler für Milchprodukte und Speiseöle
C001734_de_002	Großhändlerin für Milchprodukte und Speiseöle
C001735_de_000	Restaurator für Möbel und Holzobjekte/Restauratorin für Möbel und Holzobjekte
C001735_de_001	Möbelrestaurator
C001735_de_002	Möbelrestauratorin
C001735_de_003	Restaurator für Möbel und Holzobjekte
C001735_de_004	Restauratorin für Möbel und Holzobjekte
C001736_de_000	Schiffsarchitekt/Schiffsarchitektin
C001736_de_001	Schiffsarchitekt
C001736_de_002	Schiffsarchitektin
C001737_de_000	Berufstaucher/Berufstaucherin
C001737_de_001	Berufstaucher
C001737_de_002	Berufstaucherin
C001737_de_003	Industrietaucher
C001737_de_004	Industrietaucherin
C001737_de_005	Unterwasserarbeiter
C001737_de_006	Unterwasserarbeiterin
C001738_de_000	Rettungsschwimmer-Ausbilder/Rettungsschwimmer-Ausbilderin
C001738_de_001	Ausbilder für Rettungsschwimmer
C001738_de_002	Ausbilderin für Rettungsschwimmer
C001738_de_003	Rettungsschwimmer-Ausbilder
C001738_de_004	Rettungsschwimmer-Ausbilderin
C001739_de_000	Patentsachbearbeiter/Patentsachbearbeiterin
C001739_de_001	Patentanwalt
C001739_de_002	Patentanwältin
C001739_de_003	Patentmakler
C001739_de_004	Patentmaklerin
C001739_de_005	Patentreferent
C001739_de_006	Patentreferentin
C001739_de_007	Patentsachbearbeiter
C001739_de_008	Patentsachbearbeiterin
C001740_de_000	Redenschreiber/Redenschreiberin
C001740_de_001	Ghostwriter
C001740_de_002	Ghostwriterin
C001740_de_003	Redenschreiber
C001740_de_004	Redenschreiberin
C001740_de_005	Trauerredenschreiber
C001740_de_006	Trauerredenschreiberin
C001741_de_000	Tierfriseur/Tierfriseurin
C001741_de_001	Tierfriseur
C001741_de_002	Tierfriseurin
C001741_de_003	Tierfrisör
C001741_de_004	Tierfrisörin
C001742_de_000	Sozialbetreuer psychische Gesundheit/Sozialbetreuerin psychische Gesundheit
C001742_de_001	Fachkraft für psychische Gesundheit
C001742_de_002	Sozialbetreuer psychische Gesundheit
C001742_de_003	Sozialbetreuerin psychische Gesundheit
C001743_de_000	Karosserie- und Fahrzeugbaumechaniker Fachrichtung Karosseriebautechnik/Karosserie- und Fahrzeugbaumechanikerin Fachrichtung Karosseriebautechnik
C001743_de_001	Fahrzeugschlosser
C001743_de_002	Fahrzeugschlosserin
C001743_de_003	Karosserie- und Fahrzeugbaumechaniker Fachrichtung Karosseriebautechnik
C001743_de_004	Karosserie- und Fahrzeugbaumechanikerin Fachrichtung Karosseriebautechnik
C001743_de_005	Karosseriebauer
C001743_de_006	Karosseriebauerin
C001743_de_007	Karosseriebautechniker
C001743_de_008	Karosseriebautechnikerin
C001744_de_000	Sekretär/Sekretärin
C001744_de_001	Sekretariatsfachkraft
C001744_de_002	Sekretariatskraft
C001744_de_003	Sekretär
C001744_de_004	Sekretärin
C001745_de_000	Forschungsassistent/Forschungsassistentin
C001745_de_001	Forschungsassistent
C001745_de_002	Forschungsassistentin
C001746_de_000	Teamleiter Obstbau/Teamleiterin Obstbau
C001746_de_001	Teamleiter Obstbau
C001746_de_002	Teamleiterin Obstbau
C001747_de_000	Industriemechaniker für Gießereianlagen/Industriemechanikerin für Gießereianlagen
C001747_de_001	Betriebsmechaniker für Gießereianlagen
C001747_de_002	Industriemechaniker für Gießereianlagen
C001747_de_003	Industriemechanikerin für Gießereianlagen
C001747_de_004	Maschinenmechaniker für Gießereianlagen
C001747_de_005	Maschinenmechanikerin für Gießereianlagen
C001747_de_006	Maschinenschlosser für Gießereianlagen
C001747_de_007	Maschinenschlosserin für Gießereianlagen
C001748_de_000	Chemie- und Pharmatechnologe/Chemie- und Pharmatechnologin
C001748_de_001	Chemie- und Pharmatechnologe
C001748_de_002	Chemie- und Pharmatechnologin
C001748_de_003	Chemiearbeiter
C001748_de_004	Chemiearbeiterin
C001748_de_005	Chemielaborfacharbeiter
C001748_de_006	Chemielaborfacharbeiterin
C001748_de_007	Chemielaborhelfer
C001748_de_008	Chemielaborhelferin
C001748_de_009	Chemielaborjungwerker
C001748_de_010	Chemielaborjungwerkerin
C001748_de_011	Chemielaborwerker
C001748_de_012	Chemielaborwerkerin
C001748_de_013	Chemieproduktionsfachkraft
C001748_de_014	Chemieverfahrenstechniker
C001748_de_015	Chemieverfahrenstechnikerin
C001748_de_016	Chemiewerker
C001748_de_017	Chemiewerkerin
C001748_de_018	Chemikant
C001748_de_019	Chemikantin
C001748_de_020	Chemiker
C001748_de_021	Chemikerin
C001748_de_022	Chemolaborant
C001748_de_023	Chemolaborantin
C001748_de_024	Chemotechniker
C001748_de_025	Chemotechnikerin
C001748_de_026	Mischer
C001748_de_027	Mischerin
C001749_de_000	Lehrkraft für Musik Sekundarstufe
C001749_de_001	Lehrer für Musikerziehung Sekundarstufe
C001749_de_002	LehrerIn für Musik Sekundarstufe
C001749_de_003	Lehrerin für Musikerziehung Sekundarstufe
C001749_de_004	Musiklehrer/in Sekundarstufe
C001750_de_000	Import-/Exportmanager für Holz und Baustoffe/Import-/Exportmanagerin für Holz und Baustoffe
C001750_de_001	Import-/Exportmanager für Holz und Baustoffe
C001750_de_002	Import-/Exportmanagerin für Holz und Baustoffe
C001751_de_000	Textildrucker/Textildruckerin
C001751_de_001	Textildrucker
C001751_de_002	Textildruckerin
C001752_de_000	Reiseveranstalter/Reiseveranstalterin
C001752_de_001	Reiseleiter
C001752_de_002	Reiseleiterin
C001752_de_003	Reiseveranstalter
C001752_de_004	Reiseveranstalterin
C001753_de_000	Brennereileiter/Brennereileiterin
C001753_de_001	Brennereiaufseher
C001753_de_002	Brennereiaufseherin
C001753_de_003	Brennereileiter
C001753_de_004	Brennereileiterin
C001754_de_000	Abgeordneter/Abgeordnete
C001754_de_001	Abgeordnete
C001754_de_002	Abgeordneter
C001754_de_003	Bundestagsabgeordnete
C001754_de_004	Bundestagsabgeordneter
C001754_de_005	Bundestagsmitglied
C001754_de_006	Bürgerschaftsabgeordnete
C001754_de_007	Bürgerschaftsabgeordneter
C001754_de_008	Landtagsabgeordnete
C001754_de_009	Landtagsabgeordneter
C001754_de_010	MEP
C001754_de_011	MdB
C001754_de_012	Mitglied des Bundestages
C001754_de_013	Mitglied des Europäischen Parlaments
C001754_de_014	Nationalratsmitglied
C001754_de_015	Parlamentarier
C001754_de_016	Parlamentarierin
C001754_de_017	Parlamentsmitglied
C001754_de_018	Volksvertreter
C001754_de_019	Volksvertreterin
C001755_de_000	Tierphysiotherapeut/Tierphysiotherapeutin
C001755_de_001	Tier-Physiotherapeut
C001755_de_002	Tier-Physiotherapeutin
C001755_de_003	Tierphysiotherapeut
C001755_de_004	Tierphysiotherapeutin
C001756_de_000	Gummischneider/Gummischneiderin
C001756_de_001	Gummischneider
C001756_de_002	Gummischneiderin
C001756_de_003	Gummistanzer
C001756_de_004	Gummistanzerin
C001757_de_000	CNC-Anwendungsfachkraft
C001757_de_001	CNC-Anwendungsfachfrau
C001757_de_002	CNC-Anwendungsfachmann
C001757_de_003	CNC-Fachkraft
C001757_de_004	CNC-Maschinenbediener
C001757_de_005	CNC-Maschinenbedienerin
C001757_de_006	Industriefachkraft - CNC-Technik
C001758_de_000	Aufsichtskraft in Bergwerken
C001758_de_001	Aufseher Bergbau
C001758_de_002	Aufseherin Bergbau
C001758_de_003	Bergbauaufsichtskraft
C001758_de_004	Grubenaufseher
C001758_de_005	Grubenaufseherin
C001759_de_000	Verkaufssachbearbeiter/Verkaufssachbearbeiterin
C001759_de_001	Verkaufssachbearbeiter
C001759_de_002	Verkaufssachbearbeiterin
C001759_de_003	Vertriebsassistent
C001759_de_004	Vertriebsassistentin
C001760_de_000	Glasierer/Glasiererin
C001760_de_001	Glasierer
C001760_de_002	Glasiererin
C001760_de_003	Glasurbrandofenbediener
C001760_de_004	Glasurbrandofenbedienerin
C001760_de_005	Glasurbrenner
C001760_de_006	Glasurbrennerin
C001761_de_000	Generalsekretär/Generalsekretärin
C001761_de_001	Generalsekretär
C001761_de_002	Generalsekretärin
C001762_de_000	Werkstattleiter/Werkstattleiterin
C001762_de_001	Werkstattleiter
C001762_de_002	Werkstattleiterin
C001763_de_000	Import-/Exportmanager für Metalle und Metallerze/Import-/Exportmanagerin für Metalle und Metallerze
C001763_de_001	Import-/Exportmanager für Metalle und Metallerze
C001763_de_002	Import-/Exportmanagerin für Metalle und Metallerze
C001764_de_000	Fachkraft für Projektunterstützung
C001764_de_001	PMO
C001764_de_002	Projektlieferant
C001764_de_003	Projektmanagementbeauftragter
C001764_de_004	Projektsteuerungsbeauftragter
C001765_de_000	Manager für öffentlichen und sozialen Wohnungsbau/Managerin für öffentlichen und sozialen Wohnungsbau
C001765_de_001	Manager für öffentlichen und sozialen Wohnungsbau
C001765_de_002	Managerin für öffentlichen und sozialen Wohnungsbau
C001766_de_000	Elektromechaniker/Elektromechanikerin
C001766_de_001	Elektromechaniker
C001766_de_002	Elektromechanikerin
C001767_de_000	Berufsberater/Berufsberaterin
C001767_de_001	Berufsberater
C001767_de_002	BerufsberaterIn
C001767_de_003	Berufsberaterin
C001767_de_004	Bildungsberater/in
C001767_de_005	BildungsberaterIn
C001767_de_006	Studienberater/in
C001767_de_007	StudienberaterIn
C001768_de_000	Automatenweber/Automatenweberin
C001768_de_001	Automatenweber
C001768_de_002	Automatenweberin
C001769_de_000	Brennschneider/Brennschneiderin
C001769_de_001	Brennschneider
C001769_de_002	Brennschneiderin
C001770_de_000	Oberbohrmeister/Oberbohrmeisterin
C001770_de_001	Bohrinselmanager
C001770_de_002	Bohrinselmanagerin
C001770_de_003	Bohrstellenleiter
C001770_de_004	Bohrstellenleiterin
C001770_de_005	Oberbohrmeister
C001770_de_006	Oberbohrmeisterin
C001770_de_007	Toolpusher
C001770_de_008	Ölrigger
C001771_de_000	medizinische Schreibkraft
C001771_de_001	medizinische Transkriptorin
C001771_de_002	medizinischer Transkriptor
C001772_de_000	Referent für Rechtsfragen/Referentin für Rechtsfragen
C001772_de_001	Rechtsreferent
C001772_de_002	Rechtsreferent/in
C001772_de_003	Rechtsreferentin
C001772_de_004	Referent für Rechtsfragen
C001772_de_005	Referentin für Rechtsfragen
C001773_de_000	Sucht- und Drogenberater/Sucht- und Drogenberaterin
C001773_de_001	Sucht- und Drogenberater
C001773_de_002	Sucht- und Drogenberaterin
C001774_de_000	Backofenbediener/Backofenbedienerin
C001774_de_001	Backmaschinenbediener
C001774_de_002	Backmaschinenbedienerin
C001774_de_003	Backofenbediener
C001774_de_004	Backofenbedienerin
C001775_de_000	Elektroniker für Energie- und Gebäudetechnik/Elektronikerin für Energie- und Gebäudetechnik
C001775_de_001	Elektriker
C001775_de_002	Elektrikerin
C001775_de_003	Elektroinstallateur
C001775_de_004	Elektroinstallateurin
C001775_de_005	Elektroniker für Energie- und Gebäudetechnik
C001775_de_006	Elektronikerin für Energie- und Gebäudetechnik
C001775_de_007	Hauselektriker
C001775_de_008	Hauselektrikerin
C001776_de_000	Maskenbildner/Maskenbildnerin
C001776_de_001	Haardesigner
C001776_de_002	Haardesignerin
C001776_de_003	Make-up- und Haarkünstler
C001776_de_004	Make-up- und Haarkünstlerin
C001776_de_005	Make-up- und Hair-Designer
C001776_de_006	Make-up- und Hair-Designerin
C001776_de_007	Maskenbildner
C001776_de_008	Maskenbildnerin
C001777_de_000	Industrieelektriker – Betriebstechnik/Industrieelektrikerin – Betriebstechnik
C001777_de_001	Betriebselektriker
C001777_de_002	Betriebselektrikerin
C001777_de_003	Elektrobetriebstechniker
C001777_de_004	Elektrobetriebstechnikerin
C001777_de_005	Industrieelektriker - Betriebstechnik
C001777_de_006	Industrieelektrikerin - Betriebstechnik
C001778_de_000	Justizwachtmeister/Justizwachtmeisterin
C001778_de_001	Gerichtsbote
C001778_de_002	Gerichtsbotin
C001778_de_003	Gerichtsdiener
C001778_de_004	Gerichtsdienerin
C001778_de_005	Justizwachtmeister
C001778_de_006	Justizwachtmeisterin
C001779_de_000	Spielzeughersteller/Spielzeugherstellerin
C001779_de_001	Spielzeughersteller
C001779_de_002	Spielzeugherstellerin
C001779_de_003	Spielzeugmacher
C001779_de_004	Spielzeugmacherin
C001780_de_000	Bankkundenberater/Bankkundenberaterin
C001780_de_001	Bankkundenberater
C001780_de_002	Bankkundenberaterin
C001780_de_003	Filialkundenberater im Bankwesen
C001780_de_004	Filialkundenberaterin im Bankwesen
C001780_de_005	Individualkundenberater im Bankwesen
C001780_de_006	Individualkundenberaterin im Bankwesen
C001781_de_000	Entrindungsmaschinenführer/Entrindungsmaschinenführerin
C001781_de_001	Entrindungsmaschinenführer
C001781_de_002	Entrindungsmaschinenführerin
C001781_de_003	Schälmaschinenführer
C001781_de_004	Schälmaschinenführerin
C001782_de_000	Finanzcontroller/Finanzcontrollerin
C001782_de_001	Controller
C001782_de_002	Controllerin
C001782_de_003	Finanzcontroller
C001782_de_004	Finanzcontrollerin
C001783_de_000	Schiffsschlosser/Schiffsschlosserin
C001783_de_001	Marinemonteur
C001783_de_002	Schiffsmonteur
C001783_de_003	Schiffsschlosser
C001783_de_004	Schiffsschlosserin
C001783_de_005	maritimer Monteur
C001783_de_006	maritimer Monteurin
C001784_de_000	Behälter- und Apparatebauer/Behälter- und Apparatebauerin
C001784_de_001	Behälter- und Apparatebauer
C001784_de_002	Behälter- und Apparatebauerin
C001784_de_003	Behälterbauer
C001784_de_004	Behälterbauerin
C001784_de_005	Kesselbauer
C001784_de_006	Kesselbauerin
C001784_de_007	Kesselschlosser
C001784_de_008	Kesselschlosserin
C001784_de_009	Metalltankbauer
C001784_de_010	Metalltankbauerin
C001785_de_000	Blutabnehmer/Blutabnehmerin
C001785_de_001	Phlebotomist
C001786_de_000	Lehrkraft Sekundarstufe
C001786_de_001	AHS-Lehrer/in
C001786_de_002	BHS-LehrerIn
C001786_de_003	BerufsschullehrerIn
C001786_de_004	GesamtschullehrerIn
C001786_de_005	Gymnasiallehrer/in
C001786_de_006	HauptschullehrerIn
C001786_de_007	NMS-Lehrer/in
C001786_de_008	Sekundarschullehrer
C001786_de_009	Sekundarschullehrerin
C001787_de_000	Medizinisch-technischer Assistent Nuklearmedizin/Medizinisch-technische Assistentin Nuklearmedizin
C001787_de_001	Fachradiologietechnologe Nuklearmedizin
C001787_de_002	Fachradiologietechnologin Nuklearmedizin
C001787_de_003	Medizinisch-technische Assistentin Nuklearmedizin
C001787_de_004	Medizinisch-technische Fachassistentin Nuklearmedizin
C001787_de_005	Medizinisch-technischer Assistent Nuklearmedizin
C001787_de_006	Medizinisch-technischer Fachassistent Nuklearmedizin
C001788_de_000	Zollbeamter/Zollbeamtin
C001788_de_001	Zollagent
C001788_de_002	Zollagentin
C001788_de_003	Zollbeamter
C001788_de_004	Zollbeamtin
C001788_de_005	Zollsachbearbeiter
C001788_de_006	Zollsachbearbeiterin
C001788_de_007	Zollwachebedienstete
C001788_de_008	Zollwachebediensteter
C001788_de_009	Zöllner
C001788_de_010	Zöllnerin
C001789_de_000	Genealoge/Genealogin
C001789_de_001	Ahnenforscher
C001789_de_002	Ahnenforscherin
C001789_de_003	Geneaologe
C001789_de_004	Geneaologin
C001790_de_000	IT-Usability-Engineer
C001790_de_001	Usability-Engineer
C001790_de_002	Usability-Experte
C001790_de_003	Usability-Expertin
C001791_de_000	Keramgießer/Keramgießerin
C001791_de_001	Keramgießer
C001791_de_002	Keramgießerin
C001791_de_003	Keramikgießer
C001791_de_004	Keramikgießerin
C001791_de_005	Porzellangießer
C001791_de_006	Porzellangießerin
C001792_de_000	Straßenbaumaschinenführer/Straßenbaumaschinenführerin
C001792_de_001	Asphaltbauer
C001792_de_002	Asphaltbauerin
C001792_de_003	Schwarzstraßenbauer
C001792_de_004	Schwarzstraßenbauerin
C001792_de_005	Straßenbauer
C001792_de_006	Straßenbauerin
C001792_de_007	Straßenbaumaschinenführer
C001792_de_008	Straßenbaumaschinenführerin
C001793_de_000	Leiter eines Tier- und Tierfuttergeschäftes/Leiterin eines Tier- und Tierfuttergeschäftes
C001793_de_001	Leiter eines Tier- und Tierfuttergeschäftes
C001793_de_002	Leiterin eines Tier- und Tierfuttergeschäftes
C001794_de_000	Blattsortierkraft
C001794_de_001	Mitarbeiter in der Tabakblattsortierung
C001794_de_002	Mitarbeiterin in der Tabakblattsortierung
C001794_de_003	Tabakblattsortierer
C001794_de_004	Tabakblattsortiererin
C001795_de_000	Bauglaser/Bauglaserin
C001795_de_001	Bauglaser
C001795_de_002	Bauglaserin
C001795_de_003	Glaser
C001795_de_004	Glaserin
C001796_de_000	Krankenhausapotheker/Krankenhausapothekerin
C001796_de_001	Krankenhausapotheker
C001796_de_002	Krankenhausapothekerin
C001797_de_000	Dokumentationsmanager/Dokumentationsmanagerin
C001797_de_001	Dokumentationsmanager
C001797_de_002	Dokumentationsmanager im Bereich IKT
C001797_de_003	Dokumentationsmanagerin
C001797_de_004	Dokumentationsmanagerin im Bereich IKT
C001797_de_005	IT-Dokumentationsmanager
C001797_de_006	IT-Dokumentationsmanagerin
C001798_de_000	Bergbauingenieur/Bergbauingenieurin
C001798_de_001	Bergbauingenieur
C001798_de_002	Bergbauingenieurin
C001798_de_003	Bergingenieur
C001798_de_004	Bergingenieurin
C001798_de_005	Bergweseningenieur
C001798_de_006	Bergweseningenieurin
C001799_de_000	Hochschullehrkraft für Biologie
C001799_de_001	Dozent/in für Biologie
C001799_de_002	Hochschullehrer für Biologie
C001799_de_003	HochschullehrerIn für Biologie
C001799_de_004	Hochschullehrerin für Biologie
C001799_de_005	ProfessorIn für Biologie
C001799_de_006	Universitätslehrer für Biologie
C001799_de_007	UniversitätslehrerIn für Biologie
C001799_de_008	Universitätslehrerin für Biologie
C001799_de_009	Universitätslehrkraft für Biologie
C001800_de_000	Referent für Kultur/Referentin für Kultur
C001800_de_001	KulturreferentIn
C001800_de_002	Referent für Kultur
C001800_de_003	Referent/in für Kulturpolitik
C001800_de_004	ReferentIn für Kulturmanagement
C001800_de_005	Referentin für Kultur
C001800_de_006	Sachbearbeiter/in für Kulturfragen
C001801_de_000	Prospektverteiler/Prospektverteilerin
C001801_de_001	Broschürenverteiler
C001801_de_002	Broschürenverteilerin
C001801_de_003	Prospektausträger
C001801_de_004	Prospektausträgerin
C001801_de_005	Prospektverteiler
C001801_de_006	Prospektverteilerin
C001801_de_007	Prospektzusteller
C001801_de_008	Prospektzustellerin
C001801_de_009	Verteiler für Prospekte
C001801_de_010	Verteilerin für Prospekte
C001801_de_011	Werbemittelverteiler
C001801_de_012	Werbemittelverteilerin
C001802_de_000	Musikproduzent/Musikproduzentin
C001802_de_001	Musikproduzent
C001802_de_002	Musikproduzentin
C001803_de_000	Unternehmensanalyst/Unternehmensanalystin
C001803_de_001	Unternehmensanalyst
C001803_de_002	UnternehmensanalystIn
C001803_de_003	Unternehmensanalystin
C001803_de_004	Unternehmensberater
C001803_de_005	UnternehmensberaterIn
C001803_de_006	Unternehmensberaterin
C001804_de_000	Vermietassistent Luftfahrzeuge/Vermietassistentin Luftfahrzeuge
C001804_de_001	Flugzeug- und Hubschraubervermieter
C001804_de_002	Flugzeug- und Hubschraubervermieterin
C001804_de_003	Vermietassistent Luftfahrzeuge
C001804_de_004	Vermietassistentin Luftfahrzeuge
C001805_de_000	Sammlungstechniker/Sammlungstechnikerin
C001805_de_001	Museumstechniker
C001805_de_002	Museumstechnikerin
C001805_de_003	Sammlungstechniker
C001805_de_004	Sammlungstechnikerin
C001806_de_000	Leiter eines Antiquitätengeschäftes/Leiterin eines Antiquitätengeschäftes
C001806_de_001	Leiter eines Antiquitätengeschäftes
C001806_de_002	Leiterin eines Antiquitätengeschäftes
C001807_de_000	Hochschullehrkraft für Erziehungswissenschaften
C001807_de_001	Hochschulassistent für Didaktik
C001807_de_002	Hochschulassistentin für Didaktik
C001807_de_003	Hochschuldozent für Bildungswissenschaften
C001807_de_004	Hochschuldozentin für Bildungswissenschaften
C001807_de_005	Professor für Erziehungswissenschaften
