C000001_sv_000	Militära yrken
C002064_sv_001	butikschef, möbler
C002065_sv_000	mönsterkonstruktör, CAD
C002066_sv_000	röntgentekniker
C002067_sv_000	friskvårdskonsult
C002067_sv_001	viktcoach
C002067_sv_002	viktkonsult
C002068_sv_000	ljud- och bildtekniker
C002068_sv_001	av-tekniker
C002069_sv_000	maskinvävare, metall
C002070_sv_000	jurysamordnare
C002071_sv_000	motorcykelmontör
C002072_sv_000	artilleriofficer
C002073_sv_000	chef för IKT-granskning
C002073_sv_001	IKT-granskningschefer
C002073_sv_002	ansvarig för IKT-granskning
C002073_sv_003	ansvarig för IT-granskning
C002073_sv_004	chefer för IKT-granskning
C002074_sv_000	montessorilärare
C002075_sv_000	standardiseringsingenjör
C002076_sv_000	tandtekniker
C002076_sv_001	sjukhustandtekniker
C002077_sv_000	varietéartist
C002078_sv_000	moralisk hacker
C002078_sv_001	moralisk datafantast
C002078_sv_002	moralisk datahackningsexpert
C002078_sv_003	moraliska hackers
C002079_sv_000	juvelfattare, smyckestillverkning
C002080_sv_000	ortoptist
C002081_sv_000	chef, fritidsanläggning
C002082_sv_000	privatdetektiv
C002083_sv_000	biljettkontrollör
C002083_sv_001	biljettkontrollant
C002083_sv_002	konduktör
C002083_sv_003	spärrexpeditör
C002083_sv_004	spärrvakt
C002084_sv_000	maskinoperatör, glasfiber
C002085_sv_000	specialiserad säljare, parfymer och kosmetika
C002085_sv_001	butikssäljare, parfymer och kosmetika
C002086_sv_000	skogsarbetare
C002086_sv_001	arbetare i skog
C002086_sv_002	skogjobbare
C002086_sv_003	skogsarbetarna
C002086_sv_004	skogskötare
C002087_sv_000	inredningsplanerare
C002088_sv_000	säkerhetsingenjör, kärnkraft
C002089_sv_000	it-säkerhetsanalytiker
C002089_sv_001	informationssäkerhetsansvarig
C002089_sv_002	it-säkerhetssamordnare
C002089_sv_003	teknisk säkerhetsexpert, IKT
C002090_sv_000	snowboardinstruktör
C002090_sv_001	snowboardlärare
C002091_sv_000	fotonikingenjör
C002092_sv_000	förvaltningsjurist
C002092_sv_001	organisationsjurist
C002093_sv_000	snickerimaskinskötare
C002093_sv_001	maskinoperatör, snickeri, inredning
C002093_sv_002	maskinoperatör, trävaruindustri
C002093_sv_003	maskinsnickare
C002093_sv_004	snickeriarbetare, maskinoperatör
C002093_sv_005	verkstadssnickare
C002094_sv_000	maskinoperatör, mekanisk verkstad, gängningsmaskin
C002094_sv_001	maskinoperatör, gängningsmaskin
C002094_sv_002	operatör, gängningsmaskin
C002095_sv_000	ingenjör, elektromekanik
C002096_sv_000	modedesigner
C002096_sv_001	modeformgivare
C002097_sv_000	reprotekniker
C002098_sv_000	handläggare, internationella relationer
C002098_sv_001	utredare, internationella relationer
C002099_sv_000	redigerare, desktop publishing
C002100_sv_000	tablettoperatör
C002100_sv_001	dragerare
C002100_sv_002	dragist
C002100_sv_003	läkemedelsarbetare
C002100_sv_004	tablettekniker
C002101_sv_000	tekniker, robotteknik
C002101_sv_001	robottekniker
C002101_sv_002	tekniker, robotik
C002102_sv_000	intervjuare, opinions- och marknadsundersökning
C002103_sv_000	lagerchef, berett läder
C002104_sv_000	fordonsmontör, fordonsdelar
C002105_sv_000	rörledningschef
C002105_sv_001	chef, gasledning
C002105_sv_002	chef, ledningsnät
C002105_sv_003	chef, oljeledning
C002105_sv_004	chef, pipeline
C002106_sv_000	arbetsmiljöingenjör
C002107_sv_000	grossist, avfall och skrot
C002108_sv_000	dansterapeut
C002109_sv_000	revisor, offentlig förvaltning
C002110_sv_000	kryddblandningstestare
C002110_sv_001	ansvariga för kryddblandningsmaskin
C002110_sv_002	kryddblandningsmaskinsansvarig
C002110_sv_003	kryddblandningsmaskinskötare
C002110_sv_004	skötare av kryddblandningsmaskin
C002111_sv_000	skolbussassistent
C002112_sv_000	lärare, danshögskola
C002113_sv_000	vårdare, vuxna med funktionsnedsättning
C002113_sv_001	vårdare, LSS-boende
C002113_sv_002	vårdare, gruppbostad
C002113_sv_003	vårdbiträde, vuxna med funktionsnedsättning
C002114_sv_000	blockkedjearkitekt
C002114_sv_001	blockchain teknikspecialist
C002114_sv_002	blockkedje-arkitekt
C002115_sv_000	vägmarkerare
C002115_sv_001	vägarbetare
C002116_sv_000	ljuddesigner
C002117_sv_000	butikschef, frukt och grönsaker
C002118_sv_000	lärarassistent, gymnasieskola
C002118_sv_001	lärarassistent, grundskolan
C002118_sv_002	lärarassistent, grundskolan 7-9
C002118_sv_003	lärarassistent, gymnasiet
C002118_sv_004	lärarresurs
C002118_sv_005	pedagogassistent
C002119_sv_000	servicetekniker, uppvärmning och ventilation
C002119_sv_001	VVS-inspektör
C002119_sv_002	VVS-mekaniker
C002119_sv_003	VVS-värmekaniker
C002119_sv_004	industriell kyltekniker
C002119_sv_005	inspektör för ventilation och luftkonditionering
C002119_sv_006	luftkonditionerings- och kylinspektör
C002119_sv_007	luftkonditioneringsinspektör
C002119_sv_008	ventilationstekniker
C002119_sv_009	värme-, ventilations- och luftkonditioneringsmekaniker
C002119_sv_010	värmeinstrumentinspektör
C002120_sv_000	resebyråpersonal
C002120_sv_001	bokningsassistent
C002120_sv_002	bokningspersonal
C002120_sv_003	försäljningspersonal
C002120_sv_004	personal på resebyrå
C002120_sv_005	resebyråns personal
C002121_sv_000	verktygskonstruktör
C002122_sv_000	licenschef
C002123_sv_000	tunnelborrmaskinist
C002123_sv_001	TBM-maskinist
C002123_sv_002	fullortsaggregatoperatör
C002123_sv_003	fullortsborrmaskinist
C002123_sv_004	tunneldrivningsmaskinist
C002124_sv_000	attributmakare
C002125_sv_000	säkerhetschef, spel
C002125_sv_001	säkerhetschef, hasardspel
C002126_sv_000	återvinningsspecialist
C002127_sv_000	finansanalytiker, risk
C002128_sv_000	svetsare, manuell
C002128_sv_001	MAG-svetsare
C002128_sv_002	MIG-svetsare
C002128_sv_003	TIG-svetsare
C002128_sv_004	argonbågsvetsare
C002128_sv_005	bågsvetsare
C002128_sv_006	gasbågsvetsare
C002128_sv_007	gassvetsare
C002128_sv_008	rörsvetsare
C002128_sv_009	spårsvetsare
C002128_sv_010	svetsoperatör
C002128_sv_011	termitsvetsare
C002129_sv_000	maskintekniker, vattenverk
C002130_sv_000	arbetsledare, raffinaderi
C002131_sv_000	teknikchef
C002131_sv_001	informationstekniksansvarig
C002131_sv_002	teknikchefer
C002131_sv_003	teknisk chef
C002132_sv_000	designer, mikroelektronik
C002132_sv_001	-
C002132_sv_002	integrerad krets hårdvaruutvecklare
C002132_sv_003	kiselingenjör
C002132_sv_004	konstruktionstekniker för tillverkning av mikroelektronik
C002132_sv_005	konstruktör inom mikroelektronik
C002132_sv_006	maskinvara inom mikroelektronik
C002132_sv_007	mikroelektronik förpackningsdesigner
C002132_sv_008	mikroelektronik förpackningsdesigningenjör
C002132_sv_009	mikroelektronik hårdvarudesigner
C002132_sv_010	mikroelektronik kretsdesigner
C002132_sv_011	mikroelektronik kretsingenjör
C002132_sv_012	mikroelektronik kretssystemingenjör
C002132_sv_013	systemdesigner för mikroelektronik
C002132_sv_014	systemtekniker för mikroelektronik
C002133_sv_000	samordnare, idrottsprogram
C002134_sv_000	receptarie
C002135_sv_000	lagskrivare
C002136_sv_000	sjukhustekniker, andningshjälpmedel
C002137_sv_000	ingenjör, gruvplanering
C002138_sv_000	ingenjör, naturgasdistribution
C002139_sv_000	konsult, försäkringsrisker
C002140_sv_000	videokonstnär
C002141_sv_000	kvalitetstekniker, lädervaror
C002142_sv_000	farmaceut
C002142_sv_001	apotekare
C002142_sv_002	receptarie
C002143_sv_000	arbetsledare, vägbyggnad
C002144_sv_000	ingenjör, rullande material
C002145_sv_000	pumpskötare
C002146_sv_000	djurparksguide
C002147_sv_000	kontrollrumsoperatör, gruva
C002148_sv_000	handskmakare
C002149_sv_000	biltvättare
C002149_sv_001	bilrekonditionerare
C002149_sv_002	bilvårdare
C002150_sv_000	mjölnare på destilleri
C002150_sv_001	destillerimjölnare
C002150_sv_002	kvarnoperatör på destilleri
C002150_sv_003	mjölnare på destillerier
C002150_sv_004	möllare på destilleri
C002151_sv_000	maskinist, energi
C002152_sv_000	smådjursskötare, djurhem
C002153_sv_000	röntgentekniker, diagnostik
C002154_sv_000	verkstadsmästare
C002154_sv_001	arbetsledare, verkstad
C002155_sv_000	symaskinsoperatör
C002156_sv_000	flygmotormekaniker
C002156_sv_001	flygmotoringenjör
C002156_sv_002	flygmotorreparatör
C002156_sv_003	flygplansmekaniker
C002156_sv_004	flygplansmotormekaniker
C002157_sv_000	chef, tolkbyrå
C002158_sv_000	livsmedelsinspektör
C002158_sv_001	inspektör för livsmedel
C002158_sv_002	kvalitetsansvarig
C002158_sv_003	livsmedelsinspektörer
C002158_sv_004	livsmedelskontrollant
C002158_sv_005	livsmedelssäkerhetschef
C002159_sv_000	svarvare, metall
C002159_sv_001	automatsvarvare
C002159_sv_002	metallsvarvare
C002160_sv_000	maskinoperatör, läderberedning
C002161_sv_000	importchef, datorer och kringutrustning samt programvara
C002161_sv_001	exportchef, datorer och kringutrustning samt mjukvara
C002162_sv_000	utförare av lögndetektortest
C002163_sv_000	djurbehaviorist
C002163_sv_001	djurbehaviorister
C002163_sv_002	etolog
C002163_sv_003	specialist inom djurbeteende
C002164_sv_000	arbetsledare, metallproduktion
C002165_sv_000	expert på filtrering av drycker
C002165_sv_001	expert på dryckesfiltrering
C002165_sv_002	tekniker inom filtrering av dryck
C002166_sv_000	kompositör
C002167_sv_000	lektor, psykologi
C002168_sv_000	varuhuschef
C002169_sv_000	borrare, trä
C002169_sv_001	CNC-operatör
C002169_sv_002	maskinoperatör, trävaruindustri
C002169_sv_003	maskinpassare, träindustri
C002169_sv_004	trämaskinskötare
C002170_sv_000	dörrvakt
C002170_sv_001	vakt
C002171_sv_000	ansvarig för köttbearbetning
C002171_sv_001	ansvariga för köttbearbetning
C002171_sv_002	arbetare inom köttbearbetning
C002171_sv_003	köttbearbetningsansvarig
C002171_sv_004	köttbearbetningsarbetare
C002172_sv_000	fastighetsinvesterare
C002173_sv_000	montör, träprodukter
C002174_sv_000	brevbärare
C002175_sv_000	vattenkraftstekniker
C002175_sv_001	vattenkraftsingenjör
C002176_sv_000	butikschef, musik och video
C002177_sv_000	tablåchef
C002178_sv_000	ingenjör, mikrosystem
C002179_sv_000	fysiker
C002180_sv_000	publikvärd
C002180_sv_001	platsvisare
C002181_sv_000	operatör, trådhäftningsmaskin
C002181_sv_001	bokbinderiarbetare
C002181_sv_002	bokbinderitekniker
C002181_sv_003	häftmaskinskötare
C002181_sv_004	maskinbokbindare
C002182_sv_000	ingenjör, kraftelektronik
C002182_sv_001	expert inom kraftelektronik
C002182_sv_002	ingenjör för kraftelektronik
C002182_sv_003	konsult inom kraftelektronik
C002182_sv_004	kraftelektronik designingenjör
C002182_sv_005	kraftelektronikdesigner
C002182_sv_006	specialist på kraftelektronik
C002182_sv_007	tekniker för kraftelektronik
C002182_sv_008	testtekniker för kraftelektronik
C002182_sv_009	utvecklingsingenjör, kraftelektronik
C002183_sv_000	rangeringsman
C002184_sv_000	underhållstekniker, vattenverk
C002184_sv_001	maskintekniker, vattenverk
C002185_sv_000	djuptryckare
C002186_sv_000	grossist, kontorsmaskiner och kontorsutrustning
C002187_sv_000	distributionschef, hudar, skinn och läder
C002187_sv_001	logistikchef, hudar, skinn och läder
C002188_sv_000	logoped
C002189_sv_000	grossist, ur, guldsmedsvaror och smycken
C002190_sv_000	grafiker
C002191_sv_000	vattenbrukstekniker, uppfödning
C002191_sv_001	vattenbrukstekniker på sättfiskanläggning
C002192_sv_000	maskinoperatör, livsmedelstork
C002192_sv_001	maskinoperatör, spannmålstork
C002193_sv_000	könsbestämmare för fjäderfä
C002193_sv_001	fjäderfäkönsbestämmare
C002193_sv_002	könsbestämmare
C002193_sv_003	person som bestämmer kön på fjäderfän
C002194_sv_000	flygstyrman
C002194_sv_001	biträdande pilot
C002195_sv_000	provare
C002196_sv_000	lastare
C002197_sv_000	importspeditör, levande djur
C002197_sv_001	exportspeditör, levande djur
C002198_sv_000	terapeut inom traditionell kinesisk medicin
C002199_sv_000	provare, motorer, rullande materiel
C002200_sv_000	lärare, företagsekonomi, gymnasieskola
C002201_sv_000	naturvårdshandläggare
C002202_sv_000	inköpschef, läderråvara
C002203_sv_000	bildlärare, gymnasieskola
C002204_sv_000	specialiserad säljare, ur, guldsmedsvaror och smycken
C002204_sv_001	butikssäljare, guldsmedsvaror
C002204_sv_002	butikssäljare, klockor och smycken
C002204_sv_003	butikssäljare, ur och smycken
C002205_sv_000	chef för information och kunskap för IKT
C002205_sv_001	IKT-informationsansvarig
C002205_sv_002	IKT-informationschef
C002205_sv_003	IKT-kunskapsansvarig
C002205_sv_004	IKT-kunskapschef
C002205_sv_005	ansvarig för information och kunskap i IT
C002205_sv_006	chef för information och kunskap i IT
C002205_sv_007	chefer för information och kunskap för IKT
C002206_sv_000	fluidteknikingenjör
C002207_sv_000	skidinstruktör
C002207_sv_001	skidlärare
C002208_sv_000	informationsingenjör
C002208_sv_001	dataingenjör
C002208_sv_002	informationsspecialist
C002208_sv_003	ingenjör för länkade data
C002208_sv_004	ingenjör för semantisk teknik
C002208_sv_005	kunskapsingenjör
C002208_sv_006	specialiserad inom kunskap
C002209_sv_000	vårdbiträde
C002210_sv_000	butikschef, kök och badrum
C002211_sv_000	nätverksadministratör
C002211_sv_001	nätadministratör
C002211_sv_002	nätadministratörer
C002211_sv_003	nätverksadministratörer
C002211_sv_004	nätverkschef
C002211_sv_005	nätverksingenjör
C002211_sv_006	nätverksspecialist
C002211_sv_007	nätverkssupport
C002212_sv_000	mejeriarbetare, mottagning av mjölk
C002213_sv_000	flygtekniker
C002213_sv_001	flygteknisk underhållspersonal
C002214_sv_000	anläggningschef, kemisk anläggning
C002215_sv_000	lokförare
C002215_sv_001	T-baneförare
C002215_sv_002	depåförare, spårburen trafik
C002215_sv_003	förare av tåg
C002215_sv_004	motorvagnsförare
C002215_sv_005	pendeltågsförare
C002215_sv_006	tunnelbaneförare
C002215_sv_007	tågförare
C002216_sv_000	yrkeslärare
C002217_sv_000	maskinoperatör, konstgödsel
C002217_sv_001	konstgödselblandare
C002218_sv_000	receptionist inom hotell- och restaurangbranschen
C002218_sv_001	bokningsassistent
C002218_sv_002	kundmottagare
C002219_sv_000	utvärderingsansvarig
C002219_sv_001	-
C002219_sv_002	M&E officer
C002219_sv_003	MEIL-officer
C002219_sv_004	MEL-officer
C002219_sv_005	MEL-projektansvarig
C002219_sv_006	ekonomisk konsekvensbedömare
C002219_sv_007	forsknings- och utvärderingsansvarig
C002219_sv_008	konsekvensbedömningschef
C002219_sv_009	social konsekvensanalysanalytiker
C002219_sv_010	specialist på sociala konsekvensbedömningar
C002219_sv_011	utvärderare
C002219_sv_012	övervakare, utvärdering, effekt och lärande officer
C002219_sv_013	övervaknings- och rapporteringsanalytiker
C002219_sv_014	övervaknings- och utvärderingsspecialist
C002219_sv_015	övervaknings-, utvärderings- och inlärningsansvarig
C002220_sv_000	servicetekniker, flygplats
C002220_sv_001	underhållstekniker, flygplats
C002221_sv_000	kyl- och värmepumpstekniker
C002221_sv_001	installationstekniker för luftkonditionering
C002221_sv_002	kylmekaniker
C002221_sv_003	kyltekniker
C002221_sv_004	luftkonditionering servicetekniker
C002221_sv_005	luftkonditioneringstekniker
C002221_sv_006	värmepump installationstekniker
C002221_sv_007	värmepump servicetekniker
C002221_sv_008	värmepumpstekniker
C002222_sv_000	logistikchef
C002223_sv_000	arbetsledare, terazzoarbeten
C002224_sv_000	chef, idrottsanläggning
C002224_sv_001	chef, idrottshall
C002224_sv_002	chef, simhall
C002224_sv_003	chef, träningsanläggning
C002224_sv_004	gymchef
C002225_sv_000	ingenjör, smart tillverkning av mikroelektronik
C002225_sv_001	-
C002225_sv_002	expert på mikroelektronik
C002225_sv_003	ingenjör för mikroelektronikteknik
C002225_sv_004	konsult inom mikroelektronik
C002225_sv_005	produktionshandledare för mikroelektronik
C002225_sv_006	produktionsingenjör för mikroelektronik
C002225_sv_007	produktionsrådgivare för mikroelektronik
C002225_sv_008	professionell tillverkare av mikroelektronik
C002225_sv_009	smart produktionsexpert
C002225_sv_010	smart tillverkningsingenjör
C002225_sv_011	specialist på mikroelektronikproduktioner
C002225_sv_012	tekniker för mikroelektronik
C002225_sv_013	tillverkare av mikroelektronik
C002226_sv_000	specialiserad säljare, spel och leksaker
C002226_sv_001	butikssäljare, leksaksaffär
C002226_sv_002	butikssäljare, spel och leksaker
C002227_sv_000	yrkeslärare, vård- och omsorg
C002228_sv_000	arbetsterapibiträde
C002229_sv_000	specialist på oförstörande provning
C002229_sv_001	NDT-inspektör
C002229_sv_002	OFP-inspektör
C002229_sv_003	OFP-specialist
C002229_sv_004	kontrollant inom oförstörande prövning
C002229_sv_005	provningsingenjör
C002229_sv_006	specialist materialteknik
C002229_sv_007	tekniker oförstörande provning
C002230_sv_000	hårstylist
C002231_sv_000	paleontolog
C002232_sv_000	gitarrbyggare
C002232_sv_001	gitarrmakare
C002232_sv_002	gitarrtekniker
C002233_sv_000	informationschef
C002233_sv_001	chef för information
C002233_sv_002	informationsansvarig
C002233_sv_003	informationschefer
C002234_sv_000	valstrateg
C002235_sv_000	arbetsledare, tillverkning elektroniska produkter
C002236_sv_000	trafiklärare, bil
C002236_sv_001	bilskollärare
C002237_sv_000	chef, översättningsbyrå
C002238_sv_000	verktygsslipare
C002238_sv_001	verktygslipare
C002238_sv_002	verktygsskärpare
C002238_sv_003	verktygsvårdare
C002239_sv_000	avtalsingenjör
C002239_sv_001	kontraktsingenjör
C002240_sv_000	motorman, inre fart
C002241_sv_000	fordonsmontör, rullande materiel
C002242_sv_000	importspeditör, datorer och kringutrustning samt mjukvara
C002242_sv_001	exportspeditör, datorer och kringutrustning samt mjukvara
C002243_sv_000	rådgivare, familjeplanering
C002244_sv_000	driftsledare inom fiskeproduktion
C002244_sv_001	chef på fiskeanläggning
C002244_sv_002	driftsledaren inom fiskeproduktion
C002245_sv_000	nyhetsankare
C002246_sv_000	kontrollant, motorer, rullande materiel
C002247_sv_000	stationär väktare
C002247_sv_001	receptionsväktare
C002248_sv_000	djurskyddsarbetare
C002248_sv_001	djurskyddsansvarig
C002248_sv_002	djurskyddsarbetare vattenbruk
C002248_sv_003	djurskyddsspecialist vattenbruk
C002249_sv_000	kostnadsanalytiker
C002250_sv_000	eventassistent
C002251_sv_000	CAD-tekniker, kläder
C002251_sv_001	3D-designer, kläder
C002251_sv_002	3D-modellör, kläder
C002252_sv_000	markingenjör
C002253_sv_000	husdjurspassare
C002253_sv_001	djurvakt
C002253_sv_002	hundvakt
C002253_sv_003	passare av husdjur
C002254_sv_000	maskinoperatör, plastmöbler
C002255_sv_000	ansvarig för bearbetade köttprodukter
C002255_sv_001	ansvariga för bearbetade köttprodukter
C002255_sv_002	köttproduktsansvarig
C002255_sv_003	person med ansvar för bearbetade köttprodukter
C002256_sv_000	importchef, gruv-, bygg och anläggningsmaskiner
C002256_sv_001	exportchef, gruv-, bygg och anläggningsmaskiner
C002257_sv_000	stuntman
C002257_sv_001	stuntkvinna
C002258_sv_000	skattekontorist
C002259_sv_000	systemsäljare
C002260_sv_000	instruktör, försvarsmakten
C002260_sv_001	utbildare, försvarsmakten
C002261_sv_000	biståndshandläggare
C002262_sv_000	begravningsrådgivare
C002262_sv_001	begravningsentreprenör
C002263_sv_000	textiltekniker
C002263_sv_001	analytisk textiltekniker
C002263_sv_002	avdelningschef för textiltillverkning
C002263_sv_003	textilingenjör
C002263_sv_004	tygtekniker
C002264_sv_000	kvalitetskontrollant, textil
C002264_sv_001	kvalitetssamordnare, textil
C002264_sv_002	kvalitetstekniker, textil
C002265_sv_000	kvalitetsbedömare, livsmedel, dryck och kosmetika
C002266_sv_000	gradare
C002266_sv_001	gradör
C002267_sv_000	sågverksoperatör
C002268_sv_000	gränssnittsutvecklare
C002268_sv_001	UI-designer
C002268_sv_002	UI-utvecklare
C002268_sv_003	designer av klientdel
C002268_sv_004	gränssnittsdesigner
C002268_sv_005	utvecklare av klientdel
C002269_sv_000	robotoperatör
C002270_sv_000	mineralog
C002271_sv_000	pumpman, oljeborrning
C002271_sv_001	oljeplattformsarbetare
C002272_sv_000	stridsledningsofficer
C002272_sv_001	sambandsofficer
C002273_sv_000	elektroingenjör
C002273_sv_001	elingenjör
C002274_sv_000	maskinoperatör för betongvaror
C002275_sv_000	bergsguide
C002275_sv_001	alpin guide
C002275_sv_002	bergsklättringsguide
C002275_sv_003	expeditionsguide
C002275_sv_004	expeditionsledare
C002275_sv_005	fjällledare
C002275_sv_006	fjällsemesterledare
C002275_sv_007	fjällsäkerhetscoach
C002275_sv_008	fjällvandringsguide
C002275_sv_009	friluftsledare
C002275_sv_010	klättringsguide
C002275_sv_011	skidguide
C002275_sv_012	skidreseguide
C002275_sv_013	utomhusaktivitetscentralarbetare
C002275_sv_014	vandringsguide
C002276_sv_000	specialiserad säljare, hushållsapparater
C002276_sv_001	butikssäljare, hushållsapparater
C002277_sv_000	distributionschef, kemiska varor
C002277_sv_001	logistikchef, kemiska varor
C002278_sv_000	scenograf
C002279_sv_000	arbetsledare, träarbeten
C002280_sv_000	kemitekniker
C002281_sv_000	packare
C002282_sv_000	mejerifabriksarbetare
C002282_sv_001	mejerifabriksarbetaren
C002282_sv_002	produktarbetare på mjölkanläggning
C002283_sv_000	sjuksköterska, grundutbildad
C002284_sv_000	chef, vadhållning
C002284_sv_001	chef, vadslagning
C002285_sv_000	ljusbordsoperatör
C002286_sv_000	butikschef, ammunition
C002286_sv_001	butikschef, vapen
C002287_sv_000	jurist, mänskliga rättigheter
C002287_sv_001	människorättsjurist
C002288_sv_000	chaufför, parkeringstjänst
C002289_sv_000	färgare
C002289_sv_001	färgeriarbetare
C002290_sv_000	motorman, fartyg
C002290_sv_001	befaren maskinpersonal
C002290_sv_002	fartygselektriker
C002290_sv_003	fartygseltekniker
C002290_sv_004	fartygsreparatör
C002290_sv_005	vaktgående maskinpersonal
C002291_sv_000	arbetsledare, elinstallation
C002292_sv_000	massablekare, processoperatör
C002293_sv_000	brandman
C002293_sv_001	frivillig brandman
C002293_sv_002	heltidsbrandman
C002293_sv_003	räddningsman i beredskap
C002294_sv_000	scenograf, miniatyrmodeller
C002294_sv_001	dekorsnickare
C002294_sv_002	teatersnickare
C002295_sv_000	musikinstruktör
C002296_sv_000	motormontör, fartyg
C002297_sv_000	maskinoperatör, fiberlindning
C002298_sv_000	fritidsvärd
C002299_sv_000	torkugnsskötare, lerprodukter
C002300_sv_000	samordnare, vattentrafik
C002301_sv_000	importchef, elektronik och telekommunikationsutrustning
C002301_sv_001	exportchef, elektronik och telekommunikationsutrustning
C002302_sv_000	dockmakare
C002303_sv_000	importspeditör, ur, guldsmedsvaror och smycken
C002303_sv_001	exportspeditör, ur, guldsmedsvaror och smycken
C002304_sv_000	bidragshandläggare
C002305_sv_000	ingenjör, gasproduktion
C002306_sv_000	maskinställare
C002306_sv_001	verkstadsmekaniker
C002306_sv_002	verktygsfräsare
C002306_sv_003	verktygssvarvare
C002306_sv_004	verktygsuppsättare
C002307_sv_000	platschef
C002308_sv_000	geografilärare, gymnasieskola
C002309_sv_000	avloppstekniker, slamsugning
C002309_sv_001	slamsugningstekniker
C002310_sv_000	kundansvarig för IKT
C002310_sv_001	IKT-kundansvarig
C002310_sv_002	IKT-kundchef
C002310_sv_003	IT-storkundsansvarig
C002310_sv_004	kundansvariga för IKT
C002310_sv_005	kundchef för IKT
C002311_sv_000	ekolog
C002312_sv_000	guldsmed
C002312_sv_001	fattare
C002312_sv_002	juvelerare
C002312_sv_003	silversmed
C002313_sv_000	kvalitetstekniker, skoindustri
C002314_sv_000	emissionsgarant
C002315_sv_000	privatpilot
C002316_sv_000	regissör
C002316_sv_001	teaterregissör
C002317_sv_000	dietist
C002318_sv_000	laboratorietekniker, kemi, kromatografi
C002319_sv_000	specialist på mat- och dryckesförpackningsteknik
C002319_sv_001	expert på mat- och dryckesförpackningsteknik
C002319_sv_002	kunnig om mat- och dryckesförpackningsteknik
C002319_sv_003	specialist på mat- och dryckesförpackningstekniker
C002319_sv_004	specialister på mat- och dryckesförpackningsteknik
C002320_sv_000	arbetsledare, avfallsdeponi
C002320_sv_001	ansvarig, avfallsanläggning
C002320_sv_002	ansvarig, avfallsdeponi
C002320_sv_003	ansvarig, återvinningscentral
C002320_sv_004	ansvarip, soptipp
C002320_sv_005	arbetsledare, avfallsanläggning
C002320_sv_006	arbetsledare, avfallsupplag
C002320_sv_007	arbetsledare, soptipp
C002320_sv_008	arbetsledare, återvinningscentral
C002321_sv_000	fartygsplåtslagare
C002322_sv_000	lektor, rymdvetenskap
C002323_sv_000	administrativ chef, försvaret
C002324_sv_000	färgblandare
C002325_sv_000	gravör, metall
C002325_sv_001	stansgravör
C002325_sv_002	stålgravör
C002326_sv_000	vinodlingschef
C002327_sv_000	kontrollant, tillverkning av fordonsmotorer
C002328_sv_000	projektledare inom IKT
C002328_sv_001	IKT-projektansvarig
C002328_sv_002	IKT-projektchef
C002328_sv_003	IKT-projektledare
C002328_sv_004	IT-projektledare
C002328_sv_005	projektansvarig inom IKT
C002329_sv_000	tillsynssamordnare, rörledningar
C002330_sv_000	elreparatör, motordrivna verktyg
C002331_sv_000	mattmakare
C002331_sv_001	mattillverkare
C002331_sv_002	mattreparatör
C002332_sv_000	maskinoperatör, formblåsning
C002333_sv_000	plastmaskinoperatör
C002333_sv_001	maskinoperatör, plastrullar
C002334_sv_000	butikschef, ortopediska artiklar
C002334_sv_001	butikschef, ortopediska hjälpmedel
C002334_sv_002	butikschef, ortopedtekniska hjälpmedel
C002335_sv_000	produktingenjör, industriverktyg
C002336_sv_000	skeppsklarerare
C002336_sv_001	fartygsklarerare
C002336_sv_002	linjeagent
C002336_sv_003	rederiagent
C002336_sv_004	skeppsmäklare
C002336_sv_005	waterclerk
C002337_sv_000	redaktör
C002338_sv_000	freinetlärare
C002339_sv_000	handläggare, offentlig förvaltning, politiska frågor
C002340_sv_000	grossist, jordbruksråvaror, utsäde och djurfoder
C002341_sv_000	importchef, kontorsmaskiner och kontorsutrustning
C002341_sv_001	exportchef, kontorsmaskiner och kontorsutrustning
C002342_sv_000	ingenjör, mikroelektronik
C002343_sv_000	arkitekt
C002344_sv_000	databasadministratör
C002344_sv_001	administratör av databas
C002344_sv_002	ansvarig för databasen
C002344_sv_003	databasadministratörer
C002344_sv_004	databasansvarig
C002344_sv_005	databaskonfigurator
C002345_sv_000	tältmontör
C002345_sv_001	diversearbetare
C002345_sv_002	tivoliarbetare
C002345_sv_003	tältbyggare
C002346_sv_000	verksamhetschef, vårdcentral
C002346_sv_001	föreståndare, läkarmottagning
C002346_sv_002	föreståndare, vårdcentral
C002346_sv_003	verksamhetschef, läkarmottagning
C002347_sv_000	flygledare, lufttrafikövervakning och kodsamordning
C002347_sv_001	chef, lufttrafikövervakning och kodsamordning
C002348_sv_000	teknisk kommunikatör
C002348_sv_001	dokumentationsspecialist
C002348_sv_002	teknikkommunikatör
C002348_sv_003	teknisk författare
C002348_sv_004	teknisk redigerare
C002348_sv_005	tekniska kommunikatörer
C002349_sv_000	turistunderhållare
C002349_sv_001	turistunderhållerska
C002349_sv_002	underhållare av turister
C002349_sv_003	underhållningsansvarig
C002349_sv_004	underhållningsansvarig på kryssningsfartyg
C002349_sv_005	underhållningsansvarig på resort
C002349_sv_006	underhållningsansvarig på semestercamping
C002349_sv_007	underhållningschef inom hotell- och restaurangbranschen
C002350_sv_000	chefssekreterare
C002350_sv_001	VD-assistent
C002350_sv_002	VD-sekreterare
C002351_sv_000	driftelektriker, flygplats
C002352_sv_000	maskinoperatör, gummiindustri
C002352_sv_001	band- och remtillverkare
