Q000001	Klottersanerare
Q001741	Ställningsbyggare
Q001742	Skolvaktmästare
Q001743	Korrekturläsare
Q001744	Konststensgjutare
Q001745	Ledande montör, el
Q001746	Inspelningsassistent
Q001747	Arbetsledare, städ/Husfru/Städledare
Q001748	Nät- och kraftsystemsanalytiker, elkraft
Q001749	Borrare, trä
Q001750	Värderingsassistent
Q001751	Stuteriarbetare
Q001752	Driftchef, trädgård
Q001753	Karosserisnickare
Q001754	Privatdetektiv
Q001755	Träslöjdare
Q001756	Solcellsmontör
Q001757	Underhållsmekaniker
Q001758	Projektledare, ventilation
Q001759	Förvalsare
Q001760	Tandsköterska
Q001761	Reglerare, valsverk
Q001762	Tunnbindare
Q001763	Kontursågare, snickeri
Q001764	Mimskådespelare
Q001765	Systemsäljare
Q001766	Incheckare
Q001767	Inredningssnickare/Specialsnickare
Q001768	Veterinärassistent
Q001769	Hållbarhetschef
Q001770	Fortbildningskonsulent
Q001771	Asfaltarbetare, asfaltframställning
Q001772	Biljettkontrollör
Q001773	Kultursekreterare
Q001774	Städchef
Q001775	Läromedelsassistent
Q001776	Uroterapeut
Q001777	Ambulanssjuksköterska
Q001778	Familjerättssekreterare
Q001779	Modellsnickare
Q001780	Zoolog
Q001781	Jaktvårdskonsulent/Jaktvårdsrådgivare
Q001782	Hunduppfödare
Q001783	Ungdomsassistent
Q001784	Barmästare
Q001785	Parkchef
Q001786	Kommunchef/Kommundirektör/Stadsdirektör
Q001787	Professor
Q001788	Planarkitekt
Q001789	Butiksinspektör
Q001790	Städare/Lokalvårdare
Q001791	Stämningsman
Q001792	Fytoterapeut/Örtterapeut
Q001793	Förbundssekreterare
Q001794	Anhörigkonsulent
Q001795	Dockteaterpedagog
Q001796	Smältare/Smältverksoperatör
Q001797	Speciallärare
Q001798	Forskare, kulturgeografi
Q001799	Pressbiträde
Q001800	Industrisanerare
Q001801	Länsråd
Q001802	Stenmaskinskötare
Q001803	Bilsadelmakare/Biltapetserare
Q001804	Maskinrådgivare/Maskinkonsulent
Q001805	Växtskyddsspecialist
Q001806	Näringslivschef
Q001807	Lärling, installationselektriker
Q001808	Isoleringsmontör
Q001809	HR-generalist/HR-partner
Q001810	Glasverksarbetare
Q001811	Kalanderskötare, plast
Q001812	Biträdande universitetslektor/Biträdande högskolelektor
Q001813	Hiss- och rulltrappstekniker
Q001814	Vaxgjutare
Q001815	Montör, träprodukter
Q001816	Hovrättslagman
Q001817	Databasdesigner
Q001818	Utbildningsassistent
Q001819	Färgare
Q001820	Kantslipare, glas
Q001821	Konferencier
Q001822	3D artist/3D-grafiker
Q001823	Digitaltryckare
Q001824	Elektroniksanerare
Q001825	Patinerare
Q001826	Valsare
Q001827	Industrisömmerska
Q001828	Fotomodell
Q001829	Ayurvedamassör/Ayurvedaterapeut
Q001830	Civilingenjör, medicinsk teknik
Q001831	Laboratoriechef
Q001832	Meteorologassistent/Observatör, flygvapnet
Q001833	Dataanalytiker
Q001834	Personlig assistent
Q001835	Sågverksoperatör
Q001836	Frukostvärd/Frukostvärdinna
Q001837	Snöskottare
Q001838	Lagerchef
Q001839	Utsättarbiträde
Q001840	Trader
Q001841	Trafikskolechef
Q001842	Hushållsmaskinreparatör/Vitvarureparatör
Q001843	Nationalekonom
Q001844	Agronom
Q001845	Planeringstekniker, metallurgi
Q001846	Budgetplanerare
Q001847	Riksdagsledamot
Q001848	Butikssäljare, fackhandel
Q001849	Fotterapeut/Fotvårdsspecialist
Q001850	Försäkringskonsulent
Q001851	Hemvårdare
Q001852	Ambassadråd
Q001853	Platschef, film/Platschef, TV
Q001854	Smärgelduksarbetare
Q001855	Utbildningsledare
Q001856	Maskinoperatör, mjukband
Q001857	Dansare
Q001858	Supporttryckare
Q001859	Snörmakare
Q001860	Mönsterritare, tyger
Q001861	Slipare, snickeri
Q001862	Specialpedagog
Q001863	Gatuchef
Q001864	Civilingenjör, kemiteknik
Q001865	Ljuddesigner
Q001866	Lärare i kulturskolan
Q001867	Anslutningsingenjör, elkraft
Q001868	Korgmakare
Q001869	Processoperatör, stålindustri
Q001870	Speditionsassistent
Q001871	Idrottsplatsvaktmästare/Idrottsplatsarbetare
Q001872	Inkasserare
Q001873	Platschef, anläggning
Q001874	Stadsutvecklare/Samhällsstrateg
Q001875	Kreditberedare
Q001876	Paketbilsförare
Q001877	Arrendator, djuruppfödning
Q001878	Fysiologassistent, laborant
Q001879	Pastor, frikyrkoförsamling
Q001880	Skyddsrumsinspektör
Q001881	Samtalsterapeut
Q001882	Konsulent på stifts-/nationell nivå
Q001883	Länsveterinär
Q001884	Intendenturpersonal, sjöfart
Q001885	Skrivtolk/Vuxendövtolk
Q001886	Byråchef
Q001887	Avloppstekniker
Q001888	Markingenjör
Q001889	Verksamhetsutvecklare
Q001890	Boutredare
Q001891	Kontrollanläggningsingenjör, elkraft
Q001892	Säkerhetsansvarig, IT
Q001893	Arbetspsykolog/Organisationspsykolog
Q001894	Robotsvetsare
Q001895	Dataoperatör
Q001896	Kulare, glas
Q001897	Etnolog
Q001898	Socialantropolog
Q001899	Maskör
Q001900	Systemutvecklare/Programmerare
Q001901	Bensinstationsbiträde/Servicebiträde
Q001902	Budgetchef
Q001903	Kontorsstädare
Q001904	Officer
Q001905	Inköpsingenjör
Q001906	Lånechef
Q001907	Cirkusartist
Q001908	Mättekniker, fysik
Q001909	Epizootolog
Q001910	Konferenstekniker
Q001911	Forskare, läkemedel
Q001912	Anbudsansvarig/Bid Manager
Q001913	Landstingsjurist
Q001914	Beredskapssamordnare/Krisberedskapssamordnare
Q001915	Förlagsredaktör
Q001916	Riksantikvarie
Q001917	Företagssäljare
Q001918	Skördearbetare
Q001919	Civilingenjör, väg
Q001920	Handlingskoordinator
Q001921	Chefssjuksköterska
Q001922	Plattsättare, utan yrkesbevis
Q001923	Sjukhusstädare
Q001924	Avsynare, elkrafttekniska produkter
Q001925	Eventansvarig/Eventkoordinator
Q001926	Cisternreparatör
Q001927	Kontorskassör
Q001928	Mätaravläsare
Q001929	Modist
Q001930	Lantbrukskassör
Q001931	Orderadministratör
Q001932	Rundtursguide
Q001933	Planerare, flygbolag
Q001934	Bilrekonditionerare
Q001935	Glaspressare
Q001936	Arbetsledare, tillverkning, elkrafttekniska produkter
Q001937	Gardinmakare
Q001938	Kreditbevakare
Q001939	Skinnsömmerska
Q001940	Benmakare
Q001941	Murare
Q001942	Trädgårdsarbetare/Plantskolearbetare, trädgård
Q001943	Tandvårdsassistent
Q001944	Kontorschef, offentlig förvaltning
Q001945	Säkerhetschef
Q001946	Kranmontör
Q001947	Planeringsarkitekt/Fysisk planerare
Q001948	Annonsgrafiker
Q001949	Layouttecknare
Q001950	Kärnkraftsanerare
Q001951	Molekylärbiolog
Q001952	Pressgjutare
Q001953	Djurtransportförare
Q001954	Bilplåtslagare/Bilskade- och karosserireparatör
Q001955	Porslinsgjutare
Q001956	Skolinspektör
Q001957	Byggnadsplåtslagare
Q001958	Herrskräddare
Q001959	Distriktsveterinär
Q001960	Kraftstationsmaskinist
Q001961	Extruderskötare, metall
Q001962	Bärgningsdykare
Q001963	Kemikalieinspektör
Q001964	Lärling, industrielektriker
Q001965	SQE Supplier Quality Engineer
Q001966	Obduktionstekniker/Obduktionsassistent
Q001967	Barberare
Q001968	Trafiklärare
Q001969	Audionom
Q001970	Skolvärd/Skolvärdinna
Q001971	Träbildhuggare
Q001972	Elnätsanalytiker
Q001973	Glasbruksarbetare
Q001974	Dataskyddsombud
Q001975	Kvalitetssamordnare/Kvalitetskoordinator
Q001976	Skogsmaskinförare
Q001977	Regionchef, butik
Q001978	Intonatör
Q001979	Trådspolare, metall
Q001980	Pedagogassistent
Q001981	Pälssömmerska
Q001982	Jurist, specialdomstol
Q001983	Filmarkivarie
Q001984	Medicinskt ansvarig sjuksköterska/MAS
Q001985	Maskinoperatör, konfektyrindustri
Q001986	Arbetsterapeut
Q001987	Maskinoperatör, foder
Q001988	Lantmästare
Q001989	Optikerassistent
Q001990	Flygingenjör
Q001991	Synpedagog
Q001992	Hydrogeolog
Q001993	Lärling, mobilkranförare
Q001994	Civilskadeinspektör
Q001995	Företagsjurist
Q001996	Polerare, trä
Q001997	Nätverksansvarig
Q001998	Oceanograf
Q001999	Buddhistpräst
Q002000	Fakturakontrollant
Q002001	Väghyvelförare
Q002002	Takmålare, plåt
Q002003	Systemarkitekt
Q002004	Chefsrådman
Q002005	Mönsterslipare, glas
Q002006	Webbtekniker
Q002007	Trafikchef
Q002008	Genealog
Q002009	Ekonomichef
Q002010	Äldrepedagog
Q002011	Plantör
Q002012	Teknisk chef, kommun
Q002013	Produktionsingenjör, maskin
Q002014	Kallskänka, fartyg
Q002015	Stadsjurist/Kommunjurist/Stadsadvokat
Q002016	Maskinoperatör, konservering
Q002017	Stansgravör
Q002018	Folkbokföringshandläggare
Q002019	Varumärkesjurist
Q002020	Kontrollanläggningstekniker
Q002021	Ämneslärare, 7-9
Q002022	Lärling, isoleringsplåtslagare
Q002023	Tullhandläggare/Tulladministratör
Q002024	Casting Director/Castare/Rollsättare
Q002025	Skänkskötare
Q002026	Forskningsassistent, agronomi
Q002027	Endestyrman
Q002028	Packmästare, flytt
Q002029	Tillskärare, konfektion
Q002030	Immaterialrättsjurist
Q002031	Operatör, scenmaskineri
Q002032	Bebyggelseantikvarie
Q002033	Kontrollingenjör, kemiteknik
Q002034	Videotekniker/VB-tekniker
Q002035	Musikinstrumentmakare
Q002036	Lärling, ventilationsplåtslagare
Q002037	Informatikerassistent
Q002038	Laboratorietekniker, fysik
Q002039	Strängpressare, metall
Q002040	Enhetschef, hemtjänst/Områdeschef, hemtjänst
Q002041	AD-assistent
Q002042	Souschef
Q002043	Båtbesiktningsman
Q002044	Arbetsledare, säkerhetsarbete/Gruppledare, säkerhetsarbete
Q002045	Fritidsledare, församling/Ungdomsledare, församling
Q002046	Advokatsekreterare
Q002047	Juristassistent/Paralegal
Q002048	Driftingenjör, el-tele
Q002049	Supportsvarvare
Q002050	Murare, utan yrkesbevis
Q002051	Glasarbetare
Q002052	Kvinnojoursarbetare
Q002053	Skolchef/Skoldirektör/Skolledare
Q002054	Skogsvårdschef
Q002055	Ambassadsekreterare
Q002056	Kassapersonal
Q002057	Ljudassistent
Q002058	Lektör
Q002059	Lots, fartyg
Q002060	Fältassistent
Q002061	Civilingenjör, process, kemiteknik
Q002062	Civilingenjör, el-tele
Q002063	Virkesimpregnerare
Q002064	Äggplockare
Q002065	Projektledare, social inriktning
Q002066	Valsverksoperatör
Q002067	Processingenjör, kemiteknik
Q002068	Dramatiker
Q002069	Virkessorterare
Q002070	Komminister
Q002071	Lärling, bergarbetare, bygg och anläggning
Q002072	Immunolog
Q002073	Placeringsassistent
Q002074	Bildpedagog
Q002075	Grönsaksodling, förman
Q002076	Chef, Corporate Finance
Q002077	Säkerhetsvakt
Q002078	Ångpanneeldare
Q002079	Metodistpastor
Q002080	Level designer/Leveldesigner
Q002081	Ekonomidirektör/Finanschef
Q002082	Fransstylist/Frans- och brynstylist
Q002083	Fasadmontör
Q002084	Socialchef/Socialdirektör
Q002085	Stängselmontör
Q002086	Statssekreterare
Q002087	Underhållsarbetare, bygg och anläggning
Q002088	Radioloksoperatör
Q002089	Dataregistrerare/Registrerare
Q002090	Idrottsplatschef
Q002091	Innesäljare
Q002092	Marknadskommunikatör
Q002093	Second assistant director/SAD
Q002094	Hemstädare/Hemhjälp
Q002095	Dockmakare
Q002096	Revisor
Q002097	Diversearbetare
Q002098	Brännare, glas, keramik
Q002099	Träfiberskivarbetare
Q002100	Turistinformatör
Q002101	Projekteringsingenjör, maskin
Q002102	Lokalguide
Q002103	Professionell idrottsutövare
Q002104	Sångare
Q002105	Heatsettryckare
Q002106	Konstnärsmodell
Q002107	Flygmekaniker
Q002108	Slipverktygsoperatör
Q002109	Aktiechef
Q002110	Ambulanssjukvårdare
Q002111	Pumpman, oljeborrning
Q002112	Turistintendent
Q002113	Arbetsledare, husbyggnad
Q002114	Organisationsjurist
Q002115	Vinprovare
Q002116	Båtbyggare
Q002117	Skrovbyggare, trä
Q002118	Laboratorieingenjör, kemi
Q002119	Dövblindkonsulent
Q002120	Trafikassistent
Q002121	3D-printingspecialist
Q002122	Redaktionssekreterare
Q002123	Folkhögskolelärare
Q002124	Informationschef/Kommunikationschef
Q002125	Länsantikvarie/1:e antikvarie
Q002126	Pistmaskinförare
Q002127	Automatsvarvare
Q002128	Postdoktor/Postdoc
Q002129	Handikappkonsulent
Q002130	Traktorförare, industri
Q002131	B-fotograf/Focus puller
Q002132	Klensmed
Q002133	Djurskötare, djuruppfödning
Q002134	Officer, Frälsningsarmén
Q002135	Biodlare/Biskötare
Q002136	Asfaltverksskötare
Q002137	Modersmålslärare, förskola
Q002138	Borgerlig officiant
Q002139	Justitieråd
Q002140	Forskare, mikrobiologi
Q002141	Dykinstruktör
Q002142	Tillgänglighetskonsult
Q002143	Ljudingenjör
Q002144	Publikvärd
Q002145	Civilingenjör, byggnadskonstruktion
Q002146	Styr- och reglertekniker
Q002147	Samhällsekonom
Q002148	Produktionschef, logistik/Produktionschef, transporter
Q002149	Kvalificerad skattehandläggare
Q002150	Manikyrist/Manikurist
Q002151	Plysare
Q002152	Bilbärgare
Q002153	AV-tekniker
Q002154	Verkstadskontorist
Q002155	Ungdomsledare
Q002156	Mediasäljare
Q002157	Avdelningschef, smältverk
Q002158	Avsynare, glas- och keramikprodukter
Q002159	Elingenjör
Q002160	Arkivassistent
Q002161	Gatuförsäljare
Q002162	Blandningsuppvägare, sprängämnen
Q002163	Neuropsykolog
Q002164	Ventilationsisolerare
Q002165	Formatsågare, fiberskivor
Q002166	Bildingenjör/BING, film/BING, TV
Q002167	Terminolog
Q002168	Maskinoperatör, tryckeri
Q002169	Traversförare
Q002170	IT-strateg
Q002171	Serviceingenjör, metallurgi
Q002172	Miljöchef
Q002173	Reklamchef
Q002174	Sandberedare, gjuteri
Q002175	First assistant director/FAD
Q002176	Brännmästare
Q002177	Vägingenjör
Q002178	Länsjägmästare
Q002179	Ljussättare
Q002180	Asfaltkokare, asfaltframställning
Q002181	Biomedicinare
Q002182	Boupptecknare
Q002183	Jockey
Q002184	Socialkonsulent, Arbetsförmedlingen
Q002185	Brandinspektör
Q002186	Nutritionist/Näringsfysiolog
Q002187	Reklamkonsulent
Q002188	Forskningschef
Q002189	Prefekt
Q002190	Stuckatör
Q002191	Reklamationshandläggare
Q002192	Prydnadsväxtodlare
Q002193	Väderobservatör
Q002194	Riskingenjör, försäkring
Q002195	Projekteringsingenjör, bygg och anläggning
Q002196	Metallduksvävare
Q002197	Kvalitetsbedömare, livsmedel
Q002198	Ljusstöpare
Q002199	Symaskinsreparatör
Q002200	Dekorationsmålare, porslin
Q002201	Föreningskonsulent
Q002202	VVS-tekniker
Q002203	Småmaskinsmekaniker
Q002204	Folkhälsostrateg
Q002205	Forskare, bakteriologi
Q002206	Driftingenjör, värmeverk
Q002207	Materialprovare
Q002208	AT-läkare
Q002209	Tingsfiskal
Q002210	Fruktodlare
Q002211	Uppblåsare
Q002212	Minister
Q002213	Virkesmätare
Q002214	Konferensvärd/Konferensvärdinna
Q002215	Hemslöjdskonsulent
Q002216	Missionär
Q002217	Distriktssköterska
Q002218	Mobilutvecklare/Apputvecklare
Q002219	Plantskolechef
Q002220	Civilingenjör, väg- och vattenbyggnad
Q002221	Skolbibliotekarie
Q002222	Arbetsledare, golv
Q002223	Systemförvaltare
Q002224	Försäkringsförmedlare/Försäkringsmäklare
Q002225	Medicinteknisk ingenjör
Q002226	Pastorsadjunkt
Q002227	Musselodlare
Q002228	GIS-samordnare
Q002229	Keramikpressare
Q002230	Hamnarbetare/Stuveriarbetare
Q002231	Polisintendent
Q002232	Dansterapeut
Q002233	Löneadministratör/Lönekonsult
Q002234	Ortopedtekniker
Q002235	Pressare, kläder
Q002236	Postterminalarbetare
Q002237	Forskare, zoologi
Q002238	Lärling, pålmaskinförare
Q002239	Motionskonsulent
Q002240	Gelbgjutare
Q002241	Kriminalvårdsinspektör
Q002242	Trollkarl
Q002243	Barnpsykolog
Q002244	Entreprenadingenjör
Q002245	Författare
Q002246	Radiolokförare
Q002247	Forensiker, biomedicinsk analytiker
Q002248	Gassvetsare
Q002249	Sömmerska, möbeltillverkning
Q002250	Barnmorska, förlossning
Q002251	Mykolog
Q002252	Gränskontrollant/Passkontrollant
Q002253	Köttklassificerare
Q002254	Verkställande direktör/VD
Q002255	Ögonsjuksköterska/Oftalmologassistent
Q002256	Institutionsmäklare
Q002257	Mätningstekniker, bygg
Q002258	Stenmontör, utan yrkesbevis
Q002259	Handelsagent, partihandel
Q002260	Bussvärd
Q002261	Lastbilsmekaniker
Q002262	Telferförare
Q002263	Musikterapeut
Q002264	Forskningsadministratör
Q002265	Båtman, Sjöfartsverket
Q002266	Maskinoperatör, ytbehandling, trä
Q002267	Rörinfodrare
Q002268	Automationstekniker, elektronik
Q002269	Tandteknikerbiträde
Q002270	Verktygsuppsättare
Q002271	Lärling, teleskoptruckförare
Q002272	Gruvmätare
Q002273	Samhällsvägledare
Q002274	Köksbiträde
Q002275	Forskare, jordbruk
Q002276	Devops utvecklare
Q002277	Formgivare
Q002278	Arbetsledare, tryckeri
Q002279	Lantbruksekonom
Q002280	Solarievärd/Solarievärdinna
Q002281	HR-assistent
Q002282	Golfinstruktör/Golftränare
Q002283	Maskinoperatör, bageri
Q002284	Forskningskommunikatör
Q002285	Mättekniker, geologi
Q002286	LD-operatör
Q002287	Produktchef, marknadsföring
Q002288	Motorschaktvagnförare
Q002289	Chefskock
Q002290	Geotekniker
Q002291	Fältsäljare/Utesäljare
Q002292	Campingplatsföreståndare
Q002293	Kulturgeograf
Q002294	Koreograf
Q002295	Annonsmottagare
Q002296	Elkvalitetsanalytiker, elkraft
Q002297	Teleingenjör
Q002298	Reklamdesigner
Q002299	Utbildningskoordinator
Q002300	Uppköpare
Q002301	Distributionsassistent
Q002302	Djurskötare, fjäderfä
Q002303	Butikssäljare, dagligvaror/Medarbetare, dagligvaror
Q002304	Fritidsinstruktör
Q002305	Butikskontrollant
Q002306	Produktionsingenjör, textil, trä, glas, förpackningar
Q002307	Lantbruksrådgivare/Lantbrukskonsulent
Q002308	Diskare
Q002309	Projektör, telekom
Q002310	Sektionschef, gruva
Q002311	Stenbrottsarbetare
Q002312	Maskinoperatör, garnberedning
Q002313	Inspektionsdykare
Q002314	Bagerichef
Q002315	Undertaksmontör
Q002316	Hjälpmedelskonsulent
Q002317	Skorstensfejare/Sotare
Q002318	Projektledare, bygg och anläggning
Q002319	Sadelmakare
Q002320	Trafikinformatör
Q002321	Församlingsföreståndare, Frälsningsarmén
Q002322	Dykare
Q002323	Motorcykelmekaniker
Q002324	Projektledare, industri
Q002325	Officiell veterinär
Q002326	Siffergranskare
Q002327	Laboratorietekniker, kemi
Q002328	Föredragande/Beredningsjurist
Q002329	Pedikyrist/Pedikurist
Q002330	Forskare, sociologi
Q002331	Fastighetssekreterare
Q002332	Stationschef, flyg
Q002333	Tenngjutare
Q002334	Hunddressör
Q002335	Technical artist
Q002336	Psykoterapeut
Q002337	Listmakare
Q002338	Slussvakt
Q002339	Processoperatör, metallindustri
Q002340	Bankjurist
Q002341	Concept artist
Q002342	Folkhälsoplanerare
Q002343	Bibliotekskonsulent
Q002344	Miljövårdsdirektör
Q002345	Krematorievaktmästare
Q002346	Besiktningsman, försäkring/Skadeinspektör, försäkring
Q002347	Instrumentingenjör, fysik
Q002348	Dokumentalist
Q002349	Forskare, växt- och djurbiologi
Q002350	Lokaliserare
Q002351	Verktygskonstruktör
Q002352	Masugnsarbetare
Q002353	Sektionschef, sjukhus
Q002354	Skeppsmäklare
Q002355	Driftingenjör, maskin
Q002356	Riggare, verktygsmaskiner
Q002357	Betongstationskötare
Q002358	Vinberedare
Q002359	Ladugårdsskötare, blandad drift
Q002360	Fältgeotekniker
Q002361	Forskningsledare
Q002362	Hundskötare/Hundvårdare
Q002363	Trafiknykterhetskontrollant
Q002364	Avsmakare
Q002365	Bussförare/Busschaufför
Q002366	Läkemedelskonsulent
Q002367	Layoutare
Q002368	Hälsopedagog
Q002369	Språkteknolog
Q002370	Akvariefiskuppfödare
Q002371	Röstpedagog
Q002372	Scenografassistent
Q002373	Civilingenjör, kvalitet, metallurgi
Q002374	Organisationschef, kommun
Q002375	Stränginstrumentmakare
Q002376	Chefsdesigner
Q002377	Porslinsmålare
Q002378	Utlandsförare
Q002379	Kvartärgeolog
Q002380	Rekvisitörsassistent
Q002381	Handvirkare
Q002382	Distriktsinstruktör/Distriktstränare
Q002383	Bildemontör
Q002384	Måleri, servicearbetare
Q002385	Servicechef, bilverkstad
Q002386	Visuell grafisk kommunikatör
Q002387	Fredsforskare
Q002388	Kommunikationstekniker
Q002389	Forskningsassistent, samhällsvetenskap
Q002390	Fukttekniker
Q002391	Biostatistiker
Q002392	Logopedassistent
Q002393	Assistent i församlingsarbete
Q002394	Klippassistent
Q002395	Kolonnarbetare
Q002396	Projektledare, offentlig verksamhet
Q002397	Perukmakare
Q002398	Civilingenjör, anläggning
Q002399	IT-utredare
Q002400	Fibertekniker/Optotekniker
Q002401	Robotoperatör
Q002402	Ateljerista
Q002403	Stationsmontör
Q002404	Dealer
Q002405	ST-tandläkare
Q002406	Isoleringsplåtslagare
Q002407	Montör, metallprodukter
Q002408	Segelmakare
Q002409	Produktionsingenjör, bygg
Q002410	Skadeingenjör, försäkring
Q002411	Garantihandläggare
Q002412	Skogsvärderare
Q002413	Servitör/Servitris
Q002414	Studierektor
Q002415	Utredningschef
Q002416	Privatekonom
Q002417	Barnskötare
Q002418	Kyrkoherde
Q002419	Rikspolischef
Q002420	Mjukvaruutvecklare
Q002421	Områdeschef, skogsbruk
Q002422	Lärling, VVS-isolerare
Q002423	Skogsarbetare, motormanuell avverkning
Q002424	Förskollärare
Q002425	Färdtjänstförare
Q002426	Turistassistent
Q002427	Spärrexpeditör/Spärrvakt
Q002428	Läskedrycksberedare
Q002429	Skräddare
Q002430	Bangårdsoperatör
Q002431	Civilingenjör, hamn
Q002432	Marknadschef
Q002433	Parkeringsvakt/Trafikövervakare
Q002434	Modersmålslärare i grundskolan
Q002435	Konstruktör, el-tele
Q002436	Maskinställare, textil
Q002437	Brovakt
Q002438	Affärsjurist
Q002439	Automationsingenjör, maskin
Q002440	Finansekonom
Q002441	Receptarie, farmaceut
Q002442	Arkivföreståndare
Q002443	Utbildningsintendent
Q002444	Spannmålsarbetare
Q002445	Polisassistent
Q002446	Barnsköterska
Q002447	Chief Digital Officer/CDO
Q002448	Upphandlare
Q002449	Banarbetare, utan behörighetsbevis
Q002450	Kaféföreståndare
Q002451	Databasutvecklare
Q002452	Containerkranförare/Portalkranförare
Q002453	Projektledare, reklam
Q002454	HR-specialist/HR-advisor
Q002455	Betonghåltagare
Q002456	Vagnmakare
Q002457	Museichef/Museidirektör
Q002458	Speditionsförman
Q002459	Aktuarie/Försäkringsaktuarie/Försäkringsmatematiker
Q002460	Offertchef
Q002461	Direktionssekreterare
Q002462	Arbetsledare, måleri
Q002463	Lavintekniker
Q002464	Telefonintervjuare
Q002465	Undertaksmontör, utan yrkesbevis
Q002466	Barnmorska, öppen vård/Barnmorska, mödravård
Q002467	Skogsbruksrådgivare
Q002468	Takrengörare/Fasadrengörare
Q002469	Mättekniker, kemi
Q002470	Aktivitetsguide
Q002471	Mikroskopist
Q002472	Kyrkogårdsförman
Q002473	Grovplåtslagare
Q002474	Frivårdshandläggare
Q002475	Glashärdare
Q002476	Grovplåtnitare
Q002477	Länsjaktvårdskonsulent
Q002478	Kapellmästare
Q002479	Chefredaktör
Q002480	Lättbetongarbetare
Q002481	Laboratoriebiträde
Q002482	Materialprovare, fysik
Q002483	Återvinningsarbetare på ÅVC
Q002484	Griftegårdsarbetare/Kyrkogårdsarbetare
Q002485	Produktionsteknisk samordnare
Q002486	Banområdeschef
Q002487	Informationssekreterare
Q002488	Snöläggare
Q002489	Limousineförare
Q002490	Bryggeriarbetare
Q002491	Jonglör
Q002492	Drifttekniker reningsverk VA
Q002493	Forskare, ekonomi
Q002494	Installationstekniker
Q002495	Skolsköterska
Q002496	Centrumledare
Q002497	Lärling, stenmontör
Q002498	Stomiterapeut
Q002499	Beställningsfaktor
Q002500	Jordbruksrådgivare/Jordbrukskonsulent
Q002501	Gaspåfyllare
Q002502	Mediepedagog
Q002503	Sociolog
Q002504	2D artist/2D-grafiker
Q002505	Auktionist
Q002506	Begravningsbyråföreståndare
Q002507	Golfbanearbetare
Q002508	Kommunikationselektriker
Q002509	Verktygsmakare
Q002510	Driftelektriker
Q002511	Discjockey
Q002512	Kontorschef, utbildningsföretag
Q002513	SIUS-konsulent
Q002514	Hörselvårdsingenjör/Hörselingenjör
Q002515	Skotarförare, skogsbruk
Q002516	Barnsjuksköterska, mottagning/Barnsjuksköterska, vårdcentral
Q002517	Regissör
Q002518	Arbetsmiljöingenjör
Q002519	Individualterapeut
Q002520	Makroanalytiker
Q002521	Maskinoperatör, sockerindustri
Q002522	Biltestkoordinator
Q002523	Avdelningschef, landsting
Q002524	Maskingravör, metall
Q002525	Pendeltågsförare/Motorvagnsförare
Q002526	Uthyrningschef
Q002527	Advokat
Q002528	Fastighetsekonom
Q002529	Distributionschef, energi
Q002530	Baxare
Q002531	Ben- och fotanfångare
Q002532	Brandskadesanerare
Q002533	Grönsaksodlare
Q002534	Speditör
Q002535	IT-tekniker/Datatekniker
Q002536	PTP-psykolog
Q002537	Guide
Q002538	Strängsprutare
Q002539	Inkodare
Q002540	Mannekäng
Q002541	Watch Supervisor, flygledning
Q002542	Produktutvecklare, konfektion
Q002543	Kärnfysiker
Q002544	Fruktodlingsrådgivare/Fruktodlingskonsulent
Q002545	Tallyman
Q002546	Curator
Q002547	PR-man
Q002548	Länsjaktvårdare
Q002549	Kvalitetsingenjör, kemiteknik/Kvalitetstekniker, kemiteknik
Q002550	Orgelstämmare
Q002551	Orderfördelare
Q002552	Frisör
Q002553	Fritidschef
Q002554	Inköpsplanerare
Q002555	Maskinförare, träfiberskivor
Q002556	Förhandlingssekreterare
Q002557	Handläggare, flygledning
Q002558	Befälhavare, fartyg
Q002559	Tidningsbud/Tidningsdistributör
Q002560	Reseledare
Q002561	Sprayare
Q002562	Processoperatör, asfalt
Q002563	Avisningsmaskinförare
Q002564	Bärodlare
Q002565	Inspektör, IVO (Inspektionen för vård och omsorg)
Q002566	Landstingsdirektör
Q002567	Domare
Q002568	Socioterapeut
Q002569	Sjukhusdirektör
Q002570	Offertingenjör
Q002571	Sjukhusvaktmästare
Q002572	Formgjutare, keramik
Q002573	Kontrollingenjör, maskin
Q002574	Kronoassistent
Q002575	Peruk- och tupéfrisör
Q002576	Maskinelektriker
Q002577	Parkettläggare
Q002578	Dekorslipare, glas
Q002579	Turnéledare
Q002580	Vicerektor
Q002581	Materialkemist
Q002582	GIS-ingenjör
Q002583	Kartograf
Q002584	Ateljéchef
Q002585	Samhällsplanerare
Q002586	Lackerare, porslin
Q002587	Mejeriarbetare
Q002588	Sjuksköterska, geriatrik/Sjuksköterska, äldreomsorg och äldrevård
Q002589	Varietéartist
Q002590	Elektrikerassistent, film/Elektrikerassistent, TV
Q002591	Kantpressare
Q002592	Länsskattechef
Q002593	Director of photography/DoP/Filmfotograf
Q002594	Stiftsadjunkt
Q002595	Lantbruksförman, blandad drift
Q002596	Animationsoperatör
Q002597	Ortoptist
Q002598	Provningsingenjör, elkraft
Q002599	Researcher, rekrytering
Q002600	Dopplackerare
Q002601	Dagbarnvårdare
Q002602	Kontrolltekniker, kemiteknik
Q002603	Prototyptillverkare, metall
Q002604	Internationell säljare/Exportsäljare
Q002605	Forskare, etnologi
Q002606	Receptionist, telefonist
Q002607	Gameplay programmer
