C000001_ro_000	Forțele armate
C002135_ro_001	lucrătoare la prepararea cărnii
C002135_ro_002	lucrătoare în prelucrarea cărnii
C002135_ro_003	lucrător la prepararea cărnii
C002135_ro_004	lucrător în prelucrarea cărnii
C002136_ro_000	antreprenor imobiliar
C002137_ro_000	confecționer-asamblor articole din lemn
C002137_ro_001	asambloare ferestre și uși
C002137_ro_002	asamblor ferestre și uși
C002137_ro_003	confecționer articole speciale din lemn
C002137_ro_004	confecționer-montator produse din lemn
C002137_ro_005	montatoare ferestre și uși
C002137_ro_006	montatoare scări din lemn
C002137_ro_007	montator ferestre și uși
C002137_ro_008	montator scări din lemn
C002137_ro_009	operatoare prelucrarea lemnului
C002137_ro_010	operator prelucrarea lemnului
C002137_ro_011	tâmplar
C002138_ro_000	factor poștal
C002138_ro_001	agent poștal
C002138_ro_002	curier
C002138_ro_003	curieră
C002138_ro_004	poștaș
C002138_ro_005	poștaș de teren
C002138_ro_006	poștăriță
C002139_ro_000	hidrotehnician
C002140_ro_000	manager magazin muzică și filme
C002140_ro_001	manager magazin discuri vinil
C002140_ro_002	manager magazin filme
C002140_ro_003	manager magazin instrumente muzicale
C002140_ro_004	manager magazin muzică
C002141_ro_000	director de programe
C002141_ro_001	director de programe TV
C002141_ro_002	director de programe radio
C002142_ro_000	inginer microsisteme/ingineră microsisteme
C002142_ro_001	inginer microsisteme
C002142_ro_002	inginer proiectare, dezvoltare, realizare și implementare microsisteme
C002142_ro_003	inginer sisteme micro-electro-mecanice
C002142_ro_004	inginer specialist în tehnologia microsistemelor
C002142_ro_005	ingineră microsisteme
C002142_ro_006	ingineră proiectare, dezvoltare, realizare și implementare microsisteme
C002142_ro_007	ingineră sisteme micro-electro-mecanice
C002143_ro_000	fizician/fiziciană
C002143_ro_001	biofizician
C002143_ro_002	biofiziciană
C002143_ro_003	cercetătoare în fizică
C002143_ro_004	cercetător în fizică
C002143_ro_005	fizician
C002143_ro_006	fizician specialist în fizica nucleară
C002143_ro_007	fiziciană
C002143_ro_008	fiziciană specialistă în fizica nucleară
C002144_ro_000	plasator/plasatoare
C002144_ro_001	plasatoare
C002144_ro_002	plasator
C002145_ro_000	operator mașină de cusut carte/operatoare mașină de cusut carte
C002145_ro_001	operatoare mașină de cusut carte
C002145_ro_002	operator mașină de cusut carte
C002145_ro_003	specialist mașină de cusut carte
C002145_ro_004	specialistă mașină de cusut carte
C002145_ro_005	tehnician mașină de cusut carte
C002146_ro_000	agent de securitate la bordul aeronavelor
C002146_ro_001	air marshal
C002146_ro_002	ofițer de securitate a zborurilor
C002146_ro_003	însoțitor înarmat la bordul aeronavelor
C002147_ro_000	tehnician mentenanță echipamente la uzinele de tratare a apei
C002148_ro_000	operator mașină de tipar adânc/operatoare mașină de tipar adânc
C002148_ro_001	operatoare maşină rotativă de imprimat pentru tipar adânc
C002148_ro_002	operatoare mașină de tipar adânc
C002148_ro_003	operatoare mașină de tipar prin rotogravură
C002148_ro_004	operatoare tipărituri Braille
C002148_ro_005	operator maşină de tipar prin rotogravură
C002148_ro_006	operator maşină rotativă de imprimat pentru tipar adânc
C002148_ro_007	operator mașină de tipar adânc
C002148_ro_008	operator tipărituri Braille
C002149_ro_000	angrosist aparatură și echipamente de birotică/angrosistă aparatură și echipamente de birotică
C002149_ro_001	angrosist aparatură și echipamente de birotică
C002149_ro_002	angrosistă aparatură și echipamente de birotică
C002150_ro_000	director distribuție piei și produse din piele
C002150_ro_001	manager distribuție piei și produse din piele
C002151_ro_000	logoped
C002151_ro_001	instructor logoped
C002151_ro_002	specialist în logopedie
C002152_ro_000	angrosist ceasuri și bijuterii/angrosistă ceasuri și bijuterii
C002152_ro_001	angrosist ceasuri și bijuterii
C002152_ro_002	angrosistă ceasuri și bijuterii
C002153_ro_000	gravor
C002154_ro_000	tehnician de producere a puietului/tehniciană de producere a puietului
C002154_ro_001	tehnician de producere a puietului
C002154_ro_002	tehnician de producere de juvenili în acvacultură
C002154_ro_003	tehniciană de producere a puietului
C002154_ro_004	tehniciană de producere de juvenili în acvacultură
C002155_ro_000	operator instalații de uscare/operatoare instalații de uscare
C002155_ro_001	operatoare instalații de uscare
C002155_ro_002	operator instalații de uscare
C002156_ro_000	crescător de păsări specializat în determinarea sexului la pui/crescătoare de păsări specializată în determinarea sexului la pui
C002156_ro_001	crescătoare de păsări specializată în determinarea sexului la pui
C002156_ro_002	crescător de păsări specializat în determinarea sexului la pui
C002156_ro_003	specialist în determinarea sexului păsărilor
C002156_ro_004	specialistă în determinarea sexului păsărilor
C002157_ro_000	copilot
C002158_ro_000	inginer analiză metale prețioase/ingineră analiză metale prețioase
C002158_ro_001	inginer analiză metale prețioase
C002158_ro_002	inginer chimist pentru laborator metale prețioase
C002158_ro_003	ingineră analiză metale prețioase
C002159_ro_000	manipulant mărfuri
C002159_ro_001	manipulant materiale
C002160_ro_000	specialist import-export animale vii
C002161_ro_000	terapeut medicină tradițională chineză
C002161_ro_001	medic specialist medicină tradițională chineză
C002162_ro_000	responsabil teste material rulant
C002163_ro_000	profesor de economie în învățământul secundar/profesoară de economie în învățământul secundar
C002163_ro_001	profesoară de economie în învăţământul gimnazial
C002163_ro_002	profesoară de economie în învăţământul liceal, postliceal
C002163_ro_003	profesoară de economie în învăţământul secundar
C002163_ro_004	profesor de economie în învăţământul gimnazial
C002163_ro_005	profesor de economie în învăţământul liceal, postliceal
C002163_ro_006	profesor de economie în învăţământul secundar
C002164_ro_000	specialist arii protejate
C002164_ro_001	specialist în conservarea patrimoniului natural
C002164_ro_002	specialistă în conservarea patrimoniului natural
C002165_ro_000	manager achiziții materii prime piele
C002165_ro_001	director achiziții materii prime piele
C002165_ro_002	director achiziții piei brute
C002165_ro_003	manager achiziții piei brute
C002166_ro_000	profesor de artă în învățământul secundar/profesoară de artă în învățământul secundar
C002166_ro_001	profesoară de artă în învăţământul liceal, postliceal
C002166_ro_002	profesoară de artă în învățământul secundar
C002166_ro_003	profesor de artă în învăţământul gimnazial
C002166_ro_004	profesor de artă în învăţământul liceal, postliceal
C002166_ro_005	profesor de artă în învățământul secundar
C002167_ro_000	vânzător specializat bijuterii și ceasuri
C002167_ro_001	bijutier
C002167_ro_002	vânzător bijuterii
C002167_ro_003	vânzător ceasuri de lux și bijuterii cu diamante
C002167_ro_004	vânzător ceasuri și bijuterii
C002167_ro_005	vânzător ceasuri, diamante și bijuterii
C002167_ro_006	vânzător diamante
C002167_ro_007	vânzător specializat bijuterii
C002167_ro_008	vânzător specializat ceasuri de lux și bijuterii cu diamante
C002167_ro_009	vânzător specializat diamante
C002167_ro_010	vânzător specializat diamante și metale prețioase
C002167_ro_011	vânzător specializat magazin ceasuri și bijuterii
C002168_ro_000	manager informații și cunoștințe în domeniul TIC
C002169_ro_000	inginer mecanica fluidelor/ingineră mecanica fluidelor
C002169_ro_001	consilier inginer mecanica fluidelor
C002169_ro_002	expert inginer mecanica fluidelor
C002169_ro_003	inginer mecanica fluidelor
C002169_ro_004	inginer specialist în mecanica fluidelor
C002169_ro_005	ingineră mecanica fluidelor
C002169_ro_006	inspector de specialitate inginer mecanica fluidelor
C002170_ro_000	instructor de schi/instructoare de schi
C002170_ro_001	instructoare de schi
C002170_ro_002	instructor de schi
C002171_ro_000	inginer tehnologii semantice/ingineră tehnologii semantice
C002171_ro_001	inginer tehnologii semantice
C002171_ro_002	ingineră tehnologii semantice
C002171_ro_003	knowledge engineer
C002172_ro_000	asistent centru de îngrijire și asistență/asistentă centru de îngrijire și asistență
C002172_ro_001	asistent centru de îngrijire și asistență
C002172_ro_002	asistent centru rezidențial
C002172_ro_003	asistentă centru de îngrijire și asistență
C002172_ro_004	asistentă centru rezidențial
C002173_ro_000	manager magazin băi și bucătării
C002173_ro_001	manager expoziție bucătării și băi
C002173_ro_002	manager magazin amenajări interioare
C002173_ro_003	manager magazin bucătării
C002173_ro_004	manager magazin băi
C002173_ro_005	manager magazin design interior
C002174_ro_000	administrator de rețea de calculatoare
C002174_ro_001	administrator de rețea
C002174_ro_002	administrator de sistem informatic
C002174_ro_003	administrator rețele
C002175_ro_000	operator la recepția laptelui materie primă/operatoare la recepția laptelui materie primă
C002175_ro_001	operatoare la recepția laptelui materie primă
C002175_ro_002	operatoare recepția laptelui
C002175_ro_003	operator la recepția laptelui materie primă
C002175_ro_004	operator recepția laptelui
C002176_ro_000	mecanic întreținere avioane
C002177_ro_000	director combinat chimic
C002177_ro_001	director producție industria chimică
C002177_ro_002	director tehnic combinat chimic
C002178_ro_000	mecanic de locomotivă
C002178_ro_001	mecanic locomotivă și automotor
C002179_ro_000	profesor învățământ profesional
C002179_ro_001	profesor în învățământul profesional
C002179_ro_002	profesor școală de maiștri
C002179_ro_003	profesor școală profesională
C002180_ro_000	operator malaxor de îngrășăminte/operatoare malaxor de îngrășăminte
C002180_ro_001	operatoare malaxor de îngrășăminte
C002180_ro_002	operatoare malaxor de îngrășăminte lichide
C002180_ro_003	operator malaxor de îngrășăminte
C002180_ro_004	operator malaxor de îngrășăminte lichide
C002181_ro_000	recepționer în domeniul hotelier/recepționeră în domeniul hotelier
C002181_ro_001	lucrătoare la recepție în domeniul hotelier
C002181_ro_002	lucrător la recepție în domeniul hotelier
C002181_ro_003	recepționer în domeniul hotelier
C002181_ro_004	recepționeră în domeniul hotelier
C002182_ro_000	tehnician mentenanță aeroport
C002183_ro_000	director logistică și distribuție
C002183_ro_001	director distribuție
C002183_ro_002	director logistică
C002183_ro_003	manager logistică
C002183_ro_004	manager logistică și distribuție
C002183_ro_005	șef departament logistică
C002184_ro_000	maistru beton mozaic
C002185_ro_000	director centru sportiv
C002185_ro_001	director sală de sport
C002185_ro_002	manager centru sportiv
C002185_ro_003	manager club fitness
C002185_ro_004	manager piscină
C002185_ro_005	manager stadion
C002186_ro_000	vânzător specializat în jocuri și jucării/vânzătoare specializată în jocuri și jucării
C002186_ro_001	vânzătoare jucării
C002186_ro_002	vânzătoare magazin jucării
C002186_ro_003	vânzătoare specializată în jocuri și jucării
C002186_ro_004	vânzător jucării
C002186_ro_005	vânzător magazin jucării
C002186_ro_006	vânzător specializat în jocuri și jucării
C002187_ro_000	profesor în învățământul profesional și tehnic: asistență medicală și discipline specifice activității moașelor/profesoară în învățământul profesional și tehnic: asistență medicală și discipline specifice activității moașelor
C002187_ro_001	formator în învățământul profesional și tehnic: asistență medicală și discipline specifice activității moașelor
C002187_ro_002	profesoară în învățământul profesional și tehnic: asistență medicală și discipline specifice activității moașelor
C002187_ro_003	profesor în învățământul profesional și tehnic: asistență medicală și discipline specifice activității moașelor
C002188_ro_000	asistent terapie ocupațională/asistentă terapie ocupațională
C002188_ro_001	asistent recuperare medicală
C002188_ro_002	asistent terapie ocupațională
C002188_ro_003	asistentă recuperare medicală
C002188_ro_004	asistentă terapie ocupațională
C002189_ro_000	operator control nedistructiv/operatoare control nedistructiv
C002189_ro_001	operatoare control nedistructiv
C002189_ro_002	operator control nedistructiv
C002189_ro_003	specialist încercări nedistructive
C002189_ro_004	specialistă încercări nedistructive
C002190_ro_000	coafor stilist
C002190_ro_001	coafeză
C002190_ro_002	coafor
C002190_ro_003	coafor-machior
C002190_ro_004	coafor-peruchier
C002190_ro_005	coafor-peruchier-machior
C002190_ro_006	hair and make-up artist
C002191_ro_000	paleontolog/paleontologă
C002191_ro_001	cercetător științific în domeniul paleontologiei
C002191_ro_002	expert în micropaleontologie
C002191_ro_003	expert în paleontologie
C002191_ro_004	paleontolog
C002191_ro_005	paleontologă
C002192_ro_000	constructor de chitare
C002192_ro_001	fabricant de chitare
C002192_ro_002	lutier
C002193_ro_000	director divizie informatică/directoare divizie informatică
C002193_ro_001	directoare divizie informatică
C002193_ro_002	directoare sistem informatic
C002193_ro_003	director de sistem informatic
C002193_ro_004	director divizie informatică
C002194_ro_000	manager de campanie electorală
C002194_ro_001	agent de campanie electorală
C002194_ro_002	agent electoral
C002194_ro_003	manager de campanie
C002195_ro_000	maistru electronică
C002196_ro_000	instructor auto categoria B
C002196_ro_001	instructor auto
C002196_ro_002	instructor școlar auto
C002196_ro_003	instructor școlar auto categoria B
C002197_ro_000	director agenție de traduceri
C002197_ro_001	director birou de traduceri
C002197_ro_002	manager agenție de traduceri
C002197_ro_003	manager birou de traduceri
C002198_ro_000	polizator/polizatoare
C002198_ro_001	polizatoare
C002198_ro_002	polizator
C002199_ro_000	inginer derulare contracte/ingineră derulare contracte
C002199_ro_001	inginer derulare contracte
C002199_ro_002	inginer specialist în contracte
C002199_ro_003	ingineră derulare contracte
C002200_ro_000	mecanic motorist fluvial
C002200_ro_001	barjist
C002200_ro_002	marinar fluvial
C002200_ro_003	mecanic fluvial
C002200_ro_004	șef mecanic fluvial
C002201_ro_000	asamblor material rulant/asambloare material rulant
C002201_ro_001	asambloare material rulant
C002201_ro_002	asamblor material rulant
C002201_ro_003	electromecanic material rulant
C002201_ro_004	inginer material rulant cale ferată
C002201_ro_005	lăcătuș montator vagoane
C002201_ro_006	montatoare subansamble
C002201_ro_007	montatoare vagoane
C002201_ro_008	montator subansamble
C002201_ro_009	montator vagoane
C002201_ro_010	sudor-montator piese subansamble
C002201_ro_011	tehnician material rulant
C002202_ro_000	specialist import-export în computere, periferice și softuri
C002203_ro_000	consilier planning familial
C002203_ro_001	medic specialist planning familial
C002204_ro_000	operator la prepararea peștelui/operatoare la prepararea peștelui
C002204_ro_001	angajată la fabricarea produselor de pește
C002204_ro_002	operatoare fabricare produse din pește
C002204_ro_003	operatoare la prepararea peștelui
C002204_ro_004	operator fabricare produse din pește
C002204_ro_005	operator la prepararea peștelui
C002205_ro_000	prezentator de știri/prezentatoare de știri
C002205_ro_001	prezentatoare (crainică) radio
C002205_ro_002	prezentatoare (crainică) televiziune
C002205_ro_003	prezentatoare de știri
C002205_ro_004	prezentator (crainic) radio
C002205_ro_005	prezentator (crainic) televiziune
C002205_ro_006	prezentator de știri
C002206_ro_000	electromecanic material rulant
C002207_ro_000	agent control acces
C002207_ro_001	agent pază
C002207_ro_002	agent securitate
C002207_ro_003	portar
C002208_ro_000	profesionist în domeniul sănătății animalelor acvatice
C002208_ro_001	consultant în domeniul sănătății animalelor acvatice
C002208_ro_002	consultant în domeniul sănătății animalelor marine
C002208_ro_003	expert în domeniul sănătății animalelor acvatice
C002208_ro_004	expert în domeniul sănătății animalelor marine
C002208_ro_005	profesionist în domeniul sănătății animalelor marine
C002208_ro_006	specialist în domeniul sănătății animalelor acvatice
C002208_ro_007	specialist în domeniul sănătății animalelor marine
C002209_ro_000	analist costuri
C002209_ro_001	analist buget
C002209_ro_002	consultant bugetar
C002210_ro_000	asistent în organizare de evenimente/asistentă în organizare de evenimente
C002210_ro_001	asistent în organizare de evenimente
C002210_ro_002	asistentă în organizare de evenimente
C002210_ro_003	organizator de conferințe și evenimente
C002211_ro_000	tehnician designer vestimentar CAD
C002212_ro_000	tehnician cadastru funciar
C002213_ro_000	pet sitter
C002213_ro_001	dog sitter
C002213_ro_002	pet sitteri
C002213_ro_003	îngrijitoare de animale de companie
C002213_ro_004	îngrijitor de animale de companie
C002214_ro_000	operator la fabricarea de mobilier din material plastic/operatoare la fabricarea de mobilier din material plastic
C002214_ro_001	lucrătoare producție mobilier din plastic
C002214_ro_002	lucrător producție mobilier din plastic
C002214_ro_003	operatoare la fabricarea de mobilier din material plastic
C002214_ro_004	operator la fabricarea de mobilier din material plastic
C002215_ro_000	operator la prelucrarea cărnii/operatoare la prelucrarea cărnii
C002215_ro_001	lucrătoare la prelucrarea cărnii
C002215_ro_002	lucrătoare utilaje de prelucrare a cărnii
C002215_ro_003	lucrător la prelucrarea cărnii
C002215_ro_004	lucrător la utilaje de prelucrare a cărnii
C002215_ro_005	operatoare la prelucrarea cărnii
C002215_ro_006	operatoare la utilaje de prelucrare a cărnii
C002215_ro_007	operator la prelucrarea cărnii
C002215_ro_008	operator la utilaje de prelucrare a cărnii
C002216_ro_000	director import export mașini utilizate în minerit, construcții și construcții civile
C002216_ro_001	director import-export mașini utilizate în minerit, construcții și construcții civile
C002216_ro_002	manager import-export mașini utilizate în minerit, construcții și construcții civile
C002217_ro_000	cascador/cascadoare
C002217_ro_001	cascadoare
C002217_ro_002	cascador
C002218_ro_000	funcționar impozite și taxe/funcționară impozite și taxe
C002218_ro_001	funcționar impozite și taxe
C002218_ro_002	funcționară impozite și taxe
C002219_ro_000	inginer tehnico-comercial
C002219_ro_001	inginer de vânzări
C002219_ro_002	inginer vânzări
C002220_ro_000	instructor militar
C002221_ro_000	coordonator servicii de asistență socială la domiciliu/coordonatoare servicii de asistență socială la domiciliu
C002221_ro_001	coordonatoare servicii de asistență socială la domiciliu
C002221_ro_002	coordonator servicii de asistență socială la domiciliu
C002222_ro_000	manager pompe funebre
C002222_ro_001	antreprenor servicii funerare
C002222_ro_002	director pompe funebre
C002222_ro_003	lucrător pompe funebre
C002223_ro_000	inginer textile/ingineră textile
C002223_ro_001	inginer textile
C002223_ro_002	inginer textilist
C002223_ro_003	inginer tricotaje
C002223_ro_004	ingineră textile
C002223_ro_005	ingineră tricotaje
C002224_ro_000	controlor calitate textile/controloare calitate textile
C002224_ro_001	controloare calitate textile
C002224_ro_002	controloare de calitate textile
C002224_ro_003	controlor calitate textile
C002224_ro_004	controlor de calitate textile
C002224_ro_005	controlor tehnic de calitate textile
C002225_ro_000	specialist în analiză senzorială/specialistă în analiză senzorială
C002225_ro_001	specialist în analiză senzorială
C002225_ro_002	specialistă în analiză senzorială
C002226_ro_000	operator mașină de debavurat/operatoare mașină de debavurat
C002226_ro_001	operatoare debavurare
C002226_ro_002	operatoare debavurator
C002226_ro_003	operatoare mașină de debavurat
C002226_ro_004	operator debavurare
C002226_ro_005	operator debavurator
C002226_ro_006	operator mașină de debavurat
C002227_ro_000	operator gater/operatoare gater
C002227_ro_001	maistru la fabricarea cherestelei
C002227_ro_002	operatoare gater
C002227_ro_003	operatoare la gater
C002227_ro_004	operator gater
C002227_ro_005	operator la gater
C002228_ro_000	dezvoltator de interfețe utilizator/dezvoltatoare interfețe utilizatorul
C002228_ro_001	dezvoltatoare de interfețe
C002228_ro_002	dezvoltatoare de interfețe utilizatorul
C002228_ro_003	dezvoltatoare interfață utilizator
C002228_ro_004	dezvoltator de interfețe
C002228_ro_005	dezvoltator de interfețe utilizatorul
C002228_ro_006	dezvoltator interfață utilizator
C002228_ro_007	programatoare de interfețe
C002228_ro_008	programator de interfețe
C002229_ro_000	operator linie automată/operatoare linie automată
C002229_ro_001	operatoare linie automată
C002229_ro_002	operator linie automată
C002230_ro_000	mineralog/mineraloagă
C002230_ro_001	mineraloagă
C002230_ro_002	mineralog
C002231_ro_000	muncitor necalificat/muncitoare necalificată
C002231_ro_001	muncitoare necalificată
C002231_ro_002	muncitor necalificat
C002231_ro_003	operatoare extracție gaze
C002231_ro_004	operator extracție gaze
C002231_ro_005	operator extracție țiței
C002231_ro_006	turlist
C002232_ro_000	specialist militar
C002232_ro_001	operator de supraveghere
C002232_ro_002	specialist în domeniul apărării
C002232_ro_003	subofițer al forțelor armate
C002233_ro_000	inginer electrician
C002233_ro_001	consilier inginer electrician
C002233_ro_002	expert inginer electrician
C002233_ro_003	inginer electrotehnist
C002233_ro_004	proiectant inginer electrician
C002234_ro_000	mașinist pentru prefabricate din beton și beton armat/mașinistă pentru prefabricate din beton și beton armat
C002234_ro_001	betonier
C002234_ro_002	betonist
C002234_ro_003	cimentist
C002234_ro_004	cimentistă
C002234_ro_005	lucrător uzină de beton
C002234_ro_006	mașinist pentru prefabricate din beton și beton armat
C002234_ro_007	mașinistă pentru prefabricate din beton și beton armat
C002234_ro_008	muncitor fabrică de ciment
C002235_ro_000	ghid montan
C002235_ro_001	ghid de drumeție montană
C002235_ro_002	ghid de turism montan
C002236_ro_000	vânzător specializat aparate electrocasnice
C002236_ro_001	vânzător aparate electrocasnice
C002236_ro_002	vânzător raion aparate electrocasnice
C002236_ro_003	vânzător specializat magazin aparate electrocasnice
C002236_ro_004	vânzător specializat raion aparate electrocasnice
C002237_ro_000	director distribuție produse chimice
C002237_ro_001	manager distribuție produse chimice
C002238_ro_000	scenograf/scenografă
C002238_ro_001	scenograf
C002238_ro_002	scenografă
C002239_ro_000	maistru dulgher
C002240_ro_000	laborant analize chimice/laborantă analize chimice
C002240_ro_001	laborant analize chimice
C002240_ro_002	laborant chimist
C002240_ro_003	laborantă analize chimice
C002240_ro_004	tehnician radiochimie
C002240_ro_005	tehniciană radiochimie
C002241_ro_000	ambalator textile
C002241_ro_001	ambalator îmbrăcăminte
C002241_ro_002	finisor textile
C002241_ro_003	finisor îmbrăcăminte
C002241_ro_004	muncitor necalificat în industria confecțiilor
C002242_ro_000	lucrător la prelucrarea laptelui și produselor lactate/lucrătoare la prelucrarea laptelui și produselor lactate
C002242_ro_001	lucrătoare la prelucrarea laptelui și produselor lactate
C002242_ro_002	lucrătoare în fabrica de lapte și produse lactate
C002242_ro_003	lucrător la prelucrarea laptelui și produselor lactate
C002242_ro_004	lucrător în fabrica de lapte și produse lactate
C002243_ro_000	soră medicală
C002244_ro_000	manager agenție pariuri
C002244_ro_001	manager agenție pariuri sportive
C002245_ro_000	operator pupitru lumini/operatoare pupitru lumini
C002245_ro_001	operatoare lumini
C002245_ro_002	operatoare pupitru lumini
C002245_ro_003	operator lumini
C002245_ro_004	operator pupitru lumini
C002246_ro_000	manager magazin articole vânătoare
C002246_ro_001	manager magazin arme de foc
C002246_ro_002	manager magazin arme de vânătoare
C002246_ro_003	manager magazin echipamente de vânătoare
C002246_ro_004	manager magazin muniții
C002247_ro_000	specialist în drepturile omului
C002247_ro_001	avocat în drepturile omului
C002248_ro_000	valet de parcare
C002248_ro_001	valet
C002248_ro_002	valet parcare
C002248_ro_003	șofer de parcare
C002249_ro_000	operator pregătitor chimicale în industria textilă
C002249_ro_001	operatoare vopsire pe suluri perforate
C002249_ro_002	operator vopsire pe suluri perforate
C002249_ro_003	vopsitoare textile
C002249_ro_004	vopsitor textile
C002250_ro_000	mecanic maritim
C002250_ro_001	mecanic naval
C002251_ro_000	maistru instalații electrice
C002252_ro_000	operator la descernalizarea maculaturii/operatoare la descernalizarea maculaturii
C002252_ro_001	operator la descernalizarea maculaturii
C002253_ro_000	pompier
C002253_ro_001	agent salvare aeroportuară și instalații de stins incendii
C002253_ro_002	maistru militar pompieri și protecție civilă
C002253_ro_003	ofițer de pompieri
C002253_ro_004	pompier civil
C002253_ro_005	pompier industrial
C002253_ro_006	pompier militar
C002253_ro_007	subofițer de pompieri
C002254_ro_000	tehnician machetist
C002254_ro_001	butafor
C002254_ro_002	machetist
C002254_ro_003	machetistă
C002255_ro_000	cadru didactic în învățământul superior muzical
C002255_ro_001	asistent universitar în domeniul artelor muzicale
C002255_ro_002	conferențiar universitar în domeniul artelor muzicale
C002255_ro_003	lector universitar în domeniul artelor muzicale
C002255_ro_004	preparator învățământul universitar în domeniul artelor muzicale
C002255_ro_005	profesor universitar în domeniul artelor muzicale
C002256_ro_000	tehnician montator motoare nave
C002256_ro_001	constructor naval
C002256_ro_002	inginer nave
C002256_ro_003	mecanic motoare nave
C002256_ro_004	mecanic naval
C002257_ro_000	operator mașină de înfășurare filamentară/operatoare mașină de înfășurare filamentară
C002257_ro_001	operatoare bobinaj de încălzire
C002257_ro_002	operatoare mașină de bobinat
C002257_ro_003	operatoare mașină de înfășurare filamentară
C002257_ro_004	operator bobinaj de încălzire
C002257_ro_005	operator mașină de bobinat
C002257_ro_006	operator mașină de înfășurare filamentară
C002258_ro_000	asistent centru de recreere/asistentă centru de recreere
C002258_ro_001	asistent centru de recreere
C002258_ro_002	asistentă centru de recreere
C002259_ro_000	uscător produse ceramice brute/uscătoare produse ceramice brute
C002259_ro_001	cuptorar ceramică fină și decor
C002259_ro_002	operatoare cuptor de uscare produse ceramice
C002259_ro_003	operatoare cuptor tunel de recoacere
C002259_ro_004	operator cuptor de uscare produse ceramice
C002259_ro_005	operator cuptor tunel de recoacere
C002259_ro_006	uscătoare produse ceramice brute
C002259_ro_007	uscător produse ceramice brute
C002260_ro_000	coordonator trafic naval/coordonatoare trafic naval
C002260_ro_001	coordonatoare de trafic portuar
C002260_ro_002	coordonatoare trafic maritim
C002260_ro_003	coordonatoare trafic naval
C002260_ro_004	coordonator de trafic portuar
C002260_ro_005	coordonator trafic maritim
C002260_ro_006	coordonator trafic naval
C002260_ro_007	coordonator trafic portuar
C002260_ro_008	operator portuar dispecer
C002260_ro_009	planificator
C002261_ro_000	director import export echipamente și componente electronice și de telecomunicații
C002262_ro_000	confecționer păpuși/confecționeră păpuși
C002262_ro_001	confecționer căsuțe de păpuși și mobilier
C002262_ro_002	confecționer haine păpuși
C002262_ro_003	confecționer păpuși
C002262_ro_004	confecționer păpuși lemn
C002262_ro_005	confecționer păpuși porțelan
C002262_ro_006	confecționeră căsuțe de păpuși și mobilier
C002262_ro_007	confecționeră haine păpuși
C002262_ro_008	confecționeră păpuși
C002262_ro_009	confecționeră păpuși lemn
C002262_ro_010	confecționeră păpuși porțelan
C002262_ro_011	reparatoare de păpuși
C002262_ro_012	reparator de păpuși
C002263_ro_000	specialist import-export ceasuri și bijuterii
C002264_ro_000	gestionar granturi și subvenții/gestionară granturi și subvenții
C002264_ro_001	gestionar granturi și subvenții
C002264_ro_002	gestionară granturi și subvenții
C002265_ro_000	inginer extracție gaze naturale/ingineră extracție gaze naturale
C002265_ro_001	consilier inginer extracție gaze naturale
C002265_ro_002	expert inginer extracție gaze naturale
C002265_ro_003	inginer extracție gaze naturale
C002265_ro_004	ingineră extracție gaze naturale
C002266_ro_000	reglor-montator
C002266_ro_001	lăcătuș montator scule matrițe
C002266_ro_002	montator linii de asamblare
C002266_ro_003	montator mașini-unelte
C002266_ro_004	montator scule matrițe
C002266_ro_005	reglor benzi montaj
C002266_ro_006	reglor mașini-unelte
C002267_ro_000	asistent de producție pentru locuri de filmare
C002267_ro_001	director de locație
C002267_ro_002	manager de locație
C002268_ro_000	profesor de geografie în învățământul secundar/profesoară de geografie în învățământul secundar
C002268_ro_001	profesoară de geografie în învățământul gimnazial
C002268_ro_002	profesoară de geografie în învățământul liceal, postliceal
C002268_ro_003	profesoară de geografie în învățământul secundar
C002268_ro_004	profesor de geografie în învățământul gimnazial
C002268_ro_005	profesor de geografie în învățământul liceal, postliceal
C002268_ro_006	profesor de geografie în învățământul secundar
C002269_ro_000	lucrător întreținere fose septice/lucrătoare întreținere fose septice
C002269_ro_001	lucrătoare întreținere fose septice
C002269_ro_002	lucrător vidanjare fose septice
C002269_ro_003	lucrător întreținere fose septice
C002270_ro_000	inginer de vânzări în domeniul tehnologiei informației și comunicațiilor/ingineră de vânzări în domeniul tehnologiei informației și comunicațiilor
C002270_ro_001	inginer de vânzări în domeniul TIC
C002270_ro_002	inginer de vânzări în domeniul tehnologiei informației și comunicațiilor
C002270_ro_003	ingineră de vânzări în domeniul TIC
C002270_ro_004	ingineră de vânzări în domeniul tehnologiei informației și comunicațiilor
C002271_ro_000	ecolog/ecologă
C002271_ro_001	ecolog
C002271_ro_002	ecolog consultant pentru acvacultură
C002271_ro_003	ecologă
C002272_ro_000	aurar/aurăreasă
C002272_ro_001	argintar
C002272_ro_002	argintăreasă
C002272_ro_003	aurar
C002272_ro_004	aurăreasă
C002272_ro_005	bijutier metale prețioase
C002272_ro_006	creatoare bijuterii aur
C002272_ro_007	creator bijuterii aur
C002272_ro_008	lucrătoare bijuterii aur
C002272_ro_009	lucrător bijuterii aur
C002273_ro_000	controlor tehnic de calitate în industria încălțămintei
C002274_ro_000	subscriitor valori mobiliare
C002275_ro_000	pilot privat pentru avion
C002276_ro_000	regizor/regizoare
C002276_ro_001	regizoare
C002276_ro_002	regizor
C002276_ro_003	regizor artistic
C002276_ro_004	regizor artistic operă
