C000001_es_000	Ocupaciones militares
C002349_es_004	técnico de fabricación de artículos de piel y cuero
C002350_es_000	diseñador de placas de circuitos impresos/diseñadora de placas de circuitos impresos
C002350_es_001	diseñador de circuitos impresos PCB
C002350_es_002	diseñador de circuitos impresos de potencia
C002350_es_003	diseñador de circuitos impresos mediante herramienta CAD
C002350_es_004	diseñador de placas de circuitos impresos
C002350_es_005	diseñador de placas de circuitos impresos (PCB)
C002350_es_006	diseñadora de circuitos impresos PCB
C002350_es_007	diseñadora de circuitos impresos de potencia
C002350_es_008	diseñadora de circuitos impresos mediante herramienta CAD
C002350_es_009	diseñadora de placas de circuitos impresos
C002350_es_010	diseñadora de placas de circuitos impresos (PCB)
C002350_es_011	especialista en diseño de circuitos impresos PCB
C002351_es_000	profesor universitario de trabajo social/profesora universitaria de trabajo social
C002351_es_001	profesor universitario de trabajo social
C002351_es_002	profesora universitaria de trabajo social
C002352_es_000	operador de equipo ferroviario intermodal/operadora de equipo ferroviario intermodal
C002352_es_001	operador de transporte intermodal
C002352_es_002	operadora de transporte intermodal
C002353_es_000	cortador textil/cortadora textil
C002353_es_001	cortador textil
C002353_es_002	cortadora textil
C002354_es_000	ortoprotésicos
C002354_es_001	ortoprotesista
C002354_es_002	técnica en ortoprótesis
C002354_es_003	técnica ortoprotésica
C002354_es_004	técnica ortopédica
C002354_es_005	técnica superior en ortoprótesis y productos de apoyo
C002354_es_006	técnico en ortoprótesis
C002354_es_007	técnico ortoprotésico
C002354_es_008	técnico ortopédico
C002354_es_009	técnico superior en ortoprótesis y productos de apoyo
C002355_es_000	asistente jurídico/asistente jurídica
C002355_es_001	asistente jurídica
C002355_es_002	asistente jurídico
C002355_es_003	auxiliar letrada
C002355_es_004	auxiliar letrado
C002355_es_005	procurador
C002355_es_006	procuradora
C002356_es_000	empleado de campings o campamentos/empleada de campings o campamentos
C002356_es_001	empleada de campings o campamentos
C002356_es_002	empleado de campings o campamentos
C002356_es_003	recepcionista de campings o campamentos
C002357_es_000	ingeniero especializado en equipos informáticos/ingeniera especializada en equipos informáticos
C002357_es_001	ingeniera de hardware
C002357_es_002	ingeniera especializada en equipos informáticos
C002357_es_003	ingeniero de hardware
C002357_es_004	ingeniero especializado en equipos informáticos
C002358_es_000	coordinador de listas de espera en centros sanitarios/coordinadora de listas de espera en centros sanitarios
C002358_es_001	coordinador de listas de espera en centros sanitarios
C002358_es_002	coordinador de listas de espera hospitalarias
C002358_es_003	coordinador de listas de espera para trasplantes
C002358_es_004	coordinador de listas de espera quirúrgicas
C002358_es_005	coordinadora de listas de espera en centros sanitarios
C002358_es_006	coordinadora de listas de espera hospitalarias
C002358_es_007	coordinadora de listas de espera para trasplantes
C002358_es_008	coordinadora de listas de espera quirúrgicas
C002358_es_009	especialista en gestión de listas de espera en centros de salud
C002359_es_000	operario de limpieza de ventanas/operaria de limpieza de ventanas
C002359_es_001	operaria de limpieza de ventanas
C002359_es_002	operario de limpieza de ventanas
C002360_es_000	colchonero/colchonera
C002360_es_001	colchonera
C002360_es_002	colchonero
C002360_es_003	fabricante de colchones
C002361_es_000	operador de línea telefónica de ayuda de emergencia/operadora de línea telefónica de ayuda de emergencia
C002361_es_001	operador de línea telefónica de ayuda de emergencia
C002361_es_002	operadora de línea telefónica de ayuda de emergencia
C002362_es_000	geólogo experto en medio ambiente/geóloga experta en medio ambiente
C002362_es_001	especialista en geología ambiental
C002362_es_002	geóloga ambientalista
C002362_es_003	geóloga experta en impacto medioambiental
C002362_es_004	geóloga experta en medio ambiente
C002362_es_005	geólogo ambientalista
C002362_es_006	geólogo experto en impacto medioambiental
C002362_es_007	geólogo experto en medio ambiente
C002363_es_000	mayorista de productos de vidrio y cerámica
C002363_es_001	comerciante al por mayor de productos de vidrio y cerámica
C002363_es_002	consultor de ventas al por mayor de productos de vidrio y cerámica
C002363_es_003	consultora de ventas al por mayor de productos de vidrio y cerámica
C002363_es_004	mayorista de productos de porcelana, loza, barro y gres
C002364_es_000	controlador de equipaje de mano/controladora de equipaje de mano
C002364_es_001	controlador de equipaje de mano
C002364_es_002	controladora de equipaje de mano
C002365_es_000	asistente de gestión de fondos de inversión
C002365_es_001	especialista en fondos de inversión
C002366_es_000	director de agencia de viajes/directora de agencia de viajes
C002366_es_001	director de agencia de viajes
C002366_es_002	directora de agencia de viajes
C002366_es_003	gerente de agencia de viajes
C002366_es_004	gestor de agencias de viajes
C002366_es_005	gestora de agencias de viajes
C002366_es_006	responsable de gestión en agencias de viajes
C002367_es_000	operario de línea de envasado y embotellado/operaria de línea de envasado y embotellado
C002367_es_001	encargada de la línea de envasado y embotellado
C002367_es_002	encargado de la línea de envasado y embotellado
C002367_es_003	operador de línea de envasado y embotellado
C002367_es_004	operadora de línea de envasado y embotellado
C002367_es_005	responsable de la línea de envasado y embotellado
C002368_es_000	operador de telar/operadora de telar
C002368_es_001	operador de telar
C002368_es_002	operadora de telar
C002368_es_003	operaria de telar
C002369_es_000	operador de martillo de caída de forja/operadora de martillo de caída de forja
C002369_es_001	operador de martillo de caída de forja
C002369_es_002	operadora de martillo de caída de forja
C002370_es_000	patronista de calzado
C002371_es_000	ingeniero especializado en el diseño de equipos de contenedores/ingeniera especializada en el diseño de equipos de contenedores
C002371_es_001	ingeniera especializada en el diseño de equipos de contenedores
C002371_es_002	ingeniero especializado en el diseño de equipos de contenedores
C002371_es_003	técnica especializada en el diseño de equipos de contenedores
C002371_es_004	técnico especializado en el diseño de equipos de contenedores
C002372_es_000	director de instalaciones para animales/directora de instalaciones para animales
C002372_es_001	director de acuario
C002372_es_002	director de instalaciones para animales
C002372_es_003	director de parque zoológico
C002372_es_004	director de refugio para animales
C002372_es_005	directora de acuario
C002372_es_006	directora de instalaciones para animales
C002372_es_007	directora de parque zoológico
C002372_es_008	directora de refugio para animales
C002373_es_000	responsable de regulación del tráfico vial
C002373_es_001	planificador del tráfico vial
C002373_es_002	planificadora del tráfico vial
C002374_es_000	profesor de formación profesional en peluquería/profesora de formación profesional en peluquería
C002374_es_001	profesor de formación profesional en peluquería
C002374_es_002	profesora de formación profesional en peluquería
C002375_es_000	gerente de reclamaciones de seguros
C002375_es_001	gestor de indemnizaciones
C002375_es_002	gestor de siniestros
C002375_es_003	gestora de indemnizaciones
C002375_es_004	gestora de siniestros
C002375_es_005	responsable de reclamaciones de seguros
C002376_es_000	electricista naval
C002376_es_001	electricista náutica
C002376_es_002	electricista náutico
C002377_es_000	masajistas terapéuticos
C002377_es_001	acupuntor
C002377_es_002	acupuntora
C002377_es_003	masajista
C002377_es_004	masajista clínica
C002377_es_005	masajista clínico
C002377_es_006	masajista deportiva
C002377_es_007	masajista deportivo
C002377_es_008	masajista profesional
C002377_es_009	masajista terapeuta de shiatsu
C002377_es_010	masajista terapéutica
C002377_es_011	masajista terapéutico
C002377_es_012	profesional de masaje sueco
C002378_es_000	responsable de igualdad e inclusión
C002379_es_000	fabricante de muebles de mimbre
C002379_es_001	cestera de mimbre
C002379_es_002	cestero de mimbre
C002379_es_003	fabricante de muebles de ratán
C002379_es_004	tejedor de muebles de mimbre
C002379_es_005	tejedora de muebles de mimbre
C002380_es_000	ingeniero especializado en nanotecnología/ingeniera especializada en nanotecnología
C002380_es_001	ingeniera especializada en nanoingeniería
C002380_es_002	ingeniero especializado en nanoingeniería
C002381_es_000	apuntador/apuntadora
C002381_es_001	apuntador
C002381_es_002	apuntadora
C002382_es_000	agente marítimo
C002382_es_001	corredor marítimo
C002382_es_002	corredora marítima
C002382_es_003	intermediaria entre navieras y fletadores
C002382_es_004	intermediario entre navieras y fletadores
C002383_es_000	escultor/escultora
C002383_es_001	escultor
C002383_es_002	escultora
C002384_es_000	jefe de departamento/jefa de departamento
C002384_es_001	director de departamento
C002384_es_002	directora de departamento
C002384_es_003	jefa de departamento
C002384_es_004	jefa de división
C002384_es_005	jefa de sección
C002384_es_006	jefe de departamento
C002384_es_007	jefe de división
C002384_es_008	jefe de sección
C002385_es_000	técnico de puesta en escena de películas de animación/técnica de puesta en escena de películas de animación
C002385_es_001	técnica de puesta en escena de películas de animación
C002385_es_002	técnico de puesta en escena de películas de animación
C002386_es_000	transportador de animales vivos/transportadora de animales vivos
C002386_es_001	encargada de transporte de animales vivos
C002386_es_002	encargado de transporte de animales vivos
C002386_es_003	portador de animales vivos
C002386_es_004	portadora de animales vivos
C002386_es_005	responsable de transporte de animales vivos
C002386_es_006	transportador de animales vivos
C002386_es_007	transportadora de animales vivos
C002387_es_000	técnico de procesamiento de productos lácteos/técnica de procesamiento de productos lácteos
C002387_es_001	encargada de procesamiento de productos lácteos
C002387_es_002	encargado de procesamiento de productos lácteos
C002387_es_003	especialista en procesamiento de productos lácteos
C002387_es_004	experta en procesamiento de productos lácteos
C002387_es_005	experto en procesamiento de productos lácteos
C002387_es_006	responsable de procesamiento de productos lácteos
C002387_es_007	técnica de procesamiento de productos lácteos
C002387_es_008	técnico de procesamiento de productos lácteos
C002388_es_000	técnico en bioquímica/técnica en bioquímica
C002388_es_001	ayudante técnica en laboratorio de bioquímica
C002388_es_002	ayudante técnico en laboratorio de bioquímica
C002388_es_003	técnica en bioquímica
C002388_es_004	técnica especialista en bioquímica
C002388_es_005	técnico en bioquímica
C002388_es_006	técnico especialista en bioquímica
C002389_es_000	mecánico minero/mecánica minera
C002389_es_001	electromecánica minera
C002389_es_002	electromecánico minero
C002389_es_003	mecánica minera
C002389_es_004	mecánico minero
C002389_es_005	técnica de maquinaria minera
C002389_es_006	técnico de maquinaria minera
C002390_es_000	ayudante técnico de ingeniería/ayudante técnica de ingeniería
C002390_es_001	ayudante técnico de ingeniería
C002391_es_000	operador de máquina cortadora longitudinal/operadora de máquina cortadora longitudinal
C002391_es_001	operador de cortadora longitudinal
C002391_es_002	operador de máquina cortadora longitudinal
C002391_es_003	operadora de cortadora longitudinal
C002391_es_004	operadora de máquina cortadora longitudinal
C002391_es_005	operaria de máquina cortadora longitudinal
C002391_es_006	operario de máquina cortadora longitudinal
C002392_es_000	tapicero/tapicera
C002392_es_001	tapicera
C002392_es_002	tapicero
C002393_es_000	maestro cervecero/maestra cervecera
C002393_es_001	cervecera
C002393_es_002	cervecero
C002393_es_003	encargada jefe de la elaboración de cerveza
C002393_es_004	encargado jefe de la elaboración de cerveza
C002393_es_005	maestra de cerveza
C002393_es_006	maestro de cerveza
C002394_es_000	enfermero obstétrico-ginecológico/enfermera obstétrico-ginecológica
C002394_es_001	asistente obstétrica
C002394_es_002	asistente obstétrico
C002394_es_003	comadrona
C002394_es_004	comadrón
C002394_es_005	enfermera obstétrico-ginecológica
C002394_es_006	enfermero obstétrico-ginecológico
C002394_es_007	matrona
C002394_es_008	matrón
C002395_es_000	trabajador social de apoyo a las familias/trabajadora social de apoyo a las familias
C002395_es_001	trabajador social de apoyo a las familias
C002395_es_002	trabajadora social de apoyo a las familias
C002396_es_000	supervisor de montaje de calzado/supervisora de montaje de calzado
C002396_es_001	encargada de sala de enfranques de calzado
C002396_es_002	encargado de sala de enfranques de calzado
C002396_es_003	supervisor de montaje de calzado
C002396_es_004	supervisor de sala de enfranques de calzado
C002396_es_005	supervisor de sala de igualadores de calzado
C002396_es_006	supervisora de montaje de calzado
C002396_es_007	supervisora de sala de enfranques de calzado
C002396_es_008	supervisora de sala de igualadores de calzado
C002397_es_000	director de importación y exportación de manufacturas de porcelana y vidrio/directora de importación y exportación de manufacturas de porcelana y vidrio
C002397_es_001	director de importación y exportación de manufacturas de porcelana y vidrio
C002397_es_002	directora de importación y exportación de manufacturas de porcelana y vidrio
C002397_es_003	responsable de importación y exportación de manufacturas de porcelana y vidrio
C002398_es_000	montador de casas prefabricadas/montadora de casas prefabricadas
C002398_es_001	montador de casas prefabricadas
C002398_es_002	montador de casas prefabricadas de madera
C002398_es_003	montadora de casas prefabricadas
C002398_es_004	montadora de casas prefabricadas de madera
C002399_es_000	sobrecargo
C002399_es_001	jefa de cabina
C002399_es_002	jefe de cabina
C002399_es_003	sobrecargo de vuelo
C002400_es_000	pintor de objetos y superficies de madera/pintora de objetos y superficies de madera
C002400_es_001	pintor de objetos y superficies de madera
C002400_es_002	pintora de objetos y superficies de madera
C002401_es_000	cajero de casino/cajera de casino
C002401_es_001	cajera de casino
C002401_es_002	cajero de casino
C002402_es_000	vigilante de casas
C002402_es_001	vigilante doméstica
C002402_es_002	vigilante doméstico
C002403_es_000	operador de prensa hidráulica/operadora de prensa hidráulica
C002403_es_001	especialista en prensado de plásticos
C002403_es_002	operador de prensa hidráulica
C002403_es_003	operadora de prensa hidráulica
C002404_es_000	empleado de servicio de atención al viajero de tren/empleada de servicio de atención al viajero de tren
C002404_es_001	empleada de servicio de atención al viajero de tren
C002404_es_002	empleado de servicio de atención al viajero de tren
C002405_es_000	artista conceptual
C002406_es_000	empleado de restaurantes de comida rápida/empleada de restaurantes de comida rápida
C002406_es_001	miembro del personal de restaurantes de comida rápida
C002406_es_002	personal de restaurantes de comida rápida
C002406_es_003	trabajador en restaurantes de comida rápida
C002406_es_004	trabajadora en restaurantes de comida rápida
C002407_es_000	director de colección artística o cultural/directora de colección artística o cultural
C002407_es_001	conservador
C002407_es_002	conservadora
C002407_es_003	director de colección
C002407_es_004	director de colección artística o cultural
C002407_es_005	directora de colección
C002407_es_006	directora de colección artística o cultural
C002408_es_000	director de distribución de maquinaria, equipos industriales, buques y aeronaves/directora de distribución de maquinaria, equipos industriales, buques y aeronaves
C002408_es_001	director de distribución de maquinaria, equipos industriales, buques y aeronaves
C002408_es_002	directora de distribución de maquinaria, equipos industriales, buques y aeronaves
C002408_es_003	responsable de distribución de maquinaria, equipos industriales, buques y aeronaves
C002409_es_000	supervisor de montaje de aeronaves/supervisora de montaje de aeronaves
C002409_es_001	supervisor de calidad del montaje aeronáutico
C002409_es_002	supervisor de equipos y sistemas de aeronaves
C002409_es_003	supervisor de montaje
C002409_es_004	supervisor de montaje de aeronaves
C002409_es_005	supervisor de seguridad del montaje aeronáutico
C002409_es_006	supervisora de calidad del montaje aeronáutico
C002409_es_007	supervisora de equipos y sistemas de aeronaves
C002409_es_008	supervisora de montaje
C002409_es_009	supervisora de montaje de aeronaves
C002409_es_010	supervisora de seguridad del montaje aeronáutico
C002410_es_000	diseñador de interfaces de usuario/diseñadora de interfaces de usuario
C002410_es_001	diseñador de IU
C002410_es_002	diseñador de accesibilidad
C002410_es_003	diseñador de interfaces
C002410_es_004	diseñador de interfaces de usuario
C002410_es_005	diseñadora de IU
C002410_es_006	diseñadora de accesibilidad
C002410_es_007	diseñadora de interfaces
C002410_es_008	diseñadora de interfaces de usuario
C002410_es_009	ingeniera de usabilidad
C002410_es_010	ingeniero de usabilidad
C002410_es_011	responsable del diseño de interfaces de usuario
C002411_es_000	gerente de tienda de artículos deportivos y para actividades al aire libre
C002411_es_001	gerente de tienda de artículos deportivos y de aire libre
C002411_es_002	responsable de tienda de artículos deportivos y para actividades al aire libre
C002412_es_000	profesor de escuela de idiomas/profesora de escuela de idiomas
C002412_es_001	profesor de escuela de idiomas
C002412_es_002	profesora de escuela de idiomas
C002413_es_000	operador de centro de datos/operadora de centro de datos
C002413_es_001	director de centro de datos
C002413_es_002	directora de centro de datos
C002413_es_003	empleada de centro de datos
C002413_es_004	empleado de centro de datos
C002413_es_005	gestor de centro de datos
C002413_es_006	gestora de centro de datos
C002413_es_007	grabador de datos
C002413_es_008	grabadora de datos
C002413_es_009	introductor de datos
C002413_es_010	introductora de datos
C002413_es_011	operador de centro de datos
C002413_es_012	operadora de centro de datos
C002414_es_000	director de importación y exportación de maquinaria para la industria textil/directora de importación y exportación de maquinaria para la industria textil
C002414_es_001	director de importación y exportación de maquinaria para la industria textil
C002414_es_002	directora de importación y exportación de maquinaria para la industria textil
C002414_es_003	responsable de importación y exportación de maquinaria textil
C002415_es_000	ingeniero de aguas residuales y saneamiento/ingeniera de aguas residuales y saneamiento
C002415_es_001	ingeniera civil especialista en redes de alcantarillado
C002415_es_002	ingeniera en aguas residuales y saneamiento
C002415_es_003	ingeniero civil especialista en redes de alcantarillado
C002415_es_004	ingeniero en aguas residuales y saneamiento
C002416_es_000	vendedor especializado en carnicería y productos cárnicos/vendedora especializada en carnicería y productos cárnicos
C002416_es_001	vendedor especializado en carnicería y charcutería
C002416_es_002	vendedor especializado en carnicería y productos cárnicos
C002416_es_003	vendedora especializada en carnicería y charcutería
C002416_es_004	vendedora especializada en carnicería y productos cárnicos
C002417_es_000	gerente de librería
C002417_es_001	librera
C002417_es_002	librero
C002417_es_003	responsable de librería
C002418_es_000	abogado/abogada
C002418_es_001	abogada
C002418_es_002	abogado
C002419_es_000	operario de destilería/operaria de destilería
C002419_es_001	encargada de destilería
C002419_es_002	encargada de la destilería
C002419_es_003	encargado de destilería
C002419_es_004	encargado de la destilería
C002419_es_005	operador de destilería
C002419_es_006	operadora de destilería
C002419_es_007	responsable de la destilería
C002420_es_000	profesor universitario de antropología/profesora universitaria de antropología
C002420_es_001	profesor universitario de antropología
C002420_es_002	profesora universitaria de antropología
C002421_es_000	operador de máquina astilladora/operadora de máquina astilladora
C002421_es_001	operador de máquina astilladora
C002421_es_002	operador de máquina picadora de madera
C002421_es_003	operadora de máquina astilladora
C002421_es_004	operadora de máquina picadora de madera
C002421_es_005	técnica de máquina astilladora
C002421_es_006	técnica de máquina picadora de madera
C002421_es_007	técnico de máquina astilladora
C002421_es_008	técnico de máquina picadora de madera
C002422_es_000	psicólogo de la salud/psicóloga de la salud
C002422_es_001	especialista en psicología de la salud
C002422_es_002	psicóloga de la salud
C002422_es_003	psicólogo de la salud
C002423_es_000	profesor para alumnado con necesidades educativas especiales/profesora para alumnado con necesidades educativas especiales
C002423_es_001	profesor para alumnado con necesidades educativas especiales
C002423_es_002	profesora para alumnado con necesidades educativas especiales
C002424_es_000	conductor de servicios de transporte de enfermos/conductora de servicios de transporte de enfermos
C002424_es_001	conductor de ambulancia
C002424_es_002	conductor de servicios de transporte de enfermos
C002424_es_003	conductor de transporte medicalizado de enfermos
C002424_es_004	conductora de ambulancia
C002424_es_005	conductora de servicios de transporte de enfermos
C002424_es_006	conductora de transporte medicalizado de enfermos
C002425_es_000	alfarero/alfarera
C002425_es_001	alfarera
C002425_es_002	alfarero
C002425_es_003	ceramista
C002426_es_000	sastre/sastra
C002426_es_001	sastra
C002426_es_002	sastre
C002427_es_000	instalador de gas/instaladora de gas
C002427_es_001	instalador de gas
C002427_es_002	instaladora de gas
C002427_es_003	montador-instalador de gas en edificios
C002427_es_004	montadora-instaladora de gas en edificios
C002427_es_005	técnica de gas
C002427_es_006	técnica de suministro de gas
C002427_es_007	técnico de gas
C002427_es_008	técnico de suministro de gas
C002428_es_000	planificador de producción de artículos de piel y cuero/planificadora de producción de artículos de piel y cuero
C002428_es_001	planificador de producción de artículos de piel y cuero
C002428_es_002	planificadora de producción de artículos de piel y cuero
C002429_es_000	operador de soldadura por puntos/operadora de soldadura por puntos
C002429_es_001	operador de máquina de soldar por puntos
C002429_es_002	operador de soldadura por puntos
C002429_es_003	operadora de máquina de soldar por puntos
C002429_es_004	operadora de soldadura por puntos
C002430_es_000	fabricante de pianos
C002431_es_000	gerente de tienda de ropa
C002431_es_001	reponsable de tienda de ropa
C002432_es_000	operador de máquina cortadora/operadora de máquina cortadora
C002432_es_001	operador de máquina cortadora
C002432_es_002	operador de máquina recortadora
C002432_es_003	operadora de máquina cortadora
C002432_es_004	operadora de máquina recortadora
C002433_es_000	activista
C002434_es_000	responsable en documentación y administración sanitaria
C002434_es_001	responsable de documentación sanitaria
C002434_es_002	responsable de historiales clínicos
C002434_es_003	responsable técnico de gestión de procesos administrativo-clínicos
C002434_es_004	supervisor de documentación sanitaria
C002434_es_005	supervisor de gestión de expedientes sanitarios
C002434_es_006	supervisor de gestión de historiales médicos
C002434_es_007	supervisora de documentación sanitaria
C002434_es_008	supervisora de gestión de expedientes sanitarios
C002434_es_009	supervisora de gestión de historiales médicos
C002435_es_000	investigador de tanatología/investigadora de tanatología
C002435_es_001	investigador de tanatología
C002435_es_002	investigadora de tanatología
C002436_es_000	sumiller de cerveza
C002436_es_001	camarera especializada en cervezas
C002436_es_002	camarero especializado en cervezas
C002436_es_003	encargada del servicio de cerveza
C002436_es_004	encargado del servicio de cerveza
C002436_es_005	especialista en el servicio de cerveza
C002436_es_006	jefa del servicio de cerveza
C002436_es_007	jefe del servicio de cerveza
C002436_es_008	responsable del servicio de cerveza
C002437_es_000	técnico de turbinas eólicas/técnica de turbinas eólicas
C002437_es_001	instalador de turbinas eólicas
C002437_es_002	instaladora de turbinas eólicas
C002437_es_003	técnica de mantenimiento de turbinas eólicas
C002437_es_004	técnica de turbinas eólicas
C002437_es_005	técnico de mantenimiento de turbinas eólicas
C002437_es_006	técnico de turbinas eólicas
C002438_es_000	experto en importación y exportación de productos farmacéuticos/experta en importación y exportación de productos farmacéuticos
C002438_es_001	administrador de importación y exportación
C002438_es_002	administradora de importación y exportación
C002438_es_003	especialista en logística de productos farmacéuticos
C002438_es_004	experta en importación y exportación de productos farmacéuticos
C002438_es_005	experto en importación y exportación de productos farmacéuticos
C002438_es_006	técnica en comercio exterior
C002438_es_007	técnica superior en comercio internacional
C002438_es_008	técnico en comercio exterior
C002438_es_009	técnico superior en comercio internacional
C002439_es_000	director de operaciones ferroviarias/directora de operaciones ferroviarias
C002439_es_001	director de operaciones ferroviarias
C002439_es_002	directora de operaciones ferroviarias
C002440_es_000	diseñador de espacios verdes interiores/diseñadora de espacios verdes interiores
C002440_es_001	diseñador de espacios verdes en interiores
C002440_es_002	diseñador de espacios verdes interiores
C002440_es_003	diseñador de espacios verdes y de interiores
C002440_es_004	diseñadora de espacios verdes en interiores
C002440_es_005	diseñadora de espacios verdes interiores
C002440_es_006	diseñadora de espacios verdes y de interiores
C002441_es_000	trabajador social de apoyo al personal de las fuerzas armadas y sus familias/trabajadora social de apoyo al personal de las fuerzas armadas y sus familias
C002441_es_001	trabajador social de apoyo al personal de las fuerzas armadas y sus familias
C002441_es_002	trabajadora social de apoyo al personal de las fuerzas armadas y sus familias
C002442_es_000	configurador de sistemas/configuradora de sistemas
C002442_es_001	configurador de sistemas
C002442_es_002	configuradora de sistemas
C002442_es_003	configuradores de sistemas
C002442_es_004	configurante de sistemas
C002442_es_005	especialista en configuración de sistemas
C002443_es_000	encargado de la puesta a punto de los neumáticos/encargada de la puesta a punto de los neumáticos
C002443_es_001	encargada de la puesta a punto de los neumáticos
C002443_es_002	encargado de la puesta a punto de los neumáticos
C002443_es_003	montador de neumáticos
C002443_es_004	montadora de neumáticos
C002444_es_000	técnico de servicio posventa/técnica de servicio posventa
C002444_es_001	técnica de servicio posventa
C002444_es_002	técnico de servicio posventa
C002445_es_000	responsable de políticas agrarias
C002445_es_001	asesor de política agraria
C002445_es_002	asesora de política agraria
C002446_es_000	gerente de tienda de prensa y papelería
C002446_es_001	responsable de tienda de prensa y papelería
C002447_es_000	mayorista de máquinas herramienta
C002447_es_001	comerciante al por mayor de máquinas herramienta
C002447_es_002	consultor de comercio al por mayor de máquinas herramienta
C002447_es_003	consultora de comercio al por mayor de máquinas herramienta
C002448_es_000	profesor universitario de ciencias de la alimentación/profesora universitaria de ciencias de la alimentación
C002448_es_001	profesor universitario de bromatología
C002448_es_002	profesor universitario de ciencias de la alimentación
C002448_es_003	profesora universitaria de bromatología
C002448_es_004	profesora universitaria de ciencias de la alimentación
C002449_es_000	operador de máquina para elaborar prefabricados de hormigón/operadora de máquina para elaborar prefabricados de hormigón
C002449_es_001	operador de máquina para elaborar bloques de hormigón
C002449_es_002	operador de máquina para elaborar prefabricados de hormigón
C002449_es_003	operadora de máquina para elaborar bloques de hormigón
C002449_es_004	operadora de máquina para elaborar prefabricados de hormigón
C002450_es_000	operario de eliminación de amianto/operaria de eliminación de amianto
C002450_es_001	operaria de eliminación de amianto
C002450_es_002	operaria de eliminación de materiales peligrosos
C002450_es_003	operario de eliminación de amianto
C002450_es_004	operario de eliminación de materiales peligrosos
C002451_es_000	economista
C002452_es_000	ingeniero de precisión/ingeniera de precisión
C002452_es_001	ingeniera de precisión
C002452_es_002	ingeniero de precisión
C002452_es_003	mecánica de precisión
C002452_es_004	mecánico de precisión
C002453_es_000	director de operaciones aeroportuarias/directora de operaciones aeroportuarias
C002453_es_001	director de aeropuerto
C002453_es_002	director de operaciones aeroportuarias
C002453_es_003	directora de aeropuerto
C002453_es_004	directora de operaciones aeroportuarias
C002453_es_005	jefa de operaciones
C002453_es_006	jefe de operaciones
C002453_es_007	supervisor de operaciones aeroportuarias
C002453_es_008	supervisora de operaciones aeroportuarias
C002454_es_000	operador de horno de templado y recocción/operadora de horno de templado y recocción
C002454_es_001	operador de horno de templado y recocción
C002454_es_002	operadora de horno de templado y recocción
C002454_es_003	recocedor de vidrio
C002454_es_004	recocedora de vidrio
C002454_es_005	templador
C002454_es_006	templadora
C002455_es_000	ingeniero técnico de control de calidad/ingeniera técnica de control de calidad
C002455_es_001	especialista en control de calidad
C002455_es_002	ingeniera de control de calidad
C002455_es_003	ingeniera técnica de control de calidad
C002455_es_004	ingeniero de control de calidad
C002455_es_005	ingeniero técnico de control de calidad
C002455_es_006	inspector de control de calidad
C002455_es_007	inspectora de control de calidad
C002456_es_000	supervisor de guiones/supervisora de guiones
C002456_es_001	supervisor de guiones
C002456_es_002	supervisora de guiones
C002457_es_000	especialista en importación y exportación de muebles, alfombras y aparatos de iluminación
C002457_es_001	administrador de importación y exportación
C002457_es_002	administradora de importación y exportación
C002457_es_003	especialista en logística de muebles, alfombras y aparatos de iluminación
C002457_es_004	técnica superior en comercio internacional
C002457_es_005	técnico superior en comercio internacional
C002458_es_000	técnico veterinario/técnica veterinaria
C002458_es_001	asistenta veterinaria
C002458_es_002	asistente veterinario
C002458_es_003	auxiliar veterinario
C002458_es_004	técnica veterinaria
C002458_es_005	técnico veterinario
C002458_es_006	veterinaria técnica
C002458_es_007	veterinario técnico
C002459_es_000	responsable de servicio de gestión de residuos
C002460_es_000	intérprete de lengua de signos
C002461_es_000	coordinador de necesidades educativas especiales/coordinadora de necesidades educativas especiales
C002461_es_001	coordinador de necesidades educativas especiales
C002461_es_002	coordinadora de necesidades educativas especiales
C002462_es_000	empleado administrativo de compañía de seguros/empleada administrativa de compañía de seguros
C002462_es_001	empleada administrativa de compañía de seguros
C002462_es_002	empleado administrativo de compañía de seguros
C002463_es_000	piloto de aviación
C002464_es_000	profesor de formación profesional en gestión comercial y marketing/profesora de formación profesional en gestión comercial y marketing
C002464_es_001	profesor de formación profesional en gestión comercial y marketing
C002464_es_002	profesora de formación profesional en actividades comerciales y marketing
C002465_es_000	profesor universitario de literatura/profesora universitaria de literatura
C002465_es_001	profesor universitario de literatura
C002465_es_002	profesora universitaria de literatura
C002466_es_000	inspector de montaje de vehículos de motor/inspectora de montaje de vehículos de motor
C002466_es_001	inspector de control de calidad de vehículos de motor
C002466_es_002	inspector de montaje de vehículos de motor
C002466_es_003	inspectora de control de calidad de vehículos de motor
C002466_es_004	inspectora de montaje de vehículos de motor
C002467_es_000	vendedor de billetes de tren en ventanilla/vendedora de billetes de tren en ventanilla
C002467_es_001	vendedor de billetes de tren en ventanilla
C002467_es_002	vendedora de billetes de tren en ventanilla
C002468_es_000	trabajador social en el ámbito de la justicia penal/trabajadora social en el ámbito de la justicia penal
C002468_es_001	trabajador social en el ámbito de la justicia penal
C002468_es_002	trabajador social penitenciario
C002468_es_003	trabajadora social en el ámbito de la justicia penal
C002468_es_004	trabajadora social penitenciaria
C002469_es_000	ingeniero técnico en electricidad/ingeniera técnica en electricidad
C002469_es_001	ingeniera técnica en electricidad
C002469_es_002	ingeniera técnica en electricidad industrial
C002469_es_003	ingeniero técnico en electricidad
C002469_es_004	ingeniero técnico en electricidad industrial
