Q000001	Offizier im militärfachlichen Dienst
Q000812	IT-Berater/IT-Beraterin
Q000813	CRM-Consultant
Q000814	Kaufmann/Kauffrau für IT-System-Management
Q000815	Geprüfter Wirtschaftsinformatiker/Geprüfte Wirtschaftsinformatikerin - IT-Systeme
Q000816	IT-Vertriebsbeauftragter/IT-Vertriebsbeauftragte
Q000817	Geprüfter IT-Ökonom/Geprüfte IT-Ökonomin
Q000818	Netzwerk-Servicetechniker/Netzwerk-Servicetechnikerin
Q000819	Netzplaner/Netzplanerin
Q000820	IT-Konfigurationskoordinator/IT-Konfigurationskoordinatorin
Q000821	IT-Qualitätssicherungskoordinator/IT-Qualitätssicherungskoordinatorin
Q000822	Operator/Operatorin (EDV)
Q000823	IT-Systemadministrator/IT-Systemadministratorin
Q000824	IT-Administrator/IT-Administratorin
Q000825	Datenbankadministrator/Datenbankadministratorin
Q000826	Datenbankentwickler/Datenbankentwicklerin
Q000827	Webadministrator/Webadministratorin
Q000828	Sicherheitstechniker/Sicherheitstechnikerin (IT)
Q000829	IT-Sicherheitskoordinator/IT-Sicherheitskoordinatorin
Q000830	Ethical Hacker
Q000831	Business-Continuity-Manager/Business-Continuity-Managerin
Q000832	IT-Forensiker/IT-Forensikerin
Q000833	Cyber-Security-Consultant
Q000834	Geprüfter IT-Projektleiter/Geprüfte IT-Projektleiterin (Weiterbildung/Ausbildung)
Q000835	Leiter/Leiterin der IT
Q000836	IT-Manager/IT-Managerin
Q000837	Leiter/Leiterin - Informations-/Cybersicherheit
Q000838	Chief-Information-Security-Officer
Q000839	Nutzerschnittstellenentwickler/Nutzerschnittstellenentwicklerin
Q000840	Softwareentwickler/Softwareentwicklerin
Q000841	Software-Architect
Q000842	Anwendungsprogrammierer/Anwendungsprogrammiererin
Q000843	Game Programmer
Q000844	Wagenmeister/Wagenmeisterin (Schienenverkehr)
Q000845	Geprüfter Flugzeugabfertiger/Geprüfte Flugzeugabfertigerin
Q000846	Fachkraft Bodenverkehrsdienst im Luftverkehr
Q000847	Prüfer/Prüferin von Luftfahrtgerät / Certifying Staff
Q000848	Bootsmann/Bootsfrau/Pumpenmann/Pumpenfrau
Q000849	Zweiter Technischer Schiffsoffizier/Zweite Technische Schiffsoffizierin (Fachschule)
Q000850	Schiffselektrotechniker/Schiffselektrotechnikerin
Q000851	Schiffsmaschinist/Schiffsmaschinistin
Q000852	Technischer Wachoffizier/Technische Wachoffizierin
Q000853	Leiter/Leiterin der Maschinenanlagen auf Schiffen (FS)
Q000854	Leiter/Leiterin - Maschinenanlagen
Q000855	Zweiter Technischer Schiffsoffizier/Zweite Technische Schiffsoffizierin
Q000856	Technischer Wachoffizier/Technische Wachoffizierin (Fachschule)
Q000857	Zweite/r Technische/r Offizier/in (mit Einschr.)
Q000858	Zweiter Technischer Schiffsoffizier/Zweite Technische Schiffsoffizierin (FH)
Q000859	Schiffsinspektor/Schiffsinspektorin (Nautik/Technik)
Q000860	Leiter/Leiterin der Maschinenanlagen auf Schiffen (FH) (Schiff - jede Antriebsleistung)
Q000861	Technischer Wachoffizier/Technische Wachoffizierin (FH)
Q000862	Funker/Funkerin
Q000863	Fahrbahnmarkierer/Fahrbahnmarkiererin
Q000864	Flugsicherungstechniker/Flugsicherungstechnikerin
Q000865	Brückenwärter/Brückenwärterin
Q000866	Straßenwärtermeister/Straßenwärtermeisterin
Q000867	Hafenarbeiter/Hafenarbeiterin
Q000868	Kommissionierer/Kommissioniererin
Q000869	Warenannehmer/Warenannehmerin
Q000870	Plakatierer/Plakatiererin
Q000871	Postabfertiger/Postabfertigerin
Q000872	Fachkraft für Brief- und Frachtverkehr
Q000873	Fachkraft für Kurier-, Express- und Postdienstleistungen
Q000874	Postjungbote/Postjungbotin
Q000875	Seegüterkontrolleur/Seegüterkontrolleurin
Q000876	Hafenfacharbeiter/Hafenfacharbeiterin
Q000877	Fachkraft für Hafenlogistik
Q000878	Küper/Küperin
Q000879	Meister/Meisterin Fachrichtung Lagerwirtschaft
Q000880	Leiter/Leiterin - Lagerwirtschaft
Q000881	Flugbegleiter/Flugbegleiterin
Q000882	Zugbegleiter/Zugbegleiterin
Q000883	Servicekaufmann/Servicekauffrau im Luftverkehr
Q000884	Bodensteward/Bodenstewardess
Q000885	Purser/Purserette (Luftfahrt)
Q000886	Schiffssteward/Schiffsstewardess
Q000887	Zugführer/Zugführerin
Q000888	Zugchef/Zugchefin
Q000889	Verkehrsplaner/Verkehrsplanerin
Q000890	Ingenieur/Ingenieurin für Verkehrswesen
Q000891	Funkbediener/Funkbedienerin (Taxibetrieb)
Q000892	Rangierbegleiter/Rangierbegleiterin
Q000893	Flugdienstberater/Flugdienstberaterin
Q000894	Fluglotse/Fluglotsin
Q000895	Sachbearbeiter/Sachbearbeiterin für Luftaufsicht
Q000896	Flugunfalluntersucher/Flugunfalluntersucherin
Q000897	Lotse/Lotsin
Q000898	Hafenmeister/Hafenmeisterin
Q000899	Gefahrgutbeauftragter/Gefahrgutbeauftragte
Q000900	Industriemeister/Industriemeisterin Fachrichtung Werksbahnbetrieb
Q000901	Fuhrparkleiter/Fuhrparkleiterin
Q000902	Geprüfter Meister/Geprüfte Meisterin Leit- und Sicherungstechnik - Eisenbahn
Q000903	Meister/Meisterin für Bahnverkehr
Q000904	Betriebsleiter/Betriebsleiterin für Eisenbahnen
Q000905	Luftverkehrsmanager/Luftverkehrsmanagerin
Q000906	Expedient/Expedientin
Q000907	Speditionskaufmann/Speditionskauffrau
Q000908	Supply-Chain-Manager/Supply-Chain-Managerin
Q000909	Disponent/Disponentin - Güterverkehr
Q000910	Fachwirt/Fachwirtin für den Bahnbetrieb
Q000911	Luftverkehrskaufmann/Luftverkehrskauffrau
Q000912	Duty-Officer
Q000913	Luftfrachtagent/Luftfrachtagentin
Q000914	Fachwirt/Fachwirtin für Luftverkehr
Q000915	Schiffsmakler/Schiffsmaklerin
Q000916	Postverkehrskaufmann/Postverkehrskauffrau
Q000917	Kaufmann für Kurier-, Express- und Postdienstleistungen/Kauffrau für Kurier-, Express- und Postdienstleistungen
Q000918	Dienstleistungsfachkraft im Postbetrieb
Q000919	Leiter/Leiterin - Materialwirtschaft
Q000920	Dienstwagenfahrer/Dienstwagenfahrerin
Q000921	Taxifahrer/Taxifahrerin
Q000922	Zugmaschinen-, Sonderfahrzeugführer/Zugmaschinen-, Sonderfahrzeugführerin
Q000923	Kraftfahrzeugführer/Kraftfahrzeugführerin in der Ver- und Entsorgung
Q000924	Betonmischerfahrer/Betonmischerfahrerin
Q000925	Tankwagenfahrer/Tankwagenfahrerin
Q000926	Schienenfahrzeugführer/Schienenfahrzeugführerin
Q000927	Busfahrer/Busfahrerin
Q000928	Auslieferungsfahrer/Auslieferungsfahrerin (nicht Verkaufsfahrer/Verkaufsfahrerin)
Q000929	Botenfahrer/Botenfahrerin
Q000930	Servicefahrer/Servicefahrerin
Q000931	Fahrradkurier/Fahrradkurierin
Q000932	Eisenbahner/Eisenbahnerin im Betriebsdienst Fachrichtung Lokführer und Transport (Ausbildung bis 2022)
Q000933	Eisenbahner im Betriebsdienst Lokführer und Transport/Eisenbahnerin im Betriebsdienst Lokführerin und Transport
Q000934	Co-Pilot/Co-Pilotin
Q000935	Berufsflugzeugführer/Berufsflugzeugführerin (CPL (A))
Q000936	Verkehrsflugzeugführer/Verkehrsflugzeugführerin (ATPL (A))
Q000937	Berufshubschrauberführer/Berufshubschrauberführerin (CPL (H))
Q000938	Freiballonführer/Freiballonführerin
Q000939	Luftschiffführer/Luftschiffführerin
Q000940	Checkkapitän/Checkkapitänin
Q000941	Skipper/Skipperin
Q000942	Erster Nautischer Offizier/Erste Nautische Offizierin
Q000943	Nautischer Wachoffizier/Nautische Wachoffizierin
Q000944	Erster Nautischer Schiffsoffizier/Erste Nautische Schiffsoffizierin (FH)
Q000945	Erster Nautischer Schiffsoffizier/Erste Nautische Schiffsoffizierin (Fachschule)
Q000946	Nautischer Wachoffizier/Nautische Wachoffizierin (Fachschule)
Q000947	Nautischer Wachoffizier/Nautische Wachoffizierin (FH)
Q000948	Kapitän/Kapitänin - Küstenfischerei
Q000949	Kapitän/Kapitänin
Q000950	Binnenschiffer/Binnenschifferin
Q000951	Binnenschifffahrtskapitän/Binnenschifffahrtskapitänin
Q000952	Steuermann/Steuerfrau (Binnenschifffahrt)
Q000953	Schiffsführer/Schiffsführerin (Binnenschifffahrt)
Q000954	Binnenschiffermeister/Binnenschiffermeisterin
Q000955	Landmaschinenführer/Landmaschinenführerin
Q000956	Forstmaschinenführer/Forstmaschinenführerin
Q000957	Planierraupenführer/Planierraupenführerin
Q000958	Baggerführer/Baggerführerin
Q000959	Transportgeräteführer/Transportgeräteführerin
Q000960	Gabelstaplerfahrer/Gabelstaplerfahrerin
Q000961	Brückenkranführer/Brückenkranführerin
Q000962	Drehkranführer/Drehkranführerin
Q000963	Mobil- und Autokranführer/Mobil- und Autokranführerin
Q000964	Hafenkranführer/Hafenkranführerin
Q000965	Seilbahnbetriebsregler/Seilbahnbetriebsreglerin
Q000966	Anschläger/Anschlägerin
Q000967	Spielhallenaufsicht
Q000968	Ordner/Ordnerin bei Veranstaltungen
Q000969	Pförtner/Pförtnerin
Q000970	Luftsicherheitsassistent/Luftsicherheitsassistentin gemäß § 5 LuftSiG
Q000971	Fachkraft für Schutz und Sicherheit
Q000972	Servicekraft - Schutz und Sicherheit
Q000973	Geprüfte Schutz- und Sicherheitskraft (IHK)
Q000974	Fachkraft für Arbeitssicherheit
Q000975	Ingenieur/Ingenieurin für Sicherheitstechnik
Q000976	CE-Beauftragter/CE-Beauftragte
Q000977	Feuerwehrgerätewart/Feuerwehrgerätewartin
Q000978	Beamter/Beamtin im feuerwehrtechnischen Dienst (mittlerer technischer Dienst)
Q000979	Berufsfeuerwehrmann/Berufsfeuerwehrfrau
Q000980	Werkfeuerwehrmann/Werkfeuerwehrfrau
Q000981	Geprüfter Werkfeuerwehrtechniker/Geprüfte Werkfeuerwehrtechnikerin
Q000982	Brandschutzsachverständiger/Brandschutzsachverständige
Q000983	Badewärter/Badewärterin (Schwimmbad)
Q000984	Fachangestellter/Fachangestellte für Bäderbetriebe
Q000985	Rettungsschwimmer/Rettungsschwimmerin
Q000986	Wirtschafts-Detektiv/Wirtschafts-Detektivin
Q000987	Detektiv/Detektivin
Q000988	Versicherungsdetektiv/Versicherungsdetektivin
Q000989	Inkassobeauftragter/Inkassobeauftragte im Außendienst
Q000990	Servicetechniker/Servicetechnikerin für Sicherheits- und Alarmanlagen
Q000991	Geprüfter Schließ- und Sicherungstechniker/Geprüfte Schließ- und Sicherungstechnikerin
Q000992	Sicherheitsmanager/Sicherheitsmanagerin
Q000993	Ingenieur/Ingenieurin für Rettungswesen
Q000994	Werkschutzleiter/Werkschutzleiterin
Q000995	Meister/Meisterin für Schutz und Sicherheit
Q000996	Einsatzleiter/Einsatzleiterin (Sicherheitsgewerbe)
Q000997	Einsatzleiter/Einsatzleiterin (Feuerwehr)
Q000998	Leiter im Rettungsdienst/Leiterin im Rettungsdienst
Q000999	Polizeivollzugsbeamter/Polizeivollzugsbeamtin in der Bundespolizei (mittlerer  nichttechnischer Dienst)
Q001000	Wachpolizist/Wachpolizistin
Q001001	Beamter/Beamtin im Kriminaldienst (mittlerer Dienst)
Q001002	Beamter/Beamtin im Kriminaldienst (höherer Dienst)
Q001003	Vollziehungsbeamter/Vollziehungsbeamtin
Q001004	Gerichtsvollzieher/Gerichtsvollzieherin
Q001005	Justizwachtmeister/Justizwachtmeisterin
Q001006	Beamter/Beamtin im Justizvollzugsdienst (mittlerer nichttechnischer Dienst)
Q001007	Beamter/Beamtin im Justizvollzugsdienst (gehobener nichttechnischer Dienst)
Q001008	Betriebsleiter/Betriebsleiterin - Justiz-, Strafvollzugsdienst
Q001009	Gefängnisdirektor/Gefängnisdirektorin
Q001010	Beamter/Beamtin in der Gewerbeaufsichtsverwaltung (mittlerer technischer Dienst)
Q001011	Beamter/Beamtin im Eichwesen (mittlerer technischer Dienst)
Q001012	Beamter/Beamtin in der Gewerbeaufsichtsverwaltung (gehobener technischer Dienst)
Q001013	Beamter/Beamtin im Eichwesen (gehobener technischer Dienst)
Q001014	Beamter/Beamtin in der Gewerbeaufsichtsverwaltung (höherer technischer Dienst)
Q001015	Beamter/Beamterin im Gesundheitsdienst (mittlerer Dienst)
Q001016	Fachkraft für Hygieneüberwachung
Q001017	Lebensmittelkontrolleur/Lebensmittelkontrolleurin
Q001018	Schädlingsbekämpfer/Schädlingsbekämpferin
Q001019	Gebäudereiniger/Gebäudereinigerin
Q001020	Fassadenreiniger/Fassadenreinigerin (Gebäudereinigung)
Q001021	Glasreiniger/Glasreinigerin
Q001022	Bügler/Büglerin
Q001023	Textilreiniger/Textilreinigerin
Q001024	Maschinen-, Anlagen- und Behälterreiniger/Maschinen-, Anlagen- und Behälterreinigerin
Q001025	Schankanlagenreiniger/Schankanlagenreinigerin
Q001026	Fahrzeugpfleger/Fahrzeugpflegerin
Q001027	Schienenfahrzeugreiniger/Schienenfahrzeugreinigerin
Q001028	Flugzeugreiniger/Flugzeugreinigerin
Q001029	Einkäufer/Einkäuferin
Q001030	Global-Sourcing-Manager/Global-Sourcing-Managerin
Q001031	IT-Einkäufer/IT-Einkäuferin
Q001032	Vertriebsassistent/Vertriebsassistentin
Q001033	Verkaufssachbearbeiter/Verkaufssachbearbeiterin
Q001034	Vertriebstechniker/Vertriebstechnikerin
Q001035	Handelsvertreter/Handelsvertreterin
Q001036	Fachberater/Fachberaterin für Vertrieb
Q001037	Application-Engineer/-Manager/in
Q001038	Sales-Manager/Sales-Managerin
Q001039	Digital-Sales-Manager/Digital-Sales-Managerin
Q001040	Auktionator, Versteigerer/Auktionatorin, Versteigerin
Q001041	Automatenaufsteller (Verleiher)/Automatenaufstellerin (Verleiherin)
Q001042	Automatenbefüller/Automatenbefüllerin
Q001043	Automatenfachmann/Automatenfachfrau (ohne Fachrichtungen)
Q001044	Fachkraft für Automatenservice
Q001045	Automatenfachmann/Automatenfachfrau Fachrichtung Automatendienstleistung
Q001046	Pfandleiher/Pfandleiherin
Q001047	Leiter/Leiterin - Vertrieb
Q001048	Leiter/Leiterin des Einkaufs
Q001049	Bezirksleiter/Bezirksleiterin
Q001050	Vertriebs-Geschäftsführer/Vertriebs-Geschäftsführerin
Q001051	Kaufmann/Kauffrau im Groß- und Außenhandel Fachrichtung Außenhandel
Q001052	Kaufmann/Kauffrau im Groß- und Außenhandel Fachrichtung Großhandel
Q001053	Außenhandelsassistent/Außenhandelsassistentin
Q001054	Kaufmann/Kauffrau für Groß- und Außenhandelsmanagement Fachrichtung Außenhandel
Q001055	Kaufmann/Kauffrau für Groß- und Außenhandelsmanagement Fachrichtung Großhandel
Q001056	Gebrauchtwarenhändler/Gebrauchtwarenhändlerin
Q001057	Betriebswirt/Betriebswirtin (Fachschule) für Möbelhandel
Q001058	Betriebswirt/Betriebswirtin (Fachschule) für Kraftfahrzeuge
Q001059	Immobilienassistent/Immobilienassistentin
Q001060	Kaufmann/Kauffrau in der Grundstücks- und Wohnungswirtschaft
Q001061	Immobilienkaufmann/Immobilienkauffrau
Q001062	Geprüfter Fachkaufmann/Geprüfte Fachkauffrau für die Verwaltung von Wohnungseigentum
Q001063	Objektverwalter/Objektverwalterin (Immobilien)
Q001064	Immobilienmakler/Immobilienmaklerin
Q001065	Fachmann für Gebäudebewirtschaftung/Fachfrau für Gebäudebewirtschaftung
Q001066	Facility-Manager/Facility-Managerin
Q001067	Fachwirt/Fachwirtin für Facility-Management
Q001068	Helfer/Helferin im Verkauf
Q001069	Kaufmann/Kauffrau im Einzelhandel
Q001070	Verkäufer/Verkäuferin
Q001071	Verkaufsberater/Verkaufsberaterin
Q001072	Einzelhandelskaufmann/Einzelhandelskauffrau
Q001073	Warengruppenleiter/Warengruppenleiterin
Q001074	Substitut/Substitutin (Warenhandel)
Q001075	Wett- und Lotterieannehmer/Wett- und Lotterieannehmerin
Q001076	Kassierer/Kassiererin (Eintrittsgelder, Beiträge, Fahrkarten)
Q001077	Kassierer/Kassiererin (Handel)
Q001078	Promoter/Promoterin
Q001079	Kundendienstberater/Kundendienstberaterin
Q001080	Kassenaufsicht (Handel)
Q001081	Filialleiter, Verkaufsstellenleiter/Filialleiterin, Verkaufsstellenleiterin
Q001082	Kaufmann/Kauffrau im Einzelhandel Fachbereich Sportartikel
Q001083	Fachverkäufer/Fachverkäuferin für Sportartikel
Q001084	Kaufmann/Kauffrau im Einzelhandel Fachbereich Uhren, Schmuck, Juwelen, Gold- und Silberwaren
Q001085	Fachverkäufer/Fachverkäuferin für Schmuck/Uhren/Gold-/Silberwaren
Q001086	Kaufmann/Kauffrau im Einzelhandel Fachbereich Spielwaren
Q001087	Fachverkäufer/Fachverkäuferin für Spielwaren
Q001088	Kaufmann/Kauffrau im Einzelhandel Fachbereich Elektrogeräte
Q001089	Fachverkäufer/Fachverkäuferin für Haushaltswaren
Q001090	Kaufmann/Kauffrau im Einzelhandel Fachbereich Wohnbedarf, Hausrat, Glas, Porzellan
Q001091	Staatlich geprüfter Einrichtungsfachberater/Staatlich geprüfte Einrichtungsfachberaterin
Q001092	Kaufmann/Kauffrau im Einzelhandel Fachbereich Küchenhandel
Q001093	Verkaufsgärtner/Verkaufsgärtnerin
Q001094	Geprüfter Kundenberater/Geprüfte Kundenberaterin im Gartenbau
Q001095	Fachverkäufer/Fachverkäuferin für Pflanzen und Saatgut
Q001096	Fachverkäufer/Fachverkäuferin für Zoobedarf und Heimtierverkauf
Q001097	Fachverkäufer/Fachberater / Fachverkäuferin/Fachberaterin - Bau-/Heimwerkerbedarf
Q001098	Fachverkäufer/Fachverkäuferin für Kfz-Zubehör, Reifen
Q001099	Fachverkäufer/Fachverkäuferin für Kraftfahrzeuge
Q001100	Kaufmann/Kauffrau im Einzelhandel Fachbereich Tankstelle
Q001101	Tankwart/Tankwartin
Q001102	Fachverkäufer/Fachverkäuferin im Nahrungsmittelhandwerk Schwerpunkt Bäckerei/Konditorei
Q001103	Fachverkäufer/Fachverkäuferin im Nahrungsmittelhandwerk Schwerpunkt Fleischerei
Q001104	Gewerbegehilfe/Gewerbegehilfin im Fleischerhandwerk
Q001105	Fachverkäufer/Fachverkäuferin im Lebensmittelhandwerk Schwerpunkt Fleischerei
Q001106	Kaufmann/Kauffrau im Einzelhandel Fachbereich Kosmetik, Körperpflege
Q001107	Fachverkäufer/Fachverkäuferin für Kosmetik und Körperpflege
Q001108	Fachverkäufer/Fachverkäuferin für Drogeriewaren
Q001109	Drogist/Drogistin
Q001110	Pharmazeutisch-kaufmännischer Angestellter/Pharmazeutisch-kaufmännische Angestellte
Q001111	Kaufmann/Kauffrau im Einzelhandel Fachbereich Medizintechnischer und Sanitätsfachhandel
Q001112	Fachverkäufer/Fachverkäuferin im Sanitätsfachhandel
Q001113	Fachmann/Fachfrau für Rehatechnik und Sanitätshauswaren
Q001114	Buchhändler/Buchhändlerin
Q001115	Fachverkäufer/Fachverkäuferin im Kunst-/Antiquitätenhandel
Q001116	Musikalienhändler/Musikalienhändlerin
Q001117	Musikfachhändler/Musikfachhändlerin
Q001118	Reiseverkehrskaufmann/Reiseverkehrskauffrau Fachrichtung Kuren und Fremdenverkehr
Q001119	Kaufmann/Kauffrau für Tourismus und Freizeit
Q001120	Touristikmanager/Touristikmanagerin
Q001121	Sport- und Fitnesskaufmann/Sport- und Fitnesskauffrau
Q001122	Staatlich geprüfter Sportassistent/Staatlich geprüfte Sportassistentin
Q001123	Staatlich geprüfter Wirtschaftsassistent/Staatlich geprüfte Wirtschaftsassistentin - Schwerpunkt Sportverwaltung und -organisation
Q001124	Guest-Relations-Manager/Guest-Relations-Managerin
Q001125	Staatlich geprüfter Berg- und Skiführer/Staatlich geprüfte Berg- und Skiführerin
Q001126	Reiseleiter/Reiseleiterin
Q001127	Fremdenführer/Fremdenführerin
Q001128	Fremdenverkehrsamtsleiter/Fremdenverkehrsamtsleiterin
Q001129	Empfangskraft
Q001130	Empfangsmitarbeiter/Empfangsmitarbeiterin (Hotel)
Q001131	Night-Auditor
Q001132	Portier (Gaststätte, Hotel)
Q001133	Pensionsleiter/Pensionsleiterin
Q001134	Hausdame/Housekeeper
Q001135	Rooms-Division-Manager/Rooms-Division-Managerin
Q001136	Helfer/Helferin im Gastgewerbe
Q001137	Servicekraft - Gastronomie und Gastgewerbe
Q001138	Oberkellner/Oberkellnerin
Q001139	Fachkraft im Gastgewerbe
Q001140	Fachkraft für Gastronomie
Q001141	Fachkraft für Gastronomie (Restaurantservice)
Q001142	Staatlich geprüfter Gastronomischer Assistent/Staatlich geprüfte Gastronomische Assistentin
Q001143	Fachmann/Fachfrau für Systemgastronomie
Q001144	Fachkraft für Gastronomie (Systemgastronomie)
Q001145	Geprüfter Fachwirt/Geprüfte Fachwirtin im Gastgewerbe
Q001146	Barmixer, Barkeeper/Barmixerin, Barkeeperin
Q001147	Barista
Q001148	Zugsteward/Zugstewardess
Q001149	Sommelier/Sommelière
Q001150	Geprüfter Restaurantmeister/Geprüfte Restaurantmeisterin
Q001151	Gastwirt/Gastwirtin
Q001152	Leiter/Leiterin eines Gastronomiebetriebs
Q001153	Staatlich geprüfter Gastronom/Staatlich geprüfte Gastronomin
Q001154	Hostess/Host
Q001155	Saaldiener/Saaldienerin
Q001156	Event-Manager/Event-Managerin
Q001157	Geschäftsführer/Geschäftsführerin
Q001158	Kaufmännischer Geschäftsführer/Kaufmännische Geschäftsführerin
Q001159	Bürgermeister/Bürgermeisterin
Q001160	Stadtrat/Stadträtin
Q001161	Abgeordneter/Abgeordnete
Q001162	Betriebswirt/Betriebswirtin (Fachschule) für Projektmanagement
Q001163	Idea- und Innovations-Manager/Idea- und Innovations-Managerin
Q001164	Business-Analyst/Business-Analystin
Q001165	Operations Manager/Operations Managerin
Q001166	Coach / Supervisor/Coach / Supervisorin
Q001167	Unternehmensberater/Unternehmensberaterin
Q001168	Mergers-and-Acquisitions-Specialist
Q001169	Business-Development-Manager/Business-Development-Managerin
Q001170	Wirtschaftsförderer/Wirtschaftsförderin
Q001171	KI-Manager/KI-Managerin
Q001172	Berater/Beraterin für erneuerbare Energien
Q001173	Energiemanager/Energiemanagerin
Q001174	Corporate-Responsibility-Manager/Corporate-Responsibility-Managerin
Q001175	Projektleiter/Projektleiterin
Q001176	Gruppen-, Teamleiter/Gruppen-, Teamleiterin
Q001177	Betriebsleiter/Betriebsleiterin - kaufmännisch
Q001178	Bereichsleiter/Bereichsleiterin
Q001179	Niederlassungsleiter/Niederlassungsleiterin
Q001180	Leiter/Leiterin - Unternehmensentwicklung
Q001181	Leiter/Leiterin - Projekt-/Programmmanagement
Q001182	Telefonist/Telefonistin
Q001183	Datenerfasser/Datenerfasserin
Q001184	Kundeninformationsfachkraft
Q001185	Sekretär/Sekretärin
Q001186	Büroassistent/Büroassistentin
Q001187	Kaufmännische Fachkraft
Q001188	Bürogehilfe/Bürogehilfin
Q001189	Geprüfter Sekretär/Geprüfte Sekretärin
Q001190	Managementassistent / Managementassistentin
Q001191	Kaufmännischer Assistent/Wirtschaftsassistent / Kaufmännische Assistentin/Wirtschaftsassistentin - Fremdsprachen
Q001192	Fremdsprachenkorrespondent/Fremdsprachenkorrespondentin
Q001193	Gebärdensprachdolmetscher/Gebärdensprachdolmetscherin
Q001194	Personalsachbearbeiter/Personalsachbearbeiterin
Q001195	Assistent/Assistentin für Personalwesen
Q001196	Personalentwickler/Personalentwicklerin
Q001197	Leiter/Leiterin - betriebliche Aus- und Weiterbildung
Q001198	Personaldienstleistungskaufmann/Personaldienstleistungskauffrau
Q001199	Recruiter
Q001200	Researcher/Personalvermittler / Researcher/Personalvermittlerin
Q001201	Personalberater/Personalberaterin
Q001202	Relocation-Specialist/Relocation-Manager / Relocation-Specialist/Relocation-Managerin
Q001203	Personalreferent/Personalreferentin
Q001204	Fallmanager/Fallmanagerin
Q001205	Arbeitsvermittler/Arbeitsvermittlerin
Q001206	Berufsberater/Berufsberaterin
Q001207	Leiter/Leiterin des Personalwesens
Q001208	Bankkaufmann/Bankkauffrau
Q001209	Kundenberater/Kundenberaterin (Bank, Sparkasse)
Q001210	Sparkassenkaufmann/Sparkassenkauffrau
Q001211	Kreditmanager/Kreditmanagerin
Q001212	Kreditsachbearbeiter/Kreditsachbearbeiterin
Q001213	Börsenhändler/Börsenhändlerin
Q001214	Finanzmakler/Finanzmaklerin
Q001215	Fondsmanager/Fondsmanagerin
Q001216	Anlageberater/Anlageberaterin
Q001217	Vermögensberater/Vermögensberaterin
Q001218	Geprüfter Fachmann für Versicherungsvermittlung/Geprüfte Fachfrau für Versicherungsvermittlung
Q001219	Schadensregulierer/Schadensreguliererin (Versicherung)
Q001220	Generalagent/Generalagentin (Versicherung)
Q001221	Versicherungsprüfer/Versicherungsprüferin
Q001222	Underwriter/Underwriter (Versicherung)
Q001223	Versicherungsmakler/Versicherungsmaklerin
Q001224	Wertpapieranalyst/Wertpapieranalystin
Q001225	Venture-Capitalist
Q001226	Risk-Manager/Risk-Managerin
Q001227	Rating-Analyst/Rating-Analystin
Q001228	Finanzierungs- und Leasingwirt/Finanzierungs- und Leasingwirtin
Q001229	Leasing-Berater/Leasing-Beraterin
Q001230	Buchhalter/Buchhalterin
Q001231	Geprüfter Bilanzbuchhalter/Geprüfte Bilanzbuchhalterin - Bachelor Professional in Bilanzbuchhaltung
Q001232	Lohn- und Gehaltsbuchhalter/Lohn- und Gehaltsbuchhalterin
Q001233	Fachagrarwirt/Fachagrarwirtin - Rechnungswesen
Q001234	Geprüfter Fachkaufmann/Geprüfte Fachkauffrau - Geschäfts- und Finanzbuchführung
Q001235	Fachassistent/Fachassistentin Lohn und Gehalt
Q001236	Fachassistent/Fachassistentin Land- und Forstwirtschaft
Q001237	Kalkulator/Kalkulatorin
Q001238	Kostenanalytiker/Kostenanalytikerin
Q001239	Betriebswirt/Betriebswirtin (Fachschule) für Controlling
Q001240	Fachwirt/Fachwirtin für Controlling
Q001241	Controller/Controllerin
Q001242	Assistent für Wirtschaftsprüfung/Assistentin für Wirtschaftsprüfung
Q001243	Treuhänder/Treuhänderin
Q001244	Revisor/Revisorin
Q001245	Leiter/Leiterin der Revision
Q001246	Leiter/Leiterin - Finanz- und Rechnungswesen
Q001247	Leiter/Leiterin - Treasury
Q001248	Leiter/Leiterin - Konzernrevision
Q001249	Steuerfachangestellter/Steuerfachangestellte
Q001250	Fachgehilfe/Fachgehilfin in steuer- und wirtschaftsberatenden Berufen
Q001251	Gehilfe/Gehilfin für Buchprüfung und Steuerberatung
Q001252	Gehilfe/Gehilfin in wirtschafts- und steuerberatenden Berufen
Q001253	Assistent/Assistentin in der Steuerberatung
Q001254	Steuerberater/Steuerberaterin
Q001255	Rechtsanwaltsfachangestellter/Rechtsanwaltsfachangestellte
Q001256	Rechtsbeistandsgehilfe/Rechtsbeistandsgehilfin
Q001257	Rechtsanwaltsgehilfe/Rechtsanwaltsgehilfin
Q001258	Geprüfter Notarfachwirt/Geprüfte Notarfachwirtin
Q001259	Notar/Notarin
Q001260	Rechtsanwalt/Rechtsanwältin
Q001261	Syndikus-Anwalt/Syndikus-Anwältin
Q001262	Patentanwalt/Patentanwältin
Q001263	Staatsanwalt/Staatsanwältin
Q001264	Richter/Richterin
Q001265	Beamter/Beamtin in der Kommunalverwaltung (einfacher Dienst)
Q001266	Beamter/Beamtin in der Kommunalverwaltung (mittlerer technischer Dienst)
Q001267	Beamter/Beamtin bei Behörden der Länder (mittlerer technischer Dienst)
Q001268	Verwaltungsfachangestellter/Verwaltungsfachangestellte Fachrichtung Kommunalverwaltung
Q001269	Beamter/Beamtin in der Kommunalverwaltung (mittlerer nichttechnischer Dienst)
