C000001_pt_000	Profissões militares
C002266_pt_004	Ajustadora
C002266_pt_005	Torneira
C002266_pt_006	Torneiro
C002267_pt_000	Responsável de localização
C002268_pt_000	Professor de Geografia do ensino secundário/Professora de Geografia do ensino secundário
C002268_pt_001	Professor de Geografia do ensino secundário
C002268_pt_002	Professora de Geografia do ensino secundário
C002269_pt_000	Técnico de tratamento de fossas sépticas/Técnica de tratamento de fossas sépticas
C002269_pt_001	Técnica de tratamento de fossas sépticas
C002269_pt_002	Técnico de tratamento de fossas séticas
C002270_pt_000	Gestor de contas de TIC/Gestora de contas de TIC
C002270_pt_001	Gestor de contas de TIC
C002270_pt_002	Gestor de contas informáticas
C002270_pt_003	Gestora de contas de TIC
C002270_pt_004	Gestora de contas informáticas
C002270_pt_005	Responsável pela gestão de contas de TIC
C002270_pt_006	Responsável pela gestão de contas de tecnologias de informação e comunicação
C002270_pt_007	Responsável pela gestão de contas informáticas
C002271_pt_000	Ecologista
C002272_pt_000	Ourives
C002273_pt_000	Técnico de qualidade na indústria do calçado/Técnica de qualidade na indústria do calçado
C002273_pt_001	Técnica de qualidade na indústria do calçado
C002273_pt_002	Técnico de qualidade na indústria do calçado
C002274_pt_000	Segurador de títulos/Seguradora de títulos
C002274_pt_001	Segurador de títulos
C002274_pt_002	Seguradora de títulos
C002274_pt_003	Subscritor de títulos
C002274_pt_004	Subscritora de títulos
C002275_pt_000	Piloto privado
C002276_pt_000	Encenador de teatro/Encenadora de teatro
C002276_pt_001	Encenador de teatro
C002276_pt_002	Encenadora de teatro
C002277_pt_000	Dietista
C002277_pt_001	Dietista clínica
C002277_pt_002	Dietista clínico
C002277_pt_003	Dietista de serviço alimentar
C002277_pt_004	Nutricionista
C002277_pt_005	Nutricionista em saúde coletiva
C002278_pt_000	Técnico de cromatografia/Técnica de cromotagrafia
C002278_pt_001	Técnica de cromatografia
C002278_pt_002	Técnico de cromatografia
C002279_pt_000	Engenheiro técnico de desenvolvimento de embalagens de alimentos e bebidas/Engenheira técnica de desenvolvimento de embalagens de alimentos e bebidas
C002279_pt_001	Engenheira técnica de desenvolvimento de embalagens de alimentos e bebidas
C002279_pt_002	Engenheira técnica de produção alimentar
C002279_pt_003	Engenheiro técnico de desenvolvimento de embalagens de alimentos e bebidas
C002279_pt_004	Engenheiro técnico de produção alimentar
C002280_pt_000	Supervisor de aterros/ Supervisora de aterros
C002280_pt_001	Supervisor de aterros
C002280_pt_002	Supervisora de aterros
C002281_pt_000	Técnico de construção naval/Técnica de construção naval
C002281_pt_001	Técnica de construção naval
C002281_pt_002	Técnico de construção naval
C002282_pt_000	Professor de Ciências Espaciais/Professora de Ciências Espaciais
C002282_pt_001	Professor de Astrofísica
C002282_pt_002	Professor de Ciências Espaciais
C002282_pt_003	Professor universitário de Astrofísica
C002282_pt_004	Professor universitário de Ciências Espaciais
C002282_pt_005	Professora de Astrofísica
C002282_pt_006	Professora de Ciências Espaciais
C002282_pt_007	Professora universitária de Astrofísica
C002282_pt_008	Professora universitária de Ciências Espaciais
C002283_pt_000	Administrador no domínio da defesa/Administradora no domínio da defesa
C002283_pt_001	Administrador no domínio da defesa
C002283_pt_002	Administradora no domínio da defesa
C002283_pt_003	Diretor administrativo para a defesa
C002283_pt_004	Diretora administrativa para a defesa
C002284_pt_000	Operador de máquinas misturadoras de tinta/Operadora de máquinas misturadoras de tinta
C002284_pt_001	Fabricante de tintas
C002284_pt_002	Operador de máquinas misturadoras de tinta
C002284_pt_003	Operadora de máquinas misturadoras de tinta
C002285_pt_000	Gravador de metais/Gravadora de metais
C002285_pt_001	Gravador de metais
C002285_pt_002	Gravadora de metais
C002286_pt_000	Técnico de vitivinicultura/Técnica de vitivinicultura
C002286_pt_001	Técnica de vitivinicultura
C002286_pt_002	Técnica vitivinícola
C002286_pt_003	Técnico de vitivinicultura
C002286_pt_004	Técnico vitivinícola
C002287_pt_000	Inspetor de veículos a motor/Inspetora de veículos a motor
C002287_pt_001	Inspetor de veículos a motor
C002287_pt_002	Inspetora de veículos a motor
C002288_pt_000	Gestor de projetos de TIC/Gestora de projetos de TIC
C002288_pt_001	Gestor de projetos de TIC
C002288_pt_002	Gestor de projetos de informática
C002288_pt_003	Gestor de projetos de tecnologias da informação
C002288_pt_004	Gestor de projetos de tecnologias de informação e comunicação
C002288_pt_005	Gestor de projetos web
C002288_pt_006	Gestora de projetos de TIC
C002288_pt_007	Gestora de projetos de informática
C002288_pt_008	Gestora de projetos de tecnologias da informação
C002288_pt_009	Gestora de projetos de tecnologias de informação e comunicação
C002288_pt_010	Gestora de projetos web
C002289_pt_000	Coordenador de conformidade de condutas/Coordenadora de conformidade de condutas
C002289_pt_001	Coordenador de conformidade de condutas
C002289_pt_002	Coordenadora de conformidade de condutas
C002289_pt_003	Inspetor de condutas
C002289_pt_004	Inspetora de condutas
C002290_pt_000	Técnico de reparação de máquinas-ferramentas/Técnica de reparação de máquinas-ferramentas
C002290_pt_001	Técnica de reparação de máquinas-ferramentas
C002290_pt_002	Técnico de reparação de máquinas-ferramentas
C002291_pt_000	Fabricante de tapetes
C002291_pt_001	Tecelã
C002291_pt_002	Tecelão
C002292_pt_000	Operador de máquinas de moldagem por sopro/ Operadora de máquinas de moldagem por sopro
C002292_pt_001	Operador de máquinas de moldagem por sopro
C002292_pt_002	Operadora de máquinas de moldagem por sopro
C002293_pt_000	Operador de laminador de plásticos/ Operadora de laminador de plásticos
C002293_pt_001	Operador de laminadores de plásticos
C002293_pt_002	Operadora de laminadores de plásticos
C002294_pt_000	Gerente de loja de ortopedia
C002294_pt_001	Gerente de loja de podologia
C002294_pt_002	Gerente de loja de próteses
C002295_pt_000	Engenheiro projetista de equipamento industrial/ Engenheira projetista de equipamento industrial
C002295_pt_001	Engenheira especialista em conceção de equipamento industrial
C002295_pt_002	Engenheira projetista de equipamento industrial
C002295_pt_003	Engenheiro especialista em conceção de equipamento industrial
C002295_pt_004	Engenheiro projetista de equipamento industrial
C002296_pt_000	Agente de navegação
C002297_pt_000	Revisor de conteúdos/Revisora de conteúdos
C002297_pt_001	Revisor de conteúdos
C002297_pt_002	Revisora de conteúdos
C002298_pt_000	Educador formado na pedagogia Freinet/Educadora formada na pedagogia Freinet
C002298_pt_001	Educador da Escola Nova de Freinet
C002298_pt_002	Educador formado na pedagogia Freinet
C002298_pt_003	Educadora de Escola Nova de Freinet
C002298_pt_004	Educadora formada na pedagogia Freinet
C002299_pt_000	Conselheiro político/Conselheira política
C002299_pt_001	Conselheira política
C002299_pt_002	Conselheiro político
C002300_pt_000	Comerciante grossista de matérias-primas agrícolas, sementes e rações animais
C002301_pt_000	Diretor de importação e exportação de máquinas e equipamento de escritório/Diretora de importação e exportação de máquinas e equipamento de escritório
C002301_pt_001	Diretor de importação e exportação de máquinas e equipamento de escritório
C002301_pt_002	Diretor de vendas de máquinas e equipamento de escritório
C002301_pt_003	Diretora de importação e exportação de máquinas e equipamento de escritório
C002301_pt_004	Diretora de vendas de máquinas e equipamento de escritório
C002302_pt_000	Engenheiro especialista em microeletrónica/Engenheira especialista em microeletrónica
C002302_pt_001	Engenheira especialista em microeletrónica
C002302_pt_002	Engenheiro especialista em microeletrónica
C002303_pt_000	Arquiteto/Arquiteta
C002303_pt_001	Arquitecta
C002303_pt_002	Arquitecta de edifícios
C002303_pt_003	Arquitecto
C002303_pt_004	Arquitecto de edifícios
C002303_pt_005	Arquiteta
C002303_pt_006	Arquiteta de edifícios
C002303_pt_007	Arquiteto
C002303_pt_008	Arquiteto de edifícios
C002304_pt_000	Administrador de bases de dados/Administradora de bases de dados
C002304_pt_001	Administrador de bases de dados
C002304_pt_002	Administradora de bases de dados
C002304_pt_003	Configurador de bases de dados
C002304_pt_004	Configuradora de bases de dados
C002304_pt_005	Gestor de bases de dados
C002304_pt_006	Gestora de bases de dados
C002305_pt_000	Instalador de tendas/Inslatadora de tendas
C002305_pt_001	Instalador de tendas
C002305_pt_002	Instaladora de tendas
C002306_pt_000	Responsável de consultório médico
C002307_pt_000	Gestor de vigilância aérea e coordenação de códigos/Gestora de vigilância aérea e coordenação de códigos
C002307_pt_001	Gestor de vigilância aérea e coordenação de códigos
C002307_pt_002	Gestora de vigilância aérea e coordenação de códigos
C002307_pt_003	Operador Radarista de Deteção
C002307_pt_004	Operadora Radarista de Deteção
C002308_pt_000	Especialista em escrita técnica
C002308_pt_001	Escritor técnico
C002308_pt_002	Escritora técnica
C002308_pt_003	Especialista em comunicação técnica
C002308_pt_004	Especialista em documentação técnica
C002308_pt_005	Especialista em documentos técnicos
C002309_pt_000	Animador turístico/Animadora turística
C002309_pt_001	Animador turístico
C002309_pt_002	Animadora turística
C002309_pt_003	Técnica de animação turística
C002309_pt_004	Técnico de animação turística
C002310_pt_000	Assistente de direção
C002311_pt_000	Técnico de eletricidade de aeroportos/Técnica de eletricidade de aeroportos
C002311_pt_001	Técnica de eletricidade de aeroportos
C002311_pt_002	Técnico de eletricidade de aeroportos
C002312_pt_000	Operador de fabrico de correias de borracha/ Operadora de fabrico de correias de borracha
C002312_pt_001	Operador de fabrico de correias de borracha
C002312_pt_002	Operadora de fabrico de correias de borracha
C002313_pt_000	Professor de Biologia do ensino secundário/Professora de Biologia do ensino secundário
C002313_pt_001	Professor de Biologia do ensino secundário
C002313_pt_002	Professora de Biologia do ensino secundário
C002314_pt_000	Operador de recalcadora/Operadora de recalcadora
C002314_pt_001	Operador de recalcadora
C002314_pt_002	Operadora de recalcadora
C002315_pt_000	Enfermeiro de cuidados gerais/Enfermeira de cuidados gerais
C002315_pt_001	Enfermeira de cuidados gerais
C002315_pt_002	Enfermeira generalista
C002315_pt_003	Enfermeiro de cuidados gerais
C002315_pt_004	Enfermeiro generalista
C002316_pt_000	Operador de máquinas de pré-fabricados de betão/ Operadora de máquinas de pré-fabricados de betão
C002316_pt_001	Operador de máquinas de pré-fabricados de betão
C002316_pt_002	Operadora de máquinas de pré-fabricados de betão
C002317_pt_000	Engenheiro de automóveis/Engenheira de automóveis
C002317_pt_001	Engenheira de automóveis
C002317_pt_002	Engenheira mecânica do setor automóvel
C002317_pt_003	Engenheiro de automóveis
C002317_pt_004	Engenheiro mecânico do setor automóvel
C002318_pt_000	Condutor de veículos blindados/ Condutora de veículos blindados
C002318_pt_001	Condutor de veículos blindados
C002318_pt_002	Condutora de veículos blindados
C002319_pt_000	Analista financeiro/Analista financeira
C002319_pt_001	Analista de mercados financeiros
C002319_pt_002	Analista financeira
C002319_pt_003	Analista financeiro
C002320_pt_000	Técnico de ação social/Técnica de ação social
C002320_pt_001	Técnica de ação social
C002320_pt_002	Técnico de ação social
C002321_pt_000	Plataformista
C002321_pt_001	Assistente de perfuração de petróleo
C002321_pt_002	Operador de plataforma de perfuração de petróleo
C002321_pt_003	Operadora de plataforma de perfuração de petróleo
C002321_pt_004	Perfurador
C002321_pt_005	Perfuradora de solos
C002322_pt_000	Designer de bases de dados
C002322_pt_001	Arquiteta de bases de dados
C002322_pt_002	Arquiteta de dados
C002322_pt_003	Arquiteto de bases de dados
C002322_pt_004	Arquiteto de dados
C002323_pt_000	Especialista em farmácia hospitalar
C002323_pt_001	Farmacêutica hospitalar
C002323_pt_002	Farmacêutico hospitalar
C002324_pt_000	Representante de serviço de aluguer de máquinas para construção e engenharia civil
C002325_pt_000	Gestor da produção de embalagens/Gestora de produção de embalagens
C002325_pt_001	Gestor de produção de embalagens
C002325_pt_002	Gestora de produção de embalagens
C002326_pt_000	Gestor de financiamento/Gestora de financiamento
C002326_pt_001	Gestor de financiamento
C002326_pt_002	Gestora de financiamento
C002327_pt_000	Chefe de equipa de produção hortícola
C002328_pt_000	Corretor de bolsa/Corretora de bolsa
C002328_pt_001	Corretor de bolsa
C002328_pt_002	Corretora de bolsa
C002329_pt_000	Agente imobiliário/Agente imobiliária
C002329_pt_001	Agente imobiliária
C002329_pt_002	Agente imobiliário
C002330_pt_000	Construtor de correias trapezoidais/ Construtora de correias trapezoidais
C002330_pt_001	Construtor de correias trapezoidais
C002330_pt_002	Construtora de correias trapezoidais
C002331_pt_000	Chef de pastelaria
C002331_pt_001	Chefe de pastelaria
C002331_pt_002	Padeira
C002331_pt_003	Padeiro
C002331_pt_004	Pasteleira
C002331_pt_005	Pasteleiro
C002332_pt_000	Responsável pela gestão de obras de arte
C002333_pt_000	Operador de acabamentos em artigos de marroquinaria/Operadora de acabamentos em artigos de marroquinaria
C002333_pt_001	Operador de acabamentos em artigos de marroquinaria
C002333_pt_002	Operadora de acabamentos em artigos de marroquinaria
C002334_pt_000	Operador de laminadores de papel/ Operadora de laminadores de papel
C002334_pt_001	Operador de laminadores de papel
C002334_pt_002	Operadora de laminadores de papel
C002335_pt_000	Operador de forno/Operadora de forno
C002335_pt_001	Operador de forno
C002335_pt_002	Operadora de forno
C002336_pt_000	Vendedor de material ortopédico/Vendedora de material ortopédico
C002336_pt_001	Vendedor de material ortopédico
C002336_pt_002	Vendedora de material ortopédico
C002337_pt_000	Gestor de mudanças/Gestora de mudanças
C002337_pt_001	Gestor de mudanças
C002337_pt_002	Gestor de mudanças internacionais
C002337_pt_003	Gestor de mudanças rodoviárias
C002337_pt_004	Gestora de mudanças
C002337_pt_005	Gestora de mudanças internacionais
C002337_pt_006	Gestora de mudanças rodoviárias
C002338_pt_000	Operador de funiculares/ Operadora de funiculares
C002338_pt_001	Operador de funiculares
C002338_pt_002	Operadora de funiculares
C002339_pt_000	Agente de controlo de multidões
C002340_pt_000	Construtor de células eletrolíticas/ Construtora de células eletrolíticas
C002340_pt_001	Construtor de células eletrolíticas
C002340_pt_002	Construtora de células eletrolíticas
C002341_pt_000	Mediador intercultural/Mediadora intercultural
C002341_pt_001	Mediador intercultural
C002341_pt_002	Mediadora intercultural
C002342_pt_000	Assistente social de apoio à vítima
C002342_pt_001	Assistente social de apoio a vítimas de maus tratos
C002342_pt_002	Assistente social de apoio a vítimas de violência doméstica
C002342_pt_003	Assistente social especialista em apoio a vítimas de violência sexual
C002343_pt_000	Professor de cursos profissionais de Tecnologias dos Transportes/Professora de cursos profissionais de Tecnologias dos Transportes
C002343_pt_001	Professor de cursos profissionais de Tecnologias dos Transportes
C002343_pt_002	Professora de cursos profissionais de Tecnologias dos Transportes
C002344_pt_000	Chefe de cozinha
C002344_pt_001	Cozinheira
C002344_pt_002	Cozinheiro
C002344_pt_003	Técnica de cozinha
C002344_pt_004	Técnica de restauração
C002344_pt_005	Técnico de cozinha
C002344_pt_006	Técnico de restauração
C002345_pt_000	Técnico de manutenção de aeronaves/Técnica de manutenção de aeronaves
C002345_pt_001	Mecânica de aeronaves
C002345_pt_002	Mecânico de aeronaves
C002345_pt_003	Técnica de manutenção de aeronaves
C002345_pt_004	Técnico de manutenção de aeronaves
C002346_pt_000	Operador de extração de amidos e féculas/Operadora de extração de amidos e féculas
C002346_pt_001	Operador de extração de amidos e féculas
C002346_pt_002	Operadora de extração de amidos e féculas
C002346_pt_003	Técnica de extração de amidos e féculas
C002346_pt_004	Técnico de extração de amidos e féculas
C002347_pt_000	Especialista em import-export de máquinas e equipamento agrícola
C002348_pt_000	Professor de cursos profissionais nas áreas da agricultura, silvicultura e pescas/Professora de cursos profissionais nas áreas da agricultura, silvicultura e pescas
C002348_pt_001	Professor de cursos profissionais nas áreas da agricultura, silvicultura e pescas
C002348_pt_002	Professora de cursos profissionais nas áreas da agricultura, silvicultura e pescas
C002349_pt_000	Técnico de engenharia industrial na marroquinaria/Técnica de engenharia industrial na marroquinaria
C002349_pt_001	Técnica de engenharia industrial na marroquinaria
C002349_pt_002	Técnico de engenharia industrial na marroquinaria
C002350_pt_000	Engenheiro projetista de placas de circuitos impressos/Engenheira projetista de placas de circuitos impressos
C002350_pt_001	Engenheira projetista de placas de circuitos impressos
C002350_pt_002	Engenheiro projetista de placas de circuitos impressos
C002351_pt_000	Professor de Serviço Social/Professora de Serviço Social
C002351_pt_001	Professor de Serviço Social
C002351_pt_002	Professora especialista em Serviços Sociais
C002352_pt_000	Operador ferroviário de equipamento intermodal/Operadora ferroviária de equipamento intermodal
C002352_pt_001	Operador ferroviário de equipamento intermodal
C002352_pt_002	Operadora ferroviária de equipamento intermodal
C002353_pt_000	Cortador de tecidos para vestuário/Cortadora de tecidos para vestuário
C002353_pt_001	Cortador de tecidos para vestuário
C002353_pt_002	Cortadora de tecidos para vestuário
C002354_pt_000	Protesista-ortotista
C002355_pt_000	Assistente jurídico/Assistente jurídica
C002355_pt_001	Assistente jurídica
C002355_pt_002	Assistente jurídico
C002356_pt_000	Funcionário de parque de campismo/Funcionária de parque de campismo
C002356_pt_001	Funcionária de parque de campismo
C002356_pt_002	Funcionário de parque de campismo
C002356_pt_003	Operador de campismo
C002356_pt_004	Operadora de campismo
C002357_pt_000	Engenheiro de hardware/Engenheira de hardware
C002357_pt_001	Engenheira de hardware
C002357_pt_002	Engenheira informática
C002357_pt_003	Engenheiro de desenvolvimento de hardware
C002357_pt_004	Engenheiro de hardware
C002357_pt_005	Engenheiro informático
C002358_pt_000	Coordenador de listas de espera/Coordenadora de listas de espera
C002358_pt_001	Coordenador de listas de espera
C002358_pt_002	Coordenadora de listas de espera
C002359_pt_000	Lavador de janelas/Lavadora de janelas
C002359_pt_001	Lavador de janelas
C002359_pt_002	Lavador de vidros
C002359_pt_003	Lavadora de janelas
C002359_pt_004	Lavadora de vidros
C002360_pt_000	Colchoeiro/Colchoeira
C002360_pt_001	Colchoeira
C002360_pt_002	Colchoeiro
C002360_pt_003	Fabricante de colchões
C002361_pt_000	Operador de linha de apoio telefónico/Operadora de linha de apoio telefónico
C002361_pt_001	Operador ade linha de ajuda
C002361_pt_002	Operador de linha de ajuda
C002361_pt_003	Operador de linha de ajuda telefónica
C002361_pt_004	Operador de linha de apoio
C002361_pt_005	Operador de linha de apoio telefónico
C002361_pt_006	Operadora de linha de ajuda telefónica
C002361_pt_007	Operadora de linha de apoio
C002361_pt_008	Operadora de linha de apoio telefónico
C002362_pt_000	Geólogo ambiental/Geóloga ambiental
C002362_pt_001	Ambientalista
C002362_pt_002	Analista de recursos minerais
C002362_pt_003	Geóloga ambiental
C002362_pt_004	Geólogo ambiental
C002363_pt_000	Comerciante grossista de porcelana e outros vidros
C002364_pt_000	Inspetor de bagagem/Inspetora de bagagem
C002364_pt_001	Inspetor de bagagem
C002364_pt_002	Inspetora de bagagem
C002365_pt_000	Assistente de gestão de fundos de investimento
C002366_pt_000	Gerente de agência de viagens
C002366_pt_001	Gerente de agência de turismo
C002366_pt_002	Gerente de vendas de viagens
C002367_pt_000	Operador de linha de enlatamento e engarrafamento/Operadora de linha de enlatamento e engarrafamento
C002367_pt_001	Operador de linha de enchimento de latas e garrafas
C002367_pt_002	Operador de linha de enlatamento e engarrafamento
C002367_pt_003	Operadora de linha de enchimento de latas e garrafas
C002367_pt_004	Operadora de linha de enlatamento e engarrafamento
C002368_pt_000	Operador de máquina de tecer/Operador de máquina de tecer
C002368_pt_001	Operador de máquina de tecer
C002368_pt_002	Operadora de máquina de tecer
C002369_pt_000	Operador de forjagem por estampagem/Operadora de forjagem por estampagem
C002369_pt_001	Operador de forjagem por estampagem
C002369_pt_002	Operadora de forjagem por estampagem
C002370_pt_000	Modelista de calçado
C002371_pt_000	Engenheiro projetista de equipamento contentor/Engenheira projetista de equipamento contentor
C002371_pt_001	Engenheira projetista de equipamento contentor
C002371_pt_002	Engenheiro projetista de equipamento contentor
C002372_pt_000	Gestor de instalações para animais/Gestora de instalações para animais
C002372_pt_001	Diretor de abrigo para animais
C002372_pt_002	Diretor de aquário
C002372_pt_003	Diretor de jardim zoológico
C002372_pt_004	Diretor de oceanário
C002372_pt_005	Diretora de abrigo para animais
C002372_pt_006	Diretora de aquário
C002372_pt_007	Diretora de jardim zoológico
C002372_pt_008	Diretora de oceanário
C002372_pt_009	Gestor de instalações para animais
C002372_pt_010	Gestora de instalações para animais
C002373_pt_000	Urbanista de tráfego
C002374_pt_000	Formador de cursos profissionais de cabeleireiro e barbeiro/Formadora de cursos profissionais de cabeleireiro e barbeiro
C002374_pt_001	Formador de cursos profissionais de cabeleireiro e barbeiro
C002374_pt_002	Formadora de cursos profissionais de cabeleireiro e barbeiro
C002375_pt_000	Gestor de reclamações — seguros/Gestora de reclamações — seguros
C002375_pt_001	Diretor do departamento de gestão de reclamações — seguros
C002375_pt_002	Diretora do departamento de gestão de reclamações — seguros
C002375_pt_003	Gestor de reclamações — seguros
C002375_pt_004	Gestora de reclamações — seguros
C002376_pt_000	Eletricista naval
C002377_pt_000	Massoterapeuta
C002378_pt_000	Diretor para a igualdade e a inclusão/Diretora para a igualdade e a inclusão
C002378_pt_001	Diretor de Direitos Humanos
C002378_pt_002	Diretor de diversidade e inclusão
C002378_pt_003	Diretor para a igualdade e a inclusão
C002378_pt_004	Diretora de Direitos Humanos
C002378_pt_005	Diretora de diversidade e inclusão
C002378_pt_006	Diretora para a igualdade e a inclusão
C002379_pt_000	Fabricante de mobília de vime
C002380_pt_000	Nanoengenheiro/Nanoengenheira
C002380_pt_001	Nano engenheira
C002380_pt_002	Nano engenheiro
C002380_pt_003	Nanoengenheira
C002380_pt_004	Nanoengenheiro
C002381_pt_000	Ponto
C002382_pt_000	Agente marítimo/Agente marítima
C002382_pt_001	Agente marítima
C002382_pt_002	Agente marítimo
C002383_pt_000	Escultor/Escultora
C002383_pt_001	Escultor
C002383_pt_002	Escultora
C002384_pt_000	Chefe de departamento
C002384_pt_001	Chefe de divisão
C002384_pt_002	Chefe de unidade
C002384_pt_003	Coordenador de departamento
C002384_pt_004	Coordenadora de departamento
C002384_pt_005	Diretor de departamento
C002384_pt_006	Diretora de departamento
C002385_pt_000	Designer de animação
C002386_pt_000	Condutor de transporte de animais vivos/Condutora de transporte de animais vivos
C002386_pt_001	Condutor de transporte de animais vivos
C002386_pt_002	Condutora de transporte de animais vivos
C002386_pt_003	Funcionária de transportadora de animais vivos
C002386_pt_004	Funcionário de transportadora de animais vivos
C002386_pt_005	Operador de transportadora de animais vivos
C002386_pt_006	Operadora de transportadora de animais vivos
C002387_pt_000	Técnico de transformação de produtos lácteos/Técnica de transformação de produtos lácteos
C002387_pt_001	Supervisor de produção de produtos lácteos
C002387_pt_002	Técnica de transformação de produtos lácteos
C002387_pt_003	Técnico de transformação de produtos lácteos
C002388_pt_000	Técnico de bioquímica/Técnica de bioquímica
C002388_pt_001	Técnica de bioquímica
C002388_pt_002	Técnico de bioquímica
C002389_pt_000	Mecânico de equipamento mineiro/Mecânica de equipamento mineiro
C002389_pt_001	Mecânica de equipamento mineiro
C002389_pt_002	Mecânico de equipamento mineiro
C002390_pt_000	Assistente de projetos
C002391_pt_000	Operador de máquinas cortadoras longitudinais/ Operadora de máquinas cortadoras longitudinais
C002391_pt_001	Operador de cortadores longitudinais
C002391_pt_002	Operador de máquina cortadora longitudinal
C002391_pt_003	Operadora de cortadores longitudinais
C002391_pt_004	Operadora de máquina cortadora longitudinal
C002392_pt_000	Estofador/Estofadora
C002392_pt_001	Estofador
C002392_pt_002	Estofadora
C002393_pt_000	Mestre cervejeiro/Mestre cervejeira
C002393_pt_001	Mestre cervejeira
C002393_pt_002	Mestre cervejeiro
C002393_pt_003	Produtor de cerveja
C002393_pt_004	Produtora de cerveja
C002394_pt_000	Parteiro/Parteira
C002394_pt_001	Parteira
C002394_pt_002	Parteiro
C002395_pt_000	Assistente social de apoio familiar
C002396_pt_000	Supervisor de montagem de calçado/Supervisora de montagem de calçado
C002396_pt_001	Supervisor de montagem de calçado
C002396_pt_002	Supervisora de montagem de calçado
C002397_pt_000	Diretor de importação e exportação de porcelanas e vidros/Diretora de importação e exportação de porcelanas e vidros
C002397_pt_001	Diretor de importação e exportação de porcelanas e vidros
C002397_pt_002	Diretor de vendas de porcelanas e vidros
C002397_pt_003	Diretora de importação e exportação de porcelanas e vidros
C002397_pt_004	Diretora de vendas de porcelanas e vidros
C002398_pt_000	Montador de edifícios modulares de madeira/Montadora de edifícios modulares de madeira
C002398_pt_001	Montador de edifícios modulares de madeira
C002398_pt_002	Montadora de edifícios modulares de madeira
C002399_pt_000	Chefe de cabine
C002399_pt_001	Supervisor de cabine
C002399_pt_002	Supervisora de cabine
C002400_pt_000	Pintor de madeira/Pintora de madeira
C002400_pt_001	Pintor de madeira
C002400_pt_002	Pintor-decorador de madeira
C002400_pt_003	Pintora de madeira
C002400_pt_004	Pintora-decoradora de madeira
C002401_pt_000	Operador de caixa em casino/Operadora de caixa em casino
C002401_pt_001	Operador de caixa em casino
C002401_pt_002	Operadora de caixa em casino
C002402_pt_000	Vigilante
C002402_pt_001	Caseira
C002402_pt_002	Caseiro
C002403_pt_000	Operador de prensas hidráulicas de plásticos/ Operadora de prensas hidráulicas de plásticos
C002403_pt_001	Operador de prensas hidráulicas
C002403_pt_002	Operadora de prensas hidráulicas
C002404_pt_000	Agente de apoio aos passageiros
C002405_pt_000	Artista conceptual
C002406_pt_000	Membro de equipa de restaurante de refeições rápidas
C002406_pt_001	Membro de equipa de restaurante de fast food
C002407_pt_000	Curador de coleção/Curadora de coleção
C002407_pt_001	Curador
C002407_pt_002	Curador de coleção
C002407_pt_003	Curadora
C002407_pt_004	Curadora de coleção
C002408_pt_000	Diretor de distribuição — maquinaria e equipamento industrial, construção naval e aeronáutica/Diretora de distribuição — maquinaria e equipamento industrial, construção naval e aeronáutica
C002408_pt_001	Diretor de distribuição — maquinaria e equipamento industrial, construção naval e aeronáutica
C002408_pt_002	Diretora de distribuição — maquinaria e equipamento industrial, construção naval e aeronáutica
C002409_pt_000	Supervisor de montagem de aeronaves/Supervisora de montagem de aeronaves
C002409_pt_001	Supervisor de montagem de aeronaves
C002409_pt_002	Supervisora de montagem de aeronaves
C002410_pt_000	Designer de interfaces do utilizador
C002410_pt_001	Designer de IU
C002410_pt_002	Designer de UI
C002410_pt_003	Designer de acessibilidade
C002410_pt_004	Engenheira de usabilidade
C002410_pt_005	Engenheiro de usabilidade
C002411_pt_000	Gerente de loja de desporto e aventura
C002411_pt_001	Gerente de loja de aventura e outdoor
C002411_pt_002	Gerente de loja de campismo
C002411_pt_003	Gerente de loja de desporto e atividades de lazer
C002412_pt_000	Professor de escola de línguas/Professora de escola de línguas
C002412_pt_001	Professor de escola de línguas
C002412_pt_002	Professor de instituto de línguas
C002412_pt_003	Professora de escola de línguas
C002412_pt_004	Professora de instituto de línguas
C002413_pt_000	Operador de centro de dados/Operadora de centro de dados
C002413_pt_001	Funcionária de centro de dados
C002413_pt_002	Funcionário de centro de dados
C002413_pt_003	Operador de centro de dados
C002413_pt_004	Operadora de centro de dados
C002414_pt_000	Diretor de importação e exportação de maquinaria para a indústria têxtil/Diretora de importação e exportação de maquinaria para a indústria têxtil
C002414_pt_001	Diretor de importação e exportação de maquinaria para a indústria têxtil
C002414_pt_002	Diretor de vendas de maquinaria para a indústria têxtil
C002414_pt_003	Diretora de importação e exportação de maquinaria para a indústria têxtil
C002414_pt_004	Diretora de vendas de maquinaria para a indústria têxtil
C002415_pt_000	Engenheiro especialista em sistemas de tratamento de águas residuais/Engenheira especialista em sistemas de tratamento de águas residuais
C002415_pt_001	Engenheira especialista em sistemas de tratamento de águas residuais
C002415_pt_002	Engenheiro especialista em sistemas de tratamento de águas residuais
C002416_pt_000	Vendedor de carne e produtos à base de carne/Vendedora de carne e produtos à base de carne
C002416_pt_001	Vendedor de carne e produtos à base de carne
C002416_pt_002	Vendedora de carne e produtos à base de carne
C002417_pt_000	Gerente de livraria
C002417_pt_001	Alfarrabista
C002417_pt_002	Gerente de alfarrabista
C002417_pt_003	Gerente de papelaria e tabacaria
C002417_pt_004	Livreira
C002417_pt_005	Livreiro
C002418_pt_000	Advogado/Advogada
C002418_pt_001	Advogada
C002418_pt_002	Advogado
C002418_pt_003	Solicitador
