Q000001	Vojni namještenik/vojna namještenica
Q000974	Predradnik/predradnica montaže strojeva i metalnih proizvoda
Q000975	Petrokemijski tehničar/petrokemijska tehničarka
Q000976	Petrokemijski tehnolog/petrokemijska tehnologinja
Q000977	Tehnolog/tehnologinja prerade nafte
Q000978	Tehničar/tehničarka za organske sinteze
Q000979	Tehnolog/tehnologinja za organske sinteze
Q000980	Tehničar/tehničarka prerade polimera
Q000981	Tehnolog/tehnologinja prerade polimera
Q000982	Tehnolog/tehnologinja boja i lakova
Q000983	Tehnolog/tehnologinja kozmetičkih proizvoda
Q000984	Tehničar/tehničarka sredstava za pranje
Q000985	Tehnolog/tehnologinja sredstava za pranje
Q000986	Tehničar/tehničarka pigmenata
Q000987	Tehnolog/tehnologinja pigmenata
Q000988	Tehničar/tehničarka agrokemikalija
Q000989	Tehnolog/tehnologinja agrokemikalija
Q000990	Tehničar/tehničarka zaštite od korozije
Q000991	Tehnolog/tehnologinja zaštite od korozije
Q000992	Tehničar/tehničarka pripreme i obrade vode
Q000993	Tehnolog/tehnologinja pripreme i obrade vode
Q000994	Kemijski tehničar/kemijska tehničarka elektrotehničkih materijala
Q000995	Kemijski tehnolog/kemijska tehnologinja elektrotehničkih materijala
Q000996	Tehničar/tehničarka fotografskih proizvoda
Q000997	Tehnolog/tehnologinja fotografskih proizvoda
Q000998	Tehnolog/tehnologinja papirničarstva
Q000999	Kemijsko-tehnološki tehničar/kemijsko-tehnološka tehničarka
Q001000	Tehnolog/tehnologinja prerade mesa i ribe
Q001001	Mljekarski tehničar/mljekarska tehničarka
Q001002	Mljekarski tehnolog/mljekarska tehnologinja
Q001003	Tehničar/tehničarka prerade voća, povrća i sokova
Q001004	Tehnolog/tehnologinja prerade voća, povrća i sokova
Q001005	Tehničar/tehničarka proizvodnje biljnih ulja
Q001006	Tehnolog/tehnologinja proizvodnje biljnih ulja
Q001007	Tehničar/tehničarka mlinarstva i prerade brašna
Q001008	Tehničar/tehničarka proizvodnje stočne hrane
Q001009	Tehnolog/tehnologinja proizvodnje stočne hrane
Q001010	Tehnolog/tehnologinja proizvodnje šećera
Q001011	Tehnolog/tehnologinja proizvodnje škroba i derivata
Q001012	Tehničar/tehničarka dijetetske proizvodnje
Q001013	Tehnolog/tehnologinja dijetetske proizvodnje
Q001014	Tehničar/tehničarka proizvodnje voda i gaziranih napitaka
Q001015	Tehnolog/tehnologinja proizvodnje voda i gaziranih napitaka
Q001016	Tehnolog/tehnologinja proizvodnje piva
Q001017	Tehničar/tehničarka proizvodnje vina
Q001018	Tehnolog/tehnologinja proizvodnje vina
Q001019	Tehnolog/tehnologinja proizvodnje jakih alkoholnih pića
Q001020	Tehničar/tehničarka proivodnje enzima
Q001021	Tehnolog/tehnologinja proizvodnje enzima
Q001022	Tehničar/tehničarka prerade duhana
Q001023	Tehnolog/tehnologinja prerade duhana
Q001024	Prehrambeni tehničar/prehrambena tehničarka
Q001025	Prehrambeni tehnolog/prehrambena tehnologinja
Q001026	Rudarski tehničar/rudarska tehničarka površinske eksploatacije
Q001027	Rudarski inženjer/rudarska inženjerka površinske eksploatacije
Q001028	Rudarski tehničar/rudarska tehničarka podzemne eksploatacije
Q001029	Rudarski tehničar/rudarska tehničarka za pripremu proizvodnje
Q001030	Inženjer/inženjerka izrade i održavanja bušotina
Q001031	Naftno-rudarski tehničar/naftno-rudarska tehničarka za bušotinske fluide
Q001032	Naftno-rudarski tehničar/naftno-rudarska tehničarka za sanacijske radove u bušotinama
Q001033	Tehničar/tehničarka za podvodnu opremu na bušaćoj platformi
Q001034	Tehničar/tehničarka za razradu naftnih i plinskih ležišta
Q001035	Inženjer/inženjerka za proizvodnju nafte i plina
Q001036	Rudarski jamski poslovođa/rudarska jamska poslovotkinja
Q001037	Rudarski poslovođa/rudarska poslovotkinja površinskoga kopa
Q001038	Poslovođa/poslovotkinja miniranja
Q001039	Vođa smjene na postrojenju za remont bušotina
Q001040	Poslovođa/poslovotkinja pripreme, izrade i održavanja bušotina
Q001041	Poslovođa/poslovotkinja pripreme karotažnih radova
Q001042	Tehničar/tehničarka za metale i legure
Q001043	Tehnolog/tehnologinja za metale i legure
Q001044	Tehničar/tehničarka za lijevanje čelika
Q001045	Tehnolog/tehnologinja za lijevanje čelika
Q001046	Tehničar/tehničarka za toplinsku preradu čelika
Q001047	Tehnolog/tehnologinja za toplinsku preradu čelika
Q001048	Tehničar/tehničarka proizvodnje obojenih metala
Q001049	Tehničar/tehničarka lijevanja obojenih metala
Q001050	Tehničar/tehničarka metalurgije
Q001051	Inženjer/inženjerka metalurgije
Q001052	Planer/planerka proizvodnje
Q001053	Planer/planerka održavanja
Q001054	Planer/planerka izgradnje
Q001055	Raspoređivač/raspoređivačica rada
Q001056	Snimatelj/snimateljica vremena i pokreta
Q001057	Analitičar/analitičarka tehničkih kalkulacija
Q001058	Logističar/logističarka
Q001059	Tehnički suradnik/tehnička suradnica za zaštitu okoliša
Q001060	Tehnolog/tehnologinja pakiranja
Q001061	Tehničar/tehničarka za građevne materijale
Q001062	Tehnolog/tehnologinja za građevne materijale
Q001063	Tehnolog/tehnologinja bitumensko-katranskih proizvoda
Q001064	Tehničar/tehničarka za proizvodnju leća
Q001065	Tehničar/tehničarka predenja
Q001066	Inženjer/inženjerka predenja
Q001067	Tehničar/tehničarka pletenja
Q001068	Inženjer/inženjerka pletenja
Q001069	Inženjer/inženjerka za odjeću
Q001070	Kožarski inženjer/kožarska inženjerka
Q001071	Obućarski tehničar/obućarska tehničarka
Q001072	Tehničar/tehničarka za kožnu galanteriju
Q001073	Inženjer/inženjerka za obuću i kožnu galanteriju
Q001074	Drvni tehničar/drvna tehničarka
Q001075	Tehničar grafički urednik/tehničarka grafička urednica
Q001076	Predradnik/predradnica za građevne materijale
Q001077	Predradnik/predradnica obrade kamena
Q001078	Predradnik/predradnica za keramiku
Q001079	Predradnik/predradnica za emajle i glazure
Q001080	Predradnik/predradnica za bitumensko-katranske materijale
Q001081	Predradnik/predradnica u staklarstvu
Q001082	Tekstilni predradnik/tekstilna predradnica
Q001083	Predradnik/predradnica kožne galanterije
Q001084	Drvni predradnik/drvna predradnica
Q001085	Pismoslikarski poslovođa/pismoslikarska poslovotkinja
Q001086	Poslovođa/poslovotkinja čišćenja
Q001087	Inženjer/inženjerka sustava za osobna računala
Q001088	Inženjer/inženjerka sustava za računalne mreže
Q001089	Računalni tehničar/računalna tehničarka
Q001090	Kontrolor/kontrolorka pripreme i obrade podataka
Q001091	Operator/operatorica za pripremu obrade podataka
Q001092	Operator/operatorica na vanjskoj računalnoj opremi
Q001093	Operator/operatorica na robotu
Q001094	Novinski fotograf/novinska fotografkinja
Q001095	Mikrofotograf/mikrofotografkinja
Q001096	Snimatelj/snimateljica slike
Q001097	Snimatelj/snimateljica trika
Q001098	Mješač/mješačica zvuka
Q001099	Montažer/montažerka slike i zvuka
Q001100	Studijski ili radijski operator/studijska ili radijska operatorica
Q001101	Studijski ili televizijski operator/studijska ili televizijska operatorica
Q001102	Operator/operatorica snimanja na diskete
Q001103	Operator/operatorica snimanja na vrpce
Q001104	Operator/operatorica videosnimanja
Q001105	Operator/operatorica na televizijskom odašiljaču
Q001106	Operator/operatorica televizijskog prijenosa
Q001107	Operator/operatorica na željezničkim telekomunikacijama
Q001108	Radiotelegrafist/radiotelegrafistica
Q001109	Kinooperator/kinooperatorica
Q001110	Operator/operatorica na audiometrijskoj opremi
Q001111	Operator/operatorica na elektrokardiografskoj opremi
Q001112	Operator/operatorica na elektroencefalografskoj opremi
Q001113	Rendgenski tehničar/rendgenska tehničarka
Q001114	Operator/operatorica na opremi medicinske radiografije
Q001115	Operator/operatorica na medicinskoj skenirajućoj opremi
Q001116	Operator/operatorica na opremi za dijalizu
Q001117	Operator/operatorica na opremi u očnoj dijagnostici
Q001118	Operator/operatorica na medicinskoj opremi
Q001119	Operator/operatorica na scenskoj rasvjeti
Q001120	Majstor/majstorica rasvjete
Q001121	Upravitelj/upraviteljica stroja
Q001122	Inženjer/inženjerka brodske elektronike
Q001123	Brodostrojar/brodostrojarka
Q001124	Zapovjednik/zapovjednica broda
Q001125	Zapovjednik/zapovjednica broda unutarnje plovidbe
Q001126	Peljar/peljarica
Q001127	Ribarsko-nautički tehničar/ribarsko-nautička tehničarka
Q001128	Vođa posade marine
Q001129	Skiper/skiperica
Q001130	Pilot/pilotkinja helikoptera
Q001131	Probni padobranac/probna padobranka
Q001132	Inženjer/inženjerka zračnog prometa
Q001133	Inženjer/inženjerka željezničkog prometa
Q001134	Inženjer/inženjerka cestovnog prometa
Q001135	Inženjer/inženjerka za prekrcaj
Q001136	Poslovođa/poslovotkinja žičare
Q001137	Poslovođa/poslovotkinja prekrcaja
Q001138	Inženjer/inženjerka poštanskog prometa
Q001139	Građevinski nadzornik/građevinska nadzornica
Q001140	Nadzornik/nadzornica tehničke ispravnosti tramvaja
Q001141	Poslovođa/poslovotkinja stanice za tehnički pregled vozila
Q001142	Botanički tehničar/botanička tehničarka
Q001143	Zoološki tehničar/zoološka tehničarka
Q001144	Inženjer/inženjerka zoologije
Q001145	Bakteriološki tehničar/bakteriološka tehničarka
Q001146	Ekološki tehničar/ekološka tehničarka
Q001147	Inženjer/inženjerka ekologije
Q001148	Inženjer/inženjerka patologije
Q001149	Farmakološki tehničar/farmakološka tehničarka
Q001150	Inženjer/inženjerka farmakologije
Q001151	Biokemijski tehničar/biokemijska tehničarka
Q001152	Inženjer/inženjerka biokemije
Q001153	Biološki tehničar/biološka tehničarka
Q001154	Medicinski laboratorijski tehničar/medicinska laboratorijska tehničarka
Q001155	Medicinski laboratorijski inženjer/medicinska laboratorijska inženjerka
Q001156	Ratarski tehničar/ratarska tehničarka
Q001157	Povrtlarski tehničar/povrtlarska tehničarka
Q001158	Poljoprivredni tehničar/poljoprivredna tehničarka za melioraciju
Q001159	Voćarski tehničar/voćarska tehničarka
Q001160	Vinogradarski tehničar/vinogradarska tehničarka
Q001161	Hortikulturni tehničar/hortikulturna tehničarka
Q001162	Poljoprivredni tehničar/poljoprivredna tehničarka
Q001163	Šumarski tehničar/šumarska tehničarka
Q001164	Čuvar/čuvarica šume
Q001165	Ratarski poslovođa/ratarska poslovotkinja
Q001166	Voćarski poslovođa/voćarska poslovotkinja
Q001167	Vinogradarski poslovođa/vinogradarska poslovotkinja
Q001168	Nadzornik/nadzornica lovišta
Q001169	Inženjer/inženjerka ratarstva
Q001170	Inženjer/inženjerka povrtlarstva
Q001171	Inženjer/inženjerka stočarstva
Q001172	Inženjer/inženjerka peradarstva
Q001173	Inženjer/inženjerka poljoprivrede
Q001174	Poljoprivredni inženjer savjetodavac/poljoprivredna inženjerka savjetodavka
Q001175	Sanitarni inženjer/sanitarna inženjerka
Q001176	Dijetetičar/dijetetičarka
Q001177	Očni optičar/očna optičarka
Q001178	Zubotehničar/zubotehničarka
Q001179	Viši zubni tehničar/viša zubna tehničarka
Q001180	Viši fizioterapeut/viša fizioterapeutkinja
Q001181	Veterinarski tehničar/veterinarska tehničarka
Q001182	Veterinarski tehničar/veterinarska tehničarka za trihinoskopiju
Q001183	Farmaceutski tehničar/farmaceutska tehničarka
Q001184	Terapeut/terapeutkinja za govor i gluhoću
Q001185	Terapeut/terapeutkinja za poremećaje vida
Q001186	Glazbeni terapeut/glazbena terapeutkinja
Q001187	Umjetnički terapeut/umjetnička terapeutkinja
Q001188	Radni terapeut/radna terapeutkinja
Q001189	Viša medicinska sestra
Q001190	Primalja
Q001191	Viša primalja
Q001192	Učitelj/učiteljica razredne nastave
Q001193	Nastavnik/nastavnica hrvatskog jezika
Q001194	Nastavnik/nastavnica engleskog jezika
Q001195	Nastavnik/nastavnica njemačkog jezika
Q001196	Nastavnik/nastavnica francuskog jezika
Q001197	Nastavnik/nastavnica talijanskog jezika
Q001198	Nastavnik/nastavnica mađarskog jezika
Q001199	Nastavnik/nastavnica slovenskog jezika
Q001200	Nastavnik/nastavnica romskog jezika
Q001201	Nastavnik/nastavnica rusinskog jezika
Q001202	Nastavnik/nastavnica češkog jezika
Q001203	Nastavnik/nastavnica slovačkog jezika
Q001204	Nastavnik/nastavnica srpskog jezika
Q001205	Nastavnik/nastavnica albanskog jezika
Q001206	Nastavnik/nastavnica ruskog jezika
Q001207	Nastavnik/nastavnica stranog jezika
Q001208	Nastavnik/nastavnica povijesti
Q001209	Nastavnik/nastavnica zemljopisa
Q001210	Nastavnik/nastavnica glazbene kulture
Q001211	Nastavnik/nastavnica likovne kulture
Q001212	Nastavnik/nastavnica tehničke kulture
Q001213	Nastavnik/nastavnica matematike
Q001214	Nastavnik/nastavnica fizike
Q001215	Nastavnik/nastavnica kemije
Q001216	Nastavnik/nastavnica prirode i biologije
Q001217	Nastavnik/nastavnica
Q001218	Vjeroučitelj/vjeroučiteljica
Q001219	Nastavnik/nastavnica za osobe s oštećenjima vida
Q001220	Nastavnik/nastavnica za osobe s oštećenjima sluha
Q001221	Nastavnik/nastavnica za mentalno retardirane osobe
Q001222	Nastavnik/nastavnica za tjelesno invalidne osobe
Q001223	Nastavnik/nastavnica za osobe s poremećajima u ponašanju
Q001224	Strukovni učitelj/strukovna učiteljica klasičnog baleta
Q001225	Strukovni učitelj/strukovna učiteljica suvremenog plesa i ritmike
Q001226	Strukovni učitelj/strukovna učiteljica u sportu
Q001227	Strukovni učitelj/strukovna učiteljica primarne obrade drva
Q001228	Strukovni učitelj/strukovna učiteljica rudarstva
Q001229	Strukovni učitelj/strukovna učiteljica obojene metalurgije
Q001230	Strukovni učitelj/strukovna učiteljica ručne obrade metala
Q001231	Strukovni učitelj/strukovna učiteljica strojne obrade metala
Q001232	Strukovni učitelj/strukovna učiteljica strojne energetike
Q001233	Strukovni učitelj/strukovna učiteljica montaže strojeva
Q001234	Strukovni učitelj/strukovna učiteljica rukovanja strojevima i uređajima
Q001235	Strukovni učitelj/strukovna učiteljica zrakoplovne mehanike
Q001236	Strukovni učitelj/strukovna učiteljica brodogradnje
Q001237	Strukovni učitelj/strukovna učiteljica telekomunikacija
Q001238	Strukovni učitelj/strukovna učiteljica računalne tehnike
Q001239	Strukovni učitelj/strukovna učiteljica plastičarske tehnologije
Q001240	Strukovni učitelj/strukovna učiteljica staklarske tehnologije
Q001241	Strukovni učitelj/strukovna učiteljica tehnologije papira
Q001242	Strukovni učitelj/strukovna učiteljica tekstilne tehnologije
Q001243	Strukovni učitelj/strukovna učiteljica konfekcije
Q001244	Strukovni učitelj/strukovna učiteljica prerade kože i krzna
Q001245	Strukovni učitelj/strukovna učiteljica proizvodnje obuće i kožne galanterije
Q001246	Strukovni učitelj/strukovna učiteljica visokogradnje
Q001247	Strukovni učitelj/strukovna učiteljica završnih građevinskih radova
Q001248	Strukovni učitelj/strukovna učiteljica hidrogradnje
Q001249	Strukovni učitelj/strukovna učiteljica proizvodnje građevnog materijala
Q001250	Strukovni učitelj/strukovna učiteljica geodezije
Q001251	Strukovni učitelj/strukovna učiteljica cestovnog prometa
Q001252	Strukovni učitelj/strukovna učiteljica prometa
Q001253	Strukovni učitelj/strukovna učiteljica PT prometa
Q001254	Strukovni učitelj/strukovna učiteljica unutarnjeg prometa
Q001255	Strukovni učitelj/strukovna učiteljica zaštite na radu
Q001256	Strukovni učitelj/strukovna učiteljica protupožarne zaštite
Q001257	Strukovni učitelj/strukovna učiteljica ratarstva i povrtlarstva
Q001258	Strukovni učitelj/strukovna učiteljica stočarstva
Q001259	Strukovni učitelj/strukovna učiteljica voćarstva i vinogradarstva
Q001260	Strukovni učitelj/strukovna učiteljica prehrambene tehnologije
Q001261	Strukovni učitelj/strukovna učiteljica melioracije
Q001262	Strukovni učitelj/strukovna učiteljica domaćinstva
Q001263	Strukovni učitelj/strukovna učiteljica šumarstva
Q001264	Strukovni učitelj/strukovna učiteljica njege bolesnika
Q001265	Strukovni učitelj/strukovna učiteljica ginekološko-opstetričke njege
Q001266	Strukovni učitelj/strukovna učiteljica zdravstvene laboratorijske tehnike
Q001267	Strukovni učitelj/strukovna učiteljica kozmetologije
Q001268	Strukovni učitelj/strukovna učiteljica fizioterapije
Q001269	Strukovni učitelj/strukovna učiteljica veterinarstva
Q001270	Strukovni učitelj/strukovna učiteljica
Q001271	Suradnik/suradnica u praktičnoj nastavi
Q001272	Zastupnik/zastupnica osiguranja
Q001273	Zastupnik/zastupnica pomorskog osiguranja
Q001274	Organizator/organizatorica putovanja
Q001275	Ekonomist/ekonomistica turizma i ugostiteljstva
Q001276	Komesar/komesarica broda
Q001277	Tehnički zastupnik/tehnička zastupnica trgovine
Q001278	Voditelj/voditeljica poslovnice prodaje
Q001279	Poslovođa/poslovotkinja trgovine
Q001280	Poslovođa/poslovotkinja skladišta
Q001281	Voditelj/voditeljica skladišnog poslovanja
Q001282	Nabavljač/nabavljačica
Q001283	Voditelj/voditeljica poslovnice nabave
Q001284	Procjenitelj/procjeniteljica umjetnina
Q001285	Dražbovatelj/dražbovateljica
Q001286	Ekonomist/ekonomistica marketinga
Q001287	Ekonomist/ekonomistica za hotelijerstvo
Q001288	Ekonomist/ekonomistica za poljoprivredu
Q001289	Pozajmljivač/pozajmljivačica novca
Q001290	Trgovački posrednik/trgovačka posrednica
Q001291	Brodarski broker/brodarska brokerica
Q001292	Tarifer/tariferka
Q001293	Transportni agent/transportna agentica
Q001294	Pomorski agent/pomorska agentica
Q001295	Špediter/špediterka
Q001296	Savjetodavac/savjetodavka pri zapošljavanju
Q001297	Posrednik/posrednica pri zapošljavanju
Q001298	Posrednik/posrednica komisijske prodaje
Q001299	Posrednik/posrednica za izložbene prostore
Q001300	Poslovni tajnik/poslovna tajnica
Q001301	Ekonomist/ekonomistica za kalkulacije
Q001302	Knjigovođa bilancist/knjigovotkinja bilancistica
Q001303	Voditelj/voditeljica analitičkofinancijskih poslova
Q001304	Ekonomist/ekonomistica
Q001305	Statističar/statističarka
Q001306	Carinik/carinica
Q001307	Porezni službenik/porezna službenica
Q001308	Socijalni radnik/socijalna radnica za ostvarivanje prava
Q001309	Upravni službenik/upravna službenica za isprave
Q001310	Voditelj/voditeljica matičnog ureda
Q001311	Matičar/matičarka
Q001312	Voditelj/voditeljica ispostave II. Vrste zvanja
Q001313	Voditelj/voditeljica odjeljka II. Vrste zvanja
Q001314	Predstojnik/predstojnica pododsjeka II. Vrste zvanja
Q001315	Pristav II. Vrste zvanja p.n.
Q001316	Namještenik/namještenica II. Vrste zvanja p.n.
Q001317	Inspektor/inspektorica II. Vrste zvanja p.n.
Q001318	Voditelj/voditeljica zaštitarskih poslova
Q001319	Privatni detektiv/privatna detektivka
Q001320	Socijalni radnik/socijalna radnica u centru
Q001321	Socijalni radnik/socijalna radnica u domu
Q001322	Socijalni radnik/socijalna radnica u obrazovanju
Q001323	Socijalni radnik/socijalna radnica u zdravstvu
Q001324	Socijalni radnik/socijalna radnica u pravosuđu
Q001325	Dizajner/dizajnerica tekstila i odjeće
Q001326	Dizajner/dizajnerica kože
Q001327	Modelar i konstruktor/modelarka i konstruktorica obuće
Q001328	Modelar i konstruktor/modelarka i konstruktorica kožne galanterije
Q001329	Dizajner/dizajnerica stakla
Q001330	Dizajner/dizajnerica keramike
Q001331	Grafički dizajner/grafička dizajnerica
Q001332	Scenski dizajner/scenska dizajnerica
Q001333	Dizajner/dizajnerica interijera
Q001334	Aranžer/aranžerka
Q001335	Ilustrator/ilustratorica
Q001336	Najavljivač/najavljivačica programa
Q001337	Diskodžokej
Q001338	Pjevač/pjevačica zabavne i narodne glazbe
Q001339	Pjevač/pjevačica zbora
Q001340	Klavirist/klaviristica
Q001341	Klavijaturist/klavijaturistica
Q001342	Violinist/violinistica
Q001343	Violist/violistica
Q001344	Violončelist/violončelistica
Q001345	Kontrabasist/kontrabasistica
Q001346	Bas-gitarist/bas-gitaristica
Q001347	Gitarist/gitaristica
Q001348	Oboist/oboistica
Q001349	Flautist/flautistica
Q001350	Klarinetist/klarinetistica
Q001351	Saksofonist/saksofonistica
Q001352	Fagotist/fagotistica
Q001353	Rogist/rogistica
Q001354	Trubljač/trubljačica
Q001355	Trombonist/trombonistica
Q001356	Tubist/tubistica
Q001357	Udaraljkaš/udaraljkašica
Q001358	Bubnjar/bubnjarica
Q001359	Harmonikaš/harmonikašica
Q001360	Tamburaš/tamburašica
Q001361	Orguljaš/orguljašica
Q001362	Glazbenik/glazbenica
Q001363	Dirigent/dirigentica zbora
Q001364	Glazbeni skladatelj/glazbena skladateljica
Q001365	Pisac tekstova za pjesme
Q001366	Plesač/plesačica
Q001367	Statist/statistica
Q001368	Šaptač/šaptačica
Q001369	Inspicijent/inspicijentica drame
Q001370	Komičar/komičarka
Q001371	Kaskader/kaskaderka
Q001372	Voditelj/voditeljica sportske rekreacije
Q001373	Sportski trener/sportska trenerica
Q001374	Sportski sudac/sportska sutkinja
Q001375	Viši arhivski službenik/viša arhivska službenica
Q001376	Knjižničar/knjižničarka
Q001377	Jerej
Q001378	Jeromonah
Q001379	Mualim
Q001380	Mujezin
Q001381	Teolog/teologinja
Q001382	Župni asistent/župna asistentica
Q001383	Daktilograf/daktilografkinja
Q001384	Operator/operatorica računala za tekst
Q001385	Operator/operatorica za unos podataka
Q001386	Tajnica
Q001387	Knjigovođa/knjigovotkinja zaliha
Q001388	Financijski knjigovođa/financijska knjigovotkinja
Q001389	Službenik/službenica obračuna plaća
Q001390	Kalkulant/kalkulantica
Q001391	Knjigovođa/knjigovotkinja
Q001392	Ekonomski službenik/ekonomska službenica
Q001393	Službenik/službenica deviznog poslovanja
Q001394	Kreditni službenik/kreditna službenica
Q001395	Bankovni službenik/bankovna službenica
Q001396	Službenik/službenica obrade osiguranja
Q001397	Pomoćni skladištar/pomoćna skladištarka
Q001398	Skladištar/skladištarka alata
Q001399	Rekviziter/rekviziterka
Q001400	Evidentičar/evidentičarka u proizvodnji
Q001401	Špediterskoagencijski službenik/špediterskoagencijska službenica
Q001402	Prometnik/prometnica vlakova
Q001403	Vlakovođa/vlakovotkinja
Q001404	Zrakoplovni prometnik/zrakoplovna prometnica
Q001405	Komercijalni službenik/komercijalna službenica
Q001406	Videotekar/videotekarica
Q001407	Iznajmljivač/iznajmljivačica plovila
Q001408	Iznajmljivač/iznajmljivačica opreme
Q001409	Arhivski službenik/arhivska službenica
Q001410	Voditelj/voditeljica pisarnice
Q001411	Pomoćni knjižničar/pomoćna knjižničarka
Q001412	Pomoćni poštar/pomoćna poštarica
Q001413	Poštar/poštarica
Q001414	Voditelj/voditeljica poštanskog ureda
Q001415	Šifrant/šifrantica
Q001416	Korektor/korektorica
Q001417	Upravni službenik/upravna službenica
Q001418	Službenik/službenica kadrovskih poslova
Q001419	Blagajnik/blagajnica u prodavaonici
Q001420	Bankovni šalterski službenik/bankovna šalterska službenica
Q001421	Blagajnik/blagajnica
Q001422	Prodavač/prodavačica ulaznica
Q001423	PT-šalterski službenik/PT-šalterska službenica
Q001424	Mjenjač/mjenjačica novca
Q001425	Primatelj/primateljica uloga za klađenje
Q001426	Krupje
Q001427	Skupljač/skupljačica dugova
Q001428	Šalterski službenik/šalterska službenica putničke agencije
Q001429	Željeznički robno-putnički blagajnik/željeznička robno-putnička blagajnica
Q001430	Prodavač/prodavačica autobusnih karata
Q001431	Prodavač/prodavačica zrakoplovnih karata
Q001432	Prodavač/prodavačica putničkih karata
Q001433	Službenik/službenica za informacije
Q001434	Telefonist/telefonistica
Q001435	Voditeljica u kabini zrakoplova
Q001436	Zemaljska domaćica
Q001437	Brodska sobarica
Q001438	Željeznički kondukter/željeznička kondukterka
Q001439	Kondukter/kondukterka u cestovnome putničkom prometu
Q001440	Kondukter/kondukterka
Q001441	Vodič/vodičica
Q001442	Hotelska domaćica
Q001443	Domaćica kuhinje
Q001444	Hotelska sobarica
Q001445	Domar/domarka kampa
Q001446	Domar/domarka planinarskog doma
Q001447	Pomoćni kuhar/pomoćna kuharica
Q001448	Kuhar/kuharica
Q001449	Brodski kuhar/brodska kuharica
Q001450	Pečenjar/pečenjarica
Q001451	Konobar/konobarica
Q001452	Barmen/barmenica
Q001453	Natkonobar/natkonobarica
Q001454	Brodski konobar/brodska konobarica
Q001455	Brodski natkonobar/brodska natkonobarica
Q001456	Njegovatelj/njegovateljica djece
Q001457	Udomitelj/udomiteljica
Q001458	Babica
Q001459	Njegovatelj/njegovateljica u bolnici
Q001460	Njegovatelj/njegovateljica osoba s teškoćama razvoju
Q001461	Njegovatelj/njegovateljica životinja
Q001462	Frizer/frizerka za žene
Q001463	Frizer/frizerka za muškarce
Q001464	Frizer/frizerka
Q001465	Kozmetičar/kozmetičarka
Q001466	Pediker/pedikerka
Q001467	Maser/maserka
Q001468	Maser kupeljar/maserka kupeljarka
Q001469	Grobar/grobarka
Q001470	Domaćin/domaćica kluba
Q001471	Plesni partner/plesna partnerica
Q001472	Astrolog/astrologinja
Q001473	Gatara
Q001474	Vatrogasac/vatrogasica
Q001475	Policajac/policajka
Q001476	Pravosudni policajac/pravosudna policajka
Q001477	Komunalni redar/komunalna redarica
Q001478	Čuvar/čuvarica objekata i okoliša
Q001479	Lovočuvar/lovočuvarica
Q001480	Maneken/manekenka
Q001481	Umjetnički model
Q001482	Dostavljač/dostavljačica robe
Q001483	Prodavač/prodavačica
Q001484	Prodavač/prodavačica kemikalija za poljoprivredu
Q001485	Prodavač/prodavačica vozila
Q001486	Trgovački demonstrator i prodavač/trgovačka demonstratorica i prodavačica
Q001487	Ratar/ratarica
Q001488	Vrtlar/vrtlarica
Q001489	Vrtlar, specijalizirani/vrtlarica, specijalizirana
Q001490	Vrtlar/vrtlarica za parkove
Q001491	Cvjećar/cvjećarica
Q001492	Uzgajivač/uzgajivačica ljekovitog bilja
Q001493	Uzgajivač/uzgajivačica goveda
Q001494	Uzgajivač/uzgajivačica svinja
Q001495	Stočar/stočarica
Q001496	Uzgajivač/uzgajivačica pasa
Q001497	Uzgajivač/uzgajivačica mačaka
Q001498	Dreser/dreserica pasa
Q001499	Trener/trenerica konja
Q001500	Peradar/peradarica
Q001501	Pomoćni uzgajivač/pomoćna uzgajivačica životinja
Q001502	Uzgajivač/uzgajivačica puževa
Q001503	Uzgajivač/uzgajivačica žaba
Q001504	Uzgajivač/uzgajivačica gujavica
Q001505	Uzgajivač/uzgajivačica raznih životinja
Q001506	Uzgajivač/uzgajivačica životinja za krzno
Q001507	Uzgajivač/uzgajivačica kunića za meso
Q001508	Uzgajivač/uzgajivačica ptica
Q001509	Uzgajivač/uzgajivačica laboratorijskih životinja
Q001510	Pomoćni uzgajivač/pomoćna uzgajivačica divljači
Q001511	Pčelar/pčelarica
Q001512	Uzgajivač/uzgajivačica dudova prelca
Q001513	Šumski rasadničar/šumska rasadničarka
Q001514	Šumski uzgajivač/šumska uzgajivačica
Q001515	Šumski sjekač/šumska sjekačica
Q001516	Mrjestilišni uzgajivač/mrjestilišna uzgajivačica
Q001517	Ronitelj/roniteljica spužvi i koralja
Q001518	Ribar/ribarka na otvorenome moru
Q001519	Lovac/lovkinja
Q001520	Pomoćni rudar/pomoćna rudarica površinskoga kopa
Q001521	Rudar/rudarica površinskoga kopa
Q001522	Pomoćni rudar/pomoćna rudarica podzemnoga kopa
Q001523	rudar/rudarica podzemnoga kopa
Q001524	pomoćni rudarski tesar/pomoćna rudarska tesarica
Q001525	rudarski tesar/rudarska tesarica
Q001526	podgrađivač okna, specijalizirani /podgrađivačica okna, specijalizirana
Q001527	palitelj/paliteljica mina
Q001528	pirotehničar/pirotehničarka
Q001529	protugradni raketar/protugradna raketarica
Q001530	klesar/klesarica
Q001531	proizvođač/proizvođačica soli
Q001532	solanski vodar/solanska vodarica
Q001533	pomoćni zidar/pomoćna zidarica
Q001534	zidar/zidarica
Q001535	zidar šamoter/zidarica šamoterica
