C000001_sk_000	Príslušníci ozbrojených síl
C002002_sk_001	učiteľ odborných predmetov v oblasti medicínskej laboratórnej technológie
C002002_sk_002	učiteľka odborných predmetov v oblasti medicínskej laboratórnej technológie
C002003_sk_000	operátor/operátorka parného generátora
C002003_sk_001	operátor parného generátora
C002003_sk_002	operátorka parného generátora
C002004_sk_000	poskytovateľ/poskytovateľka nemocničnej sociálnej starostlivosti
C002004_sk_001	poskytovateľ nemocničnej sociálnej starostlivosti
C002004_sk_002	poskytovateľka nemocničnej sociálnej starostlivosti
C002004_sk_003	sociálna pracovníčka v nemocnici
C002004_sk_004	sociálny pracovník v nemocnici
C002005_sk_000	produktový manažér/produktová manažérka v poisťovníctve
C002005_sk_001	manažér vývoja poistných produktov
C002005_sk_002	manažérka vývoja poistných produktov
C002005_sk_003	produktová manažérka v poisťovníctve
C002005_sk_004	produktový manažér v poisťovníctve
C002006_sk_000	brusič/brusička drahých kameňov
C002006_sk_001	brusič drahých kameňov
C002006_sk_002	brusička drahých kameňov
C002007_sk_000	manažér/manažérka distribúcie ovocia a zeleniny
C002007_sk_001	manažér distribúcie ovocia a zeleniny
C002007_sk_002	manažérka distribúcie ovocia a zeleniny
C002008_sk_000	senátor/senátorka
C002008_sk_001	senátor
C002008_sk_002	senátorka
C002009_sk_000	vedúci/vedúca výskumu a vývoja
C002009_sk_001	riaditeľ výskumu a vývoja
C002009_sk_002	riaditeľka výskumu a vývoja
C002009_sk_003	vedúca výskumu a vývoja
C002009_sk_004	vedúci výskumu a vývoja
C002010_sk_000	montážnik/montážnička výrobkov z gumy
C002010_sk_001	montážnik gumových výrobkov
C002010_sk_002	montážnik výrobkov z gumy
C002010_sk_003	montážnička gumových výrobkov
C002010_sk_004	montážnička výrobkov z gumy
C002011_sk_000	manažér/manažérka vnútrozemskej vodnej prepravy
C002011_sk_001	manažér vnútrozemskej vodnej prepravy
C002011_sk_002	manažérka vnútrozemskej vodnej prepravy
C002012_sk_000	montér/montérka kanalizačných potrubí
C002012_sk_001	montér kanalizačných potrubí
C002012_sk_002	montérka kanalizačných potrubí
C002013_sk_000	interiérový dizajnér/interiérová dizajnérka
C002013_sk_001	interiérová dizajnérka
C002013_sk_002	interiérový dizajnér
C002014_sk_000	dispečer/dispečerka distribúcie elektrickej energie
C002014_sk_001	dispečer distribúcie elektrickej energie
C002014_sk_002	dispečerka distribúcie elektrickej energie
C002015_sk_000	operátor/operátorka lakovacej striekacej pištole
C002015_sk_001	operátor lakovej striekacej pištole
C002015_sk_002	operátorka lakovej striekacej pištole
C002016_sk_000	kontrolór/kontrolórka procesov v textilnom priemysle
C002016_sk_001	kontrolór procesov v textilnom priemysle
C002016_sk_002	kontrolórka procesov v textilnom priemysle
C002017_sk_000	majordóm
C002018_sk_000	bezpečnostný poradca/bezpečnostná poradkyňa pre prepravu nebezpečného tovaru
C002018_sk_001	bezpečnostná poradkyňa pre prepravu nebezpečného tovaru
C002018_sk_002	bezpečnostný poradca pre prepravu nebezpečného tovaru
C002019_sk_000	kontrolór/kontrolórka montážnych postupov
C002019_sk_001	kontrolór montážnych postupov
C002019_sk_002	kontrolórka montážnych postupov
C002020_sk_000	aromaterapeut/aromaterapeutka
C002020_sk_001	aromaterapeut
C002020_sk_002	aromaterapeutka
C002021_sk_000	bankový manažér/banková manažérka
C002021_sk_001	banková manažérka
C002021_sk_002	bankový manažér
C002021_sk_003	manažér v bankovníctve
C002021_sk_004	manažér v oblasti bankových služieb
C002021_sk_005	manažérka v bankovníctve
C002021_sk_006	manažérka v oblasti bankových služieb
C002022_sk_000	konzervátor/konzervátorka
C002022_sk_001	konzervátor
C002022_sk_002	konzervátorka
C002023_sk_000	technik údržby/technička údržby železničnej infraštruktúry
C002023_sk_001	technik údržby železničnej infraštruktúry
C002023_sk_002	technička údržby železničnej infraštruktúry
C002024_sk_000	špecialista/špecialistka na ťažbu ropy
C002024_sk_001	špecialista na ťažbu ropy
C002024_sk_002	špecialistka na ťažbu ropy
C002025_sk_000	grafológ/grafologička
C002025_sk_001	grafologička
C002025_sk_002	grafológ
C002026_sk_000	sociálny pracovník/sociálna pracovníčka pre krízové situácie
C002026_sk_001	sociálna pracovníčka pre krízové situácie
C002026_sk_002	sociálny pracovník pre krízové situácie
C002027_sk_000	montážny pracovník/montážna pracovníčka solárnych zariadení
C002027_sk_001	montážna pracovníčka solárnych zariadení
C002027_sk_002	montážny pracovník solárnych zariadení
C002027_sk_003	solárna technička
C002027_sk_004	solárny technik
C002028_sk_000	technik/technička železničných elektronických zariadení
C002028_sk_001	technik elektronických zariadení v železničnej doprave
C002028_sk_002	technik železničných elektronických zariadení
C002028_sk_003	technička elektronických zariadení v železničnej doprave
C002028_sk_004	technička železničných elektronických zariadení
C002029_sk_000	údržbár/údržbárka potrubí
C002029_sk_001	potrubár
C002029_sk_002	potrubárka
C002029_sk_003	údržbár potrubných rozvodov
C002029_sk_004	údržbár potrubí
C002029_sk_005	údržbárka potrubných rozvodov
C002029_sk_006	údržbárka potrubí
C002030_sk_000	vedúci/vedúca predajne nábytku
C002030_sk_001	vedúca nábytkárstva
C002030_sk_002	vedúca predajne nábytku
C002030_sk_003	vedúci nábytkárstva
C002030_sk_004	vedúci predajne nábytku
C002031_sk_000	CAD modelár odevov/CAD modelárka odevov
C002031_sk_001	CAD modelár odevov
C002031_sk_002	CAD modelárka odevov
C002032_sk_000	rádiologický technik/rádiologická technička
C002032_sk_001	rádiologická technička
C002032_sk_002	rádiologický technik
C002033_sk_000	poradca/poradkyňa pri chudnutí
C002033_sk_001	poradca pre chudnutie
C002033_sk_002	poradca pri chudnutí
C002033_sk_003	poradkyňa pre chudnutie
C002033_sk_004	poradkyňa pri chudnutí
C002033_sk_005	výživová poradkyňa
C002033_sk_006	výživový poradca
C002034_sk_000	technik v oblasti audiovizuálnych zariadení/technička v oblasti audiovizuálnych zariadení
C002034_sk_001	technik v oblasti audiovizuálnych zariadení
C002034_sk_002	technička v oblasti audiovizuálnych zariadení
C002035_sk_000	operátor/operátorka strojov na drôtené pletivo
C002035_sk_001	operátor strojov na drôtené pletivo
C002035_sk_002	operátorka strojov na drôtené pletivo
C002036_sk_000	koordinátor/koordinátorka súdnej poroty
C002036_sk_001	koordinátor súdnej poroty
C002036_sk_002	koordinátorka súdnej poroty
C002037_sk_000	montážnik/montážnička motocyklov
C002037_sk_001	montážnik motocyklov
C002037_sk_002	montážnička motocyklov
C002038_sk_000	dôstojník delostrelectva/dôstojníčka delostrelectva
C002038_sk_001	delostrelecká dôstojníčka
C002038_sk_002	delostrelecký dôstojník
C002038_sk_003	dôstojník delostrelectva
C002038_sk_004	dôstojníčka delostrelectva
C002039_sk_000	riadiaci pracovník auditu IT/riadiaca pracovníčka auditu IT
C002039_sk_001	manažér auditu IKT
C002039_sk_002	manažér kontroly IT
C002039_sk_003	manažérka auditu IKT
C002039_sk_004	manažérka kontroly IT
C002039_sk_005	riadiaca pracovníčka auditu IT
C002039_sk_006	riadiaci pracovník auditu IT
C002039_sk_007	vedúca auditového oddelenia
C002039_sk_008	vedúci auditového oddelenia
C002040_sk_000	učiteľ/učiteľka Montessoriovej metódou
C002040_sk_001	učiteľ Montessoriovej metódou
C002040_sk_002	učiteľka Montessoriovej metódou
C002041_sk_000	špecialista/špecialistka na uvádzanie systémov do prevádzky
C002041_sk_001	špecialista na uvádzanie systémov do prevádzky
C002041_sk_002	špecialistka na uvádzanie systémov do prevádzky
C002042_sk_000	zubný technik/zubná technička
C002042_sk_001	zubná technička
C002042_sk_002	zubný technik
C002043_sk_000	varietný umelec/varietná umelkyňa
C002043_sk_001	varietná umelkyňa
C002043_sk_002	varietný umelec
C002044_sk_000	etický hacker/etická hackerka
C002044_sk_001	analytik zraniteľnosti
C002044_sk_002	analytička zraniteľnosti
C002044_sk_003	etická hackerka
C002044_sk_004	etický hacker
C002044_sk_005	tester bezpečnosti IT
C002044_sk_006	testerka bezpečnosti IT
C002045_sk_000	skladač/skladačka šperkov
C002045_sk_001	skladač šperkov
C002045_sk_002	skladačka šperkov
C002046_sk_000	ortoptik/ortoptička
C002046_sk_001	ortoptik
C002046_sk_002	ortoptička
C002047_sk_000	riaditeľ/riaditeľka rekreačného zariadenia
C002047_sk_001	riaditeľ rekreačného zariadenia
C002047_sk_002	riaditeľka rekreačného zariadenia
C002047_sk_003	vedúca rekreačného strediska
C002047_sk_004	vedúca rekreačného zariadenia
C002047_sk_005	vedúci rekreačného strediska
C002047_sk_006	vedúci rekreačného zariadenia
C002048_sk_000	súkromný detektív/súkromná detektívka
C002048_sk_001	súkromná detektívka
C002048_sk_002	súkromný detektív
C002049_sk_000	kontrolór/kontrolórka cestovných lístkov
C002049_sk_001	kontrolór cestovných lístkov
C002049_sk_002	kontrolórka cestovných lístkov
C002050_sk_000	operátor/operátorka stroja na sklolaminátové nástreky
C002050_sk_001	operátor stroja na sklolaminátové nástreky
C002050_sk_002	operátorka stroja na sklolaminátové nástreky
C002051_sk_000	predavač/predavačka kozmetiky a parfumov
C002051_sk_001	predavač drogistického tovaru a kozmetiky
C002051_sk_002	predavač kozmetiky a parfumov
C002051_sk_003	predavačka drogistického tovaru a kozmetiky
C002051_sk_004	predavačka kozmetiky a parfumov
C002052_sk_000	pracovník/pracovníčka v lesníctve
C002052_sk_001	drevorubač
C002052_sk_002	drevorubačka
C002052_sk_003	lesná pracovníčka
C002052_sk_004	lesný pracovník
C002052_sk_005	pracovník v lesníctve
C002052_sk_006	pracovníčka v lesníctve
C002053_sk_000	interiérový poradca/interiérová poradkyňa
C002053_sk_001	interiérová poradkyňa
C002053_sk_002	interiérový poradca
C002054_sk_000	jadrový technik/jadrová technička
C002054_sk_001	jadrová technička
C002054_sk_002	jadrový technik
C002055_sk_000	riadiaci pracovník/riadiaca pracovníčka bezpečnosti IT
C002055_sk_001	bezpečnostná administrátorka
C002055_sk_002	bezpečnostná koordinátorka
C002055_sk_003	bezpečnostný administrátor
C002055_sk_004	bezpečnostný koordinátor
C002055_sk_005	manažér bezpečnosti IKT
C002055_sk_006	manažér informačnej bezpečnosti
C002055_sk_007	manažérka bezpečnosti IKT
C002055_sk_008	manažérka informačnej bezpečnosti
C002055_sk_009	odborník na bezpečnosť IT
C002055_sk_010	odborníčka na bezpečnosť IT
C002055_sk_011	riadiaca pracovníčka bezpečnosti IT
C002055_sk_012	riadiaci pracovník bezpečnosti IT
C002056_sk_000	inštruktor/inštruktorka snowboardingu
C002056_sk_001	inštruktor snowboardingu
C002056_sk_002	inštruktorka snowboardingu
C002057_sk_000	fotonik špecialista/fotonička špecialistka
C002057_sk_001	fotonik špecialista
C002057_sk_002	fotonička špecialistka
C002058_sk_000	manažér/manažérka regulatórnych záležitostí
C002058_sk_001	manažér pre dohľad nad dodržiavaním predpisov
C002058_sk_002	manažér regulatórnych záležitostí
C002058_sk_003	manažérka regulatórnych záležitostí
C002058_sk_004	manžérka pre dohľad nad dodržiavaním predpisov
C002059_sk_000	operátor/operátorka drevoobrábacieho stroja na výrobu nábytku
C002059_sk_001	obsluhovač stroja na výrobu dreveného nábytku
C002059_sk_002	obsluhovačka stroja na výrobu dreveného nábytku
C002059_sk_003	operátor drevoobrábacieho stroja na výrobu nábytku
C002059_sk_004	operátorka drevoobrábacieho stroja na výrobu nábytku
C002060_sk_000	operátor/operátorka valcovacieho stroja na závity
C002060_sk_001	operátor valcovacieho stroja na závity
C002060_sk_002	operátorka valcovacieho stroja na závity
C002061_sk_000	elektromechanický inžinier/elektromechanická inžinierka
C002061_sk_001	elektromechanická inžinierka
C002061_sk_002	elektromechanický inžinier
C002062_sk_000	módny návrhár/módna návrhárka
C002062_sk_001	módna návrhárka
C002062_sk_002	módny návrhár
C002063_sk_000	reprografický technik/reprografická technička
C002063_sk_001	reprografická technička
C002063_sk_002	reprografický technik
C002064_sk_000	špecialista/špecialistka v oblasti medzinárodných vzťahov
C002064_sk_001	špecialista v oblasti medzinárodných vzťahov
C002064_sk_002	špecialistka v oblasti medzinárodných vzťahov
C002065_sk_000	DTP špecialista/špecialistka
C002065_sk_001	DTP špecialista
C002065_sk_002	DTP špecialistka
C002066_sk_000	operátor/operátorka stroja na plnenie kapsúl
C002066_sk_001	operátor plničky kapsúl
C002066_sk_002	operátor stroja na plnenie kapsúl
C002066_sk_003	operátorka plničky kapsúl
C002066_sk_004	operátorka stroja na plnenie kapsúl
C002067_sk_000	technik/technička v robotike
C002067_sk_001	technik v robotike
C002067_sk_002	technička v robotike
C002068_sk_000	prieskumník trhu/prieskumníčka trhu
C002068_sk_001	prieskumník trhu
C002068_sk_002	prieskumníčka trhu
C002069_sk_000	vedúci/vedúca skladu opracovaných koží
C002069_sk_001	supervízor skladu opracovaných koží
C002069_sk_002	supervízorka skladu opracovaných koží
C002069_sk_003	vedúca skladu opracovaných koží
C002069_sk_004	vedúci skladu opracovaných koží
C002070_sk_000	montážnik/montážnička autodielov
C002070_sk_001	montážnik autodielov
C002070_sk_002	montážnička autodielov
C002071_sk_000	manažér/manažérka plánovania a prevádzky diaľkových potrubných vedení
C002071_sk_001	manažér plánovania a prevádzky diaľkových potrubných vedení
C002071_sk_002	manažérka plánovania a prevádzky diaľkových potrubných vedení
C002072_sk_000	špecialista/špecialistka v oblasti zdravia a bezpečnosti pri práci
C002072_sk_001	špecialista v oblasti zdravia a bezpečnosti pri práci
C002072_sk_002	špecialistka v oblasti zdravia a bezpečnosti pri práci
C002073_sk_000	veľkoobchodný sprostredkovateľ/veľkoobchodná sprostredkovateľka v oblasti odpadu a šrotu
C002073_sk_001	veľkoobchodná sprostredkovateľka v oblasti odpadu a šrotu
C002073_sk_002	veľkoobchodný sprostredkovateľ v oblasti odpadu a šrotu
C002074_sk_000	špecialista na terapiu tancom/špecialistka na terapiu tancom
C002074_sk_001	tanečná terapeutka
C002074_sk_002	tanečný terapeut
C002074_sk_003	špecialista na terapiu tancom
C002074_sk_004	špecialistka na terapiu tancom
C002075_sk_000	účtovník/účtovníčka vo verejnom sektore
C002075_sk_001	účtovník vo verejnom sektore
C002075_sk_002	účtovníčka vo verejnom sektore
C002076_sk_000	zmiešavač/zmiešavačka korenín
C002076_sk_001	miešač korenín
C002076_sk_002	miešačka korenín
C002076_sk_003	obsluha prístroja na zmiešavanie korenín
C002076_sk_004	pracovník namiešavania korenín
C002076_sk_005	pracovníčka namiešavania korenín
C002076_sk_006	zmiešavač korenín
C002076_sk_007	zmiešavačka korenín
C002077_sk_000	sprievodca/sprievodkyňa v školskom autobuse
C002077_sk_001	sprievodca v školskom autobuse
C002077_sk_002	sprievodkyňa v školskom autobuse
C002078_sk_000	inštruktor tanca/inštruktorka tanca na vysokej škole múzických umení
C002078_sk_001	inštruktor tanca na vysokej škole múzických umení
C002078_sk_002	učiteľka tanca na vysokej škole múzických umení
C002079_sk_000	pracovník/pracovníčka služieb domácej starostlivosti o dospelých
C002079_sk_001	pracovník služieb domácej staroslivosti o dospelých
C002079_sk_002	pracovníčka služieb domácej staroslivosti o dospelých
C002080_sk_000	značkovač/značkovačka ciest
C002080_sk_001	značkovač ciest
C002080_sk_002	značkovačka ciest
C002081_sk_000	zvukový dizajnér/zvuková dizajnérka
C002081_sk_001	zvuková dizajnérka
C002081_sk_002	zvukový dizajnér
C002082_sk_000	vedúci/vedúca predajne ovocia a zeleniny
C002082_sk_001	vedúca predajne ovocia a zeleniny
C002082_sk_002	vedúci predajne ovocia a zeleniny
C002083_sk_000	asistent/asistentka učiteľa na strednej škole
C002083_sk_001	asistenka učiteľa na strednej škole
C002083_sk_002	asistent pedagóga na strednej škole
C002083_sk_003	asistent učiteľa na strednej škole
C002083_sk_004	asistentka pedagóga na strednej škole
C002084_sk_000	mechanik/mechanička vykurovacích, ventilačných, klimatizačných a chladiarenských zariadení
C002084_sk_001	mechanik vykurovacích, ventilačných, klimatizačných a chladiarenských zariadení
C002084_sk_002	mechanička vykurovacích, ventilačných, klimatizačných a chladiarenských zariadení
C002085_sk_000	referent/referentka cestovnej kancelárie
C002085_sk_001	cestovná agentka
C002085_sk_002	cestovný agent
C002085_sk_003	personál cestovnej kancelárie
C002085_sk_004	pracovník cestovnej agentúry
C002085_sk_005	pracovníčka cestovnej agentúry
C002085_sk_006	referent cestovnej kancelárie
C002085_sk_007	referentka cestovnej kancelárie
C002086_sk_000	nástrojár špecialista/nástrojárka špecialistka
C002086_sk_001	nástrojár špecialista
C002086_sk_002	nástrojárka špecialistka
C002086_sk_003	návrhár nástrojov
C002086_sk_004	návrhárka nástrojov
C002087_sk_000	licenčný manažér/licenčná manažérka
C002087_sk_001	licenčná manažérka
C002087_sk_002	licenčný manažér
C002088_sk_000	operátor/operátorka tunelovacieho raziaceho stroja
C002088_sk_001	operátor TBM
C002088_sk_002	operátor tunelovacieho raziaceho stroja
C002088_sk_003	operátorka TBM
C002088_sk_004	operátorka tunelovacieho raziaceho stroja
C002089_sk_000	rekvizitár/rekvizitárka
C002089_sk_001	rekvizitár
C002089_sk_002	rekvizitárka
C002089_sk_003	výrobca rekvizít
C002089_sk_004	výrobkyňa rekvizít
C002090_sk_000	riaditeľ/riaditeľka pre dodržiavanie predpisov a informačnú bezpečnosť v oblasti hazardných hier
C002090_sk_001	riaditeľ pre dodržiavanie predpisov a informačnú bezpečnosť v oblasti hazardných hier
C002090_sk_002	riaditeľka pre dodržiavanie predpisov a informačnú bezpečnosť v oblasti hazardných hier
C002091_sk_000	špecialista/špecialistka v oblasti recyklácie
C002091_sk_001	špecialista v oblasti recyklácie
C002091_sk_002	špecialistka v oblasti recyklácie
C002092_sk_000	analytik/analytička finančných rizík
C002092_sk_001	analytik finančných rizík
C002092_sk_002	analytička finančných rizík
C002093_sk_000	zvárač/zváračka
C002093_sk_001	zvárač
C002093_sk_002	zváračka
C002094_sk_000	technik kontroly kvality podzemnej vody/technička kontroly kvality podzemnej vody
C002094_sk_001	technik kontroly kvality podzemnej vody
C002094_sk_002	technička kontroly kvality podzemnej vody
C002095_sk_000	vedúci/vedúca zmeny v rafinérii
C002095_sk_001	vedúca zmeny v rafinérii
C002095_sk_002	vedúci zmeny v rafinérii
C002096_sk_000	riadiaci pracovník/riadiaca pracovníčka riešení technológií
C002096_sk_001	riadiaca pracovníčka riešení technológií
C002096_sk_002	riadiaci pracovník riešení technológií
C002097_sk_000	programový koordinátor/programová koordinátorka v športe
C002097_sk_001	programová koordinátorka v športe
C002097_sk_002	programový koordinátor v športe
C002098_sk_000	farmaceutický technik/farmaceutická technička
C002098_sk_001	farmaceutická technička
C002098_sk_002	farmaceutický technik
C002099_sk_000	redaktor/redaktorka právnych textov
C002099_sk_001	redaktor právnych textov
C002099_sk_002	redaktorka právnych textov
C002100_sk_000	technik/technička respiračnej terapie
C002100_sk_001	technik respiračnej terapie
C002100_sk_002	technička respiračnej terapie
C002101_sk_000	banský špecialista plánovač/banská špecialistka plánovačka
C002101_sk_001	banská špecialistka plánovačka
C002101_sk_002	banský špecialista plánovač
C002102_sk_000	špecialista/špecialistka na distribúciu plynu
C002102_sk_001	špecialista na distribúciu plynu
C002102_sk_002	špecialistka na distribúciu plynu
C002103_sk_000	poradca/poradkyňa pre poistné riziko
C002103_sk_001	poradca pre poistné riziko
C002103_sk_002	poradkyňa pre poistné riziko
C002104_sk_000	videoumelec/videoumelkyňa
C002104_sk_001	videoumelec
C002104_sk_002	videoumelkyňa
C002105_sk_000	technik/technička kvality kožiarskych výrobkov
C002105_sk_001	technik kvality kožiarskych výrobkov
C002105_sk_002	technička kvality kožiarskych výrobkov
C002106_sk_000	farmaceut/farmaceutka
C002106_sk_001	farmaceut
C002106_sk_002	farmaceut špecialista v lekárenstve
C002106_sk_003	farmaceutka
C002106_sk_004	farmaceutka špecialistka v lekárenstve
C002107_sk_000	supervízor/supervízorka stavby a údržby ciest
C002107_sk_001	supervízor stavby a údržby ciest
C002107_sk_002	supervízorka stavby a údržby ciest
C002108_sk_000	projektant/projektantka železničných koľajových vozidiel
C002108_sk_001	projektant železničných koľajových vozidiel
C002108_sk_002	projektantka železničných koľajových vozidiel
C002109_sk_000	operátor/operátorka hasičského čerpadla
C002109_sk_001	operátor hasičského čerpadla
C002109_sk_002	operátor požiarneho čerpadla
C002109_sk_003	operátorka hasičského čerpadla
C002109_sk_004	operátorka požiarneho čerpadla
C002110_sk_000	vzdelávací pracovník/vzdelávacia pracovníčka v zoologickej záhrade
C002110_sk_001	vzdelávacia pracovníčka v zoologickej záhrade
C002110_sk_002	vzdelávací pracovník v zoologickej záhrade
C002111_sk_000	banský dispečer/banská dispečerka
C002111_sk_001	banská dispečerka
C002111_sk_002	banský dispečer
C002111_sk_003	dispečer v bani
C002111_sk_004	dispečerka v bani
C002112_sk_000	rukavičkár/rukavičkárka
C002112_sk_001	rukavičkár
C002112_sk_002	rukavičkárka
C002112_sk_003	výrobca rukavíc
C002112_sk_004	výrobkyňa rukavíc
C002113_sk_000	umývač/umývačka motorových vozidiel
C002113_sk_001	umývač motorových vozidiel
C002113_sk_002	umývačka motorových vozidiel
C002114_sk_000	mlynársky pracovník/mlynárska pracovníčka v liehovare
C002114_sk_001	mlynár v liehovare
C002114_sk_002	mlynárka v liehovare
C002114_sk_003	mlynárska pomocníčka v pálenici
C002114_sk_004	mlynárska pracovníčka v pálenici
C002114_sk_005	mlynársky pomocník v pálenici
C002114_sk_006	mlynársky pracovník v pálenici
C002114_sk_007	spracovateľ obilia v liehovare
C002114_sk_008	spracovateľka obilia v liehovare
C002115_sk_000	operátor/operátorka elektrizačných prenosových sústav
C002115_sk_001	operátor elektrizačných prenosových sústav
C002115_sk_002	operátorka elektrizačných prenosových sústav
C002116_sk_000	pracovník/pracovníčka v útulku pre zvieratá
C002116_sk_001	pracovník zvieracieho útulku
C002116_sk_002	pracovník útulku pre zvieratá
C002116_sk_003	pracovníčka v útulku pre zvieratá
C002116_sk_004	pracovníčka zvieracieho útulku
C002117_sk_000	technik/technička rádiologickej diagnostiky
C002117_sk_001	technik rádiologickej diagnostiky
C002117_sk_002	technička rádiologickej diagnostiky
C002118_sk_000	vedúci/vedúca umelecko-dekoračnej dielne
C002118_sk_001	vedúca umeleckej dielne
C002118_sk_002	vedúca umelecko-dekoračnej dielne
C002118_sk_003	vedúci umeleckej dielne
C002118_sk_004	vedúci umelecko-dekoračnej dielne
C002119_sk_000	operátor/operátorka šijacieho stroja
C002119_sk_001	operátor šijacieho stroja
C002119_sk_002	operátorka šijacieho stroja
C002119_sk_003	šič
C002119_sk_004	šička
C002120_sk_000	mechanik/mechanička údržby leteckých plynových turbínových motorov
C002120_sk_001	mechanik údržby leteckých plynových turbínových motorov
C002120_sk_002	mechanička údržby leteckých plynových turbínových motorov
C002121_sk_000	riaditeľ/riaditeľka tlmočníckej agentúry
C002121_sk_001	riaditeľ tlmočníckej agentúry
C002121_sk_002	riaditeľka tlmočníckej agentúry
C002122_sk_000	potravinový inšpektor/potravinová inšpektorka
C002122_sk_001	hygienik
C002122_sk_002	hygienička
C002122_sk_003	inšpektor bezpečnosti potravín
C002122_sk_004	inšpektorka bezpečnosti potravín
C002122_sk_005	kontrolór potravinovej bezpečnosti
C002122_sk_006	kontrolórka potravinovej bezpečnosti
C002122_sk_007	potravinová inšpektorka
C002122_sk_008	potravinový inšpektor
C002123_sk_000	operátor/operátorka sústruhu na obrábanie kovov
C002123_sk_001	operátor sústruhu na obrábanie kovov
C002123_sk_002	operátorka sústruhu na obrábanie kovov
C002124_sk_000	operátor/operátorka stroja na konečnú úpravu kože
C002124_sk_001	operátor stroja na konečnú úpravu kože
C002124_sk_002	operátorka stroja na konečnú úpravu kože
C002125_sk_000	manažér/manažérka dovozu a vývozu počítačov, počítačových periférnych zariadení a softvéru
C002125_sk_001	manažér dovozu a vývozu počítačov, počítačových periférnych zariadení a softvéru
C002125_sk_002	manažérka dovozu a vývozu počítačov, počítačových periférnych zariadení a softvéru
C002126_sk_000	vyšetrovateľ/vyšetrovateľka detektorom lži
C002126_sk_001	examinátor
C002126_sk_002	examinátorka
C002126_sk_003	polygrafická examinátorka
C002126_sk_004	polygrafický examinátor
C002126_sk_005	vyšetrovateľ polygrafom
C002126_sk_006	vyšetrovateľka polygrafom
C002127_sk_000	veterinárny behaviorista/veterinárna behavioristka
C002127_sk_001	odborník na správanie zvierat
C002127_sk_002	odborníčka na správanie zvierat
C002127_sk_003	psia behavioristka
C002127_sk_004	psí behaviorista
C002127_sk_005	veterinárna behavioristka
C002127_sk_006	veterinárny behaviorista
C002127_sk_007	zvieracia behavioristka
C002127_sk_008	zvierací behaviorista
C002128_sk_000	supervízor/supervízorka v kovovýrobe
C002128_sk_001	supervízor v kovovýrobe
C002128_sk_002	supervízorka v kovovýrobe
C002129_sk_000	technik filtrácie/technička filtrácie nápojov
C002129_sk_001	filtračná pracovníčka
C002129_sk_002	filtračný pracovník
C002129_sk_003	pracovník nápojov
C002129_sk_004	pracovník čírenia nápojov
C002129_sk_005	pracovníčka nápojov
C002129_sk_006	pracovníčka čírenia nápojov
C002129_sk_007	technik filtrácie nápojov
C002129_sk_008	technička filtrácie nápojov
C002130_sk_000	hudobný skladateľ/hudobná skladateľka
C002130_sk_001	hudobná skladateľka
C002130_sk_002	hudobný skladateľ
C002131_sk_000	vysokoškolský pedagóg/vysokoškolská pedagogička v odbore psychológia
C002131_sk_001	vysokoškolská pedagogička v odbore psychológia
C002131_sk_002	vysokoškolský pedagóg v odbore psychológia
C002132_sk_000	manažér/manažérka obchodného domu
C002132_sk_001	manažér obchodného domu
C002132_sk_002	manažérka obchodného domu
C002132_sk_003	riaditeľ obchodného domu
C002132_sk_004	riaditeľka obchodného domu
C002132_sk_005	vedúca obchodného domu
C002132_sk_006	vedúci obchodného domu
C002133_sk_000	operátor/operátorka vŕtacej dlabačky
C002133_sk_001	obsluhovač vŕtacej dlabačky
C002133_sk_002	obsluhovačka vŕtacej dlabačky
C002133_sk_003	operátor vŕtacej dlabačky
C002133_sk_004	operátorka vŕtacej dlabačky
C002134_sk_000	pracovník/pracovníčka kontroly vstupu
C002134_sk_001	pracovník kontroly vstupu
C002134_sk_002	pracovníčka kontroly vstupu
C002134_sk_003	vyhadzovač
C002134_sk_004	vyhadzovačka
C002135_sk_000	mäsiar prípravár/mäsiarka prípravárka
C002135_sk_001	lahôdkár
C002135_sk_002	lahôdkárka
C002135_sk_003	mäsiar
C002135_sk_004	mäsiar prípravár
C002135_sk_005	mäsiarka
C002135_sk_006	mäsiarka prípravárka
C002135_sk_007	pracovník v lahôdkach
C002135_sk_008	pracovníčka v lahôdkach
C002135_sk_009	prípravár mäsových výrobkov
C002135_sk_010	prípravárka mäsových výrobkov
C002135_sk_011	spracovateľ mäsa
C002135_sk_012	spracovateľka mäsa
C002136_sk_000	realitný investor/realitná investorka
C002136_sk_001	realitná investorka
C002136_sk_002	realitný investor
C002137_sk_000	montážnik/montážnička výrobkov z dreva
C002137_sk_001	montážnik výrobkov z dreva
C002137_sk_002	montážnička výrobkov z dreva
C002138_sk_000	poštový doručovateľ/poštová doručovateľka
C002138_sk_001	poštová doručovateľka
C002138_sk_002	poštový doručovateľ
C002138_sk_003	poštár
C002138_sk_004	poštárka
C002139_sk_000	technik/technička prevádzky vodných elektrární
C002139_sk_001	technik prevádzky vodných elektrární
C002139_sk_002	technička prevádzky vodných elektrární
C002140_sk_000	vedúci/vedúca predajne audio- a videonosičov
C002140_sk_001	vedúca predajne audio- a videonosičov
C002140_sk_002	vedúca predajne hudobných nosičov a videonosičov
C002140_sk_003	vedúci CD a DVD shopu
C002140_sk_004	vedúci predajne audio- a videonosičov
C002140_sk_005	vedúci predajne hudobných nosičov a videonosičov
C002141_sk_000	programový riaditeľ/programová riaditeľka
C002141_sk_001	programová riaditeľka
C002141_sk_002	programový riaditeľ
